ID;Bestaansduur;SBI93;Perioden;Opheffingen_1;WerkzamePersonen_2
0;Totaal bedrijven;C-O Alle economische activiteiten ..;1998;45895.0;112110.0
1;Totaal bedrijven;C-O Alle economische activiteiten ..;1999;50090.0;123605.0
2;Totaal bedrijven;C-O Alle economische activiteiten ..;2000;59035.0;157845.0
3;Totaal bedrijven;C-O Alle economische activiteiten ..;2001;51045.0;146540.0
4;Totaal bedrijven;C-O Alle economische activiteiten ..;2002;56705.0;153475.0
5;Totaal bedrijven;C-O Alle economische activiteiten ..;2003;56525.0;139205.0
6;Totaal bedrijven;C-O Alle economische activiteiten ..;2004;55250.0;128155.0
7;Totaal bedrijven;C-O Alle economische activiteiten ..;2005;61980.0;134660.0
8;Totaal bedrijven;C-O Alle economische activiteiten ..;2006;61060.0;121970.0
9;Totaal bedrijven;C-O Alle economische activiteiten ..;2007;72125.0;144855.0
10;Totaal bedrijven;C Winning van delfstoffen;1998;20.0;45.0
11;Totaal bedrijven;C Winning van delfstoffen;1999;10.0;30.0
12;Totaal bedrijven;C Winning van delfstoffen;2000;15.0;30.0
13;Totaal bedrijven;C Winning van delfstoffen;2001;20.0;395.0
14;Totaal bedrijven;C Winning van delfstoffen;2002;25.0;70.0
15;Totaal bedrijven;C Winning van delfstoffen;2003;25.0;50.0
16;Totaal bedrijven;C Winning van delfstoffen;2004;15.0;55.0
17;Totaal bedrijven;C Winning van delfstoffen;2005;15.0;10.0
18;Totaal bedrijven;C Winning van delfstoffen;2006;40.0;145.0
19;Totaal bedrijven;C Winning van delfstoffen;2007;25.0;60.0
20;Totaal bedrijven;10 Turfwinning;1998;0.0;0.0
21;Totaal bedrijven;10 Turfwinning;1999;0.0;20.0
22;Totaal bedrijven;10 Turfwinning;2000;0.0;0.0
23;Totaal bedrijven;10 Turfwinning;2001;0.0;0.0
24;Totaal bedrijven;10 Turfwinning;2002;0.0;0.0
25;Totaal bedrijven;10 Turfwinning;2003;0.0;0.0
26;Totaal bedrijven;10 Turfwinning;2004;0.0;0.0
27;Totaal bedrijven;10 Turfwinning;2005;0.0;0.0
28;Totaal bedrijven;10 Turfwinning;2006;0.0;20.0
29;Totaal bedrijven;10 Turfwinning;2007;0.0;30.0
30;Totaal bedrijven;11 Aardolie- en aardgaswinning en ..;1998;15.0;25.0
31;Totaal bedrijven;11 Aardolie- en aardgaswinning en ..;1999;5.0;5.0
32;Totaal bedrijven;11 Aardolie- en aardgaswinning en ..;2000;10.0;10.0
33;Totaal bedrijven;11 Aardolie- en aardgaswinning en ..;2001;10.0;345.0
34;Totaal bedrijven;11 Aardolie- en aardgaswinning en ..;2002;10.0;25.0
35;Totaal bedrijven;11 Aardolie- en aardgaswinning en ..;2003;15.0;25.0
36;Totaal bedrijven;11 Aardolie- en aardgaswinning en ..;2004;10.0;20.0
37;Totaal bedrijven;11 Aardolie- en aardgaswinning en ..;2005;10.0;5.0
38;Totaal bedrijven;11 Aardolie- en aardgaswinning en ..;2006;20.0;10.0
39;Totaal bedrijven;11 Aardolie- en aardgaswinning en ..;2007;10.0;20.0
40;Totaal bedrijven;14 Winning van zand, grind, klei, ..;1998;5.0;20.0
41;Totaal bedrijven;14 Winning van zand, grind, klei, ..;1999;5.0;10.0
42;Totaal bedrijven;14 Winning van zand, grind, klei, ..;2000;5.0;20.0
43;Totaal bedrijven;14 Winning van zand, grind, klei, ..;2001;15.0;50.0
44;Totaal bedrijven;14 Winning van zand, grind, klei, ..;2002;15.0;45.0
45;Totaal bedrijven;14 Winning van zand, grind, klei, ..;2003;10.0;25.0
46;Totaal bedrijven;14 Winning van zand, grind, klei, ..;2004;10.0;40.0
47;Totaal bedrijven;14 Winning van zand, grind, klei, ..;2005;5.0;5.0
48;Totaal bedrijven;14 Winning van zand, grind, klei, ..;2006;15.0;115.0
49;Totaal bedrijven;14 Winning van zand, grind, klei, ..;2007;10.0;15.0
50;Totaal bedrijven;D Industrie;1998;2925.0;9420.0
51;Totaal bedrijven;D Industrie;1999;3035.0;10220.0
52;Totaal bedrijven;D Industrie;2000;3625.0;13390.0
53;Totaal bedrijven;D Industrie;2001;2895.0;12330.0
54;Totaal bedrijven;D Industrie;2002;3235.0;12825.0
55;Totaal bedrijven;D Industrie;2003;3150.0;12590.0
56;Totaal bedrijven;D Industrie;2004;2985.0;10730.0
57;Totaal bedrijven;D Industrie;2005;3265.0;10045.0
58;Totaal bedrijven;D Industrie;2006;3000.0;8950.0
59;Totaal bedrijven;D Industrie;2007;3260.0;8670.0
60;Totaal bedrijven;15 VV voedingsmiddelen en dranken;1998;310.0;1625.0
61;Totaal bedrijven;15 VV voedingsmiddelen en dranken;1999;355.0;2270.0
62;Totaal bedrijven;15 VV voedingsmiddelen en dranken;2000;445.0;2860.0
63;Totaal bedrijven;15 VV voedingsmiddelen en dranken;2001;335.0;2120.0
64;Totaal bedrijven;15 VV voedingsmiddelen en dranken;2002;345.0;2330.0
65;Totaal bedrijven;15 VV voedingsmiddelen en dranken;2003;290.0;1595.0
66;Totaal bedrijven;15 VV voedingsmiddelen en dranken;2004;305.0;1625.0
67;Totaal bedrijven;15 VV voedingsmiddelen en dranken;2005;340.0;1800.0
68;Totaal bedrijven;15 VV voedingsmiddelen en dranken;2006;275.0;1655.0
69;Totaal bedrijven;15 VV voedingsmiddelen en dranken;2007;270.0;1320.0
70;Totaal bedrijven;16 Verwerking van tabak;1998;0.0;0.0
71;Totaal bedrijven;16 Verwerking van tabak;1999;0.0;0.0
72;Totaal bedrijven;16 Verwerking van tabak;2000;5.0;40.0
73;Totaal bedrijven;16 Verwerking van tabak;2001;0.0;0.0
74;Totaal bedrijven;16 Verwerking van tabak;2002;0.0;0.0
75;Totaal bedrijven;16 Verwerking van tabak;2003;0.0;0.0
76;Totaal bedrijven;16 Verwerking van tabak;2004;0.0;0.0
77;Totaal bedrijven;16 Verwerking van tabak;2005;0.0;0.0
78;Totaal bedrijven;16 Verwerking van tabak;2006;0.0;0.0
79;Totaal bedrijven;16 Verwerking van tabak;2007;0.0;0.0
80;Totaal bedrijven;17 Vervaardiging van textiel;1998;90.0;215.0
81;Totaal bedrijven;17 Vervaardiging van textiel;1999;90.0;235.0
82;Totaal bedrijven;17 Vervaardiging van textiel;2000;105.0;365.0
83;Totaal bedrijven;17 Vervaardiging van textiel;2001;75.0;330.0
84;Totaal bedrijven;17 Vervaardiging van textiel;2002;90.0;245.0
85;Totaal bedrijven;17 Vervaardiging van textiel;2003;75.0;315.0
86;Totaal bedrijven;17 Vervaardiging van textiel;2004;95.0;355.0
87;Totaal bedrijven;17 Vervaardiging van textiel;2005;95.0;310.0
88;Totaal bedrijven;17 Vervaardiging van textiel;2006;95.0;225.0
89;Totaal bedrijven;17 Vervaardiging van textiel;2007;90.0;230.0
90;Totaal bedrijven;"18 VV kleding; bereiden en verven van ..";1998;195.0;585.0
91;Totaal bedrijven;"18 VV kleding; bereiden en verven van ..";1999;215.0;475.0
92;Totaal bedrijven;"18 VV kleding; bereiden en verven van ..";2000;215.0;585.0
93;Totaal bedrijven;"18 VV kleding; bereiden en verven van ..";2001;155.0;490.0
94;Totaal bedrijven;"18 VV kleding; bereiden en verven van ..";2002;170.0;475.0
95;Totaal bedrijven;"18 VV kleding; bereiden en verven van ..";2003;135.0;320.0
96;Totaal bedrijven;"18 VV kleding; bereiden en verven van ..";2004;145.0;395.0
97;Totaal bedrijven;"18 VV kleding; bereiden en verven van ..";2005;170.0;310.0
98;Totaal bedrijven;"18 VV kleding; bereiden en verven van ..";2006;145.0;250.0
99;Totaal bedrijven;"18 VV kleding; bereiden en verven van ..";2007;145.0;215.0
100;Totaal bedrijven;19 VV leer en lederwaren (geen kleding);1998;20.0;45.0
101;Totaal bedrijven;19 VV leer en lederwaren (geen kleding);1999;30.0;105.0
102;Totaal bedrijven;19 VV leer en lederwaren (geen kleding);2000;45.0;105.0
103;Totaal bedrijven;19 VV leer en lederwaren (geen kleding);2001;25.0;130.0
104;Totaal bedrijven;19 VV leer en lederwaren (geen kleding);2002;30.0;80.0
105;Totaal bedrijven;19 VV leer en lederwaren (geen kleding);2003;30.0;100.0
106;Totaal bedrijven;19 VV leer en lederwaren (geen kleding);2004;25.0;65.0
107;Totaal bedrijven;19 VV leer en lederwaren (geen kleding);2005;25.0;95.0
108;Totaal bedrijven;19 VV leer en lederwaren (geen kleding);2006;30.0;155.0
109;Totaal bedrijven;19 VV leer en lederwaren (geen kleding);2007;20.0;30.0
110;Totaal bedrijven;20 Houtindustrie en vervaardiging van ..;1998;120.0;340.0
111;Totaal bedrijven;20 Houtindustrie en vervaardiging van ..;1999;120.0;300.0
112;Totaal bedrijven;20 Houtindustrie en vervaardiging van ..;2000;145.0;450.0
113;Totaal bedrijven;20 Houtindustrie en vervaardiging van ..;2001;125.0;440.0
114;Totaal bedrijven;20 Houtindustrie en vervaardiging van ..;2002;125.0;455.0
115;Totaal bedrijven;20 Houtindustrie en vervaardiging van ..;2003;120.0;580.0
116;Totaal bedrijven;20 Houtindustrie en vervaardiging van ..;2004;110.0;405.0
