ID;Perioden;ToerismeBestedingenNLEconomieTotaal_1;BestedingenBuitenlandseToeristen_2;TotaalBestedingenNLToeristen_3;BestemmingBinnenland_4;BestemmingBuitenland_5;OverigeBestedingen_6;ToerismeBestedingenBuitenNLEconomie_7;ToerismeBestedingenNLEconomieTotaal_8;BestedingenBuitenlandseToeristen_9;TotaalBestedingenNLToeristen_10;BestemmingBinnenland_11;BestemmingBuitenland_12;OverigeBestedingen_13;ToerismeBestedingenBuitenNLEconomie_14
0;2010;60287;12526;44114;38696;5418;3647;14301;118.8;93.9;132.3;125.2;213.6;104.9;219.0
1;2011;63034;13089;46298;40398;5900;3647;14638;121.8;98.1;135.2;127.4;227.1;102.6;217.1
2;2012;65290;14493;47156;40875;6281;3641;15185;123.2;105.8;133.8;125.8;230.6;100.4;218.1
3;2013;66337;15961;46770;40446;6323;3606;15452;124.7;116.0;131.5;123.9;225.9;97.1;218.8
4;2014;69471;17756;48068;41654;6414;3647;15104;130.9;129.0;134.8;127.3;227.6;97.8;212.7
5;2015;73179;20140;49308;42688;6619;3731;15445;138.1;144.3;138.7;131.1;233.6;97.8;216.0
6;2016;76144;22335;50030;43305;6725;3779;15468;144.8;160.5;141.3;133.2;243.7;97.4;219.0
7;2017;81075;25254;51920;44816;7103;3901;16661;152.1;178.5;143.7;135.4;247.4;99.5;229.6
8;2018;85124;27095;54054;46648;7406;3975;16679;157.0;188.2;146.7;138.1;254.0;100.3;224.8
9;2019;89186;29196;55872;48569;7303;4118;17248;160.6;198.3;147.3;139.6;244.4;102.6;227.6
10;2020;53424;13236;35855;33684;2170;4333;5415;92.8;89.0;94.2;95.7;74.1;98.4;71.7
11;2021;59379;15220;39610;36454;3156;4549;7964;100.0;100.0;100.0;100.0;100.0;100.0;100.0
12;2022;92062;28441;58653;51997;6656;4968;19358;142.7;170.2;136.4;132.6;180.5;105.9;204.8
13;2023;104934;34482;65169;57368;7800;5284;22124;155.0;196.3;144.5;139.5;201.7;107.6;224.0
