ID;SectorBranchesSIC2008;Periods;TurnoverIndices_1;TurnoverYearOnYearChange_2
0;45 Sale and repair of motor vehicles;2005 1st quarter;107.5;-2.2
1;45 Sale and repair of motor vehicles;2005 2nd quarter;108.7;1.1
2;45 Sale and repair of motor vehicles;2005 3rd quarter;97.9;0.8
3;45 Sale and repair of motor vehicles;2005 4th quarter;101.2;0.7
4;45 Sale and repair of motor vehicles;2005;103.8;0.0
5;45 Sale and repair of motor vehicles;2006 1st quarter;116.3;8.2
6;45 Sale and repair of motor vehicles;2006 2nd quarter;113.2;4.2
7;45 Sale and repair of motor vehicles;2006 3rd quarter;102.6;4.8
8;45 Sale and repair of motor vehicles;2006 4th quarter;107.3;6.1
9;45 Sale and repair of motor vehicles;2006;109.9;5.8
10;45 Sale and repair of motor vehicles;2007 1st quarter;119.5;2.8
11;45 Sale and repair of motor vehicles;2007 2nd quarter;118.3;4.5
12;45 Sale and repair of motor vehicles;2007 3rd quarter;108.5;5.8
13;45 Sale and repair of motor vehicles;2007 4th quarter;110.9;3.3
14;45 Sale and repair of motor vehicles;2007;114.3;4.0
15;45 Sale and repair of motor vehicles;2008 1st quarter;121.9;2.0
16;45 Sale and repair of motor vehicles;2008 2nd quarter;115.0;-2.8
17;45 Sale and repair of motor vehicles;2008 3rd quarter;103.6;-4.5
18;45 Sale and repair of motor vehicles;2008 4th quarter;97.1;-12.4
19;45 Sale and repair of motor vehicles;2008;109.4;-4.3
20;45 Sale and repair of motor vehicles;2009 1st quarter;99.9;-18.1
21;45 Sale and repair of motor vehicles;2009 2nd quarter;93.6;-18.6
22;45 Sale and repair of motor vehicles;2009 3rd quarter;86.7;-16.4
23;45 Sale and repair of motor vehicles;2009 4th quarter;88.9;-8.4
24;45 Sale and repair of motor vehicles;2009;92.3;-15.7
25;45 Sale and repair of motor vehicles;2010 1st quarter;101.4;1.5
26;45 Sale and repair of motor vehicles;2010 2nd quarter;101.2;8.1
27;45 Sale and repair of motor vehicles;2010 3rd quarter;96.1;10.9
