ID;Partij;GeldigeStemmen_1;InVanTotaalGeldigeStemmen_2;Totaal_3;Mannen_4;Vrouwen_5
0;Totaal;8893302;100.0;150;116;34
1;1;2171;0.0;0;0;0
2;2;7884;0.1;0;0;0
3;3;81427;0.9;1;1;0
4;4;3140502;35.3;54;44;10
5;5;701934;7.9;12;8;4
6;6;31312;0.4;0;0;0
7;7;54;0.0;0;0;0
8;8;362304;4.1;6;3;3
9;9;109637;1.2;2;2;0
10;HP;326;0.0;0;0;0
11;MDP;148;0.0;0;0;0
12;PDS;452;0.0;0;0;0
13;PPvO;2160;0.0;0;0;0
14;PvdA;2835251;31.9;49;36;13
15;RN;6047;0.1;0;0;0
16;RPF;85231;1.0;1;1;0
17;SAP;4297;0.0;0;0;0
18;SF;31;0.0;0;0;0
19;SGP;166082;1.9;3;3;0
20;SMP;329;0.0;0;0;0
21;SP;38870;0.4;0;0;0
22;VCN;7380;0.1;0;0;0
23;VMP;1942;0.0;0;0;0
24;VP;12129;0.1;0;0;0
25;VVD;1295402;14.6;22;18;4
