ID;KenmerkenLeasevoertuig;Perioden;Prijsindex_1;Kwartaalmutatie_2;Jaarmutatie_3;Prijsindex_4;Kwartaalmutatie_5;Jaarmutatie_6;Wegingsfactoren_7
0;Autolease, alle voertuigen;2001 3e kwartaal;81.3;;;;;;
1;Autolease, alle voertuigen;2001 4e kwartaal;80.8;-0.5;;;;;
2;Autolease, alle voertuigen;2002 1e kwartaal;82.3;1.8;;;;;
3;Autolease, alle voertuigen;2002 2e kwartaal;83.1;1.0;;;;;
4;Autolease, alle voertuigen;2002 3e kwartaal;82.9;-0.2;2.1;;;;
5;Autolease, alle voertuigen;2002 4e kwartaal;82.9;-0.1;2.5;;;;
6;Autolease, alle voertuigen;2002 jaargemiddelde;82.8;;;;;;
7;Autolease, alle voertuigen;2003 1e kwartaal;84.0;1.4;2.1;;;;
8;Autolease, alle voertuigen;2003 2e kwartaal;83.9;-0.1;0.9;;;;
9;Autolease, alle voertuigen;2003 3e kwartaal;84.8;1.1;2.3;;;;
10;Autolease, alle voertuigen;2003 4e kwartaal;85.9;1.3;3.7;;;;
11;Autolease, alle voertuigen;2003 jaargemiddelde;84.7;;2.2;;;;
12;Autolease, alle voertuigen;2004 1e kwartaal;87.1;1.3;3.6;;;;
13;Autolease, alle voertuigen;2004 2e kwartaal;87.7;0.8;4.6;;;;
14;Autolease, alle voertuigen;2004 3e kwartaal;87.7;0.0;3.4;;;;
15;Autolease, alle voertuigen;2004 4e kwartaal;87.8;0.1;2.2;;;;
16;Autolease, alle voertuigen;2004 jaargemiddelde;87.6;;3.5;;;;
17;Autolease, alle voertuigen;2005 1e kwartaal;90.3;2.8;3.7;;;;
18;Autolease, alle voertuigen;2005 2e kwartaal;91.1;1.0;3.9;;;;
19;Autolease, alle voertuigen;2005 3e kwartaal;91.7;0.6;4.5;;;;
20;Autolease, alle voertuigen;2005 4e kwartaal;92.6;1.0;5.4;;;;
21;Autolease, alle voertuigen;2005 jaargemiddelde;91.4;;4.4;;;;
22;Autolease, alle voertuigen;2006 1e kwartaal;93.7;1.2;3.8;;;;
23;Autolease, alle voertuigen;2006 2e kwartaal;94.6;0.9;3.7;;;;
24;Autolease, alle voertuigen;2006 3e kwartaal;94.7;0.2;3.3;;;;
25;Autolease, alle voertuigen;2006 4e kwartaal;95.2;0.5;2.8;;;;
26;Autolease, alle voertuigen;2006 jaargemiddelde;94.5;;3.4;;;;
27;Autolease, alle voertuigen;2007 1e kwartaal;96.2;1.1;2.7;;;;
28;Autolease, alle voertuigen;2007 2e kwartaal;96.7;0.5;2.2;;;;
29;Autolease, alle voertuigen;2007 3e kwartaal;96.9;0.3;2.3;;;;
30;Autolease, alle voertuigen;2007 4e kwartaal;96.9;-0.1;1.8;;;;
31;Autolease, alle voertuigen;2007 jaargemiddelde;96.7;;2.3;;;;
32;Autolease, alle voertuigen;2008 1e kwartaal;95.7;-1.2;-0.6;;;;
33;Autolease, alle voertuigen;2008 2e kwartaal;96.7;1.0;0.0;;;;
34;Autolease, alle voertuigen;2008 3e kwartaal;97.9;1.2;1.0;;;;
35;Autolease, alle voertuigen;2008 4e kwartaal;97.5;-0.4;0.6;;;;
36;Autolease, alle voertuigen;2008 jaargemiddelde;96.9;;0.3;;;;
37;Autolease, alle voertuigen;2009 1e kwartaal;98.4;1.0;2.9;;;;
38;Autolease, alle voertuigen;2009 2e kwartaal;98.9;0.5;2.3;;;;
39;Autolease, alle voertuigen;2009 3e kwartaal;99.5;0.6;1.7;;;;
40;Autolease, alle voertuigen;2009 4e kwartaal;99.5;0.0;2.1;;;;
41;Autolease, alle voertuigen;2009 jaargemiddelde;99.1;;2.2;;;;
42;Autolease, alle voertuigen;2010 1e kwartaal;100.5;1.0;2.1;;;;100.0
43;Autolease, alle voertuigen;2010 2e kwartaal;100.0;-0.5;1.1;;;;100.0
44;Autolease, alle voertuigen;2010 3e kwartaal;99.6;-0.4;0.0;;;;100.0
45;Autolease, alle voertuigen;2010 4e kwartaal;99.9;0.4;0.4;;;;100.0
46;Autolease, alle voertuigen;2010 jaargemiddelde;100.0;;0.9;;;;100.0
47;Autolease, alle voertuigen;2011 1e kwartaal;101.5;1.6;1.0;;;;100.0
48;Autolease, alle voertuigen;2011 2e kwartaal;101.9;0.4;1.9;;;;100.0
49;Autolease, alle voertuigen;2011 3e kwartaal;101.2;-0.7;1.6;;;;100.0
50;Autolease, alle voertuigen;2011 4e kwartaal;101.2;0.0;1.3;;;;100.0
51;Autolease, alle voertuigen;2011 jaargemiddelde;101.4;;1.4;;;;100.0
52;Autolease, alle voertuigen;2012 1e kwartaal;101.1;-0.1;-0.4;;;;100.0
53;Autolease, alle voertuigen;2012 2e kwartaal;101.2;0.1;-0.7;;;;100.0
54;Autolease, alle voertuigen;2012 3e kwartaal;101.8;0.6;0.6;;;;100.0
55;Autolease, alle voertuigen;2012 4e kwartaal;101.8;0.0;0.5;;;;100.0
56;Autolease, alle voertuigen;2012 jaargemiddelde;101.5;;0.0;;;;100.0
57;Autolease, alle voertuigen;2013 1e kwartaal;102.8;1.0;1.6;;;;100.0
58;Autolease, alle voertuigen;2013 2e kwartaal;102.5;-0.3;1.3;;;;100.0
59;Autolease, alle voertuigen;2013 3e kwartaal;102.5;0.1;0.7;;;;100.0
60;Autolease, alle voertuigen;2013 4e kwartaal;102.2;-0.3;0.5;;;;100.0
61;Autolease, alle voertuigen;2013 jaargemiddelde;102.5;;1.0;;;;100.0
62;Autolease, alle voertuigen;2014 1e kwartaal;103.1;0.9;0.4;;;;100.0
63;Autolease, alle voertuigen;2014 2e kwartaal;102.5;-0.6;0.0;;;;100.0
64;Autolease, alle voertuigen;2014 3e kwartaal;102.3;-0.2;-0.3;;;;100.0
65;Autolease, alle voertuigen;2014 4e kwartaal;102.5;0.2;0.3;;;;100.0
66;Autolease, alle voertuigen;2014 jaargemiddelde;102.6;;0.1;;;;100.0
67;Autolease, alle voertuigen;2015 1e kwartaal;102.7;0.2;-0.4;;;;100.0
68;Autolease, alle voertuigen;2015 2e kwartaal;101.6;-1.1;-0.9;;;;100.0
69;Autolease, alle voertuigen;2015 3e kwartaal;101.2;-0.4;-1.1;;;;100.0
70;Autolease, alle voertuigen;2015 4e kwartaal;101.2;0.0;-1.3;;;;100.0
71;Autolease, alle voertuigen;2015 jaargemiddelde;101.7;;-0.9;;;;100.0
72;Autolease, alle voertuigen;2016 1e kwartaal;102.0;0.9;-0.7;;;;100.0
73;Autolease, alle voertuigen;2016 2e kwartaal;102.0;0.0;0.4;;;;100.0
74;Autolease, alle voertuigen;2016 3e kwartaal;101.5;-0.5;0.3;;;;100.0
75;Autolease, alle voertuigen;2016 4e kwartaal;101.7;0.2;0.6;;;;100.0
76;Autolease, alle voertuigen;2016 jaargemiddelde;101.8;;0.2;;;;100.0
77;Autolease, alle voertuigen;2017 1e kwartaal;102.9;1.2;0.9;;;;100.0
78;Autolease, alle voertuigen;2017 2e kwartaal;102.4;-0.5;0.3;;;;100.0
79;Autolease, alle voertuigen;2017 3e kwartaal;101.6;-0.7;0.1;;;;100.0
80;Autolease, alle voertuigen;2017 4e kwartaal;102.1;0.5;0.4;;;;100.0
81;Autolease, alle voertuigen;2017 jaargemiddelde;102.2;;0.4;;;;100.0
82;Personenauto's;2001 3e kwartaal;77.9;;;75.3;;;
83;Personenauto's;2001 4e kwartaal;77.5;-0.5;;74.3;-1.3;;
84;Personenauto's;2002 1e kwartaal;79.2;2.1;;75.6;1.8;;
85;Personenauto's;2002 2e kwartaal;80.2;1.3;;77.0;1.8;;
86;Personenauto's;2002 3e kwartaal;80.0;-0.3;2.7;76.6;-0.5;1.7;
87;Personenauto's;2002 4e kwartaal;79.9;-0.1;3.1;76.5;-0.1;2.9;
88;Personenauto's;2002 jaargemiddelde;79.8;;;76.4;;;
89;Personenauto's;2003 1e kwartaal;81.3;1.8;2.7;78.4;2.6;3.8;
90;Personenauto's;2003 2e kwartaal;81.2;-0.2;1.3;77.5;-1.2;0.7;
91;Personenauto's;2003 3e kwartaal;82.4;1.5;3.0;78.7;1.5;2.8;
92;Personenauto's;2003 4e kwartaal;83.6;1.5;4.6;79.3;0.8;3.8;
93;Personenauto's;2003 jaargemiddelde;82.1;;2.9;78.5;;2.7;
94;Personenauto's;2004 1e kwartaal;85.0;1.7;4.5;80.7;1.7;2.9;
95;Personenauto's;2004 2e kwartaal;85.9;1.1;5.8;82.4;2.2;6.4;
96;Personenauto's;2004 3e kwartaal;85.8;-0.1;4.2;82.8;0.4;5.2;
97;Personenauto's;2004 4e kwartaal;85.9;0.0;2.7;83.4;0.7;5.1;
98;Personenauto's;2004 jaargemiddelde;85.6;;4.3;82.3;;4.9;
99;Personenauto's;2005 1e kwartaal;88.5;3.1;4.2;85.0;1.9;5.3;
100;Personenauto's;2005 2e kwartaal;89.6;1.2;4.3;86.9;2.2;5.4;
101;Personenauto's;2005 3e kwartaal;90.3;0.8;5.1;88.8;2.2;7.2;
102;Personenauto's;2005 4e kwartaal;91.4;1.2;6.4;89.5;0.8;7.3;
103;Personenauto's;2005 jaargemiddelde;89.9;;5.0;87.5;;6.3;
104;Personenauto's;2006 1e kwartaal;92.6;1.3;4.6;90.8;1.4;6.8;
105;Personenauto's;2006 2e kwartaal;93.5;1.0;4.4;92.2;1.5;6.1;
106;Personenauto's;2006 3e kwartaal;93.8;0.2;3.9;92.6;0.5;4.3;
107;Personenauto's;2006 4e kwartaal;94.2;0.4;3.0;91.2;-1.5;1.9;
108;Personenauto's;2006 jaargemiddelde;93.5;;4.0;91.7;;4.7;
109;Personenauto's;2007 1e kwartaal;95.3;1.2;2.9;92.4;1.3;1.8;
110;Personenauto's;2007 2e kwartaal;95.8;0.5;2.4;94.1;1.8;2.1;
111;Personenauto's;2007 3e kwartaal;96.0;0.2;2.4;94.0;-0.1;1.5;
112;Personenauto's;2007 4e kwartaal;95.9;-0.1;1.9;94.9;1.0;4.0;
113;Personenauto's;2007 jaargemiddelde;95.7;;2.4;93.8;;2.3;
114;Personenauto's;2008 1e kwartaal;94.3;-1.7;-1.1;94.1;-0.8;1.8;
115;Personenauto's;2008 2e kwartaal;95.3;1.1;-0.4;96.5;2.6;2.6;
116;Personenauto's;2008 3e kwartaal;96.5;1.2;0.5;98.2;1.8;4.5;
117;Personenauto's;2008 4e kwartaal;96.9;0.4;1.0;96.0;-2.3;1.1;
118;Personenauto's;2008 jaargemiddelde;95.8;;0.0;96.2;;2.5;
119;Personenauto's;2009 1e kwartaal;98.3;1.5;4.3;95.9;0.0;2.0;
120;Personenauto's;2009 2e kwartaal;98.6;0.3;3.4;96.5;0.6;0.0;
121;Personenauto's;2009 3e kwartaal;99.3;0.7;3.0;97.7;1.2;-0.5;
122;Personenauto's;2009 4e kwartaal;99.3;0.0;2.5;98.2;0.5;2.3;
123;Personenauto's;2009 jaargemiddelde;98.9;;3.3;97.1;;0.9;
124;Personenauto's;2010 1e kwartaal;100.5;1.2;2.2;99.5;1.4;3.8;79.3
125;Personenauto's;2010 2e kwartaal;100.1;-0.4;1.5;100.4;0.9;4.1;79.3
126;Personenauto's;2010 3e kwartaal;99.5;-0.5;0.2;99.7;-0.7;2.1;79.3
127;Personenauto's;2010 4e kwartaal;99.9;0.3;0.5;100.3;0.6;2.2;79.3
128;Personenauto's;2010 jaargemiddelde;100.0;;1.1;100.0;;3.0;79.3
129;Personenauto's;2011 1e kwartaal;101.5;1.6;1.0;102.9;2.6;3.4;79.3
130;Personenauto's;2011 2e kwartaal;101.9;0.4;1.8;104.1;1.2;3.6;79.3
131;Personenauto's;2011 3e kwartaal;101.0;-0.9;1.4;103.0;-1.1;3.3;79.3
132;Personenauto's;2011 4e kwartaal;101.0;0.0;1.1;102.6;-0.4;2.3;79.3
133;Personenauto's;2011 jaargemiddelde;101.3;;1.3;103.2;;3.2;79.3
134;Personenauto's;2012 1e kwartaal;101.0;0.0;-0.5;103.5;0.8;0.6;79.3
135;Personenauto's;2012 2e kwartaal;101.0;0.0;-0.9;103.6;0.1;-0.5;79.3
136;Personenauto's;2012 3e kwartaal;101.9;0.9;0.9;104.1;0.4;1.0;79.3
137;Personenauto's;2012 4e kwartaal;101.8;0.0;0.8;103.9;-0.2;1.2;79.3
138;Personenauto's;2012 jaargemiddelde;101.4;;0.1;103.8;;0.6;79.3
139;Personenauto's;2013 1e kwartaal;102.9;1.0;1.9;104.4;0.5;0.9;79.3
140;Personenauto's;2013 2e kwartaal;102.6;-0.3;1.6;103.5;-0.9;-0.1;79.3
141;Personenauto's;2013 3e kwartaal;102.5;0.0;0.7;103.8;0.4;-0.2;79.3
142;Personenauto's;2013 4e kwartaal;102.3;-0.2;0.5;102.6;-1.2;-1.3;79.3
143;Personenauto's;2013 jaargemiddelde;102.6;;1.2;103.6;;-0.2;79.3
144;Personenauto's;2014 1e kwartaal;103.3;1.0;0.5;103.7;1.1;-0.7;79.3
145;Personenauto's;2014 2e kwartaal;102.7;-0.6;0.2;103.4;-0.2;0.0;79.3
146;Personenauto's;2014 3e kwartaal;102.4;-0.3;-0.1;102.9;-0.5;-0.9;79.3
147;Personenauto's;2014 4e kwartaal;102.6;0.2;0.3;102.0;-0.9;-0.6;79.3
148;Personenauto's;2014 jaargemiddelde;102.8;;0.2;103.0;;-0.5;79.3
149;Personenauto's;2015 1e kwartaal;103.2;0.6;-0.1;100.7;-1.2;-2.8;79.3
150;Personenauto's;2015 2e kwartaal;101.8;-1.4;-0.9;100.2;-0.5;-3.1;79.3
151;Personenauto's;2015 3e kwartaal;101.4;-0.4;-1.0;99.3;-1.0;-3.5;79.3
152;Personenauto's;2015 4e kwartaal;101.5;0.2;-1.0;98.7;-0.6;-3.2;79.3
153;Personenauto's;2015 jaargemiddelde;102.0;;-0.8;99.7;;-3.2;79.3
154;Personenauto's;2016 1e kwartaal;102.3;0.8;-0.9;97.9;-0.8;-2.8;79.3
155;Personenauto's;2016 2e kwartaal;102.2;-0.1;0.4;98.5;0.6;-1.7;79.3
156;Personenauto's;2016 3e kwartaal;101.6;-0.6;0.2;97.9;-0.6;-1.4;79.3
157;Personenauto's;2016 4e kwartaal;101.8;0.2;0.3;98.8;1.0;0.1;79.3
158;Personenauto's;2016 jaargemiddelde;102.0;;0.0;98.3;;-1.5;79.3
159;Personenauto's;2017 1e kwartaal;103.3;1.4;0.9;100.4;1.6;2.5;79.3
