ID;SBI1993;Perioden;OmzetIndexcijfers_1;OmzetOntwikkelingenIn_2
0;516 Machines, apparaten en toebehoren;1e kwartaal 1995;98;0.0
1;516 Machines, apparaten en toebehoren;2e kwartaal 1995;99;0.0
2;516 Machines, apparaten en toebehoren;3e kwartaal 1995;95;0.0
3;516 Machines, apparaten en toebehoren;4e kwartaal 1995;108;0.0
4;516 Machines, apparaten en toebehoren;1995;100;0.0
5;516 Machines, apparaten en toebehoren;1e kwartaal 1996;108;10.1
6;516 Machines, apparaten en toebehoren;2e kwartaal 1996;110;11.1
7;516 Machines, apparaten en toebehoren;3e kwartaal 1996;109;15.0
8;516 Machines, apparaten en toebehoren;4e kwartaal 1996;116;7.6
9;516 Machines, apparaten en toebehoren;1996;111;10.8
10;516 Machines, apparaten en toebehoren;1e kwartaal 1997;121;12.6
11;516 Machines, apparaten en toebehoren;2e kwartaal 1997;128;15.6
12;516 Machines, apparaten en toebehoren;3e kwartaal 1997;123;12.9
13;516 Machines, apparaten en toebehoren;4e kwartaal 1997;131;12.4
14;516 Machines, apparaten en toebehoren;1997;126;13.4
15;516 Machines, apparaten en toebehoren;1e kwartaal 1998;149;22.4
16;516 Machines, apparaten en toebehoren;2e kwartaal 1998;145;13.8
17;516 Machines, apparaten en toebehoren;3e kwartaal 1998;138;12.6
18;516 Machines, apparaten en toebehoren;4e kwartaal 1998;142;8.6
19;516 Machines, apparaten en toebehoren;1998;143;14.2
20;516 Machines, apparaten en toebehoren;1e kwartaal 1999;148;-0.3
21;516 Machines, apparaten en toebehoren;2e kwartaal 1999;153;5.6
22;516 Machines, apparaten en toebehoren;3e kwartaal 1999;143;3.3
23;516 Machines, apparaten en toebehoren;4e kwartaal 1999;152;7.2
24;516 Machines, apparaten en toebehoren;1999;149;3.9
25;5164 Computers, kantoormachines e.d.;1e kwartaal 1995;97;0.0
26;5164 Computers, kantoormachines e.d.;2e kwartaal 1995;96;0.0
27;5164 Computers, kantoormachines e.d.;3e kwartaal 1995;94;0.0
28;5164 Computers, kantoormachines e.d.;4e kwartaal 1995;113;0.0
29;5164 Computers, kantoormachines e.d.;1995;100;0.0
30;5164 Computers, kantoormachines e.d.;1e kwartaal 1996;112;16.1
31;5164 Computers, kantoormachines e.d.;2e kwartaal 1996;114;18.6
32;5164 Computers, kantoormachines e.d.;3e kwartaal 1996;111;17.8
33;5164 Computers, kantoormachines e.d.;4e kwartaal 1996;127;12.0
34;5164 Computers, kantoormachines e.d.;1996;116;15.9
35;5164 Computers, kantoormachines e.d.;1e kwartaal 1997;131;16.7
36;5164 Computers, kantoormachines e.d.;2e kwartaal 1997;138;21.5
37;5164 Computers, kantoormachines e.d.;3e kwartaal 1997;128;15.5
38;5164 Computers, kantoormachines e.d.;4e kwartaal 1997;146;15.1
39;5164 Computers, kantoormachines e.d.;1997;136;17.1
40;5164 Computers, kantoormachines e.d.;1e kwartaal 1998;178;35.9
41;5164 Computers, kantoormachines e.d.;2e kwartaal 1998;171;23.6
42;5164 Computers, kantoormachines e.d.;3e kwartaal 1998;157;22.3
43;5164 Computers, kantoormachines e.d.;4e kwartaal 1998;166;13.1
44;5164 Computers, kantoormachines e.d.;1998;168;23.4
45;5164 Computers, kantoormachines e.d.;1e kwartaal 1999;175;-1.9
46;5164 Computers, kantoormachines e.d.;2e kwartaal 1999;186;8.9
47;5164 Computers, kantoormachines e.d.;3e kwartaal 1999;167;6.6
48;5164 Computers, kantoormachines e.d.;4e kwartaal 1999;180;8.9
49;5164 Computers, kantoormachines e.d.;1999;177;5.5
50;51657 Elektromotoren, schakelkasten e.d.;1e kwartaal 1995;98;0.0
51;51657 Elektromotoren, schakelkasten e.d.;2e kwartaal 1995;98;0.0
52;51657 Elektromotoren, schakelkasten e.d.;3e kwartaal 1995;96;0.0
53;51657 Elektromotoren, schakelkasten e.d.;4e kwartaal 1995;109;0.0
54;51657 Elektromotoren, schakelkasten e.d.;1995;100;0.0
55;51657 Elektromotoren, schakelkasten e.d.;1e kwartaal 1996;111;13.6
56;51657 Elektromotoren, schakelkasten e.d.;2e kwartaal 1996;113;14.9
57;51657 Elektromotoren, schakelkasten e.d.;3e kwartaal 1996;114;19.1
58;51657 Elektromotoren, schakelkasten e.d.;4e kwartaal 1996;120;9.9
59;51657 Elektromotoren, schakelkasten e.d.;1996;114;14.2
60;51657 Elektromotoren, schakelkasten e.d.;1e kwartaal 1997;119;7.6
61;51657 Elektromotoren, schakelkasten e.d.;2e kwartaal 1997;120;6.6
62;51657 Elektromotoren, schakelkasten e.d.;3e kwartaal 1997;131;15.0
63;51657 Elektromotoren, schakelkasten e.d.;4e kwartaal 1997;126;5.5
64;51657 Elektromotoren, schakelkasten e.d.;1997;124;8.6
65;51657 Elektromotoren, schakelkasten e.d.;1e kwartaal 1998;129;8.1
66;51657 Elektromotoren, schakelkasten e.d.;2e kwartaal 1998;125;4.0
67;51657 Elektromotoren, schakelkasten e.d.;3e kwartaal 1998;134;2.3
68;51657 Elektromotoren, schakelkasten e.d.;4e kwartaal 1998;136;7.4
69;51657 Elektromotoren, schakelkasten e.d.;1998;131;5.4
70;51657 Elektromotoren, schakelkasten e.d.;1e kwartaal 1999;142;10.5
71;51657 Elektromotoren, schakelkasten e.d.;2e kwartaal 1999;136;8.9
72;51657 Elektromotoren, schakelkasten e.d.;3e kwartaal 1999;143;7.1
