ID;Perioden;AlleSectoren_1;Rijk_2;Provincies_3;GemeentenEnWaterschappen_4;BedrijvenEnPartBoseigenaren_5;PartNatuurbeschermingsorganisaties_6;Huishoudens_7;AlleSectoren_8;Rijk_9;Provincies_10;GemeentenEnWaterschappen_11;BedrijvenEnPartBoseigenaren_12;PartNatuurbeschermingsorganisaties_13;Huishoudens_14;TotaalVerwervingskosten_15;Rijk_16;Provincies_17;Natuurbeschermingsorganisaties_18;AantalContribuanten_19;OppervlakteNatuurterreinInBezit_20
0;1985;250;121;39;14;38;38;0;250;160;38;14;32;4;2;39;23;0;16;302;109
1;1987;255;125;39;16;34;40;0;255;163;41;14;28;6;3;44;31;0;13;316;114
2;1989;257;138;35;12;29;42;0;257;171;36;11;29;4;5;47;30;1;16;416;119
3;1991;308;161;44;12;38;54;0;308;201;47;12;32;7;8;52;33;0;19;787;126
4;1993;358;175;57;18;43;65;0;358;209;59;18;44;6;20;79;39;5;35;924;136
5;1995;441;216;65;23;54;82;0;441;256;68;24;56;11;26;103;60;0;43;1028;146
6;1997;521;248;66;25;74;108;0;521;288;65;27;81;18;43;127;59;3;64;1085;156
