ID;Perioden;TotaalGeregistreerdeWerklozen_1;VeranderingTOVEenJaarEerder_2
324;1979 januari;218;-6.0
325;1979 februari;214;-4.0
326;1979 maart;198;-4.0
327;1979 april;181;-8.0
328;1979 mei;175;-3.0
329;1979 juni;184;1.0
330;1979 juli;195;-3.0
331;1979 augustus;200;-8.0
332;1979 september;194;-10.0
333;1979 oktober;189;-12.0
334;1979 november;190;-10.0
335;1979 december;195;-15.0
336;1980 januari;209;-9.0
337;1980 februari;204;-10.0
338;1980 maart;188;-10.0
339;1980 april;179;-2.0
340;1980 mei;181;6.0
341;1980 juni;195;11.0
342;1980 juli;217;22.0
343;1980 augustus;227;27.0
344;1980 september;233;39.0
345;1980 oktober;239;50.0
346;1980 november;254;64.0
347;1980 december;275;80.0
348;1981 januari;289;80.0
349;1981 februari;290;86.0
350;1981 maart;285;97.0
351;1981 april;273;94.0
352;1981 mei;272;91.0
353;1981 juni;289;94.0
354;1981 juli;318;101.0
355;1981 augustus;330;103.0
356;1981 september;337;104.0
357;1981 oktober;352;113.0
358;1981 november;369;115.0
359;1981 december;398;123.0
360;1982 januari;413;124.0
361;1982 februari;418;128.0
362;1982 maart;414;129.0
363;1982 april;413;140.0
364;1982 mei;417;145.0
365;1982 juni;449;160.0
366;1982 juli;476;158.0
367;1982 augustus;490;160.0
368;1982 september;505;168.0
369;1982 oktober;518;166.0
370;1982 november;538;169.0
371;1982 december;569;171.0
372;1983 januari;583;170.0
373;1983 februari;591;173.0
374;1983 maart;587;173.0
375;1983 april;583;170.0
376;1983 mei;585;168.0
377;1983 juni;619;170.0
378;1983 juli;632;156.0
379;1983 augustus;639;149.0
380;1983 september;633;128.0
381;1983 oktober;625;107.0
382;1983 november;629;91.0
383;1983 december;639;70.0
384;1984 januari;639;56.0
385;1984 februari;633;42.0
386;1984 maart;613;26.0
387;1984 april;594;11.0
388;1984 mei;585;0.0
389;1984 juni;587;-32.0
390;1984 juli;586;-46.0
391;1984 augustus;597;-42.0
392;1984 september;581;-52.0
393;1984 oktober;565;-60.0
394;1984 november;558;-71.0
395;1984 december;555;-84.0
396;1985 januari;558;-81.0
397;1985 februari;552;-81.0
398;1985 maart;528;-85.0
399;1985 april;506;-88.0
400;1985 mei;494;-91.0
401;1985 juni;489;-98.0
402;1985 juli;503;-83.0
403;1985 augustus;514;-83.0
404;1985 september;502;-79.0
405;1985 oktober;494;-71.0
406;1985 november;495;-63.0
407;1985 december;501;-54.0
408;1986 januari;510;-48.0
409;1986 februari;502;-50.0
410;1986 maart;485;-43.0
411;1986 april;466;-40.0
412;1986 mei;458;-36.0
413;1986 juni;458;-31.0
414;1986 juli;476;-27.0
415;1986 augustus;474;-40.0
416;1986 september;469;-33.0
417;1986 oktober;464;-30.0
418;1986 november;461;-34.0
419;1986 december;470;-31.0
420;1987 januari;473;-37.0
421;1987 februari;469;-33.0
422;1987 maart;456;-29.0
423;1987 april;438;-28.0
424;1987 mei;427;-31.0
425;1987 juni;429;-29.0
426;1987 juli;453;-23.0
427;1987 augustus;460;-14.0
428;1987 september;460;-9.0
429;1987 oktober;463;-1.0
430;1987 november;466;5.0
431;1987 december;482;12.0
432;1988 januari;491;18.0
433;1988 februari;493;24.0
434;1988 maart;468;12.0
435;1988 april;432;-6.0
436;1988 mei;428;1.0
437;1988 juni;437;8.0
438;1988 juli;447;-6.0
439;1988 augustus;450;-10.0
440;1988 september;439;-21.0
441;1988 oktober;444;-19.0
442;1988 november;443;-23.0
443;1988 december;443;-39.0
444;1988 december - 1989 februari;441;-50.0
445;1989 januari - 1989 maart;432;-61.0
446;1989 februari - 1989 april;421;-47.0
447;1989 maart - 1989 mei;405;-27.0
448;1989 april - 1989 juni;395;-33.0
449;1989 mei - 1989 juli;407;-30.0
450;1989 juni - 1989 augustus;418;-29.0
451;1989 juli - 1989 september;417;-33.0
452;1989 augustus - 1989 oktober;400;-39.0
453;1989 september - 1989 november;391;-53.0
454;1989 oktober - 1989 december;383;-60.0
455;1989 november - 1990 januari;382;-61.0
456;1989 december - 1990 februari;379;-62.0
457;1990 januari - 1990 maart;377;-55.0
458;1990 februari - 1990 april;366;-55.0
459;1990 maart - 1990 mei;351;-54.0
460;1990 april - 1990 juni;351;-44.0
461;1990 mei - 1990 juli;355;-52.0
462;1990 juni - 1990 augustus;359;-59.0
463;1990 juli - 1990 september;355;-62.0
464;1990 augustus - 1990 oktober;354;-46.0
465;1990 september - 1990 november;348;-43.0
466;1990 oktober - 1990 december;349;-34.0
467;1990 november - 1991 januari;353;-29.0
468;1990 december - 1991 februari;356;-23.0
469;1991 januari - 1991 maart;360;-17.0
470;1991 februari - 1991 april;343;-23.0
471;1991 maart - 1991 mei;332;-19.0
472;1991 april - 1991 juni;323;-28.0
473;1991 mei - 1991 juli;332;-23.0
474;1991 juni - 1991 augustus;333;-26.0
475;1991 juli - 1991 september;332;-23.0
476;1991 augustus - 1991 oktober;321;-33.0
477;1991 september - 1991 november;321;-27.0
478;1991 oktober - 1991 december;323;-26.0
479;1991 november - 1992 januari;322;-31.0
480;1991 december - 1992 februari;329;-27.0
481;1992 januari - 1992 maart;329;-31.0
482;1992 februari - 1992 april;338;-5.0
483;1992 maart - 1992 mei;328;-4.0
484;1992 april - 1992 juni;323;0.0
485;1992 mei - 1992 juli;323;-9.0
486;1992 juni - 1992 augustus;326;-7.0
487;1992 juli - 1992 september;341;9.0
488;1992 augustus - 1992 oktober;341;20.0
489;1992 september - 1992 november;352;31.0
490;1992 oktober - 1992 december;353;30.0
491;1992 november - 1993 januari;364;42.0
492;1992 december - 1993 februari;382;53.0
493;1993 januari - 1993 maart;391;62.0
494;1993 februari - 1993 april;400;62.0
495;1993 maart - 1993 mei;387;59.0
496;1993 april - 1993 juni;394;71.0
497;1993 mei - 1993 juli;394;71.0
498;1993 juni - 1993 augustus;416;90.0
499;1993 juli - 1993 september;421;80.0
500;1993 augustus - 1993 oktober;438;97.0
501;1993 september - 1993 november;448;96.0
502;1993 oktober - 1993 december;453;100.0
503;1993 november - 1994 januari;480;116.0
504;1993 december - 1994 februari;495;113.0
505;1994 januari - 1994 maart;520;129.0
506;1994 februari - 1994 april;500;100.0
507;1994 maart - 1994 mei;483;96.0
508;1994 april - 1994 juni;461;67.0
509;1994 mei - 1994 juli;465;71.0
510;1994 juni - 1994 augustus;470;54.0
511;1994 juli - 1994 september;484;63.0
512;1994 augustus - 1994 oktober;484;46.0
513;1994 september - 1994 november;490;42.0
514;1994 oktober - 1994 december;480;27.0
515;1994 november - 1995 januari;492;12.0
516;1994 december - 1995 februari;484;-11.0
517;1995 januari - 1995 maart;497;-23.0
518;1995 februari - 1995 april;477;-23.0
519;1995 maart - 1995 mei;465;-18.0
520;1995 april - 1995 juni;446;-15.0
521;1995 mei - 1995 juli;445;-20.0
522;1995 juni - 1995 augustus;453;-17.0
523;1995 juli - 1995 september;453;-31.0
524;1995 augustus - 1995 oktober;450;-34.0
525;1995 september - 1995 november;451;-39.0
526;1995 oktober - 1995 december;459;-21.0
527;1995 november - 1996 januari;463;-29.0
528;1995 december - 1996 februari;468;-16.0
529;1996 januari - 1996 maart;469;-28.0
530;1996 februari - 1996 april;465;-12.0
531;1996 maart - 1996 mei;441;-24.0
532;1996 april - 1996 juni;418;-28.0
533;1996 mei - 1996 juli;415;-30.0
534;1996 juni - 1996 augustus;433;-20.0
535;1996 juli - 1996 september;441;-12.0
536;1996 augustus - 1996 oktober;438;-12.0
537;1996 september - 1996 november;431;-20.0
538;1996 oktober - 1996 december;432;-27.0
539;1996 november - 1997 januari;437;-26.0
540;1996 december - 1997 februari;429;-39.0
541;1997 januari - 1997 maart;415;-54.0
542;1997 februari - 1997 april;399;-66.0
543;1997 maart - 1997 mei;381;-60.0
544;1997 april - 1997 juni;376;-42.0
545;1997 mei - 1997 juli;378;-37.0
546;1997 juni - 1997 augustus;379;-54.0
547;1997 juli - 1997 september;372;-69.0
548;1997 augustus - 1997 oktober;351;-87.0
549;1997 september - 1997 november;349;-82.0
550;1997 oktober - 1997 december;336;-96.0
551;1997 november - 1998 januari;340;-97.0
552;1997 december - 1998 februari;346;-83.0
553;1998 januari - 1998 maart;346;-69.0
554;1998 februari - 1998 april;318;-81.0
555;1998 maart - 1998 mei;289;-92.0
556;1998 april - 1998 juni;270;-106.0
557;1998 mei - 1998 juli;270;-108.0
558;1998 juni - 1998 augustus;273;-106.0
559;1998 juli - 1998 september;271;-101.0
560;1998 augustus - 1998 oktober;265;-86.0
561;1998 september - 1998 november;262;-87.0
562;1998 oktober - 1998 december;260;-76.0
563;1998 november - 1999 januari;265;-75.0
564;1998 december - 1999 februari;263;-83.0
565;1999 januari - 1999 maart;265;-81.0
566;1999 februari - 1999 april;246;-72.0
567;1999 maart - 1999 mei;227;-62.0
568;1999 april - 1999 juni;216;-54.0
569;1999 mei - 1999 juli;209;-61.0
570;1999 juni - 1999 augustus;213;-60.0
571;1999 juli - 1999 september;212;-59.0
572;1999 augustus - 1999 oktober;211;-54.0
573;1999 september - 1999 november;206;-56.0
574;1999 oktober - 1999 december;189;-71.0
575;1999 november - 2000 januari;201;-64.0
576;1999 december - 2000 februari;201;-62.0
577;2000 januari - 2000 maart;217;-48.0
578;2000 februari - 2000 april;201;-45.0
579;2000 maart - 2000 mei;195;-32.0
580;2000 april - 2000 juni;173;-43.0
581;2000 mei - 2000 juli;171;-38.0
582;2000 juni - 2000 augustus;169;-44.0
583;2000 juli - 2000 september;176;-36.0
584;2000 augustus - 2000 oktober;181;-30.0
585;2000 september - 2000 november;190;-16.0
586;2000 oktober - 2000 december;186;-3.0
587;2000 november - 2001 januari;187;-14.0
588;2001, 1e kwartaal;175;-42.0
589;2001, 2e kwartaal;130;-43.0
590;2001, 3e kwartaal;148;-28.0
591;2001, 4e kwartaal;148;-38.0
592;2002, 1e kwartaal;173;-2.0
593;2002, 2e kwartaal;168;38.0
594;2002, 3e kwartaal;181;33.0
595;2002, 4e kwartaal;196;48.0
596;2003, 1e kwartaal;253;80.0
597;2003, 2e kwartaal;258;90.0
598;2003, 3e kwartaal;275;94.0
599;2003, 4e kwartaal;299;103.0
600;2004, 1e kwartaal;345;92.0
601;2004, 2e kwartaal;329;71.0
602;2004, 3e kwartaal;331;56.0
603;2004, 4e kwartaal;326;27.0
604;2005, 1e kwartaal;356;11.0
605;2005, 2e kwartaal;335;6.0
606;2005, 3e kwartaal;322;-9.0
607;2005, 4e kwartaal;308;-18.0
608;2006, 1e kwartaal;316;-40.0
609;2006, 2e kwartaal;289;-46.0
610;2006, 3e kwartaal;250;-72.0
611;2006, 4e kwartaal;230;-78.0
612;2007, 1e kwartaal;229;-87.0
613;2007, 2e kwartaal;196;-93.0
614;2007, 3e kwartaal;174;-76.0
615;2007, 4e kwartaal;165;-65.0
616;2008, 1e kwartaal;171;-58.0
617;2008, 2e kwartaal;155;-41.0
618;2008, 3e kwartaal;141;-33.0
619;2008, 4e kwartaal;144;-21.0
620;2009, 1e kwartaal;176;5.0
621;2009, 2e kwartaal;197;42.0
622;2009, 3e kwartaal;205;64.0
623;2009, 4e kwartaal;226;82.0
624;2010, 1e kwartaal;259;83.0
625;2010, 2e kwartaal;245;48.0
626;2010, 3e kwartaal;213;8.0
627;2010, 4e kwartaal;205;-21.0
628;2011, 1e kwartaal;223;-36.0
629;2011, 2e kwartaal;205;-40.0
630;2011, 3e kwartaal;202;-11.0
631;2011, 4e kwartaal;221;16.0
632;2012, 1e kwartaal;250;27.0
633;2012, 2e kwartaal;247;42.0
634;2012, 3e kwartaal;250;48.0
635;2012, 4e kwartaal;259;38.0
636;2013, 1e kwartaal;315;65.0
637;2013, 2e kwartaal;327;80.0
638;2013, 3e kwartaal;327;77.0
639;2013, 4e kwartaal;369;110.0
640;2014, 1e kwartaal;391;76.0
641;2014, 2e kwartaal;392;65.0
642;2014, 3e kwartaal;372;45.0
