ID;Perioden;TotaalRundvee_1;TotaalMelkvee_2;MelkgevendeKoeien_3;DroogstaandeDrachtigeKoeien_4;TotaalFokvee_5;GedektJongvee_6;TotaalAnderJongveeVoorDeFokkerij_7;JongerDan1Jaar_8;k_1JaarEnOuder_9;TotaalVleesvee_10;Vleeskalveren_11;VleesstierenVan1Tot2Jaar_12;OverigVleesvee_13
0;1981 januari;5186;2362;2044.0;318.0;1753;508.0;1245.0;781.0;464.0;891;545;243;104
1;1982 januari;5046;2375;1685.0;510.0;1886;615.0;1271.0;754.0;517.0;785;479;216;91
2;1983 januari;5192;2428;1931.0;497.0;1920;615.0;1305.0;799.0;506.0;844;536;197;110
3;1984 januari;5359;2488;2015.0;473.0;1955;624.0;1331.0;824.0;507.0;917;585;248;83
4;1985 januari;5280;2372;1881.0;491.0;1894;615.0;1279.0;741.0;538.0;1014;621;268;125
5;1986 januari;5076;2259;1775.0;484.0;1751;583.0;1168.0;709.0;459.0;1066;652;273;141
6;1987 januari;4922;2184;1779.0;405.0;1629;549.0;1080.0;678.0;402.0;1109;636;336;137
7;1988 januari;4546;1952;1555.0;397.0;1542;489.0;1053.0;654.0;399.0;1052;525;378;149
8;1989 januari;4606;1911;1533.0;378.0;1588;467.0;1121.0;721.0;400.0;1107;540;475;92
9;1990 januari;4731;1893;1528.0;365.0;1674;511.0;1163.0;758.0;405.0;1164;570;423;171
10;1991 januari;4830;1863;1514.0;349.0;1737;527.0;1210.0;775.0;435.0;1230;590;437;203
11;1992 januari;4876;1821;1506.0;315.0;1712;546.0;1166.0;702.0;464.0;1343;609;476;258
12;1993 januari;4794;1769;1491.0;278.0;1653;547.0;1106.0;684.0;422.0;1372;615;516;241
13;1994 januari;4629;1716;1446.0;270.0;1602;509.0;1093.0;662.0;431.0;1311;616;408;287
14;1995 januari;4588;1709;1449.0;260.0;1625;517.0;1108.0;672.0;436.0;1254;618;418;218
15;1996 januari;4557;1713;1444.0;269.0;1602;485.0;1117.0;672.0;445.0;1241;669;332;229
16;1997 januari;4366;1606;1387.0;219.0;1584;508.0;1076.0;632.0;444.0;1177;674;299;204
17;1998 januari;4292;1634;1416.0;218.0;1468;494.0;974.0;598.0;376.0;1190;720;270;199
18;1998 november;4184;1558;1350.0;208.0;1457;478.0;979.0;594.0;385.0;1168;684;278;206
19;1999 november;4100;1520;1307.0;212.0;1395;460.0;935.0;570.0;365.0;1185;800;180;205
20;2000 november;3900;1475;1285.0;190.0;1280;430.0;850.0;520.0;330.0;1145;758;159;228
21;2001 november;3842;1496;1345.0;151.0;1304;397.0;907.0;569.0;338.0;1042;676;171;195
22;2002 november;3781;1498;1338.0;160.0;1275;394.0;881.0;557.0;324.0;1008;692;136;180
23;2003 november;3735;1492;1324.0;169.0;1170;381.0;789.0;499.0;290.0;1074;748;116;210
24;2004 november;3759;1457;1295.0;161.0;1209;378.0;831.0;532.0;299.0;1094;775;116;203
25;2005 november;3746;1421;1263.0;158.0;1181;371.0;810.0;509.0;301.0;1143;813;126;204
26;2006 november;3673;1397;1262.0;135.0;1153;368.0;785.0;509.0;276.0;1124;824;130;170
27;2007 november;3818;1448;1301.0;147.0;1202;375.0;827.0;538.0;289.0;1168;889;107;172
28;2008 december;3996;1542;;;1228;;;;;1227;913;109;205
