ID;ExportingSectorSIC2008;SupplyingSectorSIC2008;Periods;LabourVolumeTotal_1;ValueAdded_2;Imports_3
0;A-U All economic activities;A-U All economic activities;2015;2184.0;234582.4;156769.6
1;A-U All economic activities;A-U All economic activities;2016;2201.2;231697.4;150792.6
2;A-U All economic activities;A-U All economic activities;2017;2301.6;247427.2;168790.8
3;A-U All economic activities;A-U All economic activities;2018;2394.3;258103.0;187260.0
4;A-U All economic activities;A-U All economic activities;2019;2436.4;266886.4;181148.6
5;A-U All economic activities;A-U All economic activities;2020;2358.9;249794.9;164324.1
6;A-U All economic activities;A-U All economic activities;2021;2396.1;286269.0;186209.0
7;A-U All economic activities;A-U All economic activities;2022;2551.8;332810.5;238201.5
8;A-U All economic activities;A Agriculture, forestry and fishing;2015;127.3;9708.9;1936.7
9;A-U All economic activities;A Agriculture, forestry and fishing;2016;132.2;10377.8;2009.9
10;A-U All economic activities;A Agriculture, forestry and fishing;2017;134.5;11354.9;2139.1
11;A-U All economic activities;A Agriculture, forestry and fishing;2018;136.2;10375.9;2231.5
12;A-U All economic activities;A Agriculture, forestry and fishing;2019;138.8;10877.3;2301.5
13;A-U All economic activities;A Agriculture, forestry and fishing;2020;139.5;10326.7;2142.7
14;A-U All economic activities;A Agriculture, forestry and fishing;2021;143.3;10854.7;2552.2
15;A-U All economic activities;A Agriculture, forestry and fishing;2022;138.8;11540.9;3691.6
16;A-U All economic activities;01 Agriculture;2015;124.7;9374.6;1855.1
17;A-U All economic activities;01 Agriculture;2016;129.4;9952.1;1911.0
18;A-U All economic activities;01 Agriculture;2017;131.4;10926.7;2041.7
19;A-U All economic activities;01 Agriculture;2018;133.1;9952.0;2120.6
20;A-U All economic activities;01 Agriculture;2019;135.1;10480.4;2202.4
21;A-U All economic activities;01 Agriculture;2020;135.7;9944.0;2041.5
22;A-U All economic activities;01 Agriculture;2021;139.5;10453.6;2437.1
23;A-U All economic activities;01 Agriculture;2022;134.8;11139.2;3566.7
24;A-U All economic activities;02 Forestry and logging;2015;0.8;68.2;17.0
25;A-U All economic activities;02 Forestry and logging;2016;0.9;77.4;21.2
26;A-U All economic activities;02 Forestry and logging;2017;1.0;80.2;21.9
27;A-U All economic activities;02 Forestry and logging;2018;1.1;87.2;25.4
28;A-U All economic activities;02 Forestry and logging;2019;1.2;94.3;26.9
29;A-U All economic activities;02 Forestry and logging;2020;1.4;108.7;33.9
30;A-U All economic activities;02 Forestry and logging;2021;1.4;112.9;41.1
31;A-U All economic activities;02 Forestry and logging;2022;1.6;137.6;50.9
32;A-U All economic activities;03 Fishing and aquaculture;2015;1.9;266.1;64.5
33;A-U All economic activities;03 Fishing and aquaculture;2016;2.0;348.3;77.6
34;A-U All economic activities;03 Fishing and aquaculture;2017;2.1;348.1;75.5
35;A-U All economic activities;03 Fishing and aquaculture;2018;1.9;336.7;85.4
36;A-U All economic activities;03 Fishing and aquaculture;2019;2.4;302.7;72.2
37;A-U All economic activities;03 Fishing and aquaculture;2020;2.4;274.0;67.3
38;A-U All economic activities;03 Fishing and aquaculture;2021;2.5;288.2;74.0
39;A-U All economic activities;03 Fishing and aquaculture;2022;2.3;264.1;74.0
40;A-U All economic activities;B Mining and quarrying;2015;8.7;10300.4;1464.4
41;A-U All economic activities;B Mining and quarrying;2016;8.1;6732.0;1273.7
42;A-U All economic activities;B Mining and quarrying;2017;7.1;6351.2;826.7
43;A-U All economic activities;B Mining and quarrying;2018;6.7;6204.9;851.8
44;A-U All economic activities;B Mining and quarrying;2019;6.2;4705.7;585.1
45;A-U All economic activities;B Mining and quarrying;2020;6.1;2324.8;625.6
46;A-U All economic activities;B Mining and quarrying;2021;5.9;5415.8;689.0
47;A-U All economic activities;B Mining and quarrying;2022;6.0;13536.0;745.0
48;A-U All economic activities;B-E Industry (no construction), energy;2015;457.4;69384.1;102061.1
49;A-U All economic activities;B-E Industry (no construction), energy;2016;462.5;67012.7;97909.8
50;A-U All economic activities;B-E Industry (no construction), energy;2017;472.6;71082.4;107977.9
51;A-U All economic activities;B-E Industry (no construction), energy;2018;489.4;74644.5;115053.0
52;A-U All economic activities;B-E Industry (no construction), energy;2019;501.6;74520.9;104751.2
53;A-U All economic activities;B-E Industry (no construction), energy;2020;499.2;71033.5;91784.2
54;A-U All economic activities;B-E Industry (no construction), energy;2021;511.7;84652.6;109705.0
55;A-U All economic activities;B-E Industry (no construction), energy;2022;525.8;106643.3;147028.9
56;A-U All economic activities;B-F Manufacturing and energy;2015;506.1;72518.3;103507.7
57;A-U All economic activities;B-F Manufacturing and energy;2016;505.1;69908.6;99208.6
58;A-U All economic activities;B-F Manufacturing and energy;2017;519.2;74428.2;109483.5
59;A-U All economic activities;B-F Manufacturing and energy;2018;534.7;77963.1;116595.5
60;A-U All economic activities;B-F Manufacturing and energy;2019;544.8;77855.8;106217.5
61;A-U All economic activities;B-F Manufacturing and energy;2020;541.6;74378.2;93253.6
62;A-U All economic activities;B-F Manufacturing and energy;2021;555.7;88307.1;111380.1
63;A-U All economic activities;B-F Manufacturing and energy;2022;575.5;110537.1;149104.0
