ID;Perioden;Waarde_1;Waardeontwikkeling_2;Volumeontwikkeling_3;Prijsontwikkeling_4;Waarde_5;Waardeontwikkeling_6;Volumeontwikkeling_7;Prijsontwikkeling_8;Waarde_9;Waardeontwikkeling_10;Volumeontwikkeling_11;Prijsontwikkeling_12;Waarde_13;Waardeontwikkeling_14;Volumeontwikkeling_15;Prijsontwikkeling_16;Waarde_17;Waardeontwikkeling_18;Volumeontwikkeling_19;Prijsontwikkeling_20;Waarde_21;Waardeontwikkeling_22;Volumeontwikkeling_23;Prijsontwikkeling_24;Waarde_25;Waardeontwikkeling_26;Volumeontwikkeling_27;Prijsontwikkeling_28;Waarde_29;Waardeontwikkeling_30;Volumeontwikkeling_31;Prijsontwikkeling_32;Waarde_33;Waardeontwikkeling_34;Volumeontwikkeling_35;Prijsontwikkeling_36;Waarde_37;Waardeontwikkeling_38;Volumeontwikkeling_39;Prijsontwikkeling_40;Waarde_41;Waardeontwikkeling_42;Volumeontwikkeling_43;Prijsontwikkeling_44;Waarde_45;Waardeontwikkeling_46;Volumeontwikkeling_47;Prijsontwikkeling_48;Waarde_49;Waardeontwikkeling_50;Volumeontwikkeling_51;Prijsontwikkeling_52;Waarde_53;Waardeontwikkeling_54;Volumeontwikkeling_55;Prijsontwikkeling_56;Waarde_57;Waardeontwikkeling_58;Volumeontwikkeling_59;Prijsontwikkeling_60;Waarde_61;Waardeontwikkeling_62;Volumeontwikkeling_63;Prijsontwikkeling_64;Waarde_65;Waardeontwikkeling_66;Volumeontwikkeling_67;Prijsontwikkeling_68;Waarde_69;Waardeontwikkeling_70;Volumeontwikkeling_71;Prijsontwikkeling_72;Waarde_73;Waardeontwikkeling_74;Volumeontwikkeling_75;Prijsontwikkeling_76;Waarde_77;Waardeontwikkeling_78;Volumeontwikkeling_79;Prijsontwikkeling_80;Waarde_81;Waardeontwikkeling_82;Waarde_83;Waardeontwikkeling_84;Waarde_85;Waardeontwikkeling_86;Waarde_87;Waardeontwikkeling_88;TotaalPrijsontwikkeling_89;OverheidPrijsontwikkeling_90;GesubsOnderwijsPrijsontwikkeling_91;OverigPrijsontwikkeling_92;OverheidsconsumptieAlsPercentageBBP_93
0;1988;44966;;;;13502;;;;31464;;;;234;;;;;;;;25478;;;;5752;;;;44966;;;;6620;;;;422;;;;37924;1.6;1.3;0.4;52238;1.7;1.2;0.5;37924;1.6;1.3;0.4;25701;2.2;2.8;-0.6;12223;0.4;-2.0;2.4;14314;1.8;1.1;0.7;52238;1.7;1.2;0.5;;;;;;;;;;;;;52238;;16448;;22860;;12930;;;;;;24.0
1;1989;45993;2.3;;;14185;5.1;;;31808;1.1;;;244;4.3;;;;;;;25523;0.2;;;6041;5.0;;;45993;2.3;;;6973;5.3;;;490;16.1;;;38530;1.6;1.0;0.6;53452;2.3;1.5;0.8;38530;1.6;1.0;0.6;26230;2.1;2.1;0.0;12300;0.6;-1.3;2.0;14922;4.2;2.8;1.4;53452;2.3;1.5;0.8;;;;;;;;;;;;;53452;2.3;16397;-0.3;23068;0.9;13987;8.2;;;;;23.2
2;1990;48081;4.5;;;15080;6.3;;;33001;3.8;;;258;5.7;;;;;;;26401;3.4;;;6342;5.0;;;48081;4.5;;;7329;5.1;;;444;-9.4;;;40308;4.6;2.1;2.5;56121;5.0;2.2;2.7;40308;4.6;2.1;2.5;27618;5.3;3.7;1.5;12690;3.2;-1.5;4.7;15813;6.0;2.7;3.2;56121;5.0;2.2;2.7;;;;;;;;;;;;;56121;5.0;17030;3.9;24035;4.2;15056;7.6;;;;;23.0
3;1991;50818;5.7;;;16246;7.7;;;34572;4.8;;;279;8.1;;;;;;;27623;4.6;;;6670;5.2;;;50818;5.7;;;8161;11.4;;;501;12.8;;;42156;4.6;0.9;3.7;59820;6.6;2.6;3.9;42156;4.6;0.9;3.7;29088;5.3;1.6;3.7;13068;3.0;-0.6;3.6;17664;11.7;6.9;4.5;59820;6.6;2.6;3.9;;;;;;;;;;;;;59820;6.6;17518;2.9;25751;7.1;16551;9.9;;;;;23.2
4;1992;53502;5.3;;;16997;4.6;;;36505;5.6;;;288;3.2;;;;;;;29286;6.0;;;6931;3.9;;;53502;5.3;;;8837;8.3;;;594;18.6;;;44071;4.5;0.1;4.4;63816;6.7;2.5;4.0;44071;4.5;0.1;4.4;30130;3.6;0.1;3.5;13941;6.7;0.2;6.5;19745;11.8;8.3;3.2;63816;6.7;2.5;4.0;;;;;;;;;;;;;63816;6.7;18468;5.4;26710;3.7;18638;12.6;;;;;23.8
5;1993;56017;4.7;;;18096;6.5;;;37921;3.9;;;313;8.7;;;;;;;30414;3.9;;;7194;3.8;;;56017;4.7;;;9791;10.8;;;592;-0.3;;;45634;3.5;1.8;1.7;66426;4.1;2.2;1.9;45634;3.5;1.8;1.7;31265;3.8;2.2;1.5;14369;3.1;1.0;2.1;20792;5.3;3.0;2.2;66426;4.1;2.2;1.9;;;;;;;;;;;;;66426;4.1;18558;0.5;28108;5.2;19760;6.0;;;;;24.1
6;1994;58105;3.7;;;19145;5.8;;;38960;2.7;;;333;6.4;;;;;;;31215;2.6;;;7412;3.0;;;58105;3.7;;;9977;1.9;;;612;3.4;;;47516;4.1;1.5;2.6;69254;4.3;2.0;2.2;47516;4.1;1.5;2.6;32700;4.6;2.3;2.3;14816;3.1;-0.2;3.3;21738;4.5;3.3;1.2;69254;4.3;2.0;2.2;;;;;;;;;;;;;69254;4.3;18080;-2.6;31020;10.4;20154;2.0;;;;;23.9
7;1995;60646;4.4;;;20201;5.5;;;40445;3.8;;;368;10.5;;;247.0;;;;32345;3.6;;;7979;7.6;;;60646;4.4;;;10101;1.2;;;519;-15.2;;;50026;5.3;2.5;2.7;72687;5.0;2.5;2.4;50026;5.3;2.5;2.7;34588;5.8;3.0;2.7;15438;4.2;1.5;2.6;22661;4.2;2.5;1.7;72687;5.0;2.5;2.4;;;;;;;;;;;;;72687;5.0;19468;7.7;32651;5.3;20568;2.1;;;;;23.8
8;1996;61905;2.1;;;21313;5.5;;;40592;0.4;;;383;4.1;;;448.0;81.4;;;32391;0.1;;;8266;3.6;;;61905;2.1;;;10671;5.6;;;545;5.0;;;50689;1.3;0.1;1.2;72830;0.2;-0.7;0.9;50689;1.3;0.1;1.2;34952;1.1;-0.2;1.3;15737;1.9;0.9;1.1;22141;-2.3;-2.5;0.2;72830;0.2;-0.7;0.9;;;;;;;;;;;;;72830;0.2;19660;1.0;33049;1.2;20121;-2.2;1.7;1.3;1.2;4.6;22.8
9;1997;64173;3.7;;;22076;3.6;;;42097;3.7;;;392;2.3;;;469.0;4.7;;;33602;3.7;;;8572;3.7;;;64173;3.7;;;11172;4.7;;;525;-3.7;;;52476;3.5;1.3;2.2;76472;5.0;2.5;2.5;52476;3.5;1.3;2.2;35862;2.6;1.0;1.6;16614;5.6;1.9;3.6;23996;8.4;5.1;3.1;76472;5.0;2.5;2.5;;;;;;;;;;;;;76472;5.0;20566;4.6;32979;-0.2;22927;13.9;0.9;0.4;0.0;6.2;22.3
