ID;SBI;NettoOmzetExclBTW_1;Brutowinst_2;OverigeBedrijfsopbrengsten_3;TotaleBedrijfsopbrengsten_4;TotaalBedrijfslasten_5;Personeelskosten_6;Afschrijvingen_7;Huisvestingskosten_8;InventarisEnMachinekosten_9;Autokosten_10;Verkoopkosten_11;AlgemeneKosten_12;Bedrijfsresultaat_13;FinancieelResultaat_14;BuitengewoonResultaat_15;ResultaatVoorBelasting_16;WerkzamePersonen_17;OmzetPerFullTimeWerkzamePersoon_18;LoonkostenPerFullTimeWerknemer_19
0;51211 + 51212 Granen, zaai- en pootgoed;6279;14.3;8.0;22.3;18.7;8.3;1.2;1.2;0.7;0.4;2.6;4.3;3.6;-0.7;0.4;3.4;13;559;45
1;51213 t/m 51215 Veevoeders;5208;7.1;0.4;7.5;5.4;2.2;0.5;0.3;0.0;0.7;0.7;0.9;2.2;0.0;0.0;2.2;4;1645;44
2;51216 + 51218 Overige akkerbouwproducten;33878;3.0;0.1;3.1;1.8;0.9;0.1;0.1;0.0;0.1;0.3;0.3;1.3;-0.3;0.0;1.0;7;5544;51
3;51217 Akkerbouwproducten alg.assortiment;3226;11.5;0.5;12.0;10.2;4.8;1.0;0.5;0.2;0.5;1.0;2.2;1.8;-0.3;-0.1;1.5;5;738;39
4;5122 Bloemen en planten;2630;23.0;0.3;23.3;19.9;8.4;1.2;1.3;0.3;1.1;5.2;2.3;3.5;-0.4;0.1;3.2;9;363;33
5;5123 Levende dieren;2010;6.3;0.5;6.7;6.0;2.3;0.5;0.4;0.0;0.9;1.0;0.9;0.7;-0.2;0.1;0.6;3;1224;37
6;5124 +5125 Huiden, vellen, leder, tabak;3668;14.0;0.6;14.6;11.4;5.6;0.9;0.8;0.1;0.5;1.7;1.7;3.2;-0.9;-0.1;2.1;4;1045;60
7;5151 Brandstoffen e.d.;17263;8.7;0.4;9.1;6.9;2.6;0.9;0.6;0.3;0.4;1.2;1.0;2.2;0.8;-0.7;2.4;12;1677;41
8;5152 Metalen en metaalertsen;9822;12.1;0.4;12.5;10.0;5.4;0.7;0.7;0.3;0.3;1.3;1.3;2.5;-0.2;0.0;2.3;14;777;41
9;51531 Hout en plaatmateriaal;3429;21.6;0.6;22.3;17.6;9.6;1.3;1.5;0.7;0.9;1.8;1.9;4.6;-0.8;0.3;4.1;11;359;34
10;51532 Verf en verfwaren;2270;31.5;0.7;32.3;27.1;14.6;1.6;2.1;0.3;1.4;3.5;3.5;5.2;-0.4;0.8;5.7;11;240;35
11;51534 Zand en grind;3107;22.5;3.2;25.7;20.1;7.7;2.8;0.9;2.2;2.1;0.9;3.5;5.5;1.3;0.4;7.2;7;496;38
12;51536 Sanitaire artikelen;3082;23.1;0.1;23.2;19.6;10.1;1.2;1.5;0.3;0.9;3.2;2.4;3.6;-0.7;0.0;2.9;11;308;31
13;51533+51535+51537 Overige bouwmaterialen;2141;24.4;0.6;25.0;19.6;10.3;1.2;1.4;0.2;1.2;2.6;2.8;5.3;-0.4;0.0;4.9;8;347;38
14;51538 Bouwmaterialen algemeen assortimen;3877;18.8;0.3;19.1;15.8;8.9;1.2;1.2;0.2;0.8;1.7;1.9;3.3;-0.4;0.2;3.1;11;408;35
15;51541 IJzer- en metaalwaren;2781;28.8;0.6;29.4;23.6;12.7;1.5;1.7;0.2;1.1;2.9;3.5;5.7;-0.7;0.0;4.9;12;259;33
16;51542 Verwarmingsapparatuur;5191;22.8;0.5;23.3;18.3;9.4;1.4;1.3;0.1;0.7;3.0;2.4;5.0;-0.6;0.0;4.4;14;425;39
17;5155 Chemische producten;5913;18.1;0.9;19.0;14.1;6.1;1.2;0.7;0.4;0.7;2.9;2.1;4.9;-0.1;-0.3;4.6;9;801;47
18;5156 Overige intermediaire goederen;4536;21.1;0.5;21.6;17.0;8.6;1.0;1.5;0.2;0.6;3.2;1.8;4.6;-0.4;-0.1;4.1;10;528;45
19;5157 Afval en schroot;1810;23.7;0.5;24.2;19.4;6.8;2.5;1.7;1.0;1.5;3.3;2.7;4.8;-0.6;-0.5;3.8;4;527;39
20;5131 Aardappelen, groenten, fruit;6283;16.2;0.4;16.6;14.4;5.1;1.0;1.0;0.3;0.7;4.2;2.0;2.3;-0.3;-0.1;1.8;12;667;34
21;5132 Vlees(waren), pluimvee, wild e .d.;4611;14.9;0.6;15.5;13.0;6.7;1.0;1.0;0.2;0.8;1.4;1.9;2.5;-0.4;-0.2;2.0;13;435;29
22;5133 Zuivel, eieren, spijsoliÙn e.d.;8986;7.1;1.8;8.9;7.3;2.9;0.6;0.4;0.1;0.3;1.9;0.9;1.6;-0.4;0.0;1.2;11;978;30
23;5134 Dranken;3867;15.4;0.4;15.7;12.6;4.2;2.2;0.6;0.1;0.5;3.9;1.2;3.1;-0.8;0.8;3.1;6;746;32
24;5135 Tabaksproducten;30689;5.8;0.2;6.0;4.7;2.3;0.3;0.2;0.0;0.3;0.8;0.7;1.3;0.2;0.0;1.5;22;1577;33
25;5136 Suiker, chocolade en suikerwerk;2680;22.5;1.1;23.6;18.0;6.8;0.9;0.7;0.0;0.7;6.8;2.2;5.7;-0.2;-1.0;4.5;7;580;43
26;5137 Koffie, thee, cacao, specerijen;2466;36.1;0.6;36.8;28.1;15.9;1.5;1.5;0.2;1.5;3.5;4.0;8.7;-0.5;-0.3;8.0;11;258;40
27;5138 Overige voedings- en genotmiddelen;3237;18.2;0.6;18.8;15.1;7.0;1.1;1.1;0.3;1.0;2.4;2.1;3.7;-0.5;0.1;3.3;8;468;33
28;5139 Voedingsmiddelen alg. assortiment;8467;11.9;1.2;13.1;10.6;5.3;0.8;0.8;0.2;0.6;1.4;1.4;2.5;0.0;0.1;2.6;15;660;33
29;5141 Stoffen,fournituren,huishoudtextiel;1341;22.2;0.4;22.6;18.0;8.0;1.2;1.2;0.1;0.8;3.2;3.6;4.7;-0.8;-0.3;3.5;4;480;40
30;51421 Bovenkleding;2091;23.3;0.8;24.1;18.0;6.5;0.9;1.2;0.1;0.6;4.7;4.0;5.8;-0.2;0.0;5.7;5;520;34
