ID;Perioden;TotaalLevendgeborenen_1;AutochtoneMoedersIncl2eGeneratie_2;Totaal1eGeneratieMoeders_3;TotaalNietWesters_4;Afrika_5;Azie_6;LatijnsAmerika_7;Marokko_8;NederlandseAntilllenEnAruba_9;Suriname_10;Turkije_11;TotaalWesters_12;EuropeseEconomischeRuimteEER_13;OverigEuropa_14;Indonesie_15;OverigBuitenEuropa_16
0;2002;202249;166606;35643;27727;4120;4921;1039;6804;1713;3589;5540;7916;3765;2859;607;684
1;2003;200890;164781;36109;28037;4303;5203;1085;6881;1714;3446;5405;8072;3713;3061;610;688
2;2004;197454;161232;36222;28090;4416;5442;1121;6893;1701;3279;5239;8132;3645;3201;611;675
3;2005;193941;157747;36195;28006;4470;5648;1155;6865;1686;3103;5079;8188;3586;3327;618;658
4;2006;190582;154492;36090;27815;4487;5832;1187;6803;1670;2926;4910;8275;3548;3453;626;648
5;2007;187523;151537;35986;27560;4481;6006;1218;6706;1654;2754;4742;8426;3542;3595;637;652
6;2008;185092;149169;35923;27267;4465;6173;1249;6578;1639;2594;4569;8656;3571;3764;648;673
7;2009;183131;147213;35918;26961;4448;6337;1281;6419;1629;2448;4399;8958;3634;3954;659;711
8;2010;181882;145901;35981;26653;4425;6497;1314;6240;1624;2321;4231;9328;3721;4171;671;765
9;2011;181222;145122;36100;26363;4404;6649;1350;6044;1627;2215;4074;9737;3818;4404;683;832
10;2012;181077;144829;36248;26093;4380;6794;1387;5836;1636;2129;3930;10155;3915;4640;694;905
11;2013;181434;145052;36382;25826;4356;6932;1426;5621;1642;2049;3800;10556;4006;4866;706;979
12;2014;182058;145556;36502;25569;4331;7059;1467;5402;1646;1980;3683;10933;4092;5078;718;1046
13;2015;182966;146362;36604;25327;4302;7178;1509;5188;1649;1920;3581;11277;4167;5276;729;1105
14;2016;184065;147370;36695;25099;4268;7290;1552;4978;1651;1868;3491;11596;4238;5464;739;1156
15;2017;185323;148552;36771;24879;4228;7390;1596;4777;1652;1824;3412;11892;4302;5640;749;1200
16;2018;186706;149879;36827;24669;4185;7482;1639;4584;1652;1784;3343;12158;4359;5802;759;1238
17;2019;188151;151279;36872;24472;4140;7565;1681;4402;1653;1748;3281;12400;4409;5953;769;1270
18;2020;189422;152516;36906;24287;4094;7641;1722;4234;1655;1715;3226;12620;4453;6092;778;1297
19;2021;190668;153741;36927;24112;4046;7704;1761;4080;1658;1686;3177;12815;4491;6218;787;1319
20;2022;191776;154840;36936;23945;3997;7757;1798;3938;1662;1659;3134;12991;4526;6332;795;1338
21;2023;192738;155796;36942;23792;3950;7801;1833;3810;1668;1636;3095;13149;4555;6437;804;1353
22;2024;193611;156670;36941;23649;3902;7838;1866;3694;1674;1616;3061;13291;4582;6532;811;1366
23;2025;194334;157394;36940;23520;3856;7866;1898;3590;1681;1597;3031;13420;4607;6617;819;1377
24;2026;194919;157988;36931;23398;3810;7887;1927;3497;1689;1583;3005;13533;4628;6693;826;1386
25;2027;195401;158478;36923;23287;3766;7901;1956;3414;1696;1571;2983;13636;4648;6762;833;1394
26;2028;195712;158796;36916;23183;3723;7911;1983;3338;1703;1561;2964;13733;4668;6825;839;1401
27;2029;195962;159052;36910;23089;3682;7917;2009;3270;1710;1555;2947;13821;4685;6884;845;1407
28;2030;195985;159085;36900;22999;3643;7917;2032;3208;1716;1550;2932;13902;4702;6937;851;1412
29;2031;195888;158997;36891;22913;3606;7915;2054;3151;1721;1547;2919;13979;4718;6988;856;1416
30;2032;195591;158713;36878;22830;3569;7909;2074;3098;1727;1545;2907;14048;4734;7033;861;1421
31;2033;195075;158210;36865;22751;3535;7901;2093;3050;1731;1545;2897;14114;4747;7077;866;1424
32;2034;194405;157552;36853;22675;3502;7890;2111;3004;1736;1546;2887;14178;4761;7118;870;1428
33;2035;193611;156768;36843;22604;3472;7879;2126;2960;1741;1547;2879;14239;4775;7159;875;1431
34;2036;192669;155842;36827;22533;3442;7867;2140;2918;1745;1548;2871;14294;4788;7194;879;1434
35;2037;191733;154920;36813;22468;3416;7856;2153;2879;1750;1550;2864;14345;4800;7226;882;1436
36;2038;190765;153963;36802;22409;3392;7845;2165;2843;1755;1552;2857;14394;4812;7257;886;1439
37;2039;189884;153093;36791;22356;3369;7837;2176;2809;1760;1553;2852;14435;4821;7283;889;1441
38;2040;189094;152313;36781;22307;3349;7828;2187;2777;1764;1556;2846;14473;4830;7308;892;1443
39;2041;188426;151653;36773;22263;3331;7820;2195;2748;1769;1558;2843;14509;4839;7330;895;1445
40;2042;187966;151205;36761;22223;3315;7814;2203;2722;1772;1560;2838;14538;4846;7348;898;1446
41;2043;187684;150928;36756;22188;3301;7806;2210;2698;1777;1561;2835;14567;4855;7364;901;1447
42;2044;187568;150818;36750;22161;3290;7803;2216;2677;1780;1563;2833;14589;4860;7377;903;1449
43;2045;187678;150931;36747;22138;3282;7798;2221;2660;1783;1564;2831;14609;4867;7388;905;1450
44;2046;187884;151134;36750;22123;3276;7797;2225;2645;1786;1565;2830;14626;4872;7396;907;1451
45;2047;188273;151523;36750;22110;3272;7793;2228;2633;1788;1566;2829;14640;4877;7402;909;1452
46;2048;188751;151995;36756;22106;3272;7792;2231;2625;1790;1566;2830;14651;4882;7406;910;1452
47;2049;189330;152561;36769;22110;3276;7791;2233;2620;1792;1567;2830;14659;4884;7410;912;1453
