ID;RegioS;SBI74;Perioden;Productie_1;Verbruik_2;ToegevoegdeWaarde_3;Lonen_4;SocialeLasten_5;IndirecteBelastingen_6;OverigInkomen_7;Arbeidsvolume_8
0;Totaal Nederland;Totaal bedrijfsindeling;1970;104557;53501;55745;24679;6115;5070;19880;4069.0
1;Totaal Nederland;Totaal bedrijfsindeling;1973;146212;71843;81283;35722;10294;7609;27657;4086.0
2;Totaal Nederland;Totaal bedrijfsindeling;1974;173031;88340;92216;41351;12183;8240;30441;4102.0
3;Totaal Nederland;Totaal bedrijfsindeling;1975;186162;92782;101779;46771;13803;9336;31867;4083.0
4;Totaal Nederland;Totaal bedrijfsindeling;1976;212265;106254;116050;51918;15527;10500;38103;4101.0
5;Totaal Nederland;Totaal bedrijfsindeling;1977;228697;113791;126547;56992;16762;12234;40557;4132.0
6;Totaal Nederland;Totaal bedrijfsindeling;1978;244268;120332;136397;61674;18150;12908;43663;4178.0
7;Totaal Nederland;Totaal bedrijfsindeling;1979;267553;135312;145184;65929;19900;13585;45768;4255.0
8;Totaal Nederland;Totaal bedrijfsindeling;1980;292844;151287;155052;69875;21363;13992;49820;4291.0
9;Totaal Nederland;Totaal bedrijfsindeling;1981;312617;163744;162543;71333;21727;14274;55208;4231.0
10;Totaal Nederland;Totaal bedrijfsindeling;1982;323482;168617;169287;73777;22055;14659;58795;4113.0
11;Totaal Nederland;Totaal bedrijfsindeling;1983;334970;174054;175769;73580;23245;14942;64001;4032.0
12;Totaal Nederland;Totaal bedrijfsindeling;1984;357283;189598;184094;74170;23072;15887;70964;4037.0
13;Totaal Nederland;Totaal bedrijfsindeling;1985;372322;196885;193102;77075;23532;16529;75965;4123.0
14;Totaal Nederland;Totaal bedrijfsindeling;1986;364371;183918;198691;80624;24459;17933;75673;4219.0
15;Totaal Nederland;Totaal bedrijfsindeling;1987;364132;183479;200043;83820;24797;17892;73533;4299.0
16;Totaal Nederland;Totaal bedrijfsindeling;1988;380882;192916;207687;86417;25093;18928;77248;4376.0
17;Totaal Nederland;Totaal bedrijfsindeling;1989;409268;208823;220071;90195;24545;19798;85532;4470.0
18;Totaal Nederland;Totaal bedrijfsindeling;1990;430560;217373;234400;104172;17323;21778;91125;4585.0
19;Totaal Nederland;Totaal bedrijfsindeling;1991;452286;228422;246204;110191;18622;22532;94857;4651.0
20;Totaal Nederland;Totaal bedrijfsindeling;1992;466100;232678;256882;116579;19665;24498;96140;4703.0
21;Totaal Nederland;Totaal bedrijfsindeling;1993;472176;231224;263855;119617;20495;26124;97618;4680.0
22;Totaal Nederland;Land-, tuin-, bosbouw en visserij;1970;6765;3745;3020;337;61;4;2616;72.0
23;Totaal Nederland;Land-, tuin-, bosbouw en visserij;1973;9250;5156;4094;433;92;7;3560;67.0
24;Totaal Nederland;Land-, tuin-, bosbouw en visserij;1974;9332;5472;3860;471;104;75;3208;66.0
25;Totaal Nederland;Land-, tuin-, bosbouw en visserij;1975;10375;5884;4491;528;118;102;3742;65.0
26;Totaal Nederland;Land-, tuin-, bosbouw en visserij;1976;11909;6714;5194;569;133;98;4392;65.0
27;Totaal Nederland;Land-, tuin-, bosbouw en visserij;1977;12327;7049;5278;619;152;116;4390;65.0
28;Totaal Nederland;Land-, tuin-, bosbouw en visserij;1978;12679;7291;5388;682;162;140;4403;66.0
29;Totaal Nederland;Land-, tuin-, bosbouw en visserij;1979;13300;8194;5106;711;185;98;4110;66.0
30;Totaal Nederland;Land-, tuin-, bosbouw en visserij;1980;14168;8794;5374;741;198;161;4272;66.0
31;Totaal Nederland;Land-, tuin-, bosbouw en visserij;1981;16165;9649;6515;786;211;177;5339;65.0
