ID;Geslacht;Leeftijd;RegioSSituatie2013;Perioden;TotaleBevolking_1
0;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;2014;16824.2
1;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;2015;16870.7
2;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;2016;16920.2
3;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;2017;16973.1
4;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;2018;17030.2
5;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;2019;17086.4
6;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;2020;17141.1
7;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;2021;17193.9
8;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;2022;17245.1
9;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;2023;17294.4
10;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;2024;17342.4
11;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;2025;17389.1
12;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;2026;17434.1
13;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;2027;17477.1
14;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;2028;17518.1
15;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;2029;17557.0
16;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;2030;17593.7
17;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;2031;17628.1
18;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;2032;17659.9
19;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;2033;17689.1
20;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;2034;17715.6
21;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;2035;17739.2
22;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;2036;17759.9
23;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;2037;17777.7
24;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;2038;17792.9
25;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;2039;17805.5
26;Totaal mannen en vrouwen;Totaal leeftijd;Nederland;2040;17815.7
27;Totaal mannen en vrouwen;Totaal leeftijd;Noord-Nederland (LD);2014;1720.6
28;Totaal mannen en vrouwen;Totaal leeftijd;Noord-Nederland (LD);2015;1721.3
29;Totaal mannen en vrouwen;Totaal leeftijd;Noord-Nederland (LD);2016;1722.1
30;Totaal mannen en vrouwen;Totaal leeftijd;Noord-Nederland (LD);2017;1723.1
31;Totaal mannen en vrouwen;Totaal leeftijd;Noord-Nederland (LD);2018;1724.3
32;Totaal mannen en vrouwen;Totaal leeftijd;Noord-Nederland (LD);2019;1725.5
33;Totaal mannen en vrouwen;Totaal leeftijd;Noord-Nederland (LD);2020;1726.5
34;Totaal mannen en vrouwen;Totaal leeftijd;Noord-Nederland (LD);2021;1727.5
35;Totaal mannen en vrouwen;Totaal leeftijd;Noord-Nederland (LD);2022;1728.5
36;Totaal mannen en vrouwen;Totaal leeftijd;Noord-Nederland (LD);2023;1729.5
37;Totaal mannen en vrouwen;Totaal leeftijd;Noord-Nederland (LD);2024;1730.0
38;Totaal mannen en vrouwen;Totaal leeftijd;Noord-Nederland (LD);2025;1730.5
39;Totaal mannen en vrouwen;Totaal leeftijd;Noord-Nederland (LD);2026;1730.6
40;Totaal mannen en vrouwen;Totaal leeftijd;Noord-Nederland (LD);2027;1730.6
41;Totaal mannen en vrouwen;Totaal leeftijd;Noord-Nederland (LD);2028;1730.9
42;Totaal mannen en vrouwen;Totaal leeftijd;Noord-Nederland (LD);2029;1730.8
43;Totaal mannen en vrouwen;Totaal leeftijd;Noord-Nederland (LD);2030;1730.7
44;Totaal mannen en vrouwen;Totaal leeftijd;Noord-Nederland (LD);2031;1730.4
45;Totaal mannen en vrouwen;Totaal leeftijd;Noord-Nederland (LD);2032;1729.6
46;Totaal mannen en vrouwen;Totaal leeftijd;Noord-Nederland (LD);2033;1729.0
47;Totaal mannen en vrouwen;Totaal leeftijd;Noord-Nederland (LD);2034;1728.3
48;Totaal mannen en vrouwen;Totaal leeftijd;Noord-Nederland (LD);2035;1726.8
49;Totaal mannen en vrouwen;Totaal leeftijd;Noord-Nederland (LD);2036;1725.2
50;Totaal mannen en vrouwen;Totaal leeftijd;Noord-Nederland (LD);2037;1723.4
51;Totaal mannen en vrouwen;Totaal leeftijd;Noord-Nederland (LD);2038;1721.8
52;Totaal mannen en vrouwen;Totaal leeftijd;Noord-Nederland (LD);2039;1719.5
53;Totaal mannen en vrouwen;Totaal leeftijd;Noord-Nederland (LD);2040;1717.5
54;Totaal mannen en vrouwen;Totaal leeftijd;Oost-Nederland (LD);2014;3559.9
55;Totaal mannen en vrouwen;Totaal leeftijd;Oost-Nederland (LD);2015;3567.7
56;Totaal mannen en vrouwen;Totaal leeftijd;Oost-Nederland (LD);2016;3575.4
57;Totaal mannen en vrouwen;Totaal leeftijd;Oost-Nederland (LD);2017;3583.4
58;Totaal mannen en vrouwen;Totaal leeftijd;Oost-Nederland (LD);2018;3592.0
59;Totaal mannen en vrouwen;Totaal leeftijd;Oost-Nederland (LD);2019;3601.0
