ID;LeeftijdReferentiepersoon;KinderenInHuishouden;Perioden;Paren_1;Eenouderhuishoudens_2
0;Totaal;Totaal;2025;4379814;624200.0
1;Totaal;Totaal;2026;4393446;629020.0
2;Totaal;Totaal;2027;4405955;634431.0
3;Totaal;Totaal;2028;4418688;639302.0
4;Totaal;Totaal;2029;4430650;644185.0
5;Totaal;Totaal;2030;4442388;648901.0
6;Totaal;Totaal;2031;4453618;653485.0
7;Totaal;Totaal;2032;4463990;658085.0
8;Totaal;Totaal;2033;4473590;662861.0
9;Totaal;Totaal;2034;4482414;667687.0
10;Totaal;Totaal;2035;4490371;672493.0
11;Totaal;Totaal;2036;4497633;677771.0
12;Totaal;Totaal;2037;4504194;682723.0
13;Totaal;Totaal;2038;4510058;687831.0
14;Totaal;Totaal;2039;4515293;693127.0
15;Totaal;Totaal;2040;4520002;698590.0
16;Totaal;Totaal;2041;4524242;704089.0
17;Totaal;Totaal;2042;4528038;710121.0
18;Totaal;Totaal;2043;4531427;716224.0
19;Totaal;Totaal;2044;4534460;722377.0
20;Totaal;Totaal;2045;4537158;728652.0
21;Totaal;Totaal;2046;4539569;735100.0
22;Totaal;Totaal;2047;4541690;741376.0
23;Totaal;Totaal;2048;4543598;747464.0
24;Totaal;Totaal;2049;4545401;753443.0
25;Totaal;Totaal;2050;4547287;759262.0
26;Totaal;Totaal;2051;4549503;764819.0
27;Totaal;Totaal;2052;4552260;769915.0
28;Totaal;Totaal;2053;4555812;774608.0
29;Totaal;Totaal;2054;4560314;778534.0
30;Totaal;Totaal;2055;4565939;781953.0
31;Totaal;Totaal;2056;4572789;784818.0
32;Totaal;Totaal;2057;4580921;787128.0
33;Totaal;Totaal;2058;4590361;788909.0
34;Totaal;Totaal;2059;4601078;790235.0
35;Totaal;Totaal;2060;4613056;791154.0
36;Totaal;Totaal;2061;4626184;791808.0
37;Totaal;Totaal;2062;4640375;792249.0
38;Totaal;Totaal;2063;4655498;792571.0
39;Totaal;Totaal;2064;4671397;792834.0
40;Totaal;Totaal;2065;4687951;793091.0
41;Totaal;Totaal;2066;4704986;793392.0
42;Totaal;Totaal;2067;4722331;793805.0
43;Totaal;Totaal;2068;4739843;794348.0
44;Totaal;Totaal;2069;4757366;795054.0
45;Totaal;Totaal;2070;4774772;795992.0
46;Totaal;Geen kinderen;2025;2347947;
47;Totaal;Geen kinderen;2026;2362209;
48;Totaal;Geen kinderen;2027;2373425;
49;Totaal;Geen kinderen;2028;2384351;
50;Totaal;Geen kinderen;2029;2393564;
51;Totaal;Geen kinderen;2030;2400547;
52;Totaal;Geen kinderen;2031;2405550;
53;Totaal;Geen kinderen;2032;2408155;
54;Totaal;Geen kinderen;2033;2408640;
55;Totaal;Geen kinderen;2034;2407327;
56;Totaal;Geen kinderen;2035;2404580;
57;Totaal;Geen kinderen;2036;2399323;
58;Totaal;Geen kinderen;2037;2393890;
