ID;SoortMisdrijf;RegioS;Perioden;TotaalGeregistreerdeMisdrijven_1;GeregistreerdeMisdrijvenRelatief_2;GeregistreerdeMisdrijvenPer1000Inw_3;TotaalOpgehelderdeMisdrijven_4;OpgehelderdeMisdrijvenRelatief_5;RegistratiesVanVerdachten_6
0;Misdrijven, totaal;Nederland;2010;1200825.0;100.0;72.4;331305.0;27.6;406510.0
1;Misdrijven, totaal;Nederland;2011;1206565.0;100.0;72.4;326680.0;27.1;397790.0
2;Misdrijven, totaal;Nederland;2012;1154950.0;100.0;69.0;308410.0;26.7;373480.0
3;Misdrijven, totaal;Nederland;2013;1105565.0;100.0;65.9;289665.0;26.2;350395.0
4;Misdrijven, totaal;Nederland;2014;1025630.0;100.0;60.9;271355.0;26.5;327320.0
5;Misdrijven, totaal;Nederland;2015;978945.0;100.0;57.9;248875.0;25.4;301555.0
6;Misdrijven, totaal;Nederland;2016;930325.0;100.0;54.8;234100.0;25.2;278930.0
7;Misdrijven, totaal;Nederland;2017;832950.0;100.0;48.8;217265.0;26.1;257895.0
8;Misdrijven, totaal;Nederland;2018;786420.0;100.0;45.8;217870.0;27.7;258820.0
9;Misdrijven, totaal;Nederland;2019;821905.0;100.0;47.6;231520.0;28.2;275985.0
10;Misdrijven, totaal;Nederland;2020;813150.0;100.0;46.7;220070.0;27.1;263520.0
11;Misdrijven, totaal;Nederland;2021;758065.0;100.0;43.4;208875.0;27.6;244070.0
12;Misdrijven, totaal;Nederland;2022;810550.0;100.0;46.1;229685.0;28.3;264175.0
13;Misdrijven, totaal;Nederland;2023;816375.0;100.0;45.8;226465.0;27.7;262140.0
14;Misdrijven, totaal;Nederland;2024;811885.0;100.0;45.2;190845.0;23.5;247135.0
15;Misdrijven, totaal;Noord-Nederland (LD);2010;96200.0;100.0;56.1;31720.0;33.0;38150.0
16;Misdrijven, totaal;Noord-Nederland (LD);2011;95235.0;100.0;55.4;31125.0;32.7;37685.0
17;Misdrijven, totaal;Noord-Nederland (LD);2012;90960.0;100.0;52.9;28760.0;31.6;34530.0
18;Misdrijven, totaal;Noord-Nederland (LD);2013;86320.0;100.0;50.2;25850.0;29.9;31230.0
19;Misdrijven, totaal;Noord-Nederland (LD);2014;79805.0;100.0;46.5;23760.0;29.8;28875.0
20;Misdrijven, totaal;Noord-Nederland (LD);2015;76740.0;100.0;44.6;22185.0;28.9;27265.0
21;Misdrijven, totaal;Noord-Nederland (LD);2016;72830.0;100.0;42.4;19880.0;27.3;24175.0
22;Misdrijven, totaal;Noord-Nederland (LD);2017;62615.0;100.0;36.4;18955.0;30.3;22785.0
23;Misdrijven, totaal;Noord-Nederland (LD);2018;61750.0;100.0;35.9;19470.0;31.5;23630.0
24;Misdrijven, totaal;Noord-Nederland (LD);2019;64400.0;100.0;37.4;20350.0;31.6;24860.0
25;Misdrijven, totaal;Noord-Nederland (LD);2020;63880.0;100.0;36.9;18990.0;29.7;23405.0
26;Misdrijven, totaal;Noord-Nederland (LD);2021;60540.0;100.0;34.9;17815.0;29.4;21340.0
27;Misdrijven, totaal;Noord-Nederland (LD);2022;64035.0;100.0;36.8;19065.0;29.8;22490.0
28;Misdrijven, totaal;Noord-Nederland (LD);2023;64920.0;100.0;36.9;20150.0;31.0;23940.0
29;Misdrijven, totaal;Noord-Nederland (LD);2024;62340.0;100.0;35.3;16600.0;26.6;22170.0
30;Misdrijven, totaal;Oost-Nederland (LD);2010;217125.0;100.0;61.7;57680.0;26.6;70975.0
31;Misdrijven, totaal;Oost-Nederland (LD);2011;216255.0;100.0;61.2;56325.0;26.0;68345.0
32;Misdrijven, totaal;Oost-Nederland (LD);2012;208910.0;100.0;58.9;53175.0;25.5;64985.0
33;Misdrijven, totaal;Oost-Nederland (LD);2013;199980.0;100.0;56.3;50300.0;25.2;61490.0
34;Misdrijven, totaal;Oost-Nederland (LD);2014;179635.0;100.0;50.5;47510.0;26.4;57580.0
35;Misdrijven, totaal;Oost-Nederland (LD);2015;167325.0;100.0;46.9;44725.0;26.7;54145.0
36;Misdrijven, totaal;Oost-Nederland (LD);2016;162205.0;100.0;45.3;43790.0;27.0;51960.0
37;Misdrijven, totaal;Oost-Nederland (LD);2017;143850.0;100.0;39.9;41210.0;28.6;49070.0
38;Misdrijven, totaal;Oost-Nederland (LD);2018;137335.0;100.0;37.9;41570.0;30.3;49100.0
39;Misdrijven, totaal;Oost-Nederland (LD);2019;145090.0;100.0;39.8;44325.0;30.6;52740.0
40;Misdrijven, totaal;Oost-Nederland (LD);2020;147660.0;100.0;40.2;44205.0;29.9;53265.0
41;Misdrijven, totaal;Oost-Nederland (LD);2021;137730.0;100.0;37.3;40060.0;29.1;46710.0
42;Misdrijven, totaal;Oost-Nederland (LD);2022;146065.0;100.0;39.3;42585.0;29.2;48135.0
43;Misdrijven, totaal;Oost-Nederland (LD);2023;140810.0;100.0;37.4;39425.0;28.0;45180.0
44;Misdrijven, totaal;Oost-Nederland (LD);2024;140870.0;100.0;37.2;34205.0;24.3;43190.0
45;Misdrijven, totaal;West-Nederland (LD);2010;623535.0;100.0;80.2;175585.0;28.2;215435.0
46;Misdrijven, totaal;West-Nederland (LD);2011;631590.0;100.0;80.7;178035.0;28.2;217215.0
47;Misdrijven, totaal;West-Nederland (LD);2012;598295.0;100.0;75.9;166305.0;27.8;201305.0
48;Misdrijven, totaal;West-Nederland (LD);2013;575870.0;100.0;72.8;157795.0;27.4;190175.0
49;Misdrijven, totaal;West-Nederland (LD);2014;538355.0;100.0;67.7;148260.0;27.5;178780.0
50;Misdrijven, totaal;West-Nederland (LD);2015;518660.0;100.0;64.8;132800.0;25.6;161410.0
51;Misdrijven, totaal;West-Nederland (LD);2016;495905.0;100.0;61.5;124340.0;25.1;148285.0
52;Misdrijven, totaal;West-Nederland (LD);2017;449460.0;100.0;55.3;114445.0;25.5;135690.0
53;Misdrijven, totaal;West-Nederland (LD);2018;420705.0;100.0;51.4;112610.0;26.8;133830.0
54;Misdrijven, totaal;West-Nederland (LD);2019;436640.0;100.0;52.9;117385.0;26.9;139735.0
55;Misdrijven, totaal;West-Nederland (LD);2020;429070.0;100.0;51.5;109425.0;25.5;130435.0
56;Misdrijven, totaal;West-Nederland (LD);2021;396395.0;100.0;47.4;106370.0;26.8;123825.0
57;Misdrijven, totaal;West-Nederland (LD);2022;427215.0;100.0;50.7;118450.0;27.7;136155.0
58;Misdrijven, totaal;West-Nederland (LD);2023;436530.0;100.0;51.1;115945.0;26.6;133745.0
59;Misdrijven, totaal;West-Nederland (LD);2024;438140.0;100.0;50.9;99170.0;22.6;127210.0
60;Misdrijven, totaal;Zuid-Nederland (LD);2010;261560.0;100.0;73.3;65725.0;25.1;81195.0
61;Misdrijven, totaal;Zuid-Nederland (LD);2011;261355.0;100.0;73.1;60660.0;23.2;73930.0
62;Misdrijven, totaal;Zuid-Nederland (LD);2012;255065.0;100.0;71.1;59735.0;23.4;72135.0
63;Misdrijven, totaal;Zuid-Nederland (LD);2013;242020.0;100.0;67.4;55390.0;22.9;67115.0
64;Misdrijven, totaal;Zuid-Nederland (LD);2014;226420.0;100.0;62.9;51515.0;22.8;61680.0
65;Misdrijven, totaal;Zuid-Nederland (LD);2015;214555.0;100.0;59.5;48460.0;22.6;57895.0
66;Misdrijven, totaal;Zuid-Nederland (LD);2016;198250.0;100.0;54.8;45830.0;23.1;54145.0
67;Misdrijven, totaal;Zuid-Nederland (LD);2017;175385.0;100.0;48.3;42295.0;24.1;49885.0
68;Misdrijven, totaal;Zuid-Nederland (LD);2018;164910.0;100.0;45.2;43930.0;26.6;51840.0
69;Misdrijven, totaal;Zuid-Nederland (LD);2019;173855.0;100.0;47.5;49140.0;28.3;58210.0
70;Misdrijven, totaal;Zuid-Nederland (LD);2020;171605.0;100.0;46.6;47175.0;27.5;56025.0
71;Misdrijven, totaal;Zuid-Nederland (LD);2021;162695.0;100.0;44.1;44495.0;27.3;51990.0
72;Misdrijven, totaal;Zuid-Nederland (LD);2022;172515.0;100.0;46.5;49475.0;28.7;57200.0
73;Misdrijven, totaal;Zuid-Nederland (LD);2023;173245.0;100.0;46.1;50825.0;29.3;59100.0
74;Misdrijven, totaal;Zuid-Nederland (LD);2024;169925.0;100.0;45.0;40765.0;24.0;54375.0
75;Misdrijven, totaal;Niet in te delen (LD);2010;2400.0;100.0;;595.0;24.8;755.0
76;Misdrijven, totaal;Niet in te delen (LD);2011;2130.0;100.0;;530.0;25.0;615.0
77;Misdrijven, totaal;Niet in te delen (LD);2012;1720.0;100.0;;435.0;25.1;530.0
78;Misdrijven, totaal;Niet in te delen (LD);2013;1380.0;100.0;;335.0;24.1;390.0
79;Misdrijven, totaal;Niet in te delen (LD);2014;1420.0;100.0;;315.0;22.1;405.0
80;Misdrijven, totaal;Niet in te delen (LD);2015;1665.0;100.0;;700.0;41.9;840.0
