ID;Marges;Perioden;ZiekteverzuimVolgensWerknemers_1;ErgSnelWerken_2;ExtraHardWerken_3;HeelVeelWerkDoen_4;NietErgSnelWerken_5;NietExtraHardWerken_6;NietHeelVeelWerkDoen_7;RegelmatigVeelKrachtZetten_8;NietRegelmatigVeelKrachtZetten_9;RegelmatigHardPraten_10;RegelmatigTeMakenMetTrillingen_11;NietRegelmatigHardPraten_12;NietRegelmatigTeMakenMetTrillingen_13;GevaarlijkWerkTot2018_14;GevaarlijkWerkVanaf2018_15;OngevaarlijkWerkTot2018_16;OngevaarlijkWerkVanaf2018_17;WaterigeOplossingen_18;StoffenOpHuid_19;AdemtStoffenIn_20;BesmettePersonen_21;GeenWaterigeOplossingen_22;GeenStoffenOpHuid_23;AdemtGeenStoffenIn_24;GeenBesmettePersonen_25;MetOfDichtbijOngezondeStoffen_26;Besmettingskans_27;NietMetOfDichtbijOngezondeStoffen_28;GeenBesmettingskans_29;InOngemakkelijkeWerkhoudingWerken_30;TijdensWerkRepeterendeBewegingMaken_31;GeenOngemakkelijkeWerkhouding_32;GeenRepeterendeBewegingTijdensWerk_33;MinderDan1UurPerDagAanBeeldscherm_34;k_1Tot3UurPerDagAanBeeldscherm_35;k_3Tot6UurPerDagAanBeeldscherm_36;k_6UurOfMeerPerDagAanBeeldscherm_37;KanNietZelfBeslissen_38;KanNietVolgordeWerkzaamhedenBepalen_39;KanNietWerktempoBepalen_40;KanNietOplossingenBedenken_41;KanNietZelfBepalenWanneerVerlof_42;KanNietWerktijdenBepalen_43;KanNietWerkplekBepalen_44;ZelfBeslissen_45;VolgordeWerkzaamhedenBepalen_46;WerktempoBepalen_47;OplossingenBedenken_48;VerlofNemen_49;WerktijdenBepalen_50;WerkplekBepalen_51;EmotioneelMoeilijkeWerksituaties_52;EmotioneelVeeleisendWerk_53;EmotioneelBetrokkenBijWerk_54;GeenEmotioneelMoeilijkeWerksituaties_55;GeenEmotioneelVeeleisendWerk_56;NietEmotioneelBetrokkenBijWerk_57;VanKlanten_58;VanLeidinggevendenOfCollegaS_59;DoorKlanten_60;DoorLeidinggevendenOfCollegaS_61;DoorKlanten_62;DoorLeidinggevendenOfCollegaS_63;DoorKlanten_64;DoorLeidinggevendenOfCollegaS_65;VanKlanten_66;VanLeidinggevendenOfCollegaS_67;DoorKlanten_68;DoorLeidinggevendenOfCollegaS_69;DoorKlanten_70;DoorLeidinggevendenOfCollegaS_71;DoorKlanten_72;DoorLeidinggevendenOfCollegaS_73;OngewensteSeksueleAandacht_74;Intimidatie_75;LichamelijkGeweld_76;Pesten_77;GeenOngewensteSeksueleAandacht_78;GeenIntimidatie_79;GeenLichamelijkGeweld_80;GeenPesten_81;GediscrimineerdGevoeld_82;NietGediscrimineerdGevoeld_83;PsychischeVermoeidheidDoorHetWerk_84;EmotioneelUitgeput_85;LeegVoelen_86;SOchtendsMoeVoelen_87;VergtVeelOmMetMensenTeWerken_88;UitgeputDoorWerk_89;GeenPsychischeVermoeidheidDoorWerk_90;NietEmotioneelUitgeput_91;NietLeegVoelen_92;SOchtendsNietMoeVoelen_93;VergtNietVeelOmMetMensenTeWerken_94;NietUitgeputDoorWerk_95
0;Waarde;2014;3.7;4.1;4.4;4.1;3.5;3.4;3.4;4.9;3.4;4.9;5.1;3.6;3.6;5.9;;3.6;;4.7;4.8;4.8;5.2;3.5;3.6;3.6;3.6;;;;;5.8;4.6;3.5;3.2;3.8;4.2;3.8;3.3;4.6;4.4;4.4;4.1;4.2;4.0;;3.2;3.3;3.2;3.5;3.2;2.9;;7.5;6.8;5.6;3.4;3.3;3.4;4.8;4.6;4.9;6.6;6.0;5.9;5.2;6.5;3.6;3.7;3.4;3.3;3.6;3.7;3.6;3.5;;;;;;;;;;;7.8;6.9;5.6;6.9;7.5;8.0;3.0;3.2;2.8;3.0;3.3;3.1
1;Waarde;2015;4.0;4.6;4.8;4.4;3.6;3.6;3.6;5.3;3.6;5.5;5.3;3.9;3.8;6.0;;3.9;;4.8;5.2;5.3;5.5;3.8;3.9;3.9;3.9;;;;;6.6;4.9;3.7;3.5;3.9;4.6;4.0;3.6;4.6;4.5;4.7;4.2;4.6;4.3;;3.5;3.6;3.4;3.9;3.3;3.0;;7.9;6.5;5.9;3.7;3.6;3.7;5.5;5.6;5.1;7.4;6.5;9.8;5.6;7.5;3.9;3.9;3.7;3.5;3.8;3.9;3.9;3.7;;;;;;;;;;;8.7;8.0;6.3;7.2;8.1;8.6;3.2;3.4;3.1;3.3;3.5;3.3
2;Waarde;2016;3.8;4.4;4.7;4.4;3.5;3.5;3.3;4.8;3.6;5.4;4.8;3.7;3.7;6.3;;3.7;;4.5;4.5;5.0;5.0;3.7;3.7;3.7;3.7;;;;;6.1;4.8;3.6;3.3;3.6;4.2;4.0;3.6;4.4;4.3;4.5;4.0;4.2;4.1;;3.5;3.5;3.3;3.7;3.4;3.1;;7.3;6.5;6.1;3.5;3.4;3.5;5.4;6.3;5.1;7.3;6.0;7.3;6.2;7.4;3.7;3.8;3.5;3.4;3.7;3.8;3.7;3.5;;;;;;;;;;;7.9;7.3;5.8;6.7;7.9;8.0;3.1;3.3;2.9;3.1;3.3;3.2
3;Waarde;2017;4.0;4.5;4.7;4.5;3.6;3.6;3.5;5.2;3.6;5.2;4.8;3.9;3.9;5.6;;3.9;;4.7;4.5;4.9;5.3;3.8;3.9;3.9;3.9;;;;;6.3;4.9;3.7;3.5;3.7;4.7;4.0;3.7;4.5;4.5;4.6;4.1;4.5;4.3;;3.6;3.6;3.4;3.9;3.4;3.0;;7.4;6.6;5.9;3.6;3.6;3.7;5.1;5.7;5.2;7.7;6.0;4.1;5.9;7.7;3.9;3.9;3.7;3.5;3.8;4.0;3.9;3.6;;;;;;;;;;;8.6;8.1;6.3;7.4;7.9;8.6;3.1;3.3;3.0;3.1;3.4;3.2
4;Waarde;2018;4.4;5.1;5.4;5.0;3.9;3.9;3.8;5.6;4.0;6.2;5.4;4.2;4.3;;5.6;;4.1;5.0;5.3;5.5;5.8;4.2;4.3;4.3;4.3;;;;;7.0;5.5;4.0;3.8;4.0;5.0;4.5;4.1;5.1;5.0;5.1;4.5;4.9;4.7;;3.9;4.0;3.7;4.3;3.8;3.4;;8.5;7.4;6.4;4.0;3.9;4.0;5.7;6.5;5.7;8.5;7.1;7.0;6.8;8.2;4.3;4.3;4.0;3.9;4.2;4.3;4.2;4.0;;;;;;;;;;;8.8;8.1;6.6;7.8;8.4;9.1;3.4;3.5;3.3;3.5;3.7;3.5
5;Waarde;2019;4.5;5.2;5.5;5.1;4.1;4.1;3.9;5.9;4.1;6.4;5.9;4.3;4.3;;6.0;;4.2;5.4;5.4;5.7;5.8;4.3;4.4;4.4;4.4;;;;;7.3;5.7;4.1;3.9;4.2;4.9;4.8;4.2;5.1;5.0;5.2;4.7;5.1;4.8;;4.1;4.1;3.9;4.4;3.9;3.6;;8.3;7.0;6.4;4.1;4.1;4.1;5.7;5.9;5.5;8.2;6.7;8.0;6.0;8.1;4.4;4.4;4.2;3.9;4.3;4.4;4.3;4.1;;;;;;;;;;;9.3;8.8;7.1;8.1;8.5;9.3;3.5;3.7;3.3;3.5;3.8;3.6
6;Waarde;2020;4.3;5.2;5.2;5.0;4.0;4.1;3.9;6.3;4.0;6.4;6.2;4.2;4.2;;6.1;;4.1;5.3;5.5;6.2;5.2;4.2;4.3;4.2;4.3;;;;;7.4;5.6;4.1;3.9;4.3;5.5;4.9;3.7;5.1;5.1;5.2;4.6;4.9;4.8;;3.9;3.9;3.8;4.3;3.9;3.4;;8.1;7.3;6.5;4.0;4.0;4.0;5.4;5.0;5.7;8.4;7.3;4.2;5.8;8.5;4.3;4.3;4.0;4.0;4.2;4.3;4.2;4.0;;;;;;;;;;;8.8;7.8;6.7;7.6;8.2;9.2;3.5;3.7;3.3;3.6;3.7;3.6
7;Waarde;2021;4.6;5.4;5.6;5.1;4.2;4.2;4.2;6.3;4.2;6.6;6.0;4.5;4.5;;6.3;;4.3;5.5;5.6;5.9;6.3;4.5;4.5;4.5;4.4;;;;;7.4;5.8;4.3;4.1;4.3;5.7;5.2;4.0;5.5;5.4;5.5;5.0;5.4;5.1;;4.0;4.2;4.0;4.5;4.0;3.5;;9.1;8.0;7.1;4.2;4.1;4.2;6.6;5.9;6.4;9.1;8.3;8.2;7.6;8.8;4.5;4.6;4.2;4.2;4.4;4.6;4.4;4.3;;;;;;;;;;;9.5;8.8;7.2;8.3;8.9;9.7;3.6;3.8;3.5;3.6;3.9;3.7
8;Waarde;2022;5.2;6.3;6.4;6.0;4.7;4.8;4.7;6.8;4.8;7.3;6.8;5.1;5.1;;7.0;;4.9;;;;;;;;;7.0;6.4;5.0;4.0;8.6;6.5;4.9;4.7;4.6;6.3;5.8;4.7;6.2;6.1;6.2;5.6;6.0;5.7;5.6;4.6;4.7;4.5;5.0;4.6;4.1;4.3;10.5;9.5;8.5;5.0;4.9;4.9;;;;;;;;;;;;;;;;;7.2;8.9;9.9;10.9;5.3;4.9;5.2;5.1;9.7;4.5;9.4;8.7;7.5;8.5;9.0;10.0;4.2;4.3;4.0;4.2;4.4;4.3
9;Waarde;2023;4.8;5.8;6.1;5.5;4.3;4.3;4.2;6.5;4.4;6.2;6.0;4.7;4.6;;6.8;;4.4;;;;;;;;;6.9;5.7;4.6;3.9;8.0;6.1;4.4;4.2;4.5;5.6;5.0;4.3;5.4;5.3;5.6;5.0;5.5;5.2;5.1;4.4;4.4;4.2;4.6;4.1;3.7;3.8;10.3;8.1;7.7;4.5;4.5;4.5;;;;;;;;;;;;;;;;;6.7;7.8;7.6;10.5;4.8;4.6;4.8;4.6;8.3;4.2;9.2;8.5;7.3;8.4;8.7;9.9;3.7;3.9;3.5;3.7;4.0;3.8
