ID;RegioS;Perioden;InvInVasteActUitProdEnInv_1;LandbouwBosbouwEnVisserij_2;Delfstoffenwinning_3;Industrie_4;EnergieEnWaterleidingbedrijven_5;Bouwnijverheid_6;HandelHorecaEnReparatie_7;VervoerOpslagEnCommunicatie_8;FinancieleEnZakelijkeDienstverlening_9;OverheidEnGesubsidieerdOnderwijs_10;ZorgEnOverigeDienstverlening_11;Woningen_12;Bedrijfsgebouwen_13;GWWWerken_14;Vervoermiddelen_15;MachinesEnInstallaties_16;OverigeInvesteringenInVasteActiva_17;InCultuurGebrachteActiva_18;OverdrachtskostenOpGrond_19
0;Nederland;1995;64210.0;2380.0;1203.0;7631.0;2385.0;946.0;4427.0;6453.0;25877.0;8387.0;4521.0;16954.0;10367.0;7121.0;7447.0;11950.0;9124.0;414.0;833.0
1;Nederland;1996;69948.0;2418.0;1175.0;7998.0;3331.0;1302.0;4973.0;6226.0;28819.0;9413.0;4293.0;18321.0;10470.0;7663.0;7587.0;13341.0;11199.0;388.0;979.0
2;Nederland;1997;75888.0;3057.0;2225.0;9234.0;2033.0;1392.0;5131.0;6999.0;32481.0;8661.0;4675.0;19928.0;10861.0;7357.0;7536.0;15032.0;13351.0;811.0;1012.0
3;Nederland;1998;81292.0;2696.0;1553.0;9311.0;2001.0;1484.0;6009.0;8340.0;36283.0;9315.0;4300.0;21153.0;11965.0;7719.0;8650.0;14469.0;15934.0;337.0;1065.0
4;Nederland;1999;89418.0;3367.0;1128.0;9059.0;1915.0;1947.0;7021.0;11025.0;39248.0;10125.0;4583.0;22900.0;13421.0;8609.0;9518.0;15842.0;17494.0;463.0;1171.0
5;Nederland;2000;92742.0;3330.0;1036.0;9103.0;1654.0;1633.0;6764.0;11612.0;41236.0;11519.0;4855.0;24674.0;14968.0;9931.0;9917.0;14761.0;16751.0;384.0;1356.0
6;Nederland;2001;96197.0;3523.0;1464.0;8394.0;1426.0;1899.0;6409.0;10395.0;45183.0;12491.0;5013.0;27189.0;15828.0;10517.0;9920.0;14050.0;17045.0;396.0;1252.0
7;Nederland;2002;94507.0;3543.0;1580.0;8619.0;1354.0;1463.0;6436.0;8135.0;44120.0;14257.0;5000.0;26950.0;15903.0;10634.0;9101.0;13458.0;16909.0;360.0;1192.0
8;Nederland;2003;94759.0;3637.0;1712.0;8088.0;1499.0;1265.0;6403.0;8326.0;42578.0;15179.0;6072.0;27020.0;15636.0;10675.0;10325.0;12749.0;17018.0;331.0;1005.0
9;Nederland;2004;94336.0;3307.0;1203.0;7309.0;1671.0;1243.0;5876.0;7451.0;45331.0;14157.0;6788.0;28886.0;14646.0;9908.0;10143.0;12025.0;17122.0;369.0;1237.0
10;Nederland;2005;99170.0;3346.0;1378.0;7833.0;1640.0;1341.0;6283.0;7934.0;47901.0;14687.0;6827.0;31145.0;14683.0;10829.0;10116.0;12614.0;17942.0;340.0;1501.0
