ID;AantalVertrekken;Regio;Bewoners_1
0;Totaal aantal woningen;Nederland;7688903
1;Totaal aantal woningen;Groningen (provincie);376129
2;Totaal aantal woningen;Friesland;388250
3;Totaal aantal woningen;Drenthe;214406
4;Totaal aantal woningen;Overijssel;509859
5;Totaal aantal woningen;Gelderland;802101
6;Totaal aantal woningen;Utrecht (provincie);396035
7;Totaal aantal woningen;Noord-Holland;1471407
8;Totaal aantal woningen;Zuid-Holland;1911479
9;Totaal aantal woningen;Zeeland;242669
10;Totaal aantal woningen;Noord-Brabant;852765
11;Totaal aantal woningen;Limburg;523803
12;Totaal aantal woningen;Gemeenten met meer dan 100000 inwoners;2104398
13;Totaal aantal woningen;Gemeenten met 50001 - 100000 inwoners;769899
14;Totaal aantal woningen;Gemeenten met 20001 - 50000 inwoners;876932
15;Totaal aantal woningen;Gemeenten met 10001 - 20000 inwoners;1135274
16;Totaal aantal woningen;Gemeenten met 5001 - 10000 inwoners;1168637
17;Totaal aantal woningen;Gemeenten met 2001 - 5000 inwoners;1178449
18;Totaal aantal woningen;Gemeenten met 1001 - 2000 inwoners;339600
19;Totaal aantal woningen;Gemeenten met 501 - 1000 inwoners;104795
20;Totaal aantal woningen;Gemeenten met 500 of minder inwoners;10919
21;Totaal aantal woningen;Groningen, gem. 100001 en meer inw.;98514
22;Totaal aantal woningen;Groningen;98514
23;Totaal aantal woningen;Groningen, gem. 10001 - 20000 inw.;89313
24;Totaal aantal woningen;Groningen, gem. 5001 - 10000 inw.;85795
25;Totaal aantal woningen;Groningen, gem. 2001 - 5000 inw.;90396
26;Totaal aantal woningen;Groningen, gem. 1001 - 2000 inw.;12111
27;Totaal aantal woningen;Friesland, gem. 20001 - 50000 inw.;45802
28;Totaal aantal woningen;Leeuwarden;45802
29;Totaal aantal woningen;Friesland, gem. 10001 - 20000 inw.;201897
30;Totaal aantal woningen;Friesland, gem. 5001 - 10000 inw.;108665
31;Totaal aantal woningen;Friesland, gem. 2001 - 5000 inw.;25349
32;Totaal aantal woningen;Friesland, gem. 1001 - 2000 inw.;3328
33;Totaal aantal woningen;Friesland, gem. 501 - 1000 inw.;3209
34;Totaal aantal woningen;Drenthe, gem. 20001 - 50000 inw.;39934
35;Totaal aantal woningen;Emmen;39934
36;Totaal aantal woningen;Drenthe, gem. 10001 - 20000 inw.;55053
37;Totaal aantal woningen;Drenthe, gem. 5001 - 10000 inw.;56686
38;Totaal aantal woningen;Drenthe, gem. 2001 - 5000 inw.;59383
39;Totaal aantal woningen;Drenthe, gem. 1001 - 2000 inw.;3350
40;Totaal aantal woningen;Overijssel, gem. 50001 - 100000 inw.;51098
41;Totaal aantal woningen;Enschede;51098
42;Totaal aantal woningen;Overijssel, gem. 20001 - 50000 inw.;169804
43;Totaal aantal woningen;Almelo;31745
44;Totaal aantal woningen;Deventer;34278
45;Totaal aantal woningen;Hengelo (O.);34102
46;Totaal aantal woningen;Lonneker;31059
47;Totaal aantal woningen;Zwolle;38620
48;Totaal aantal woningen;Overijssel, gem. 10001 - 20000 inw.;80958
49;Totaal aantal woningen;Overijssel, gem. 5001 - 10000 inw.;144155
50;Totaal aantal woningen;Overijssel, gem. 2001 - 5000 inw.;50677
51;Totaal aantal woningen;Overijssel, gem. 1001 - 2000 inw.;8183
52;Totaal aantal woningen;Overijssel, gem. 501 - 1000 inw.;4984
53;Totaal aantal woningen;Gelderland, gem. 50001 - 100000 inw.;211295
54;Totaal aantal woningen;Apeldoorn;58129
55;Totaal aantal woningen;Arnhem;75578
56;Totaal aantal woningen;Nijmegen;77588
57;Totaal aantal woningen;Gelderland, gem. 20001 - 50000 inw.;54476
58;Totaal aantal woningen;Ede;30465
59;Totaal aantal woningen;Rheden;24011
60;Totaal aantal woningen;Gelderland, gem. 10001 - 20000 inw.;187969
61;Totaal aantal woningen;Gelderland, gem. 5001 - 10000 inw.;186246
62;Totaal aantal woningen;Gelderland, gem. 2001 - 5000 inw.;126083
63;Totaal aantal woningen;Gelderland, gem. 1001 - 2000 inw.;32697
64;Totaal aantal woningen;Gelderland, gem. 501 - 1000 inw.;2761
65;Totaal aantal woningen;Gelderland, gem. 500 en minder inw.;574
66;Totaal aantal woningen;Utrecht, gem. 100001 en meer inw.;151298
67;Totaal aantal woningen;Utrecht;151298
68;Totaal aantal woningen;Utrecht, gem. 20001 - 50000 inw.;59285
69;Totaal aantal woningen;Amersfoort;36420
70;Totaal aantal woningen;Zeist;22865
71;Totaal aantal woningen;Utrecht, gem. 10001 - 20000 inw.;47220
72;Totaal aantal woningen;Utrecht, gem. 5001 - 10000 inw.;21840
73;Totaal aantal woningen;Utrecht, gem. 2001 - 5000 inw.;75637
74;Totaal aantal woningen;Utrecht, gem. 1001 - 2000 inw.;25869
75;Totaal aantal woningen;Utrecht, gem. 501 - 1000 inw.;13015
76;Totaal aantal woningen;Utrecht, gem. 500 en minder inw.;1871
77;Totaal aantal woningen;Noord-Holland, gem. 100001 en meer inw.;855282
78;Totaal aantal woningen;Amsterdam;738508
79;Totaal aantal woningen;Haarlem;116774
80;Totaal aantal woningen;Noord-Holland, gem. 50001 - 100000 inw.;56076
81;Totaal aantal woningen;Hilversum;56076
82;Totaal aantal woningen;Noord-Holland, gem. 20001 - 50000 inw.;179860
83;Totaal aantal woningen;Alkmaar;27448
84;Totaal aantal woningen;Bussum;24653
85;Totaal aantal woningen;Haarlemmermeer;26718
86;Totaal aantal woningen;Helder (Den);27945
87;Totaal aantal woningen;Velsen;40543
88;Totaal aantal woningen;Zaandam;32553
89;Totaal aantal woningen;Noord-Holland, gem. 10001 - 20000 inw.;49480
90;Totaal aantal woningen;Noord-Holland, gem. 5001 - 10000 inw.;135105
91;Totaal aantal woningen;Noord-Holland, gem. 2001 - 5000 inw.;140832
92;Totaal aantal woningen;Noord-Holland, gem. 1001 - 2000 inw.;42385
93;Totaal aantal woningen;Noord-Holland, gem. 501 - 1000 inw.;9871
94;Totaal aantal woningen;Noord-Holland, gem. 500 en minder inw.;2516
95;Totaal aantal woningen;Zuid-Holland, gem. 100001 en meer inw.;999304
96;Totaal aantal woningen;'s-Gravenhage;429427
97;Totaal aantal woningen;Rotterdam;569877
98;Totaal aantal woningen;Zuid-Holland, gem. 50001 - 100000 inw.;225048
99;Totaal aantal woningen;Delft;49208
100;Totaal aantal woningen;Dordrecht;54502
101;Totaal aantal woningen;Leiden;69289
102;Totaal aantal woningen;Schiedam;52049
103;Totaal aantal woningen;Zuid-Holland, gem. 20001 - 50000 inw.;56310
104;Totaal aantal woningen;Gouda;28644
105;Totaal aantal woningen;Vlaardingen;27666
106;Totaal aantal woningen;Zuid-Holland, gem. 10001 - 20000 inw.;190828
107;Totaal aantal woningen;Zuid-Holland, gem. 5001 - 10000 inw.;150712
108;Totaal aantal woningen;Zuid-Holland, gem. 2001 - 5000 inw.;205569
109;Totaal aantal woningen;Zuid-Holland, gem. 1001 - 2000 inw.;57383
110;Totaal aantal woningen;Zuid-Holland, gem. 501 - 1000 inw.;23821
111;Totaal aantal woningen;Zuid-Holland, gem. 500 en minder inw.;2504
112;Totaal aantal woningen;Zeeland, gem. 20001 - 50000 inw.;21007
113;Totaal aantal woningen;Vlissingen;21007
114;Totaal aantal woningen;Zeeland, gem. 10001 - 20000 inw.;27973
115;Totaal aantal woningen;Zeeland, gem. 5001 - 10000 inw.;26866
116;Totaal aantal woningen;Zeeland, gem. 2001 - 5000 inw.;96067
117;Totaal aantal woningen;Zeeland, gem. 1001 - 2000 inw.;44890
118;Totaal aantal woningen;Zeeland, gem. 501 - 1000 inw.;23892
119;Totaal aantal woningen;Zeeland, gem. 500 en minder inw.;1974
120;Totaal aantal woningen;Noord-Brabant, gem. 50001 - 100000 inw.;168277
121;Totaal aantal woningen;Eindhoven;92393
122;Totaal aantal woningen;Tilburg;75884
123;Totaal aantal woningen;Noord-Brabant, gem. 20001 - 50000 inw.;146551
124;Totaal aantal woningen;Bergen op Zoom;19545
125;Totaal aantal woningen;Breda;42362
126;Totaal aantal woningen;Helmond;24851
127;Totaal aantal woningen;'s-Hertogenbosch;38872
128;Totaal aantal woningen;Roosendaal en Nispen;20921
129;Totaal aantal woningen;Noord-Brabant, gem. 10001 - 20000 inw.;90810
130;Totaal aantal woningen;Noord-Brabant, gem. 5001 - 10000 inw.;179676
131;Totaal aantal woningen;Noord-Brabant, gem. 2001 - 5000 inw.;201526
132;Totaal aantal woningen;Noord-Brabant, gem. 1001 - 2000 inw.;54496
133;Totaal aantal woningen;Noord-Brabant, gem. 501 - 1000 inw.;11429
134;Totaal aantal woningen;Limburg, gem. 50001 - 100000 inw.;58105
135;Totaal aantal woningen;Maastricht;58105
136;Totaal aantal woningen;Limburg, gem. 20001 - 50000 inw.;103903
137;Totaal aantal woningen;Heerlen;45523
138;Totaal aantal woningen;Kerkrade;35422
139;Totaal aantal woningen;Venlo;22958
140;Totaal aantal woningen;Limburg, gem. 10001 - 20000 inw.;113773
141;Totaal aantal woningen;Limburg, gem. 5001 - 10000 inw.;72891
142;Totaal aantal woningen;Limburg, gem. 2001 - 5000 inw.;106930
143;Totaal aantal woningen;Limburg, gem. 1001 - 2000 inw.;54908
144;Totaal aantal woningen;Limburg, gem. 501 - 1000 inw.;11813
145;Totaal aantal woningen;Limburg, gem. 500 en minder inw.;1480
146;Woningen met 1 vertrek;Nederland;338442
147;Woningen met 1 vertrek;Groningen (provincie);46071
148;Woningen met 1 vertrek;Friesland;54752
149;Woningen met 1 vertrek;Drenthe;50315
150;Woningen met 1 vertrek;Overijssel;20095
151;Woningen met 1 vertrek;Gelderland;21636
152;Woningen met 1 vertrek;Utrecht (provincie);6840
153;Woningen met 1 vertrek;Noord-Holland;41738
154;Woningen met 1 vertrek;Zuid-Holland;60570
155;Woningen met 1 vertrek;Zeeland;12358
156;Woningen met 1 vertrek;Noord-Brabant;18195
157;Woningen met 1 vertrek;Limburg;5872
158;Woningen met 1 vertrek;Gemeenten met meer dan 100000 inwoners;65043
159;Woningen met 1 vertrek;Gemeenten met 50001 - 100000 inwoners;9668
160;Woningen met 1 vertrek;Gemeenten met 20001 - 50000 inwoners;25251
161;Woningen met 1 vertrek;Gemeenten met 10001 - 20000 inwoners;70296
162;Woningen met 1 vertrek;Gemeenten met 5001 - 10000 inwoners;71907
163;Woningen met 1 vertrek;Gemeenten met 2001 - 5000 inwoners;73185
164;Woningen met 1 vertrek;Gemeenten met 1001 - 2000 inwoners;18064
165;Woningen met 1 vertrek;Gemeenten met 501 - 1000 inwoners;4740
166;Woningen met 1 vertrek;Gemeenten met 500 of minder inwoners;288
167;Woningen met 1 vertrek;Groningen, gem. 100001 en meer inw.;3598
168;Woningen met 1 vertrek;Groningen;3598
