ID;IndustryBranchesSIC2008;Periods;EnterprisesApplyingForAnEPOPatent_1;PatentApplicationsAtTheEPO_2;EnterprisesApplyingForANLOCPatent_3;PatentApplicationsAtTheNLOC_4
0;A-U All economic activities;2009;777.0;4544.0;1097.0;1904.0
1;A-U All economic activities;2010;695.0;3460.0;1039.0;1849.0
2;A-F Agriculture and industry;2009;327.0;3211.0;431.0;873.0
3;A-F Agriculture and industry;2010;304.0;2392.0;393.0;804.0
4;A Agriculture, forestry and fishing;2009;14.0;20.0;19.0;18.0
5;A Agriculture, forestry and fishing;2010;12.0;16.0;22.0;24.0
6;01 Agriculture;2009;14.0;20.0;19.0;18.0
7;01 Agriculture;2010;11.0;15.0;22.0;24.0
8;02 Forestry and logging;2009;;;;
9;02 Forestry and logging;2010;;;;
10;03 Fishing and aquaculture;2009;;;;
11;03 Fishing and aquaculture;2010;1.0;1.0;;
12;B Mining and quarrying ;2009;1.0;165.0;1.0;1.0
13;B Mining and quarrying ;2010;1.0;123.0;3.0;4.0
14;06 Extraction of crude petroleum and gas;2009;;;;
15;06 Extraction of crude petroleum and gas;2010;;;2.0;2.0
16;08 Mining and quarrying (no oil and gas);2009;;;;
17;08 Mining and quarrying (no oil and gas);2010;;;;
18;09 Mining support activities;2009;1.0;165.0;1.0;1.0
19;09 Mining support activities;2010;1.0;123.0;1.0;2.0
20;C Manufacturing;2009;279.0;2982.0;335.0;761.0
21;C Manufacturing;2010;254.0;2211.0;272.0;662.0
22;10 Manufacture of food products;2009;14.0;65.0;8.0;30.0
23;10 Manufacture of food products;2010;14.0;49.0;8.0;23.0
24;11 Manufacture of beverages;2009;1.0;10.0;1.0;4.0
25;11 Manufacture of beverages;2010;1.0;4.0;1.0;1.0
26;12 Manufacture of tobacco products;2009;;;1.0;1.0
27;12 Manufacture of tobacco products;2010;;;;
28;13 Manufacture of textiles;2009;3.0;6.0;6.0;8.0
29;13 Manufacture of textiles;2010;6.0;12.0;3.0;3.0
30;14 Manufacture of wearing apparel;2009;2.0;4.0;;
31;14 Manufacture of wearing apparel;2010;1.0;3.0;;
32;15 Manufacture of leather and footwear;2009;;;3.0;3.0
33;15 Manufacture of leather and footwear;2010;1.0;1.0;1.0;0.0
34;16 Manufacture of wood products;2009;1.0;1.0;6.0;7.0
35;16 Manufacture of wood products;2010;1.0;1.0;7.0;8.0
36;17 Manufacture of paper ;2009;8.0;15.0;8.0;10.0
37;17 Manufacture of paper ;2010;5.0;7.0;4.0;4.0
38;18 Printing and reproduction;2009;1.0;1.0;3.0;3.0
39;18 Printing and reproduction;2010;;;2.0;3.0
40;19 Manufacture of coke and petroleum ;2009;1.0;176.0;;
41;19 Manufacture of coke and petroleum ;2010;1.0;166.0;1.0;1.0
42;20 Manufacture of chemicals;2009;22.0;400.0;8.0;8.0
43;20 Manufacture of chemicals;2010;19.0;274.0;5.0;11.0
44;21 Manufacture of pharmaceuticals;2009;8.0;54.0;2.0;2.0
45;21 Manufacture of pharmaceuticals;2010;7.0;56.0;1.0;1.0
46;22 Manufacture rubber, plastic products;2009;19.0;32.0;29.0;38.0
47;22 Manufacture rubber, plastic products;2010;17.0;20.0;20.0;39.0
48;23 Manufacture of building materials;2009;3.0;3.0;10.0;12.0
49;23 Manufacture of building materials;2010;7.0;9.0;10.0;12.0
50;24 Manufacture of basic metals;2009;4.0;12.0;4.0;5.0
51;24 Manufacture of basic metals;2010;2.0;15.0;3.0;3.0
52;25 Manufacture of metal products;2009;36.0;46.0;62.0;76.0
53;25 Manufacture of metal products;2010;30.0;47.0;48.0;59.0
54;26 Manufacture of electronic products;2009;24.0;557.0;16.0;19.0
55;26 Manufacture of electronic products;2010;20.0;270.0;20.0;38.0
56;27 Manufacture of electric equipment;2009;13.0;1305.0;20.0;46.0
57;27 Manufacture of electric equipment;2010;12.0;1013.0;13.0;26.0
58;28 Manufacture of machinery n.e.c.;2009;69.0;226.0;83.0;384.0
