ID;CompanySize;SectorBranchesSIC2008;Periods;TurnoverIndices_1;TurnoverChange_2
0;All companies;412-439 Construction (no development);2005 1st quarter;78;-2.3
1;All companies;412-439 Construction (no development);2005 2nd quarter;106;8.9
2;All companies;412-439 Construction (no development);2005 3rd quarter;94;8.6
3;All companies;412-439 Construction (no development);2005 4th quarter;122;6.1
4;All companies;412-439 Construction (no development);2005;100;5.6
5;All companies;412-439 Construction (no development);2006 1st quarter;87;11.1
6;All companies;412-439 Construction (no development);2006 2nd quarter;113;6.7
7;All companies;412-439 Construction (no development);2006 3rd quarter;100;6.8
8;All companies;412-439 Construction (no development);2006 4th quarter;134;9.8
9;All companies;412-439 Construction (no development);2006;109;8.5
10;All companies;412-439 Construction (no development);2007 1st quarter;99;14.1
11;All companies;412-439 Construction (no development);2007 2nd quarter;123;9.6
12;All companies;412-439 Construction (no development);2007 3rd quarter;109;9.1
13;All companies;412-439 Construction (no development);2007 4th quarter;145;7.5
14;All companies;412-439 Construction (no development);2007;119;9.7
15;All companies;412-439 Construction (no development);2008 1st quarter;111;12.2
16;All companies;412-439 Construction (no development);2008 2nd quarter;138;11.8
17;All companies;412-439 Construction (no development);2008 3rd quarter;121;11.0
18;All companies;412-439 Construction (no development);2008 4th quarter;152;5.5
19;All companies;412-439 Construction (no development);2008;131;9.8
20;All companies;412-439 Construction (no development);2009 1st quarter;113;1.5
21;All companies;412-439 Construction (no development);2009 2nd quarter;133;-3.6
22;All companies;412-439 Construction (no development);2009 3rd quarter;116;-4.5
23;All companies;412-439 Construction (no development);2009 4th quarter;138;-9.4
24;All companies;412-439 Construction (no development);2009;125;-4.4
25;All companies;412-439 Construction (no development);2010 1st quarter;94;-17.2
26;All companies;412-439 Construction (no development);2010 2nd quarter;122;-8.2
27;All companies;412-439 Construction (no development);2010 3rd quarter;108;-6.9
28;All companies;412-439 Construction (no development);2010 4th quarter;132;-4.3
29;All companies;412-439 Construction (no development);2010;114;-8.9
30;All companies;412-439 Construction (no development);2011 1st quarter;102;9.3
31;All companies;412-439 Construction (no development);2011 2nd quarter;126;3.0
32;All companies;412-439 Construction (no development);2011 3rd quarter;112;3.7
33;All companies;412-439 Construction (no development);2011 4rd quarter;135;2.5
34;All companies;412-439 Construction (no development);2011;119;4.3
35;All companies;412-439 Construction (no development);2012 1st quarter;94;-8.4
36;All companies;412-439 Construction (no development);2012 2nd quarter;117;-7.1
37;All companies;412-439 Construction (no development);2012 3rd quarter;107;-4.4
38;All companies;412-439 Construction (no development);2012 4th quarter;124;-8.7
39;All companies;412-439 Construction (no development);2012;110;-7.2
40;All companies;412 Construction of buildings;2005 1st quarter;79;-5.1
41;All companies;412 Construction of buildings;2005 2nd quarter;108;8.2
42;All companies;412 Construction of buildings;2005 3rd quarter;91;6.1
43;All companies;412 Construction of buildings;2005 4th quarter;122;5.8
44;All companies;412 Construction of buildings;2005;100;4.1
45;All companies;412 Construction of buildings;2006 1st quarter;89;13.0
46;All companies;412 Construction of buildings;2006 2nd quarter;116;7.0
47;All companies;412 Construction of buildings;2006 3rd quarter;96;5.2
48;All companies;412 Construction of buildings;2006 4th quarter;133;9.2
49;All companies;412 Construction of buildings;2006;108;8.5
50;All companies;412 Construction of buildings;2007 1st quarter;101;13.4
51;All companies;412 Construction of buildings;2007 2nd quarter;127;9.4
52;All companies;412 Construction of buildings;2007 3rd quarter;107;11.2
53;All companies;412 Construction of buildings;2007 4th quarter;144;8.3
54;All companies;412 Construction of buildings;2007;120;10.3
55;All companies;412 Construction of buildings;2008 1st quarter;115;14.6
56;All companies;412 Construction of buildings;2008 2nd quarter;141;11.2
57;All companies;412 Construction of buildings;2008 3rd quarter;119;11.1
58;All companies;412 Construction of buildings;2008 4th quarter;153;6.6
59;All companies;412 Construction of buildings;2008;132;10.5
60;All companies;412 Construction of buildings;2009 1st quarter;114;-1.1
61;All companies;412 Construction of buildings;2009 2nd quarter;133;-5.7
62;All companies;412 Construction of buildings;2009 3rd quarter;110;-7.7
63;All companies;412 Construction of buildings;2009 4th quarter;130;-15.3
64;All companies;412 Construction of buildings;2009;122;-7.9
65;All companies;412 Construction of buildings;2010 1st quarter;90;-21.1
66;All companies;412 Construction of buildings;2010 2nd quarter;118;-11.3
67;All companies;412 Construction of buildings;2010 3rd quarter;99;-9.7
68;All companies;412 Construction of buildings;2010 4th quarter;122;-6.2
69;All companies;412 Construction of buildings;2010;107;-11.9
70;All companies;412 Construction of buildings;2011 1st quarter;99;9.8
71;All companies;412 Construction of buildings;2011 2nd quarter;119;1.0
72;All companies;412 Construction of buildings;2011 3rd quarter;103;3.9
73;All companies;412 Construction of buildings;2011 4rd quarter;122;-0.3
74;All companies;412 Construction of buildings;2011;111;3.1
75;All companies;412 Construction of buildings;2012 1st quarter;87;-11.9
76;All companies;412 Construction of buildings;2012 2nd quarter;108;-9.7
77;All companies;412 Construction of buildings;2012 3rd quarter;97;-5.4
78;All companies;412 Construction of buildings;2012 4th quarter;105;-13.2
79;All companies;412 Construction of buildings;2012;99;-10.2
80;All companies;42 Civil engineering;2005 1st quarter;68;3.0
81;All companies;42 Civil engineering;2005 2nd quarter;102;10.6
82;All companies;42 Civil engineering;2005 3rd quarter;97;14.4
83;All companies;42 Civil engineering;2005 4th quarter;133;4.0
84;All companies;42 Civil engineering;2005;100;7.8
85;All companies;42 Civil engineering;2006 1st quarter;73;7.4
86;All companies;42 Civil engineering;2006 2nd quarter;111;9.0
87;All companies;42 Civil engineering;2006 3rd quarter;109;11.7
88;All companies;42 Civil engineering;2006 4th quarter;150;13.0
89;All companies;42 Civil engineering;2006;111;10.7
90;All companies;42 Civil engineering;2007 1st quarter;85;16.3
91;All companies;42 Civil engineering;2007 2nd quarter;117;5.7
92;All companies;42 Civil engineering;2007 3rd quarter;110;1.4
93;All companies;42 Civil engineering;2007 4th quarter;154;2.6
94;All companies;42 Civil engineering;2007;117;5.3
95;All companies;42 Civil engineering;2008 1st quarter;91;7.2
96;All companies;42 Civil engineering;2008 2nd quarter;128;9.5
97;All companies;42 Civil engineering;2008 3rd quarter;118;7.3
98;All companies;42 Civil engineering;2008 4th quarter;154;0.0
99;All companies;42 Civil engineering;2008;123;5.4
100;All companies;42 Civil engineering;2009 1st quarter;98;6.9
101;All companies;42 Civil engineering;2009 2nd quarter;130;1.4
102;All companies;42 Civil engineering;2009 3rd quarter;125;6.2
103;All companies;42 Civil engineering;2009 4th quarter;157;2.0
104;All companies;42 Civil engineering;2009;128;3.8
105;All companies;42 Civil engineering;2010 1st quarter;83;-15.5
106;All companies;42 Civil engineering;2010 2nd quarter;125;-3.7
107;All companies;42 Civil engineering;2010 3rd quarter;116;-7.9
108;All companies;42 Civil engineering;2010 4th quarter;151;-3.7
109;All companies;42 Civil engineering;2010;119;-7.0
110;All companies;42 Civil engineering;2011 1st quarter;92;11.4
111;All companies;42 Civil engineering;2011 2nd quarter;128;2.4
112;All companies;42 Civil engineering;2011 3rd quarter;120;3.8
113;All companies;42 Civil engineering;2011 4rd quarter;161;6.6
114;All companies;42 Civil engineering;2011;125;5.7
115;All companies;42 Civil engineering;2012 1st quarter;90;-1.7
116;All companies;42 Civil engineering;2012 2nd quarter;134;4.3
117;All companies;42 Civil engineering;2012 3rd quarter;123;2.2
118;All companies;42 Civil engineering;2012 4th quarter;164;1.6
119;All companies;42 Civil engineering;2012;128;1.8
120;All companies;43 Specialised construction activities;2005 1st quarter;82;-1.4
121;All companies;43 Specialised construction activities;2005 2nd quarter;104;9.1
122;All companies;43 Specialised construction activities;2005 3rd quarter;95;8.7
123;All companies;43 Specialised construction activities;2005 4th quarter;119;7.2
