ID;Uitvalcategorie;Voertuigcategorie;Perioden;TotaalAantalUitgevallenVoertuigen_1;JongerDan1Jaar_2;k_1Jaar_3;k_2Jaar_4;k_3Jaar_5;k_4Jaar_6;k_5Jaar_7;k_6Jaar_8;k_7Jaar_9;k_8Jaar_10;k_9Jaar_11;k_10Jaar_12;k_11Jaar_13;k_12Jaar_14;k_13Jaar_15;k_14Jaar_16;k_15Jaar_17;k_16Jaar_18;k_17Jaar_19;k_18Jaar_20;k_19Jaar_21;k_20Jaar_22;k_21Jaar_23;k_22Jaar_24;k_23Jaar_25;k_24JaarOfOuder_26
35;Totaal uitval;Bedrijfsmotorvoertuig;2013;92413.0;1969.0;691.0;1154.0;2000.0;3142.0;6466.0;6854.0;6681.0;5454.0;6035.0;5422.0;5291.0;5807.0;6526.0;6199.0;5581.0;4239.0;2994.0;1583.0;1034.0;1198.0;1210.0;788.0;591.0;3504.0
36;Totaal uitval;Bedrijfsmotorvoertuig;2014;79929.0;1748.0;705.0;896.0;1776.0;2396.0;3110.0;5428.0;5524.0;4859.0;4547.0;5298.0;4680.0;4708.0;5317.0;5551.0;5143.0;4403.0;3146.0;2202.0;1121.0;754.0;826.0;872.0;645.0;4274.0
37;Totaal uitval;Bedrijfsmotorvoertuig;2015;66555.0;2218.0;712.0;838.0;1481.0;2493.0;2040.0;2020.0;3875.0;4071.0;4143.0;3835.0;4411.0;3914.0;4250.0;4454.0;4719.0;4532.0;3829.0;2721.0;1375.0;723.0;415.0;467.0;446.0;2573.0
38;Totaal uitval;Bedrijfsmotorvoertuig;2016;69993.0;2186.0;693.0;871.0;1522.0;2836.0;2986.0;2196.0;2570.0;4659.0;4696.0;4227.0;3519.0;4606.0;4097.0;4266.0;4238.0;4741.0;4484.0;3519.0;2391.0;1140.0;539.0;348.0;352.0;2311.0
39;Totaal uitval;Bedrijfsmotorvoertuig;2017;73249.0;1936.0;713.0;823.0;1417.0;2308.0;3157.0;3034.0;2573.0;2778.0;5080.0;4981.0;4221.0;3952.0;4866.0;4299.0;4414.0;4409.0;4565.0;4227.0;3173.0;2093.0;993.0;471.0;338.0;2428.0
40;Totaal uitval;Bedrijfsmotorvoertuig;2018;78181.0;2604.0;677.0;940.0;1545.0;2118.0;2827.0;3254.0;3616.0;3051.0;3248.0;5882.0;5352.0;4406.0;4089.0;5140.0;4494.0;4591.0;4427.0;4172.0;3698.0;2645.0;1793.0;797.0;442.0;2373.0
41;Totaal uitval;Bedrijfsmotorvoertuig;2019;85953.0;2443.0;724.0;1098.0;1981.0;3193.0;3323.0;3444.0;4318.0;4635.0;3791.0;4125.0;6562.0;6009.0;4651.0;4415.0;5249.0;4643.0;4422.0;3824.0;3516.0;2912.0;2174.0;1369.0;642.0;2490.0
42;Totaal uitval;Bedrijfsmotorvoertuig;2020;84524.0;1934.0;951.0;1074.0;1842.0;3257.0;3641.0;3380.0;3548.0;4175.0;4373.0;3682.0;3870.0;6231.0;5562.0;4599.0;4058.0;5174.0;4571.0;4084.0;3483.0;2862.0;2326.0;1677.0;1067.0;3103.0
43;Totaal uitval;Bedrijfsmotorvoertuig;2021;83079.0;3465.0;702.0;1097.0;1767.0;2746.0;3731.0;3428.0;3181.0;3769.0;4089.0;4373.0;3717.0;3751.0;5922.0;5333.0;4149.0;3813.0;5202.0;4086.0;3440.0;2782.0;2301.0;1660.0;1253.0;3322.0
44;Sloop;Personenauto;2000;310323.0;213.0;519.0;520.0;528.0;611.0;874.0;1278.0;1647.0;3654.0;6497.0;11701.0;20521.0;30850.0;51001.0;58091.0;48144.0;32317.0;19579.0;9914.0;4279.0;2317.0;1965.0;1229.0;685.0;1389.0
