ID;SoortGezin;Gezinsgrootte;AantalKinderen;Regio;Gezinnen_1
0;Totaal aantal gezinnen;Totaal aantal gezinnen;Totaal aantal gezinnen;Nederland;1720744.0
1;Totaal aantal gezinnen;Totaal aantal gezinnen;Totaal aantal gezinnen;Groningen (provincie);88579.0
2;Totaal aantal gezinnen;Totaal aantal gezinnen;Totaal aantal gezinnen;Friesland;92685.0
3;Totaal aantal gezinnen;Totaal aantal gezinnen;Totaal aantal gezinnen;Drenthe;45027.0
4;Totaal aantal gezinnen;Totaal aantal gezinnen;Totaal aantal gezinnen;Overijssel;107920.0
5;Totaal aantal gezinnen;Totaal aantal gezinnen;Totaal aantal gezinnen;Gelderland;170946.0
6;Totaal aantal gezinnen;Totaal aantal gezinnen;Totaal aantal gezinnen;Utrecht (provincie);89393.0
7;Totaal aantal gezinnen;Totaal aantal gezinnen;Totaal aantal gezinnen;Noord-Holland;355412.0
8;Totaal aantal gezinnen;Totaal aantal gezinnen;Totaal aantal gezinnen;Zuid-Holland;439137.0
9;Totaal aantal gezinnen;Totaal aantal gezinnen;Totaal aantal gezinnen;Zeeland;57842.0
10;Totaal aantal gezinnen;Totaal aantal gezinnen;Totaal aantal gezinnen;Noord-Brabant;169664.0
11;Totaal aantal gezinnen;Totaal aantal gezinnen;Totaal aantal gezinnen;Limburg;104139.0
12;Totaal aantal gezinnen;Totaal aantal gezinnen;Totaal aantal gezinnen;Gemeenten met meer dan 100000 inwoners;509379.0
13;Totaal aantal gezinnen;Totaal aantal gezinnen;Totaal aantal gezinnen;Gemeenten met 50001 - 100000 inwoners;172037.0
14;Totaal aantal gezinnen;Totaal aantal gezinnen;Totaal aantal gezinnen;Gemeenten met 20001 - 50000 inwoners;197911.0
15;Totaal aantal gezinnen;Totaal aantal gezinnen;Totaal aantal gezinnen;Gemeenten met 10001 - 20000 inwoners;247831.0
16;Totaal aantal gezinnen;Totaal aantal gezinnen;Totaal aantal gezinnen;Gemeenten met 5001 - 10000 inwoners;246559.0
17;Totaal aantal gezinnen;Totaal aantal gezinnen;Totaal aantal gezinnen;Gemeenten met 2001 - 5000 inwoners;249463.0
18;Totaal aantal gezinnen;Totaal aantal gezinnen;Totaal aantal gezinnen;Gemeenten met 1001 - 2000 inwoners;72082.0
19;Totaal aantal gezinnen;Totaal aantal gezinnen;Totaal aantal gezinnen;Gemeenten met 501 - 1000 inwoners;22993.0
20;Totaal aantal gezinnen;Totaal aantal gezinnen;Totaal aantal gezinnen;Gemeenten met 500 of minder inwoners;2489.0
