ID;AllPersonalCharacteristics;Periods;FeelsOccasionallyInsecure_1;ScaredToBeAtHomeAlone_2;ScaredToOpenTheFrontDoor_3;ScaryPlacesInTheNeighbourhood_4;ChangedOutdoorLeisureActivities_5;ChanceToHaveOneSHomeBrokenInto_6
0;10;1997;;19.6;56.1;24.1;15.6;9.3
1;10;1998;;19.1;55.0;22.7;15.4;8.6
2;10;1999;21.9;20.8;58.0;31.8;18.3;6.5
3;10;2000;20.8;20.8;56.8;29.9;15.5;5.7
4;10;2001;22.5;19.9;58.1;30.4;14.9;5.9
5;10;2002;25.4;18.7;58.2;30.6;14.3;5.9
6;10;2003;23.7;17.7;58.1;29.7;14.5;5.5
7;10;2004;21.8;17.0;61.7;29.6;12.3;5.0
8;11;1997;;6.0;37.7;12.0;8.2;8.3
9;11;1998;;5.3;35.9;11.7;9.5;7.7
10;11;1999;16.6;6.2;38.9;15.3;10.3;6.2
11;11;2000;15.7;5.7;38.6;14.9;8.8;5.4
12;11;2001;17.3;6.3;40.5;15.0;8.6;5.7
13;11;2002;19.9;6.2;40.5;16.5;7.1;5.4
14;11;2003;18.3;4.3;40.3;15.8;8.9;5.1
15;11;2004;16.7;5.3;44.9;15.9;7.5;4.8
16;12;1997;;33.0;74.0;36.0;22.7;10.3
17;12;1998;;32.9;73.6;33.6;21.2;9.5
18;12;1999;27.0;35.2;76.6;47.9;26.0;6.8
19;12;2000;25.8;35.6;74.6;44.6;22.0;5.9
20;12;2001;27.6;33.3;75.2;45.5;21.1;6.2
21;12;2002;30.9;31.0;75.5;44.5;21.3;6.5
22;12;2003;29.0;31.0;75.6;43.5;20.1;5.9
23;12;2004;26.8;28.4;78.0;43.1;17.0;5.3
24;14;1997;;37.6;68.9;35.8;17.6;4.6
25;14;1998;;36.6;69.0;32.1;13.0;5.3
26;14;1999;22.5;42.5;72.0;46.5;14.3;3.0
27;14;2000;21.5;36.5;70.4;43.7;15.4;2.1
28;14;2001;23.5;41.4;73.0;47.5;14.4;3.0
29;14;2002;25.7;32.2;75.7;43.8;14.2;3.1
30;14;2003;25.4;30.9;73.4;44.4;14.4;2.9
31;14;2004;22.3;35.4;74.4;45.8;11.7;2.5
32;15;1997;;27.1;48.8;25.1;12.8;6.8
33;15;1998;;26.4;47.4;24.7;15.9;6.4
34;15;1999;29.1;26.9;49.8;35.0;16.5;5.8
35;15;2000;27.1;31.3;50.8;32.9;17.7;4.1
36;15;2001;30.0;28.0;51.4;32.0;16.4;3.6
