ID;SBI1993BedrijfsgrootteVerzVorm;Perioden;ZiekteverzuimInclZwangerschapsverlof_1;ZiekteverzuimExclZwangerschapsverlof_2
0;A t/m O Totaal SBI'93;1993;6.7;6.2
1;A t/m O Totaal SBI'93;1994;5.5;4.9
2;A t/m O Totaal SBI'93;1995 4e kwartaal;5.6;5.0
3;A t/m O Totaal SBI'93;1995;5.5;4.9
4;A t/m O Totaal SBI'93;1996 1e kwartaal;5.8;5.3
5;A t/m O Totaal SBI'93;1996 2e kwartaal;4.9;4.4
6;A t/m O Totaal SBI'93;1996 3e kwartaal;4.6;4.1
7;A t/m O Totaal SBI'93;1996 4e kwartaal;5.2;4.6
8;A t/m O Totaal SBI'93;1996;5.1;4.6
9;A t/m O Totaal SBI'93;1997 1e kwartaal;5.4;4.9
10;A t/m O Totaal SBI'93;1997 2e kwartaal;5.0;4.4
11;A t/m O Totaal SBI'93;1997 3e kwartaal;4.7;4.1
12;A t/m O Totaal SBI'93;1997 4e kwartaal;5.4;4.9
13;A t/m O Totaal SBI'93;1997;5.1;4.6
14;A t/m O Totaal SBI'93;1998 1e kwartaal;5.8;5.2
15;A t/m O Totaal SBI'93;1998 2e kwartaal;5.5;4.9
16;A t/m O Totaal SBI'93;1998 3e kwartaal;5.1;4.5
17;A t/m O Totaal SBI'93;1998 4e kwartaal;6.0;5.3
18;A t/m O Totaal SBI'93;1998;5.6;5.0
19;A t/m O Totaal SBI'93;1999 1e kwartaal;6.5;5.9
20;A t/m O Totaal SBI'93;1999 2e kwartaal;5.6;5.0
21;A t/m O Totaal SBI'93;1999 3e kwartaal;5.5;4.9
22;A t/m O Totaal SBI'93;1999 4e kwartaal;6.2;5.6
23;A t/m O Totaal SBI'93;1999;6.0;5.4
24;A t/m O Totaal SBI'93;2000 1e kwartaal;6.5;5.9
25;A t/m O Totaal SBI'93;2000 2e kwartaal;5.9;5.3
26;A t/m O Totaal SBI'93;2000 3e kwartaal;5.8;5.2
27;A t/m O Totaal SBI'93;2000 4e kwartaal;6.3;5.6
28;A t/m O Totaal SBI'93;2000;6.1;5.5
29;A t/m O Totaal SBI'93;2001 1e kwartaal;6.4;5.8
30;A t/m O Totaal SBI'93;2001 2e kwartaal;6.0;5.3
31;A t/m O Totaal SBI'93;2001 3e kwartaal;5.7;5.1
32;A t/m O Totaal SBI'93;2001 4e kwartaal;6.1;5.5
33;A t/m O Totaal SBI'93;2001;6.1;5.4
34;A t/m O Totaal SBI'93;2002 1e kwartaal;6.5;5.9
35;A t/m O Totaal SBI'93;2002 2e kwartaal;6.0;5.4
36;A t/m O Totaal SBI'93;2002 3e kwartaal;5.6;5.0
37;A t/m O Totaal SBI'93;2002 4e kwartaal;6.1;5.5
38;A t/m O Totaal SBI'93;2002;6.1;5.4
39;A t/m O Totaal SBI'93;2003 1e kwartaal;6.0;5.3
40;A t/m O Totaal SBI'93;2003 2e kwartaal;5.3;4.7
41;A t/m O Totaal SBI'93;2003 3e kwartaal;4.7;4.1
42;A t/m O Totaal SBI'93;2003 4e kwartaal;5.5;4.9
43;A t/m O Totaal SBI'93;2003;5.3;4.8
44;A t/m O Totaal SBI'93;2004 1e kwartaal;5.7;5.1
45;A, B Landbouw en visserij;1993;3.9;3.7
46;A, B Landbouw en visserij;1994;4.0;3.6
47;A, B Landbouw en visserij;1995 4e kwartaal;4.5;4.2
48;A, B Landbouw en visserij;1995;4.0;3.8
49;A, B Landbouw en visserij;1996 1e kwartaal;4.4;3.9
50;A, B Landbouw en visserij;1996 2e kwartaal;3.7;3.4
51;A, B Landbouw en visserij;1996 3e kwartaal;3.1;2.9
52;A, B Landbouw en visserij;1996 4e kwartaal;3.6;3.4
53;A, B Landbouw en visserij;1996;3.7;3.4
54;A, B Landbouw en visserij;1997 1e kwartaal;4.2;4.0
55;A, B Landbouw en visserij;1997 2e kwartaal;3.3;3.2
56;A, B Landbouw en visserij;1997 3e kwartaal;3.4;3.2
57;A, B Landbouw en visserij;1997 4e kwartaal;3.6;3.5
58;A, B Landbouw en visserij;1997;3.6;3.5
59;A, B Landbouw en visserij;1998 1e kwartaal;3.6;3.4
60;A, B Landbouw en visserij;1998 2e kwartaal;3.4;3.1
61;A, B Landbouw en visserij;1998 3e kwartaal;3.4;3.2
62;A, B Landbouw en visserij;1998 4e kwartaal;3.9;3.7
63;A, B Landbouw en visserij;1998;3.6;3.4
64;A, B Landbouw en visserij;1999 1e kwartaal;4.3;4.1
65;A, B Landbouw en visserij;1999 2e kwartaal;3.2;2.9
66;A, B Landbouw en visserij;1999 3e kwartaal;3.8;3.5
67;A, B Landbouw en visserij;1999 4e kwartaal;4.4;4.0
68;A, B Landbouw en visserij;1999;3.9;3.6
69;A, B Landbouw en visserij;2000 1e kwartaal;4.2;4.0
70;A, B Landbouw en visserij;2000 2e kwartaal;4.3;3.9
71;A, B Landbouw en visserij;2000 3e kwartaal;4.0;3.7
72;A, B Landbouw en visserij;2000 4e kwartaal;4.4;4.1
73;A, B Landbouw en visserij;2000;4.2;3.9
74;A, B Landbouw en visserij;2001 1e kwartaal;4.0;3.7
75;A, B Landbouw en visserij;2001 2e kwartaal;3.9;3.3
76;A, B Landbouw en visserij;2001 3e kwartaal;3.7;3.4
77;A, B Landbouw en visserij;2001 4e kwartaal;3.1;3.0
78;A, B Landbouw en visserij;2001;3.7;3.4
79;A, B Landbouw en visserij;2002 1e kwartaal;4.6;4.3
80;A, B Landbouw en visserij;2002 2e kwartaal;3.6;3.4
81;A, B Landbouw en visserij;2002 3e kwartaal;3.8;3.5
82;A, B Landbouw en visserij;2002 4e kwartaal;4.6;4.4
83;A, B Landbouw en visserij;2002;4.1;3.9
84;A, B Landbouw en visserij;2003 1e kwartaal;2.9;2.8
85;A, B Landbouw en visserij;2003 2e kwartaal;2.1;2.0
86;A, B Landbouw en visserij;2003 3e kwartaal;2.3;2.2
87;A, B Landbouw en visserij;2003 4e kwartaal;3.4;3.3
88;A, B Landbouw en visserij;2003;2.7;2.6
89;A, B Landbouw en visserij;2004 1e kwartaal;3.5;3.3
90;C t/m F Nijverheid en energievoorziening;1993;7.6;7.4
91;C t/m F Nijverheid en energievoorziening;1994;5.8;5.6
92;C t/m F Nijverheid en energievoorziening;1995 4e kwartaal;5.7;5.4
93;C t/m F Nijverheid en energievoorziening;1995;5.9;5.6
94;C t/m F Nijverheid en energievoorziening;1996 1e kwartaal;5.7;5.5
95;C t/m F Nijverheid en energievoorziening;1996 2e kwartaal;4.9;4.7
96;C t/m F Nijverheid en energievoorziening;1996 3e kwartaal;4.5;4.3
97;C t/m F Nijverheid en energievoorziening;1996 4e kwartaal;5.2;5.0
98;C t/m F Nijverheid en energievoorziening;1996;5.1;4.9
99;C t/m F Nijverheid en energievoorziening;1997 1e kwartaal;5.6;5.4
100;C t/m F Nijverheid en energievoorziening;1997 2e kwartaal;5.1;4.9
101;C t/m F Nijverheid en energievoorziening;1997 3e kwartaal;5.0;4.7
102;C t/m F Nijverheid en energievoorziening;1997 4e kwartaal;5.8;5.6
103;C t/m F Nijverheid en energievoorziening;1997;5.4;5.2
104;C t/m F Nijverheid en energievoorziening;1998 1e kwartaal;6.0;5.8
105;C t/m F Nijverheid en energievoorziening;1998 2e kwartaal;5.9;5.6
106;C t/m F Nijverheid en energievoorziening;1998 3e kwartaal;5.5;5.2
107;C t/m F Nijverheid en energievoorziening;1998 4e kwartaal;6.2;6.0
108;C t/m F Nijverheid en energievoorziening;1998;5.9;5.7
109;C t/m F Nijverheid en energievoorziening;1999 1e kwartaal;6.7;6.5
110;C t/m F Nijverheid en energievoorziening;1999 2e kwartaal;5.9;5.7
111;C t/m F Nijverheid en energievoorziening;1999 3e kwartaal;5.6;5.4
112;C t/m F Nijverheid en energievoorziening;1999 4e kwartaal;6.7;6.5
113;C t/m F Nijverheid en energievoorziening;1999;6.2;6.0
114;C t/m F Nijverheid en energievoorziening;2000 1e kwartaal;6.7;6.5
115;C t/m F Nijverheid en energievoorziening;2000 2e kwartaal;6.1;5.9
116;C t/m F Nijverheid en energievoorziening;2000 3e kwartaal;5.8;5.5
117;C t/m F Nijverheid en energievoorziening;2000 4e kwartaal;6.6;6.4
118;C t/m F Nijverheid en energievoorziening;2000;6.3;6.1
119;C t/m F Nijverheid en energievoorziening;2001 1e kwartaal;6.6;6.4
120;C t/m F Nijverheid en energievoorziening;2001 2e kwartaal;6.2;6.0
121;C t/m F Nijverheid en energievoorziening;2001 3e kwartaal;5.8;5.6
122;C t/m F Nijverheid en energievoorziening;2001 4e kwartaal;6.5;6.3
123;C t/m F Nijverheid en energievoorziening;2001;6.3;6.1
124;C t/m F Nijverheid en energievoorziening;2002 1e kwartaal;6.8;6.6
125;C t/m F Nijverheid en energievoorziening;2002 2e kwartaal;6.2;6.0
126;C t/m F Nijverheid en energievoorziening;2002 3e kwartaal;5.7;5.5
127;C t/m F Nijverheid en energievoorziening;2002 4e kwartaal;6.5;6.3
128;C t/m F Nijverheid en energievoorziening;2002;6.3;6.1
129;C t/m F Nijverheid en energievoorziening;2003 1e kwartaal;6.2;5.9
130;C t/m F Nijverheid en energievoorziening;2003 2e kwartaal;5.5;5.3
131;C t/m F Nijverheid en energievoorziening;2003 3e kwartaal;5.1;4.9
132;C t/m F Nijverheid en energievoorziening;2003 4e kwartaal;5.7;5.5
133;C t/m F Nijverheid en energievoorziening;2003;5.6;5.4
134;C t/m F Nijverheid en energievoorziening;2004 1e kwartaal;5.9;5.6
135;G t/m K Commerciële dienstverlening;1993;5.8;5.3
136;G t/m K Commerciële dienstverlening;1994;4.7;4.2
137;G t/m K Commerciële dienstverlening;1995 4e kwartaal;5.0;4.4
138;G t/m K Commerciële dienstverlening;1995;4.8;4.1
139;G t/m K Commerciële dienstverlening;1996 1e kwartaal;5.1;4.7
140;G t/m K Commerciële dienstverlening;1996 2e kwartaal;4.3;3.8
141;G t/m K Commerciële dienstverlening;1996 3e kwartaal;4.1;3.6
142;G t/m K Commerciële dienstverlening;1996 4e kwartaal;4.6;4.1
143;G t/m K Commerciële dienstverlening;1996;4.5;4.1
144;G t/m K Commerciële dienstverlening;1997 1e kwartaal;4.5;4.0
145;G t/m K Commerciële dienstverlening;1997 2e kwartaal;4.3;3.8
146;G t/m K Commerciële dienstverlening;1997 3e kwartaal;4.0;3.4
147;G t/m K Commerciële dienstverlening;1997 4e kwartaal;4.6;4.1
148;G t/m K Commerciële dienstverlening;1997;4.4;3.8
149;G t/m K Commerciële dienstverlening;1998 1e kwartaal;4.9;4.4
150;G t/m K Commerciële dienstverlening;1998 2e kwartaal;4.6;4.1
151;G t/m K Commerciële dienstverlening;1998 3e kwartaal;4.3;3.8
152;G t/m K Commerciële dienstverlening;1998 4e kwartaal;5.2;4.6
153;G t/m K Commerciële dienstverlening;1998;4.8;4.2
154;G t/m K Commerciële dienstverlening;1999 1e kwartaal;5.7;5.1
155;G t/m K Commerciële dienstverlening;1999 2e kwartaal;4.9;4.3
156;G t/m K Commerciële dienstverlening;1999 3e kwartaal;4.8;4.2
157;G t/m K Commerciële dienstverlening;1999 4e kwartaal;5.3;4.7
158;G t/m K Commerciële dienstverlening;1999;5.2;4.6
159;G t/m K Commerciële dienstverlening;2000 1e kwartaal;5.7;5.1
160;G t/m K Commerciële dienstverlening;2000 2e kwartaal;5.2;4.6
161;G t/m K Commerciële dienstverlening;2000 3e kwartaal;5.2;4.7
162;G t/m K Commerciële dienstverlening;2000 4e kwartaal;5.4;4.8
163;G t/m K Commerciële dienstverlening;2000;5.4;4.8
164;G t/m K Commerciële dienstverlening;2001 1e kwartaal;5.6;5.0
165;G t/m K Commerciële dienstverlening;2001 2e kwartaal;5.2;4.6
166;G t/m K Commerciële dienstverlening;2001 3e kwartaal;5.1;4.6
167;G t/m K Commerciële dienstverlening;2001 4e kwartaal;5.4;4.8
168;G t/m K Commerciële dienstverlening;2001;5.3;4.8
169;G t/m K Commerciële dienstverlening;2002 1e kwartaal;5.8;5.1
170;G t/m K Commerciële dienstverlening;2002 2e kwartaal;5.4;4.8
171;G t/m K Commerciële dienstverlening;2002 3e kwartaal;5.0;4.5
172;G t/m K Commerciële dienstverlening;2002 4e kwartaal;5.6;4.9
173;G t/m K Commerciële dienstverlening;2002;5.4;4.8
174;G t/m K Commerciële dienstverlening;2003 1e kwartaal;5.4;4.8
175;G t/m K Commerciële dienstverlening;2003 2e kwartaal;4.7;4.1
176;G t/m K Commerciële dienstverlening;2003 3e kwartaal;4.2;3.6
177;G t/m K Commerciële dienstverlening;2003 4e kwartaal;4.8;4.2
178;G t/m K Commerciële dienstverlening;2003;4.8;4.2
179;G t/m K Commerciële dienstverlening;2004 1e kwartaal;5.0;4.4
180;L t/m O Niet-commerc.dienstv.(gn huish);1993;8.0;6.7
181;L t/m O Niet-commerc.dienstv.(gn huish);1994;7.2;5.9
182;L t/m O Niet-commerc.dienstv.(gn huish);1995 4e kwartaal;7.2;6.0
183;L t/m O Niet-commerc.dienstv.(gn huish);1995;7.3;6.1
184;L t/m O Niet-commerc.dienstv.(gn huish);1996 1e kwartaal;7.5;6.6
185;L t/m O Niet-commerc.dienstv.(gn huish);1996 2e kwartaal;6.6;5.7
186;L t/m O Niet-commerc.dienstv.(gn huish);1996 3e kwartaal;6.3;5.1
187;L t/m O Niet-commerc.dienstv.(gn huish);1996 4e kwartaal;7.2;6.0
188;L t/m O Niet-commerc.dienstv.(gn huish);1996;6.9;5.9
189;L t/m O Niet-commerc.dienstv.(gn huish);1997 1e kwartaal;7.8;6.7
190;L t/m O Niet-commerc.dienstv.(gn huish);1997 2e kwartaal;6.9;5.8
191;L t/m O Niet-commerc.dienstv.(gn huish);1997 3e kwartaal;6.7;5.4
192;L t/m O Niet-commerc.dienstv.(gn huish);1997 4e kwartaal;7.5;6.3
193;L t/m O Niet-commerc.dienstv.(gn huish);1997;7.2;6.1
194;L t/m O Niet-commerc.dienstv.(gn huish);1998 1e kwartaal;8.0;6.7
195;L t/m O Niet-commerc.dienstv.(gn huish);1998 2e kwartaal;7.6;6.4
196;L t/m O Niet-commerc.dienstv.(gn huish);1998 3e kwartaal;7.0;5.7
197;L t/m O Niet-commerc.dienstv.(gn huish);1998 4e kwartaal;8.1;6.8
198;L t/m O Niet-commerc.dienstv.(gn huish);1998;7.7;6.4
199;L t/m O Niet-commerc.dienstv.(gn huish);1999 1e kwartaal;8.9;7.7
