ID;GeharmoniseerdSysteem;Perioden;BalassaIndex_1;AandeelHoofdstukInDeTotaleUitvoer_2;UitvoerNederlandsProduct_3;Wederuitvoer_4
0;Totaal goederen;1996;1.0;100.0;;
1;Totaal goederen;1997;1.0;100.0;;
2;Totaal goederen;1998;1.0;100.0;;
3;Totaal goederen;1999;1.0;100.0;;
4;Totaal goederen;2000;1.0;100.0;;
5;Totaal goederen;2001;1.0;100.0;;
6;Totaal goederen;2002;1.0;100.0;57.8;42.2
7;Totaal goederen;2003;1.0;100.0;58.2;41.8
8;Totaal goederen;2004;1.0;100.0;56.6;43.4
9;Totaal goederen;2005;1.0;100.0;56.6;43.4
10;Totaal goederen;2006;1.0;100.0;56.1;43.9
11;Totaal goederen;2007;1.0;100.0;55.3;44.7
12;Totaal goederen;2008;1.0;100.0;58.2;41.8
13;Totaal goederen;2009;1.0;100.0;55.6;44.4
14;Totaal goederen;2010;1.0;100.0;55.6;44.4
15;Totaal goederen;2011;1.0;100.0;56.4;43.6
16;Totaal goederen;2012;1.0;100.0;54.4;45.6
17;Totaal goederen;2013;1.0;100.0;53.9;46.1
18;Totaal goederen;2014;1.0;100.0;54.9;45.1
19;Totaal goederen;2015;1.0;100.0;57.9;42.1
20;Totaal goederen;2016;1.0;100.0;56.2;43.8
21;Totaal goederen;2017;1.0;100.0;55.8;44.2
22;Totaal goederen;2018;1.0;100.0;56.0;44.0
23;Totaal goederen;2019;1.0;100.0;55.3;44.7
24;Totaal goederen;2020;1.0;100.0;54.7;45.3
25;Totaal goederen;2021;1.0;100.0;55.0;45.0
26;01 Levende dieren;1996;3.3;0.7;;
27;01 Levende dieren;1997;1.3;0.3;;
28;01 Levende dieren;1998;1.3;0.3;;
29;01 Levende dieren;1999;1.8;0.4;;
30;01 Levende dieren;2000;1.9;0.4;;
31;01 Levende dieren;2001;2.6;0.4;;
32;01 Levende dieren;2002;2.6;0.4;94.0;6.0
33;01 Levende dieren;2003;2.2;0.4;91.1;8.9
34;01 Levende dieren;2004;2.6;0.4;89.3;10.7
35;01 Levende dieren;2005;2.7;0.5;90.5;9.5
36;01 Levende dieren;2006;2.9;0.5;89.2;10.8
37;01 Levende dieren;2007;2.5;0.4;87.8;12.2
38;01 Levende dieren;2008;3.0;0.5;87.3;12.7
39;01 Levende dieren;2009;2.9;0.6;85.0;15.0
40;01 Levende dieren;2010;2.9;0.5;88.2;11.8
41;01 Levende dieren;2011;2.7;0.5;86.7;13.3
42;01 Levende dieren;2012;2.6;0.5;90.0;10.0
43;01 Levende dieren;2013;2.8;0.5;88.3;11.7
44;01 Levende dieren;2014;2.4;0.5;86.4;13.6
45;01 Levende dieren;2015;2.4;0.4;84.4;15.6
46;01 Levende dieren;2016;2.6;0.5;82.8;17.2
47;01 Levende dieren;2017;2.3;0.5;85.1;14.9
48;01 Levende dieren;2018;2.0;0.4;83.3;16.7
49;01 Levende dieren;2019;2.0;0.4;80.0;20.0
50;01 Levende dieren;2020;1.7;0.4;86.0;14.0
51;01 Levende dieren;2021;1.6;0.3;80.4;19.6
52;02 Vlees en eetbare slachtafvallen;1996;3.1;2.7;;
