ID;GeharmoniseerdSysteem;Perioden;BalassaIndex_1;AandeelHoofdstukInDeTotaleUitvoer_2;UitvoerNederlandsProduct_3;Wederuitvoer_4
53;02 Vlees en eetbare slachtafvallen;1997;3.0;2.5;;
54;02 Vlees en eetbare slachtafvallen;1998;3.1;2.4;;
55;02 Vlees en eetbare slachtafvallen;1999;3.1;2.3;;
56;02 Vlees en eetbare slachtafvallen;2000;3.0;2.1;;
57;02 Vlees en eetbare slachtafvallen;2001;2.7;1.9;;
58;02 Vlees en eetbare slachtafvallen;2002;2.8;1.9;89.1;10.9
59;02 Vlees en eetbare slachtafvallen;2003;2.6;1.9;86.2;13.8
60;02 Vlees en eetbare slachtafvallen;2004;2.5;1.8;88.1;11.9
61;02 Vlees en eetbare slachtafvallen;2005;2.5;1.8;86.6;13.4
62;02 Vlees en eetbare slachtafvallen;2006;2.4;1.7;85.2;14.8
63;02 Vlees en eetbare slachtafvallen;2007;2.4;1.7;86.2;13.8
64;02 Vlees en eetbare slachtafvallen;2008;2.2;1.7;88.1;11.9
65;02 Vlees en eetbare slachtafvallen;2009;2.1;1.9;88.0;12.0
66;02 Vlees en eetbare slachtafvallen;2010;2.0;1.6;89.0;11.0
67;02 Vlees en eetbare slachtafvallen;2011;2.0;1.7;89.4;10.6
68;02 Vlees en eetbare slachtafvallen;2012;2.0;1.7;89.4;10.6
69;02 Vlees en eetbare slachtafvallen;2013;2.0;1.7;90.0;10.0
70;02 Vlees en eetbare slachtafvallen;2014;2.1;1.8;89.8;10.2
71;02 Vlees en eetbare slachtafvallen;2015;2.2;1.8;88.5;11.5
72;02 Vlees en eetbare slachtafvallen;2016;2.2;1.8;88.2;11.8
73;02 Vlees en eetbare slachtafvallen;2017;2.1;1.7;86.9;13.1
74;02 Vlees en eetbare slachtafvallen;2018;2.1;1.6;88.6;11.4
75;02 Vlees en eetbare slachtafvallen;2019;2.1;1.7;89.3;10.7
76;02 Vlees en eetbare slachtafvallen;2020;1.9;1.8;88.2;11.8
77;02 Vlees en eetbare slachtafvallen;2021;1.9;1.6;88.1;11.9
78;03 Vis, schaaldieren, weekdieren en a...;1996;1.9;0.7;;
79;03 Vis, schaaldieren, weekdieren en a...;1997;1.8;0.7;;
80;03 Vis, schaaldieren, weekdieren en a...;1998;1.7;0.6;;
81;03 Vis, schaaldieren, weekdieren en a...;1999;1.8;0.7;;
82;03 Vis, schaaldieren, weekdieren en a...;2000;1.8;0.7;;
83;03 Vis, schaaldieren, weekdieren en a...;2001;1.8;0.7;;
84;03 Vis, schaaldieren, weekdieren en a...;2002;1.7;0.6;63.9;36.1
85;03 Vis, schaaldieren, weekdieren en a...;2003;1.8;0.7;61.7;38.3
86;03 Vis, schaaldieren, weekdieren en a...;2004;1.9;0.7;64.9;35.1
87;03 Vis, schaaldieren, weekdieren en a...;2005;1.8;0.7;68.0;32.0
88;03 Vis, schaaldieren, weekdieren en a...;2006;1.7;0.6;66.3;33.7
89;03 Vis, schaaldieren, weekdieren en a...;2007;1.6;0.5;66.1;33.9
90;03 Vis, schaaldieren, weekdieren en a...;2008;1.5;0.5;69.3;30.7
91;03 Vis, schaaldieren, weekdieren en a...;2009;1.4;0.6;64.6;35.4
92;03 Vis, schaaldieren, weekdieren en a...;2010;1.3;0.5;62.7;37.3
93;03 Vis, schaaldieren, weekdieren en a...;2011;1.3;0.5;63.2;36.8
94;03 Vis, schaaldieren, weekdieren en a...;2012;1.3;0.5;71.3;28.7
95;03 Vis, schaaldieren, weekdieren en a...;2013;1.2;0.5;67.6;32.4
96;03 Vis, schaaldieren, weekdieren en a...;2014;1.3;0.5;70.8;29.2
97;03 Vis, schaaldieren, weekdieren en a...;2015;1.3;0.6;74.7;25.3
98;03 Vis, schaaldieren, weekdieren en a...;2016;1.3;0.6;74.1;25.9
99;03 Vis, schaaldieren, weekdieren en a...;2017;1.3;0.6;71.9;28.1
100;03 Vis, schaaldieren, weekdieren en a...;2018;1.3;0.6;71.9;28.1
101;03 Vis, schaaldieren, weekdieren en a...;2019;1.4;0.6;74.6;25.4
102;03 Vis, schaaldieren, weekdieren en a...;2020;1.4;0.6;72.5;27.5
103;03 Vis, schaaldieren, weekdieren en a...;2021;1.4;0.6;71.4;28.6
104;"04 Melk en zuivelproducten; vogeleier...";1996;2.8;2.6;;
105;"04 Melk en zuivelproducten; vogeleier...";1997;2.7;2.4;;
106;"04 Melk en zuivelproducten; vogeleier...";1998;2.7;2.3;;
107;"04 Melk en zuivelproducten; vogeleier...";1999;2.7;2.1;;
108;"04 Melk en zuivelproducten; vogeleier...";2000;2.7;2.0;;
109;"04 Melk en zuivelproducten; vogeleier...";2001;2.6;2.0;;
110;"04 Melk en zuivelproducten; vogeleier...";2002;2.7;1.9;84.3;15.7
111;"04 Melk en zuivelproducten; vogeleier...";2003;2.5;1.9;83.8;16.2
112;"04 Melk en zuivelproducten; vogeleier...";2004;2.4;1.8;82.4;17.6
113;"04 Melk en zuivelproducten; vogeleier...";2005;2.2;1.6;84.0;16.0
114;"04 Melk en zuivelproducten; vogeleier...";2006;2.2;1.5;84.5;15.5
115;"04 Melk en zuivelproducten; vogeleier...";2007;2.0;1.5;83.6;16.4
116;"04 Melk en zuivelproducten; vogeleier...";2008;2.1;1.6;83.8;16.2
117;"04 Melk en zuivelproducten; vogeleier...";2009;2.0;1.7;84.7;15.3
118;"04 Melk en zuivelproducten; vogeleier...";2010;2.0;1.7;85.2;14.8
119;"04 Melk en zuivelproducten; vogeleier...";2011;2.0;1.7;84.1;15.9
120;"04 Melk en zuivelproducten; vogeleier...";2012;1.9;1.6;84.1;15.9
121;"04 Melk en zuivelproducten; vogeleier...";2013;2.0;1.8;84.8;15.2
122;"04 Melk en zuivelproducten; vogeleier...";2014;2.0;1.8;85.3;14.7
123;"04 Melk en zuivelproducten; vogeleier...";2015;2.0;1.7;83.2;16.8
124;"04 Melk en zuivelproducten; vogeleier...";2016;2.1;1.7;82.9;17.1
125;"04 Melk en zuivelproducten; vogeleier...";2017;2.2;1.9;80.6;19.4
126;"04 Melk en zuivelproducten; vogeleier...";2018;2.1;1.7;80.9;19.1
127;"04 Melk en zuivelproducten; vogeleier...";2019;2.0;1.7;81.4;18.6
128;"04 Melk en zuivelproducten; vogeleier...";2020;1.8;1.7;80.9;19.1
129;"04 Melk en zuivelproducten; vogeleier...";2021;1.7;1.5;80.4;19.6
130;05 Andere producten van dierlijke oor...;1996;2.9;0.2;;
131;05 Andere producten van dierlijke oor...;1997;2.4;0.1;;
132;05 Andere producten van dierlijke oor...;1998;2.3;0.1;;
133;05 Andere producten van dierlijke oor...;1999;2.4;0.1;;
134;05 Andere producten van dierlijke oor...;2000;2.4;0.1;;
135;05 Andere producten van dierlijke oor...;2001;2.1;0.1;;
136;05 Andere producten van dierlijke oor...;2002;2.3;0.1;57.5;42.5
137;05 Andere producten van dierlijke oor...;2003;1.9;0.1;45.2;54.8
138;05 Andere producten van dierlijke oor...;2004;1.8;0.1;66.7;33.3
139;05 Andere producten van dierlijke oor...;2005;1.9;0.1;51.8;48.2
140;05 Andere producten van dierlijke oor...;2006;1.9;0.1;43.3;56.7
141;05 Andere producten van dierlijke oor...;2007;2.1;0.1;54.3;45.7
142;05 Andere producten van dierlijke oor...;2008;2.2;0.1;54.2;45.8
143;05 Andere producten van dierlijke oor...;2009;2.5;0.1;36.0;64.0
144;05 Andere producten van dierlijke oor...;2010;2.2;0.1;47.3;52.7
145;05 Andere producten van dierlijke oor...;2011;2.1;0.1;28.6;71.4
146;05 Andere producten van dierlijke oor...;2012;1.9;0.1;34.7;65.3
147;05 Andere producten van dierlijke oor...;2013;1.8;0.1;44.8;55.2
148;05 Andere producten van dierlijke oor...;2014;2.1;0.1;46.6;53.4
149;05 Andere producten van dierlijke oor...;2015;2.2;0.1;48.6;51.4
150;05 Andere producten van dierlijke oor...;2016;2.2;0.1;40.9;59.1
151;05 Andere producten van dierlijke oor...;2017;1.9;0.1;41.0;59.0
152;05 Andere producten van dierlijke oor...;2018;2.0;0.1;38.8;61.2
153;05 Andere producten van dierlijke oor...;2019;1.8;0.1;40.9;59.1
154;05 Andere producten van dierlijke oor...;2020;1.9;0.1;35.9;64.1
155;05 Andere producten van dierlijke oor...;2021;1.7;0.1;32.7;67.3
156;06 Levende planten en producten van d...;1996;30.6;3.1;;
157;06 Levende planten en producten van d...;1997;29.3;2.9;;
158;06 Levende planten en producten van d...;1998;29.0;2.9;;
159;06 Levende planten en producten van d...;1999;29.7;3.0;;
160;06 Levende planten en producten van d...;2000;29.0;2.7;;
161;06 Levende planten en producten van d...;2001;28.5;2.7;;
162;06 Levende planten en producten van d...;2002;28.8;2.9;96.1;3.9
163;06 Levende planten en producten van d...;2003;28.2;2.9;95.9;4.1
164;06 Levende planten en producten van d...;2004;28.3;2.7;96.6;3.4
165;06 Levende planten en producten van d...;2005;28.5;2.6;96.6;3.4
166;06 Levende planten en producten van d...;2006;27.5;2.4;96.5;3.5
167;06 Levende planten en producten van d...;2007;25.3;2.2;95.9;4.1
168;06 Levende planten en producten van d...;2008;23.2;2.1;95.8;4.2
169;06 Levende planten en producten van d...;2009;21.7;2.4;95.7;4.3
170;06 Levende planten en producten van d...;2010;21.6;2.1;96.2;3.8
171;06 Levende planten en producten van d...;2011;20.6;2.0;96.2;3.8
172;06 Levende planten en producten van d...;2012;20.1;1.9;95.9;4.1
173;06 Levende planten en producten van d...;2013;19.8;1.9;95.4;4.6
174;06 Levende planten en producten van d...;2014;20.3;1.9;95.1;4.9
175;06 Levende planten en producten van d...;2015;22.7;1.9;96.4;3.6
176;06 Levende planten en producten van d...;2016;22.6;2.1;96.0;4.0
177;06 Levende planten en producten van d...;2017;22.2;1.9;95.1;4.9
178;06 Levende planten en producten van d...;2018;20.8;1.8;94.7;5.3
179;06 Levende planten en producten van d...;2019;20.7;1.8;94.7;5.3
180;06 Levende planten en producten van d...;2020;19.4;2.0;94.5;5.5
181;06 Levende planten en producten van d...;2021;19.3;2.0;93.2;6.8
182;07 Groenten, planten, wortels en knol...;1996;5.4;1.9;;
183;07 Groenten, planten, wortels en knol...;1997;5.3;1.8;;
184;07 Groenten, planten, wortels en knol...;1998;4.8;1.8;;
185;07 Groenten, planten, wortels en knol...;1999;4.7;1.6;;
186;07 Groenten, planten, wortels en knol...;2000;4.7;1.5;;
187;07 Groenten, planten, wortels en knol...;2001;4.4;1.5;;
188;07 Groenten, planten, wortels en knol...;2002;4.7;1.7;83.0;17.0
189;07 Groenten, planten, wortels en knol...;2003;4.8;1.8;83.9;16.1
190;07 Groenten, planten, wortels en knol...;2004;4.6;1.5;84.6;15.4
191;07 Groenten, planten, wortels en knol...;2005;4.3;1.4;84.5;15.5
192;07 Groenten, planten, wortels en knol...;2006;4.5;1.4;84.9;15.1
193;07 Groenten, planten, wortels en knol...;2007;4.4;1.4;83.8;16.2
194;07 Groenten, planten, wortels en knol...;2008;4.3;1.4;83.7;16.3
195;07 Groenten, planten, wortels en knol...;2009;3.9;1.6;85.3;14.7
196;07 Groenten, planten, wortels en knol...;2010;4.3;1.6;85.0;15.0
197;07 Groenten, planten, wortels en knol...;2011;4.0;1.3;84.3;15.7
198;07 Groenten, planten, wortels en knol...;2012;3.8;1.3;83.1;16.9
199;07 Groenten, planten, wortels en knol...;2013;3.7;1.4;84.2;15.8
200;07 Groenten, planten, wortels en knol...;2014;3.8;1.3;86.0;14.0
201;07 Groenten, planten, wortels en knol...;2015;4.1;1.5;85.7;14.3
202;07 Groenten, planten, wortels en knol...;2016;3.9;1.5;84.7;15.3
203;07 Groenten, planten, wortels en knol...;2017;3.9;1.4;84.4;15.6
204;07 Groenten, planten, wortels en knol...;2018;3.9;1.3;84.0;16.0
205;07 Groenten, planten, wortels en knol...;2019;3.8;1.4;82.8;17.2
206;07 Groenten, planten, wortels en knol...;2020;3.4;1.5;82.1;17.9
207;07 Groenten, planten, wortels en knol...;2021;3.2;1.2;81.6;18.4
208;"08 Fruit; schillen van citrusvruchten...";1996;1.4;0.8;;
209;"08 Fruit; schillen van citrusvruchten...";1997;1.4;0.8;;
210;"08 Fruit; schillen van citrusvruchten...";1998;1.4;0.7;;
211;"08 Fruit; schillen van citrusvruchten...";1999;1.6;0.8;;
212;"08 Fruit; schillen van citrusvruchten...";2000;1.4;0.6;;
213;"08 Fruit; schillen van citrusvruchten...";2001;1.4;0.6;;
214;"08 Fruit; schillen van citrusvruchten...";2002;1.4;0.7;29.5;70.5
215;"08 Fruit; schillen van citrusvruchten...";2003;1.5;0.8;31.0;69.0
216;"08 Fruit; schillen van citrusvruchten...";2004;1.8;0.8;30.4;69.6
217;"08 Fruit; schillen van citrusvruchten...";2005;1.7;0.8;32.2;67.8
218;"08 Fruit; schillen van citrusvruchten...";2006;1.7;0.8;31.0;69.0
219;"08 Fruit; schillen van citrusvruchten...";2007;1.8;0.8;29.1;70.9
220;"08 Fruit; schillen van citrusvruchten...";2008;1.9;0.9;27.5;72.5
221;"08 Fruit; schillen van citrusvruchten...";2009;1.8;1.0;27.4;72.6
222;"08 Fruit; schillen van citrusvruchten...";2010;1.8;0.9;27.3;72.7
223;"08 Fruit; schillen van citrusvruchten...";2011;1.8;0.8;28.6;71.4
224;"08 Fruit; schillen van citrusvruchten...";2012;1.7;0.8;26.4;73.6
225;"08 Fruit; schillen van citrusvruchten...";2013;1.9;0.9;24.2;75.8
226;"08 Fruit; schillen van citrusvruchten...";2014;1.9;1.0;23.8;76.2
227;"08 Fruit; schillen van citrusvruchten...";2015;1.9;1.0;24.2;75.8
228;"08 Fruit; schillen van citrusvruchten...";2016;2.1;1.2;22.6;77.4
229;"08 Fruit; schillen van citrusvruchten...";2017;2.3;1.2;22.5;77.5
230;"08 Fruit; schillen van citrusvruchten...";2018;2.5;1.2;22.4;77.6
231;"08 Fruit; schillen van citrusvruchten...";2019;2.6;1.2;20.3;79.7
232;"08 Fruit; schillen van citrusvruchten...";2020;2.5;1.4;21.9;78.1
233;"08 Fruit; schillen van citrusvruchten...";2021;2.4;1.2;24.0;76.0
234;09 Koffie, thee, maté en specerijen;1996;0.9;0.1;;
235;09 Koffie, thee, maté en specerijen;1997;0.9;0.1;;
236;09 Koffie, thee, maté en specerijen;1998;0.9;0.1;;
237;09 Koffie, thee, maté en specerijen;1999;1.0;0.1;;
238;09 Koffie, thee, maté en specerijen;2000;1.1;0.1;;
239;09 Koffie, thee, maté en specerijen;2001;0.9;0.1;;
240;09 Koffie, thee, maté en specerijen;2002;0.9;0.1;44.4;55.6
241;09 Koffie, thee, maté en specerijen;2003;1.0;0.1;47.1;52.9
242;09 Koffie, thee, maté en specerijen;2004;1.1;0.1;54.4;45.6
243;09 Koffie, thee, maté en specerijen;2005;0.9;0.1;61.0;39.0
244;09 Koffie, thee, maté en specerijen;2006;1.0;0.1;65.9;34.1
245;09 Koffie, thee, maté en specerijen;2007;1.1;0.1;64.5;35.5
246;09 Koffie, thee, maté en specerijen;2008;0.9;0.1;65.8;34.2
247;09 Koffie, thee, maté en specerijen;2009;0.9;0.2;53.3;46.7
248;09 Koffie, thee, maté en specerijen;2010;0.9;0.2;53.6;46.4
249;09 Koffie, thee, maté en specerijen;2011;0.9;0.2;49.1;50.9
250;09 Koffie, thee, maté en specerijen;2012;0.9;0.2;45.2;54.8
251;09 Koffie, thee, maté en specerijen;2013;0.9;0.2;51.1;48.9
252;09 Koffie, thee, maté en specerijen;2014;1.0;0.2;51.2;48.8
253;09 Koffie, thee, maté en specerijen;2015;1.0;0.2;52.2;47.8
254;09 Koffie, thee, maté en specerijen;2016;1.1;0.2;55.9;44.1
255;09 Koffie, thee, maté en specerijen;2017;1.1;0.2;68.1;31.9
256;09 Koffie, thee, maté en specerijen;2018;1.2;0.2;56.9;43.1
257;09 Koffie, thee, maté en specerijen;2019;1.1;0.2;54.8;45.2
258;09 Koffie, thee, maté en specerijen;2020;1.1;0.2;50.6;49.4
259;09 Koffie, thee, maté en specerijen;2021;1.1;0.2;56.2;43.8
260;10 Granen;1996;0.2;0.1;;
261;10 Granen;1997;0.3;0.1;;
262;10 Granen;1998;0.3;0.1;;
263;10 Granen;1999;0.3;0.1;;
264;10 Granen;2000;0.2;0.1;;
265;10 Granen;2001;0.3;0.1;;
266;10 Granen;2002;0.3;0.1;35.0;65.0
267;10 Granen;2003;0.3;0.1;38.3;61.7
268;10 Granen;2004;0.3;0.1;20.5;79.5
269;10 Granen;2005;0.4;0.1;37.0;63.0
270;10 Granen;2006;0.3;0.1;48.8;51.2
271;10 Granen;2007;0.4;0.1;39.7;60.3
272;10 Granen;2008;0.4;0.2;39.7;60.3
273;10 Granen;2009;0.3;0.1;34.1;65.9
274;10 Granen;2010;0.3;0.1;40.1;59.9
275;10 Granen;2011;0.3;0.1;28.2;71.8
276;10 Granen;2012;0.3;0.1;31.1;68.9
277;10 Granen;2013;0.3;0.1;35.0;65.0
278;10 Granen;2014;0.3;0.1;40.6;59.4
279;10 Granen;2015;0.3;0.1;46.1;53.9
280;10 Granen;2016;0.3;0.1;44.3;55.7
281;10 Granen;2017;0.3;0.1;38.9;61.1
282;10 Granen;2018;0.3;0.1;40.3;59.7
283;10 Granen;2019;0.3;0.1;39.1;60.9
284;10 Granen;2020;0.2;0.1;32.3;67.7
285;10 Granen;2021;0.2;0.1;43.4;56.6
286;"11 Producten van de meelindustrie; mo...";1996;1.5;0.3;;
287;"11 Producten van de meelindustrie; mo...";1997;1.5;0.3;;
288;"11 Producten van de meelindustrie; mo...";1998;1.6;0.2;;
289;"11 Producten van de meelindustrie; mo...";1999;1.6;0.2;;
290;"11 Producten van de meelindustrie; mo...";2000;1.7;0.2;;
291;"11 Producten van de meelindustrie; mo...";2001;1.6;0.2;;
292;"11 Producten van de meelindustrie; mo...";2002;1.7;0.2;96.0;4.0
293;"11 Producten van de meelindustrie; mo...";2003;1.7;0.2;96.6;3.4
294;"11 Producten van de meelindustrie; mo...";2004;1.6;0.2;93.0;7.0
295;"11 Producten van de meelindustrie; mo...";2005;1.5;0.2;93.4;6.6
296;"11 Producten van de meelindustrie; mo...";2006;1.6;0.2;95.0;5.0
297;"11 Producten van de meelindustrie; mo...";2007;1.3;0.1;83.2;16.8
298;"11 Producten van de meelindustrie; mo...";2008;1.1;0.1;82.5;17.5
299;"11 Producten van de meelindustrie; mo...";2009;1.1;0.2;82.2;17.8
300;"11 Producten van de meelindustrie; mo...";2010;1.1;0.1;88.1;11.9
301;"11 Producten van de meelindustrie; mo...";2011;1.2;0.2;81.5;18.5
302;"11 Producten van de meelindustrie; mo...";2012;1.1;0.1;76.7;23.3
303;"11 Producten van de meelindustrie; mo...";2013;1.1;0.2;82.3;17.7
304;"11 Producten van de meelindustrie; mo...";2014;1.1;0.2;85.6;14.4
305;"11 Producten van de meelindustrie; mo...";2015;1.1;0.2;86.3;13.7
306;"11 Producten van de meelindustrie; mo...";2016;1.1;0.1;86.6;13.4
307;"11 Producten van de meelindustrie; mo...";2017;1.1;0.1;89.0;11.0
308;"11 Producten van de meelindustrie; mo...";2018;1.1;0.1;86.9;13.1
309;"11 Producten van de meelindustrie; mo...";2019;1.2;0.2;85.5;14.5
310;"11 Producten van de meelindustrie; mo...";2020;1.1;0.2;86.3;13.7
311;"11 Producten van de meelindustrie; mo...";2021;1.1;0.2;84.1;15.9
312;"12 Oliehoudende zaden en vruchten; al...";1996;2.8;0.4;;
313;"12 Oliehoudende zaden en vruchten; al...";1997;3.1;0.4;;
314;"12 Oliehoudende zaden en vruchten; al...";1998;3.6;0.5;;
315;"12 Oliehoudende zaden en vruchten; al...";1999;3.5;0.4;;
316;"12 Oliehoudende zaden en vruchten; al...";2000;3.6;0.4;;
317;"12 Oliehoudende zaden en vruchten; al...";2001;4.2;0.4;;
318;"12 Oliehoudende zaden en vruchten; al...";2002;4.3;0.5;47.3;52.7
319;"12 Oliehoudende zaden en vruchten; al...";2003;4.4;0.5;48.4;51.6
320;"12 Oliehoudende zaden en vruchten; al...";2004;4.5;0.5;51.7;48.3
321;"12 Oliehoudende zaden en vruchten; al...";2005;4.3;0.4;54.1;45.9
322;"12 Oliehoudende zaden en vruchten; al...";2006;3.7;0.4;46.0;54.0
323;"12 Oliehoudende zaden en vruchten; al...";2007;3.8;0.4;51.4;48.6
324;"12 Oliehoudende zaden en vruchten; al...";2008;3.4;0.5;48.5;51.5
325;"12 Oliehoudende zaden en vruchten; al...";2009;4.4;0.6;48.2;51.8
326;"12 Oliehoudende zaden en vruchten; al...";2010;3.8;0.5;44.8;55.2
327;"12 Oliehoudende zaden en vruchten; al...";2011;3.1;0.5;47.8;52.2
328;"12 Oliehoudende zaden en vruchten; al...";2012;4.1;0.7;38.8;61.2
329;"12 Oliehoudende zaden en vruchten; al...";2013;4.0;0.6;36.8;63.2
330;"12 Oliehoudende zaden en vruchten; al...";2014;3.9;0.6;42.8;57.2
331;"12 Oliehoudende zaden en vruchten; al...";2015;4.0;0.6;37.6;62.4
332;"12 Oliehoudende zaden en vruchten; al...";2016;4.2;0.7;41.7;58.3
333;"12 Oliehoudende zaden en vruchten; al...";2017;3.1;0.7;42.8;57.2
334;"12 Oliehoudende zaden en vruchten; al...";2018;3.0;0.6;48.7;51.3
335;"12 Oliehoudende zaden en vruchten; al...";2019;3.0;0.6;50.5;49.5
336;"12 Oliehoudende zaden en vruchten; al...";2020;3.0;0.8;50.3;49.7
337;"12 Oliehoudende zaden en vruchten; al...";2021;2.7;0.7;52.8;47.2
338;13 Gommen, harsen en andere plantensa...;1996;0.7;0.0;;
339;13 Gommen, harsen en andere plantensa...;1997;0.5;0.0;;
340;13 Gommen, harsen en andere plantensa...;1998;0.4;0.0;;
341;13 Gommen, harsen en andere plantensa...;1999;0.5;0.0;;
342;13 Gommen, harsen en andere plantensa...;2000;0.5;0.0;;
343;13 Gommen, harsen en andere plantensa...;2001;0.6;0.0;;
344;13 Gommen, harsen en andere plantensa...;2002;0.4;0.0;68.0;32.0
345;13 Gommen, harsen en andere plantensa...;2003;0.5;0.0;70.2;29.8
346;13 Gommen, harsen en andere plantensa...;2004;0.6;0.0;72.6;27.4
347;13 Gommen, harsen en andere plantensa...;2005;0.4;0.0;60.6;39.4
348;13 Gommen, harsen en andere plantensa...;2006;0.4;0.0;44.0;56.0
349;13 Gommen, harsen en andere plantensa...;2007;0.4;0.0;56.2;43.8
350;13 Gommen, harsen en andere plantensa...;2008;0.4;0.0;54.2;45.8
351;13 Gommen, harsen en andere plantensa...;2009;0.4;0.0;56.1;43.9
352;13 Gommen, harsen en andere plantensa...;2010;0.4;0.0;58.0;42.0
353;13 Gommen, harsen en andere plantensa...;2011;0.4;0.0;59.8;40.2
354;13 Gommen, harsen en andere plantensa...;2012;0.5;0.0;54.4;45.6
355;13 Gommen, harsen en andere plantensa...;2013;0.4;0.0;66.7;33.3
356;13 Gommen, harsen en andere plantensa...;2014;0.3;0.0;49.7;50.3
357;13 Gommen, harsen en andere plantensa...;2015;0.3;0.0;66.2;33.8
358;13 Gommen, harsen en andere plantensa...;2016;0.3;0.0;69.8;30.2
359;13 Gommen, harsen en andere plantensa...;2017;0.4;0.0;67.8;32.2
360;13 Gommen, harsen en andere plantensa...;2018;0.5;0.0;77.3;22.7
361;13 Gommen, harsen en andere plantensa...;2019;0.3;0.0;63.7;36.3
362;13 Gommen, harsen en andere plantensa...;2020;0.3;0.0;62.6;37.4
363;13 Gommen, harsen en andere plantensa...;2021;0.3;0.0;58.2;41.8
364;14 Stoffen voor het vlechten en ander...;1996;1.0;0.0;;
365;14 Stoffen voor het vlechten en ander...;1997;1.3;0.0;;
366;14 Stoffen voor het vlechten en ander...;1998;1.2;0.0;;
367;14 Stoffen voor het vlechten en ander...;1999;1.0;0.0;;
368;14 Stoffen voor het vlechten en ander...;2000;1.0;0.0;;
369;14 Stoffen voor het vlechten en ander...;2001;1.6;0.0;;
370;14 Stoffen voor het vlechten en ander...;2002;1.4;0.0;44.7;55.3
371;14 Stoffen voor het vlechten en ander...;2003;1.5;0.0;50.5;49.5
372;14 Stoffen voor het vlechten en ander...;2004;1.8;0.0;64.1;35.9
373;14 Stoffen voor het vlechten en ander...;2005;2.0;0.0;56.1;43.9
374;14 Stoffen voor het vlechten en ander...;2006;3.8;0.0;63.2;36.8
375;14 Stoffen voor het vlechten en ander...;2007;8.8;0.0;83.1;16.9
376;14 Stoffen voor het vlechten en ander...;2008;6.7;0.0;80.8;19.2
377;14 Stoffen voor het vlechten en ander...;2009;7.4;0.0;87.5;12.5
378;14 Stoffen voor het vlechten en ander...;2010;3.3;0.0;69.6;30.4
379;14 Stoffen voor het vlechten en ander...;2011;3.4;0.0;58.8;41.2
