ID;Perioden;IndexcijferVolumeToegevoegdeWaarde_1;VolumeontwikkelingTOVEenJaarEerder_2
0;2005 januari;98.9;-4.3
1;2005 februari;102.7;0.5
2;2005 maart;110.5;-3.0
3;2005 1e kwartaal;104.0;-2.3
4;2005 april;113.1;8.9
5;2005 mei;102.9;9.2
6;2005 juni;129.9;6.0
7;2005 2e kwartaal;115.3;7.9
8;2005 juli;88.2;-0.8
9;2005 augustus;63.6;12.4
10;2005 september;133.8;5.3
11;2005 3e kwartaal;95.2;4.8
12;2005 oktober;118.4;2.0
13;2005 november;123.5;3.0
14;2005 december;88.1;2.7
15;2005 4e kwartaal;110.0;2.6
16;2005;106.1;3.2
17;2006 januari;99.7;0.8
18;2006 februari;105.4;2.7
19;2006 maart;118.5;7.2
20;2006 1e kwartaal;107.9;3.7
21;2006 april;105.9;-6.4
22;2006 mei;112.2;9.1
23;2006 juni;126.8;-2.4
24;2006 2e kwartaal;115.0;-0.3
25;2006 juli;88.6;0.4
26;2006 augustus;67.4;6.0
27;2006 september;138.9;3.8
28;2006 3e kwartaal;98.3;3.2
29;2006 oktober;123.0;3.9
30;2006 november;127.7;3.5
31;2006 december;89.4;1.4
32;2006 4e kwartaal;113.4;3.1
33;2006;108.6;2.4
34;2007 januari;108.7;9.0
35;2007 februari;114.7;8.7
36;2007 maart;126.4;6.7
37;2007 1e kwartaal;116.6;8.1
38;2007 april;115.4;9.0
39;2007 mei;115.7;3.0
40;2007 juni;137.2;8.2
41;2007 2e kwartaal;122.8;6.8
42;2007 juli;93.7;5.8
43;2007 augustus;75.0;11.3
44;2007 september;138.9;0.0
45;2007 3e kwartaal;102.5;4.3
46;2007 oktober;132.1;7.4
47;2007 november;131.8;3.2
48;2007 december;86.5;-3.2
49;2007 4e kwartaal;116.8;3.0
50;2007;114.7;5.6
51;2008 januari;119.7;10.1
52;2008 februari;126.9;10.7
53;2008 maart;120.4;-4.8
54;2008 1e kwartaal;122.3;4.9
55;2008 april;131.7;14.1
56;2008 mei;116.5;0.8
57;2008 juni;139.7;1.9
58;2008 2e kwartaal;129.3;5.3
59;2008 juli;92.4;-1.5
60;2008 augustus;76.7;2.3
61;2008 september;147.7;6.4
62;2008 3e kwartaal;105.6;3.0
63;2008 oktober;137.0;3.7
64;2008 november;123.0;-6.7
65;2008 december;88.4;2.2
66;2008 4e kwartaal;116.1;-0.6
67;2008;118.3;3.2
68;2009 januari;122.1;2.0
69;2009 februari;120.7;-4.9
70;2009 maart;127.5;5.9
71;2009 1e kwartaal;123.5;0.9
72;2009 april;125.5;-4.7
73;2009 mei;112.0;-3.9
74;2009 juni;129.8;-7.1
75;2009 2e kwartaal;122.5;-5.3
76;2009 juli;96.6;4.6
77;2009 augustus;64.9;-15.5
78;2009 september;134.2;-9.1
79;2009 3e kwartaal;98.6;-6.7
80;2009 oktober;121.8;-11.0
81;2009 november;111.6;-9.3
82;2009 december;75.6;-14.5
83;2009 4e kwartaal;103.0;-11.3
84;2009;111.9;-5.5
85;2010 januari;101.6;-16.8
86;2010 februari;95.6;-20.8
87;2010 maart;112.4;-11.9
88;2010 1e kwartaal;103.2;-16.4
89;2010 april;110.6;-11.9
90;2010 mei;98.1;-12.4
91;2010 juni;122.2;-5.9
92;2010 2e kwartaal;110.3;-9.9
93;2010 juli;86.5;-10.5
94;2010 augustus;63.3;-2.4
95;2010 september;120.7;-10.1
96;2010 3e kwartaal;90.1;-8.6
97;2010 oktober;110.8;-9.1
98;2010 november;110.1;-1.3
99;2010 december;68.1;-9.9
100;2010 4e kwartaal;96.3;-6.5
101;2010;100.0;-10.6
102;2011 januari;113.3;11.6
103;2011 februari;112.2;17.3
104;2011 maart;117.3;4.4
105;2011 1e kwartaal;114.3;10.7
106;2011 april;113.3;2.5
107;2011 mei;116.2;18.4
108;2011 juni;116.1;-4.9
109;2011 2e kwartaal;115.2;4.4
110;2011 juli;85.5;-1.1
111;2011 augustus;65.6;3.7
112;2011 september;127.2;5.4
113;2011 3e kwartaal;92.8;2.9
114;2011 oktober;109.1;-1.6
115;2011 november;112.5;2.1
116;2011 december;74.2;9.0
117;2011 4e kwartaal;98.6;2.3
118;2011;105.2;5.2
119;2012 januari;105.0;-7.4
120;2012 februari;97.3;-13.3
121;2012 maart;105.6;-9.9
122;2012 1e kwartaal;102.6;-10.2
123;2012 april;103.8;-8.4
124;2012 mei;101.8;-12.4
125;2012 juni;114.8;-1.1
126;2012 2e kwartaal;106.8;-7.3
127;2012 juli;79.7;-6.8
128;2012 augustus;64.8;-1.2
129;2012 september;114.3;-10.1
130;2012 3e kwartaal;86.3;-7.0
131;2012 oktober;104.8;-3.9
132;2012 november;104.3;-7.3
133;2012 december;63.3;-14.7
134;2012 4e kwartaal;90.8;-7.9
135;2012;96.6;-8.2
136;2013 januari;97.7;-6.9
137;2013 februari;89.3;-8.2
138;2013 maart;95.5;-9.6
139;2013 1e kwartaal;94.2;-8.2
140;2013 april;97.9;-5.6
141;2013 mei;97.5;-4.3
142;2013 juni;107.5;-6.4
143;2013 2e kwartaal;101.0;-5.5
144;2013 juli;78.3;-1.8
145;2013 augustus;62.5;-3.6
