ID;Perioden;TotaalActiva_1;ANTotaalNietFinancieleActiva_2;AN11VasteActiva_3;AN111Woningen_4;AN1121Bedrijfsgebouwen_5;AN1122GrondWegEnWaterbouwkundig_6;AN1123OverdrachtskostenOpGrond_7;AN1131Vervoermiddelen_8;AN1131APersonenautoS_9;AN1131BOverigeWegvervoermiddelen_10;AN1131CTreinenEnTrams_11;AN1131DSchepen_12;AN1131EVliegtuigen_13;AN1132AComputers_14;AN1132BTelecommunicatieApparatuur_15;AN1139AN114MachinesInstallaties_16;AN11OOverigeMaterieleVasteActiva_17;AN115InCultuurGebrachteActiva_18;AN1171OnderzoekEnOntwikkeling_19;AN1173ComputerprogrammatuurEnDataba_20;AN117OOverigeImmaterieleActiva_21;AN12Voorraden_22;AN211Grond_23;AN2111AGrondOnderWoningen_24;AN2111BGrondOnderBedrijfsgebouwen_25;AN2112Landbouwgrond_26;AN212OlieEnGasreserves_27;AFTotaalFinancieleActiva_28;AF2ChartaalGeldEnDepositoS_29;AF21ChartaalGeld_30;AF22GiraleDepositoS_31;AF29OverigeDepositoS_32;AF3Schuldbewijzen_33;AF31KortlopendeSchuldbewijzen_34;AF32LanglopendeSchuldbewijzen_35;AF4Leningen_36;AF41KortlopendeLeningen_37;AF42LanglopendeLeningen_38;AF5AandelenEnOverigeDeelnemingen_39;AF51Deelnemingen_40;AF511BeursgenoteerdeAandelen_41;AF512NietBeursgenoteerdeAandelen_42;AF519OverigeDeelnemingen_43;AF52AandelenInBeleggingsfondsen_44;AF71FinancieleDerivaten_45;AF8OverigeVorderingenSchulden_46;TotaalPassiva_47;AFTotaalFinancielePassiva_48;AF2ChartaalGeldEnDepositoS_49;AF22GiraleDepositoS_50;AF29OverigeDepositoS_51;AF3Schuldbewijzen_52;AF31KortlopendeSchuldbewijzen_53;AF32LanglopendeSchuldbewijzen_54;AF4Leningen_55;AF41KortlopendeLeningen_56;AF42LanglopendeLeningen_57;AF51Deelnemingen_58;AF8OverigeVorderingenSchulden_59;B90TotaalVermogenssaldo_60;B90VermogenssaldoVorigJaar_61;B10TotaalMutatieInVermogenssaldo_62;B101Exploitatiesaldo_63;Overig_64
0;1995;431192;292550;203498;1567;56433;118617;853;3704;471;858;;1106;1269;1407;198;6937;1157;0;10168;2458;0;842;25628;477;22870;2281;62582;138642;21282;52;15215;6015;3062;542;2520;35119;260;34859;43939;43878;6824;19777;17277;61;-68;35308;431192;283847;2178;969;1209;172288;7327;164961;90527;5975;84552;47;18807;147345;;;;
1;1996;457224;315161;211021;1633;58431;123053;982;3910;402;943;;1109;1457;1400;221;7247;1006;0;10373;2765;0;937;26898;654;23733;2511;76305;142063;21482;49;15247;6186;3422;530;2892;33619;156;33463;46468;46407;6953;20680;18774;61;-68;37140;457224;292587;1970;751;1219;184954;8568;176386;85160;7926;77234;47;20456;164637;147345.0;17292.0;-5169.0;22461.0
2;1997;470172;327347;217056;1651;59393;126616;1130;3949;347;1020;;1081;1501;1606;232;7982;894;0;10497;3106;0;1018;29013;877;25470;2666;80260;142825;16405;54;8824;7527;4094;531;3563;33205;390;32815;51028;50960;8895;22212;19853;68;-68;38161;470172;293805;1876;634;1242;190997;7471;183526;76812;5568;71244;48;24072;176367;164637.0;11730.0;-4241.0;15971.0
3;1998;473035;323642;224029;1702;60805;130720;1338;4035;312;1095;;1096;1532;1516;248;8589;833;0;10793;3451;0;1006;30653;1102;26657;2894;67954;149393;19194;49;11397;7748;3417;583;2834;31493;480;31013;56198;56089;15936;24127;16026;109;-68;39159;473035;305171;2241;973;1268;206373;8353;198020;71800;5673;66127;47;24710;167864;176367.0;-8503.0;-3614.0;-4889.0
4;1999;483321;317206;232473;1774;62284;135140;1575;4018;293;1170;;1074;1480;1586;269;9914;802;0;11142;3968;0;1091;34526;1492;29622;3413;49116;166115;19573;49;8981;10543;3906;537;3369;30222;470;29752;72289;72116;27140;26677;18299;173;-68;40193;483321;288599;2295;1028;1267;196854;6455;190399;61822;5647;56175;48;27580;194722;167864.0;26858.0;3823.0;23035.0
5;2000;524745;371324;245749;1869;65521;142718;1958;3994;285;1263;;1055;1391;1768;298;10944;803;0;11694;4182;0;1242;37765;1974;31904;3887;86568;153421;18833;49;9182;9602;4184;542;3642;30627;600;30027;59183;59060;11263;27527;20270;123;-68;40662;524745;282975;2765;1469;1296;193783;6822;186961;55561;5957;49604;48;30818;241770;194722.0;47048.0;8557.0;38491.0
6;2001;586469;441324;262264;2018;69578;152781;2292;3904;349;1263;;987;1305;1811;311;10814;1690;0;12394;4670;0;1304;38324;2301;32166;3857;139432;145145;16699;48;8016;8635;3949;598;3351;30126;467;29659;55313;55182;9317;29206;16659;131;1;39057;586469;282612;3182;1924;1258;195841;7106;188735;54780;8522;46258;48;28761;303857;241770.0;62087.0;2641.0;59446.0
7;2002;571953;436173;278944;2179;73526;162915;2451;3883;402;1244;;1011;1227;1894;279;10888;2770;0;13085;5074;0;1375;38673;2473;32696;3504;117181;135780;15530;44;7635;7851;3747;587;3160;29017;359;28658;47160;47047;8054;23612;15381;113;225;40101;571953;296517;1922;1181;741;209919;17256;192663;53941;9060;44881;48;30687;275436;303857.0;-28421.0;-4303.0;-24118.0
8;2003;588267;451454;292002;2296;76190;171481;2573;3797;440;1240;;1010;1106;1988;280;10723;3589;0;13752;5336;0;1439;37793;2558;32196;3039;120220;136813;16774;54;8616;8104;3618;661;2957;26054;344;25710;46725;46398;6954;24748;14696;327;270;43372;588267;308686;2009;1192;817;220742;21448;199294;51294;7085;44209;48;34593;279581;275436.0;4145.0;-9139.0;13284.0
9;2004;590846;453441;299767;2380;77685;176159;2580;3767;469;1264;;1009;1024;2157;275;10620;4145;0;14324;5675;0;1560;37142;2703;31771;2668;114972;137405;16990;46;8022;8922;3547;596;2951;25051;361;24690;48411;47574;6334;26457;14783;837;542;42864;590846;320069;1344;551;793;235452;18854;216598;49895;5068;44827;48;33330;270777;279581.0;-8804.0;-6059.0;-2745.0
10;2005;642014;489438;307866;2462;79451;181795;2608;3801;486;1276;;1037;1003;2205;276;9815;4488;0;14927;6038;0;1788;38273;2850;32891;2532;141511;152576;22458;49;8155;14254;3695;628;3067;27491;492;26999;57126;55476;4092;33956;17428;1650;728;41078;642014;328732;3100;906;2194;241451;18995;222456;50666;4142;46524;48;33467;313282;270777.0;42505.0;52.0;42453.0
11;2006;689831;548701;322521;2616;82948;191408;2634;3850;543;1271;;1020;931;2312;295;9377;4702;0;15506;6873;0;1928;37346;3027;31827;2492;186906;141130;16069;53;8354;7662;3532;614;2918;25668;425;25243;54353;52761;14;34331;18416;1592;245;41263;689831;311594;2649;1206;1443;223108;14714;208394;49532;3738;45794;49;36256;378237;313282.0;64955.0;4218.0;60737.0
12;2007;709658;556311;337693;2815;85593;202249;2649;3990;563;1329;;1054;867;2363;324;9465;4948;0;15899;7398;0;2029;41821;3245;35877;2698;174768;153347;20423;59;9155;11209;3953;1032;2921;27335;533;26802;60688;58720;15;38365;20340;1968;-1034;41982;709658;313648;2762;1365;1397;216129;17441;198688;53756;9190;44566;58;40943;396010;378237.0;17773.0;2953.0;14820.0
13;2008;866491;624419;357623;3020;89634;216611;2685;4100;567;1386;;1047;833;2366;345;9764;4915;0;16467;7717;0;2578;40771;3375;34293;3103;223447;242072;20493;60;8734;11699;3687;1124;2563;70742;34540;36202;101005;98490;15;76833;21642;2515;1570;44575;866491;406915;2139;1289;850;301227;83898;217329;67006;10959;56047;57;36486;459576;396010.0;63566.0;6019.0;57547.0
14;2009;805260;582458;368813;3247;94114;221633;2673;4195;553;1416;;1025;847;2426;361;10050;5096;0;16977;8042;0;2406;39106;3043;32571;3492;172133;222802;20423;32;12490;7901;24921;818;24103;42705;400;42305;86198;83880;7;59982;23891;2318;-389;48944;805260;409366;1741;920;821;289222;58376;230846;82294;10130;72164;55;36054;395894;459576.0;-63682.0;-24285.0;-39397.0
15;2010;800541;577522;383648;3365;96116;232591;2629;4201;560;1402;;994;812;2580;410;10149;5105;0;17512;8989;0;2557;38215;2894;31779;3541;153102;223019;16637;26;12029;4582;24491;473;24018;40777;60;40717;87281;85077;33;55432;29612;2204;1629;52204;800541;444842;1439;789;650;320230;53650;266580;82071;12308;69763;55;41047;355699;395894.0;-40195.0;-27669.0;-12526.0
16;2011;833858;610690;395324;3372;96034;243621;2188;4223;551;1429;;966;759;2607;507;10318;5101;0;18085;9269;0;2803;37910;2866;31531;3513;174653;223168;17008;37;12052;4919;23514;1079;22435;41237;33;41204;82120;80123;23;47331;32769;1997;8853;50436;833858;481814;1814;1044;770;350274;44074;306200;88826;17617;71209;49;40851;352044;355699.0;-3655.0;-23484.0;19829.0
