ID;Perioden;IndexcijfersVoorraadGereedProduct_1;OntwikkelingVoorraadGereedProduct_2
0;2018 januari;105.1;
1;2018 februari;106.5;
2;2018 maart;104.3;
3;2018 1e kwartaal;105.3;
4;2018 april;105.0;
5;2018 mei;107.6;
6;2018 juni;105.1;
7;2018 2e kwartaal;105.9;
8;2018 juli;110.4;
9;2018 augustus;108.7;
10;2018 september;104.5;
11;2018 3e kwartaal;107.9;
12;2018 oktober;109.3;
13;2018 november;106.0;
14;2018 december;104.3;
15;2018 4e kwartaal;106.5;
16;2018;106.4;
17;2019 januari;111.0;5.6
18;2019 februari;112.9;6.0
19;2019 maart;114.4;9.7
20;2019 1e kwartaal;112.8;7.1
21;2019 april;111.0;5.7
22;2019 mei;110.7;2.9
23;2019 juni;111.8;6.4
24;2019 2e kwartaal;111.2;5.0
25;2019 juli;116.9;5.9
26;2019 augustus;119.8;10.2
27;2019 september;109.8;5.1
28;2019 3e kwartaal;115.5;7.1
29;2019 oktober;114.9;5.1
30;2019 november;119.7;12.9
31;2019 december;103.0;-1.2
32;2019 4e kwartaal;112.5;5.6
33;2019;113.0;6.2
34;2020 januari;103.0;-7.2
35;2020 februari;103.6;-8.2
36;2020 maart;99.3;-13.2
37;2020 1e kwartaal;102.0;-9.6
38;2020 april;102.2;-7.9
39;2020 mei;106.9;-3.4
40;2020 juni;104.4;-6.6
41;2020 2e kwartaal;104.5;-6.0
42;2020 juli;102.1;-12.7
43;2020 augustus;104.8;-12.5
44;2020 september;102.3;-6.8
45;2020 3e kwartaal;103.1;-10.8
46;2020 oktober;100.5;-12.5
47;2020 november;102.3;-14.5
48;2020 december;100.5;-2.4
49;2020 4e kwartaal;101.1;-10.2
50;2020;102.7;-9.1
51;2021 januari;98.6;-4.3
52;2021 februari;99.5;-3.9
53;2021 maart;99.7;0.5
54;2021 1e kwartaal;99.3;-2.6
55;2021 april;97.7;-4.4
56;2021 mei;102.2;-4.4
57;2021 juni;94.4;-9.6
58;2021 2e kwartaal;98.1;-6.1
59;2021 july;101.0;-1.1
60;2021 augustus;102.1;-2.6
61;2021 september;99.3;-3.0
62;2021 3e kwartaal ;100.8;-2.2
63;2021 oktober;101.0;0.5
64;2021 november;101.3;-1.0
65;2021 december;103.2;2.6
66;2021 4e kwartaal;101.8;0.7
67;2021;100.0;-2.6
68;2022 januari;103.3;4.8
69;2022 februari;106.4;6.9
70;2022 maart;103.8;4.1
71;2022 1e kwartaal;104.5;5.2
72;2022 april;104.3;6.7
73;2022 mei;106.1;3.8
74;2022 juni;108.8;15.2
75;2022 2e kwartaal;106.4;8.4
76;2022 juli;108.1;7.0
77;2022 augustus;112.2;9.9
78;2022 september;111.1;11.9
79;2022 3e kwartaal;110.5;9.6
80;2022 oktober;113.1;12.0
81;2022 november;113.5;12.1
82;2022 december;111.1;7.7
83;2022 4e kwartaal;112.6;10.6
84;2022 ;108.5;8.5
85;2023  januari;111.9;8.3
86;2023 februari;114.1;7.2
87;2023 maart;111.3;7.2
88;2023 1e kwartaal;112.4;7.6
89;2023 april;113.9;9.2
90;2023 mei;113.6;7.1
91;2023 juni;110.8;1.8
92;2023 2e kwartaal;112.8;6.0
93;2023 juli;113.1;4.6
94;2023 augustus;110.7;-1.3
95;2023 september;109.5;-1.4
96;2023 3e kwartaal;111.1;0.6
97;2023 oktober;112.3;-0.7
98;2023 november;109.7;-3.3
99;2023 december;110.4;-0.6
100;2023 4e kwartaal;110.8;-1.6
101;2023;111.8;3.0
102;2024 januari;109.2;-2.4
103;2024 februari;109.2;-4.3
104;2024 maart;110.1;-1.1
105;2024 1e kwartaal;109.5;-2.6
106;2024 april;112.0;-1.7
107;2024 mei;111.7;-1.7
108;2024 juni;111.7;0.8
109;2024 2e kwartaal;111.8;-0.9
110;2024 juli;112.0;-1.0
111;2024 augustus;112.5;1.6
112;2024 september;112.7;2.9
113;2024 3e kwartaal;112.4;1.2
114;2024 oktober;113.1;0.7
115;2024 november;113.6;3.6
116;2024 december;110.6;0.2
117;2024 4e kwartaal;112.4;1.5
118;2024;111.5;-0.2
119;2025 januari;114.6;4.9
