ID;Perioden;IndexcijfersVoorraadGereedProduct_1;OntwikkelingVoorraadGereedProduct_2
0;2004 januari;100.4;
1;2004 februari;107.6;
2;2004 maart;105.3;
3;2004 1e kwartaal;104.4;
4;2004 april;103.1;
5;2004 mei;101.1;
6;2004 juni;99.8;
7;2004 2e kwartaal;101.3;
8;2004 juli;98.6;
9;2004 augustus;97.3;
10;2004 september;95.9;
11;2004 3e kwartaal;97.3;
12;2004 oktober;98.7;
13;2004 november;100.5;
14;2004 december;98.8;
15;2004 4e kwartaal;99.3;
16;2004;100.6;
17;2005 januari;99.0;-1.4
18;2005 februari;100.9;-6.2
19;2005 maart;100.4;-4.6
20;2005 1e kwartaal;100.1;-4.1
21;2005 april;100.7;-2.4
22;2005 mei;103.6;2.4
23;2005 juni;99.4;-0.3
24;2005 2e kwartaal;101.2;-0.1
25;2005 juli;98.4;-0.2
26;2005 augustus;101.6;4.4
27;2005 september;98.5;2.7
28;2005 3e kwartaal;99.5;2.3
29;2005 oktober;99.3;0.6
30;2005 november;98.2;-2.3
31;2005 december;100.0;1.2
32;2005 4e kwartaal;99.2;-0.2
33;2005;100.0;-0.6
34;2006 januari;103.8;4.9
35;2006 februari;106.8;5.8
36;2006 maart;107.1;6.6
37;2006 1e kwartaal;105.9;5.8
38;2006 april;103.1;2.4
39;2006 mei;103.9;0.3
40;2006 juni;103.1;3.7
41;2006 2e kwartaal;103.4;2.1
42;2006 juli;101.8;3.4
43;2006 augustus;101.6;0.0
44;2006 september;101.1;2.6
45;2006 3e kwartaal;101.5;2.0
46;2006 oktober;100.5;1.2
47;2006 november;99.6;1.5
48;2006 december;102.9;2.9
49;2006 4e kwartaal;101.0;1.9
50;2006;102.9;2.9
51;2007 januari;103.3;-0.5
52;2007 februari;106.8;0.0
53;2007 maart;106.1;-0.9
54;2007 1e kwartaal;105.4;-0.5
55;2007 april;105.3;2.1
56;2007 mei;107.7;3.6
57;2007 juni;106.3;3.1
58;2007 2e kwartaal;106.4;2.9
59;2007 juli;107.5;5.7
60;2007 augustus;108.0;6.4
61;2007 september;105.4;4.2
62;2007 3e kwartaal;107.0;5.4
63;2007 oktober;106.1;5.6
64;2007 november;106.3;6.6
65;2007 december;106.7;3.7
66;2007 4e kwartaal;106.4;5.3
67;2007;106.3;3.2
68;2008 januari;110.4;6.9
69;2008 februari;111.8;4.7
70;2008 maart;118.2;11.4
71;2008 1e kwartaal;113.5;7.7
72;2008 april;115.9;10.1
73;2008 mei;113.2;5.1
74;2008 juni;113.6;6.9
75;2008 2e kwartaal;114.2;7.4
76;2008 juli;110.9;3.1
77;2008 augustus;115.0;6.5
78;2008 september;113.0;7.2
79;2008 3e kwartaal;113.0;5.6
80;2008 oktober;112.6;6.0
81;2008 november;114.0;7.3
82;2008 december;110.4;3.5
83;2008 4e kwartaal;112.3;5.6
84;2008;113.2;6.6
85;2009 januari;112.9;2.3
86;2009 februari;116.3;4.0
87;2009 maart;109.6;-7.3
88;2009 1e kwartaal;112.9;-0.5
89;2009 april;112.3;-3.1
90;2009 mei;110.4;-2.5
91;2009 juni;111.2;-2.1
92;2009 2e kwartaal;111.3;-2.6
93;2009 juli;102.3;-7.8
94;2009 augustus;100.8;-12.4
95;2009 september;100.8;-10.8
96;2009 3e kwartaal;101.3;-10.3
97;2009 oktober;99.5;-11.6
98;2009 november;100.4;-11.9
99;2009 december;97.3;-11.9
100;2009 4e kwartaal;99.1;-11.8
101;2009;106.1;-6.3
102;2010 januari;95.5;-15.4
103;2010 februari;97.6;-16.1
104;2010 maart;95.8;-12.6
105;2010 1e kwartaal;96.3;-14.7
106;2010 april;96.0;-14.5
107;2010 mei;96.1;-12.9
108;2010 juni;96.7;-13.0
109;2010 2e kwartaal;96.3;-13.5
110;2010 juli;95.8;-6.4
111;2010 augustus;95.9;-4.8
112;2010 september;96.1;-4.7
113;2010 3e kwartaal;95.9;-5.3
114;2010 oktober;97.5;-2.0
115;2010 november;98.6;-1.8
116;2010 december;96.5;-0.8
117;2010 4e kwartaal;97.6;-1.5
118;2010;96.5;-9.1
119;2011 januari;100.2;4.9
120;2011 februari;100.7;3.2
121;2011 maart;101.3;5.7
122;2011 1e kwartaal;100.7;4.6
123;2011 april;104.1;8.4
124;2011 mei;105.5;9.8
125;2011 juni;106.1;9.7
126;2011 2e kwartaal;105.2;9.3
127;2011 juli;106.8;11.6
128;2011 augustus;110.0;14.6
129;2011 september;106.8;11.2
130;2011 3e kwartaal;107.9;12.4
131;2011 oktober;108.2;11.0
132;2011 november;109.4;10.9
133;2011 december;104.5;8.3
134;2011 4e kwartaal;107.4;10.0
135;2011;105.3;9.1
136;2012 januari;104.0;3.8
137;2012 februari;106.9;6.1
138;2012 maart;106.8;5.4
139;2012 1e kwartaal;105.9;5.1
140;2012 april;105.6;1.5
141;2012 mei;108.2;2.5
142;2012 juni;109.1;2.8
143;2012 2e kwartaal;107.7;2.3
144;2012 juli;109.4;2.3
145;2012 augustus;107.2;-2.5
146;2012 september;106.3;-0.5
147;2012 3e kwartaal;107.6;-0.2
148;2012 oktober;103.5;-4.4
149;2012 november;108.2;-1.1
150;2012 december;106.2;1.6
151;2012 4e kwartaal;106.0;-1.3
152;2012;106.8;1.4
