ID;GWW;Periods;InputPriceIndices_1;ChangesComparedTo1YearEarlier_2
0;42/43 Civil engineering works;2020 January;101.8;
1;42/43 Civil engineering works;2020 February;101.7;
2;42/43 Civil engineering works;2020 March;100.0;
3;42/43 Civil engineering works;2020 April;98.6;
4;42/43 Civil engineering works;2020 May;98.3;
5;42/43 Civil engineering works;2020 June;99.1;
6;42/43 Civil engineering works;2020 July;100.5;
7;42/43 Civil engineering works;2020 August;100.6;
8;42/43 Civil engineering works;2020 September;100.0;
9;42/43 Civil engineering works;2020 October;99.8;
10;42/43 Civil engineering works;2020 November;99.5;
11;42/43 Civil engineering works;2020 December;100.1;
12;42/43 Civil engineering works;2021 January;102.3;0.5
13;42/43 Civil engineering works;2021 February;103.4;1.7
14;42/43 Civil engineering works;2021 March;104.7;4.8
15;42/43 Civil engineering works;2021 April;105.1;6.6
16;42/43 Civil engineering works;2021 May;106.9;8.7
17;42/43 Civil engineering works;2021 June;107.0;8.0
18;42/43 Civil engineering works;2021 July;108.7;8.2
19;42/43 Civil engineering works;2021 August;109.1;8.5
20;42/43 Civil engineering works;2021 September;109.4;9.4
21;42/43 Civil engineering works;2021 October;110.6;10.9
22;42/43 Civil engineering works;2021 November;112.8;13.3
23;42/43 Civil engineering works;2021 December;112.4;12.3
24;42/43 Civil engineering works;2022 January;115.3;12.6
25;42/43 Civil engineering works;2022 February;119.4;15.5
26;42/43 Civil engineering works;2022 March;123.6;18.1
27;42/43 Civil engineering works;2022 April;129.8;23.5
28;42/43 Civil engineering works;2022 May;129.9;21.5
29;42/43 Civil engineering works;2022 June;131.9;23.2
30;42/43 Civil engineering works;2022 July;130.5;20.1
31;42/43 Civil engineering works;2022 August;130.5;19.6
32;42/43 Civil engineering works;2022 September;130.4;19.1
33;42/43 Civil engineering works;2022 October;129.9;17.4
34;42/43 Civil engineering works;2022 November;127.9;13.4
35;42/43 Civil engineering works;2022 December;126.6;12.6
36;42/43 Civil engineering works;2023 January;127.0;10.2
37;42/43 Civil engineering works;2023 February;126.9;6.3
38;42/43 Civil engineering works;2023 March;127.2;2.9
39;42/43 Civil engineering works;2023 April;127.9;-1.5
40;42/43 Civil engineering works;2023 May;129.1;-0.6
41;42/43 Civil engineering works;2023 June;128.7;-2.4
42;42/43 Civil engineering works;2023 July;130.6;0.1
43;42/43 Civil engineering works;2023 August;131.6;0.9
44;42/43 Civil engineering works;2023 September;134.3;3.0
45;42/43 Civil engineering works;2023 October;134.7;3.7
46;42/43 Civil engineering works;2023 November;132.2;3.4
47;42/43 Civil engineering works;2023 December;131.1;3.6
48;42/43 Civil engineering works;2024 January;133.6;5.2
49;42/43 Civil engineering works;2024 February;134.4;5.9
50;42/43 Civil engineering works;2024 March;134.1;5.4
51;42/43 Civil engineering works;2024 April;134.7;5.3
52;42/43 Civil engineering works;2024 May;134.7;4.4
53;42/43 Civil engineering works;2024 June;134.2;4.2
54;42/43 Civil engineering works;2024 July;136.6;4.6
55;42/43 Civil engineering works;2024 August;136.6;3.8
56;42/43 Civil engineering works;2024 September;134.6;0.2
57;42/43 Civil engineering works;2024 October;134.7;0.0
58;42/43 Civil engineering works;2024 November;135.7;2.6
59;42/43 Civil engineering works;2024 December;135.1;3.1
60;42/43 Civil engineering works;2025 January;136.4;2.1
61;"4211a Road construction; brick paving";2020 January;100.5;
62;"4211a Road construction; brick paving";2020 February;100.4;
63;"4211a Road construction; brick paving";2020 March;99.6;
64;"4211a Road construction; brick paving";2020 April;99.5;
65;"4211a Road construction; brick paving";2020 May;99.3;
66;"4211a Road construction; brick paving";2020 June;99.6;
67;"4211a Road construction; brick paving";2020 July;100.4;
68;"4211a Road construction; brick paving";2020 August;100.3;
69;"4211a Road construction; brick paving";2020 September;99.6;
70;"4211a Road construction; brick paving";2020 October;100.0;
71;"4211a Road construction; brick paving";2020 November;100.2;
72;"4211a Road construction; brick paving";2020 December;100.6;
73;"4211a Road construction; brick paving";2021 January;101.2;0.7
74;"4211a Road construction; brick paving";2021 February;101.6;1.2
75;"4211a Road construction; brick paving";2021 March;102.0;2.5
76;"4211a Road construction; brick paving";2021 April;101.3;1.8
77;"4211a Road construction; brick paving";2021 May;102.5;3.2
78;"4211a Road construction; brick paving";2021 June;102.6;3.0
79;"4211a Road construction; brick paving";2021 July;102.7;2.3
80;"4211a Road construction; brick paving";2021 August;102.7;2.3
81;"4211a Road construction; brick paving";2021 September;102.8;3.2
82;"4211a Road construction; brick paving";2021 October;103.8;3.8
83;"4211a Road construction; brick paving";2021 November;104.3;4.1
84;"4211a Road construction; brick paving";2021 December;104.6;3.9
85;"4211a Road construction; brick paving";2022 January;108.1;6.8
86;"4211a Road construction; brick paving";2022 February;109.0;7.3
87;"4211a Road construction; brick paving";2022 March;112.1;9.9
88;"4211a Road construction; brick paving";2022 April;113.0;11.5
89;"4211a Road construction; brick paving";2022 May;114.2;11.4
90;"4211a Road construction; brick paving";2022 June;115.8;12.8
91;"4211a Road construction; brick paving";2022 July;116.0;13.0
92;"4211a Road construction; brick paving";2022 August;116.5;13.5
93;"4211a Road construction; brick paving";2022 September;116.5;13.4
94;"4211a Road construction; brick paving";2022 October;118.5;14.2
95;"4211a Road construction; brick paving";2022 November;117.5;12.7
96;"4211a Road construction; brick paving";2022 December;116.1;11.0
97;"4211a Road construction; brick paving";2023 January;121.3;12.2
98;"4211a Road construction; brick paving";2023 February;120.0;10.1
99;"4211a Road construction; brick paving";2023 March;122.0;8.8
100;"4211a Road construction; brick paving";2023 April;122.8;8.7
101;"4211a Road construction; brick paving";2023 May;122.9;7.6
102;"4211a Road construction; brick paving";2023 June;122.8;6.1
103;"4211a Road construction; brick paving";2023 July;124.2;7.1
104;"4211a Road construction; brick paving";2023 August;125.5;7.7
105;"4211a Road construction; brick paving";2023 September;126.4;8.5
106;"4211a Road construction; brick paving";2023 October;125.9;6.3
107;"4211a Road construction; brick paving";2023 November;125.3;6.6
108;"4211a Road construction; brick paving";2023 December;124.9;7.6
109;"4211a Road construction; brick paving";2024 January;127.5;5.2
110;"4211a Road construction; brick paving";2024 February;127.9;6.6
111;"4211a Road construction; brick paving";2024 March;128.2;5.0
112;"4211a Road construction; brick paving";2024 April;127.9;4.2
113;"4211a Road construction; brick paving";2024 May;127.5;3.8
114;"4211a Road construction; brick paving";2024 June;127.3;3.6
115;"4211a Road construction; brick paving";2024 July;129.5;4.2
116;"4211a Road construction; brick paving";2024 August;129.1;2.9
117;"4211a Road construction; brick paving";2024 September;128.5;1.6
118;"4211a Road construction; brick paving";2024 October;129.5;2.8
119;"4211a Road construction; brick paving";2024 November;129.7;3.5
120;"4211a Road construction; brick paving";2024 December;129.5;3.6
121;"4211a Road construction; brick paving";2025 January;130.7;2.5
122;"4211b Road construction; asphalt paving";2020 January;106.4;
123;"4211b Road construction; asphalt paving";2020 February;105.9;
124;"4211b Road construction; asphalt paving";2020 March;102.5;
125;"4211b Road construction; asphalt paving";2020 April;95.2;
126;"4211b Road construction; asphalt paving";2020 May;92.4;
127;"4211b Road construction; asphalt paving";2020 June;95.3;
128;"4211b Road construction; asphalt paving";2020 July;101.9;
129;"4211b Road construction; asphalt paving";2020 August;102.5;
130;"4211b Road construction; asphalt paving";2020 September;102.0;
131;"4211b Road construction; asphalt paving";2020 October;99.2;
132;"4211b Road construction; asphalt paving";2020 November;98.4;
133;"4211b Road construction; asphalt paving";2020 December;98.3;
134;"4211b Road construction; asphalt paving";2021 January;100.6;-5.4
135;"4211b Road construction; asphalt paving";2021 February;102.8;-2.9
136;"4211b Road construction; asphalt paving";2021 March;107.0;4.4
137;"4211b Road construction; asphalt paving";2021 April;109.8;15.3
138;"4211b Road construction; asphalt paving";2021 May;110.5;19.6
139;"4211b Road construction; asphalt paving";2021 June;111.2;16.6
140;"4211b Road construction; asphalt paving";2021 July;113.5;11.5
141;"4211b Road construction; asphalt paving";2021 August;113.9;11.1
142;"4211b Road construction; asphalt paving";2021 September;114.2;12.0
143;"4211b Road construction; asphalt paving";2021 October;118.3;19.3
144;"4211b Road construction; asphalt paving";2021 November;124.1;26.2
145;"4211b Road construction; asphalt paving";2021 December;120.9;23.0
146;"4211b Road construction; asphalt paving";2022 January;121.8;21.0
147;"4211b Road construction; asphalt paving";2022 February;130.3;26.7
148;"4211b Road construction; asphalt paving";2022 March;139.0;29.9
149;"4211b Road construction; asphalt paving";2022 April;159.5;45.2
150;"4211b Road construction; asphalt paving";2022 May;157.0;42.1
151;"4211b Road construction; asphalt paving";2022 June;162.2;46.0
152;"4211b Road construction; asphalt paving";2022 July;156.7;38.0
153;"4211b Road construction; asphalt paving";2022 August;151.5;33.0
154;"4211b Road construction; asphalt paving";2022 September;150.0;31.3
155;"4211b Road construction; asphalt paving";2022 October;142.2;20.2
156;"4211b Road construction; asphalt paving";2022 November;137.8;11.0
157;"4211b Road construction; asphalt paving";2022 December;137.0;13.3
158;"4211b Road construction; asphalt paving";2023 January;134.7;10.6
159;"4211b Road construction; asphalt paving";2023 February;133.8;2.7
160;"4211b Road construction; asphalt paving";2023 March;133.6;-3.9
161;"4211b Road construction; asphalt paving";2023 April;133.5;-16.3
162;"4211b Road construction; asphalt paving";2023 May;140.2;-10.7
163;"4211b Road construction; asphalt paving";2023 June;135.3;-16.6
164;"4211b Road construction; asphalt paving";2023 July;139.5;-11.0
165;"4211b Road construction; asphalt paving";2023 August;141.5;-6.6
166;"4211b Road construction; asphalt paving";2023 September;153.0;2.0
167;"4211b Road construction; asphalt paving";2023 October;156.2;9.8
168;"4211b Road construction; asphalt paving";2023 November;146.7;6.5
169;"4211b Road construction; asphalt paving";2023 December;142.0;3.7
170;"4211b Road construction; asphalt paving";2024 January;142.2;5.6
171;"4211b Road construction; asphalt paving";2024 February;142.6;6.6
172;"4211b Road construction; asphalt paving";2024 March;143.9;7.7
173;"4211b Road construction; asphalt paving";2024 April;144.5;8.3
174;"4211b Road construction; asphalt paving";2024 May;146.6;4.6
175;"4211b Road construction; asphalt paving";2024 June;144.9;7.1
176;"4211b Road construction; asphalt paving";2024 July;148.0;6.1
177;"4211b Road construction; asphalt paving";2024 August;148.2;4.8
178;"4211b Road construction; asphalt paving";2024 September;142.7;-6.8
179;"4211b Road construction; asphalt paving";2024 October;139.2;-10.9
180;"4211b Road construction; asphalt paving";2024 November;145.2;-1.0
181;"4211b Road construction; asphalt paving";2024 December;142.3;0.2
182;"4211b Road construction; asphalt paving";2025 January;143.2;0.7
183;4212 Above and underground railways;2020 January;100.5;
184;4212 Above and underground railways;2020 February;100.3;
185;4212 Above and underground railways;2020 March;99.9;
186;4212 Above and underground railways;2020 April;99.5;
187;4212 Above and underground railways;2020 May;99.2;
188;4212 Above and underground railways;2020 June;99.2;
189;4212 Above and underground railways;2020 July;99.7;
190;4212 Above and underground railways;2020 August;100.2;
191;4212 Above and underground railways;2020 September;100.2;
192;4212 Above and underground railways;2020 October;100.0;
193;4212 Above and underground railways;2020 November;100.4;
194;4212 Above and underground railways;2020 December;101.0;
195;4212 Above and underground railways;2021 January;102.8;2.3
196;4212 Above and underground railways;2021 February;103.4;3.1
197;4212 Above and underground railways;2021 March;104.1;4.2
198;4212 Above and underground railways;2021 April;105.6;6.1
199;4212 Above and underground railways;2021 May;106.7;7.6
200;4212 Above and underground railways;2021 June;107.7;8.6
201;4212 Above and underground railways;2021 July;110.3;10.6
202;4212 Above and underground railways;2021 August;110.6;10.4
203;4212 Above and underground railways;2021 September;111.0;10.9
204;4212 Above and underground railways;2021 October;113.0;13.0
205;4212 Above and underground railways;2021 November;113.5;13.1
206;4212 Above and underground railways;2021 December;113.6;12.5
207;4212 Above and underground railways;2022 January;116.7;13.6
208;4212 Above and underground railways;2022 February;118.1;14.2
209;4212 Above and underground railways;2022 March;120.7;16.0
210;4212 Above and underground railways;2022 April;124.0;17.4
211;4212 Above and underground railways;2022 May;124.8;17.0
212;4212 Above and underground railways;2022 June;124.3;15.4
213;4212 Above and underground railways;2022 July;124.9;13.2
214;4212 Above and underground railways;2022 August;125.2;13.2
215;4212 Above and underground railways;2022 September;125.3;12.8
216;4212 Above and underground railways;2022 October;124.6;10.3
217;4212 Above and underground railways;2022 November;123.8;9.0
218;4212 Above and underground railways;2022 December;123.8;9.0
219;4212 Above and underground railways;2023 January;124.5;6.7
220;4212 Above and underground railways;2023 February;124.9;5.7
221;4212 Above and underground railways;2023 March;124.5;3.1
222;4212 Above and underground railways;2023 April;125.0;0.8
223;4212 Above and underground railways;2023 May;124.9;0.0
224;4212 Above and underground railways;2023 June;124.3;0.0
225;4212 Above and underground railways;2023 July;123.2;-1.4
226;4212 Above and underground railways;2023 August;122.7;-2.0
227;4212 Above and underground railways;2023 September;122.9;-1.9
228;4212 Above and underground railways;2023 October;122.9;-1.4
229;4212 Above and underground railways;2023 November;122.7;-0.9
230;4212 Above and underground railways;2023 December;122.5;-1.1
231;4212 Above and underground railways;2024 January;123.8;-0.6
232;4212 Above and underground railways;2024 February;123.9;-0.8
233;4212 Above and underground railways;2024 March;124.1;-0.3
234;4212 Above and underground railways;2024 April;124.9;-0.1
235;4212 Above and underground railways;2024 May;124.6;-0.2
236;4212 Above and underground railways;2024 June;125.6;1.0
237;4212 Above and underground railways;2024 July;127.4;3.4
238;4212 Above and underground railways;2024 August;126.6;3.2
