ID;Populatie;KenmerkenVanDeSchenking;KenmerkenVanDeSchenker;KenmerkenVanDeOntvanger;Perioden;AantalSchenkingen_1;TotaalBrutoSchenking_2;GemiddeldBrutoSchenking_3;MediaanBrutoSchenking_4;TotaalVerschuldigdeBelasting_5;GemiddeldVerschuldigdeBelasting_6;MediaanVerschuldigdeBelasting_7;TotaalNettoSchenking_8;GemiddeldNettoSchenking_9;MediaanNettoSchenking_10
0;Alle schenkingen;Totaal alle schenkingen;Totaal alle schenkers;Totaal alle ontvangers;2007;93.6;3925.7;41.9;25.3;332.4;3.6;1.1;3593.3;38.4;24.0
1;Alle schenkingen;Totaal alle schenkingen;Totaal alle schenkers;Totaal alle ontvangers;2008;89.8;4272.2;47.6;26.0;337.8;3.8;1.1;3934.4;43.8;24.9
2;Alle schenkingen;Totaal alle schenkingen;Totaal alle schenkers;Totaal alle ontvangers;2009;98.9;4210.4;42.6;27.3;348.4;3.5;1.1;3862.0;39.0;26.2
3;Alle schenkingen;Totaal alle schenkingen;Totaal alle schenkers;Totaal alle ontvangers;2010;54.6;3585.2;65.7;27.2;327.1;6.0;2.0;3258.1;59.7;25.0
4;Alle schenkingen;Totaal alle schenkingen;Totaal alle schenkers;Totaal alle ontvangers;2011 ;52.0;3630.5;69.8;30.7;261.2;5.0;2.0;3369.3;64.8;28.6
5;Alle schenkingen;Totaal alle schenkingen;Totaal alle schenkers;Totaal alle ontvangers;2012;50.1;4218.4;84.1;34.1;299.4;6.0;2.0;3919.0;78.2;31.2
6;Alle schenkingen;Totaal alle schenkingen;Totaal alle schenkers;Totaal alle ontvangers;2013;97.8;7202.6;73.7;45.0;320.5;3.3;0.0;6882.0;70.4;44.1
7;Alle schenkingen;Totaal alle schenkingen;Totaal alle schenkers;Totaal alle ontvangers;2014;156.6;10367.7;66.2;50.0;283.8;1.8;0.0;10084.0;64.4;50.0
8;Alle schenkingen;Totaal alle schenkingen;Totaal alle schenkers;Totaal alle ontvangers;2015;52.8;4731.7;89.6;38.3;308.7;5.8;2.0;4423.0;83.7;35.0
9;Alle schenkingen;Totaal alle schenkingen;Totaal alle schenkers;Totaal alle ontvangers;2016;54.7;5141.8;94.0;40.0;343.4;6.3;2.0;4798.4;87.7;36.5
10;Alle schenkingen;Totaal alle schenkingen;Totaal alle schenkers;Totaal alle ontvangers;2017;72.7;6507.2;89.5;50.0;406.8;5.6;0.9;6100.4;83.9;46.8
11;Alle schenkingen;Totaal alle schenkingen;Totaal alle schenkers;Totaal alle ontvangers;2018;67.2;6604.9;98.2;50.0;399.5;5.9;1.8;6205.5;92.3;45.5
12;Alle schenkingen;Totaal alle schenkingen;Totaal alle schenkers;Totaal alle ontvangers;2019;70.9;7480.6;105.5;50.0;454.5;6.4;2.0;7026.1;99.1;50.0
13;Alle schenkingen;Totaal alle schenkingen;Totaal alle schenkers;Totaal alle ontvangers;2020;82.4;9112.1;110.6;50.0;586.7;7.1;2.0;8525.5;103.5;50.0
14;Alle schenkingen;Totaal alle schenkingen;Totaal alle schenkers;Totaal alle ontvangers;2021;97.1;12002.9;123.6;59.1;685.3;7.1;1.8;11317.7;116.5;54.6
15;Alle schenkingen;Totaal alle schenkingen;Totaal alle schenkers;Totaal alle ontvangers;2022;116.4;9710.9;83.4;50.0;574.4;4.9;0.0;9136.5;78.5;50.0
16;Alle schenkingen;Totaal alle schenkingen;Totaal alle schenkers;Geslacht: mannen;2007;43.2;1927.1;44.6;25.0;169.4;3.9;1.1;1757.7;40.7;24.0
17;Alle schenkingen;Totaal alle schenkingen;Totaal alle schenkers;Geslacht: mannen;2008;41.7;1906.3;45.7;26.0;182.3;4.4;1.1;1724.0;41.3;24.9
18;Alle schenkingen;Totaal alle schenkingen;Totaal alle schenkers;Geslacht: mannen;2009;46.0;2044.0;44.4;27.3;174.5;3.8;1.1;1869.4;40.6;26.2
19;Alle schenkingen;Totaal alle schenkingen;Totaal alle schenkers;Geslacht: mannen;2010;25.8;1882.4;73.0;27.2;151.3;5.9;1.9;1731.1;67.1;25.1
20;Alle schenkingen;Totaal alle schenkingen;Totaal alle schenkers;Geslacht: mannen;2011 ;25.2;2087.0;82.7;32.5;124.3;4.9;1.7;1962.7;77.8;30.0
21;Alle schenkingen;Totaal alle schenkingen;Totaal alle schenkers;Geslacht: mannen;2012;24.4;2385.4;97.6;35.0;143.3;5.9;2.0;2242.1;91.8;32.0
22;Alle schenkingen;Totaal alle schenkingen;Totaal alle schenkers;Geslacht: mannen;2013;48.0;4001.3;83.4;45.1;155.4;3.2;0.0;3845.9;80.2;44.5
23;Alle schenkingen;Totaal alle schenkingen;Totaal alle schenkers;Geslacht: mannen;2014;77.8;5413.1;69.6;50.0;141.9;1.8;0.0;5271.2;67.7;50.0
24;Alle schenkingen;Totaal alle schenkingen;Totaal alle schenkers;Geslacht: mannen;2015;25.7;2662.7;103.5;37.6;149.5;5.8;1.8;2513.2;97.7;35.0
25;Alle schenkingen;Totaal alle schenkingen;Totaal alle schenkers;Geslacht: mannen;2016;26.7;2779.9;104.2;40.0;164.0;6.2;1.8;2615.9;98.1;36.8
26;Alle schenkingen;Totaal alle schenkingen;Totaal alle schenkers;Geslacht: mannen;2017;35.7;3482.0;97.5;50.0;192.9;5.4;0.5;3289.1;92.1;46.8
27;Alle schenkingen;Totaal alle schenkingen;Totaal alle schenkers;Geslacht: mannen;2018;33.1;3607.1;109.0;50.0;200.5;6.1;1.5;3406.6;103.0;45.5
28;Alle schenkingen;Totaal alle schenkingen;Totaal alle schenkers;Geslacht: mannen;2019;34.6;4091.2;118.1;50.0;233.1;6.7;1.7;3858.0;111.4;50.0
29;Alle schenkingen;Totaal alle schenkingen;Totaal alle schenkers;Geslacht: mannen;2020;40.4;4812.7;119.1;50.0;282.4;7.0;1.8;4530.3;112.1;50.0
30;Alle schenkingen;Totaal alle schenkingen;Totaal alle schenkers;Geslacht: mannen;2021;47.9;6527.6;136.2;57.7;332.7;6.9;1.5;6194.8;129.2;54.0
31;Alle schenkingen;Totaal alle schenkingen;Totaal alle schenkers;Geslacht: mannen;2022;58.1;5159.1;88.9;50.0;280.9;4.8;0.0;4878.2;84.0;50.0
32;Alle schenkingen;Totaal alle schenkingen;Totaal alle schenkers;Geslacht: vrouwen;2007;40.4;1550.5;38.4;25.0;119.4;3.0;1.1;1431.1;35.5;24.0
33;Alle schenkingen;Totaal alle schenkingen;Totaal alle schenkers;Geslacht: vrouwen;2008;39.2;1781.3;45.4;25.5;120.9;3.1;1.1;1660.4;42.3;24.5
34;Alle schenkingen;Totaal alle schenkingen;Totaal alle schenkers;Geslacht: vrouwen;2009;43.5;1732.7;39.8;27.3;130.0;3.0;1.1;1602.7;36.8;26.2
35;Alle schenkingen;Totaal alle schenkingen;Totaal alle schenkers;Geslacht: vrouwen;2010;24.4;1425.4;58.3;27.2;143.5;5.9;2.0;1281.9;52.4;25.0
36;Alle schenkingen;Totaal alle schenkingen;Totaal alle schenkers;Geslacht: vrouwen;2011 ;24.0;1355.7;56.5;30.0;118.7;4.9;2.0;1236.9;51.5;27.5
37;Alle schenkingen;Totaal alle schenkingen;Totaal alle schenkers;Geslacht: vrouwen;2012;23.0;1582.8;68.9;32.8;132.0;5.7;2.0;1450.8;63.2;30.0
38;Alle schenkingen;Totaal alle schenkingen;Totaal alle schenkers;Geslacht: vrouwen;2013;45.7;2910.5;63.7;45.0;141.8;3.1;0.0;2768.7;60.6;43.7
39;Alle schenkingen;Totaal alle schenkingen;Totaal alle schenkers;Geslacht: vrouwen;2014;72.8;4536.4;62.3;50.0;120.5;1.7;0.0;4415.8;60.7;50.0
40;Alle schenkingen;Totaal alle schenkingen;Totaal alle schenkers;Geslacht: vrouwen;2015;24.5;1851.0;75.6;37.0;136.2;5.6;2.0;1714.8;70.0;35.0
41;Alle schenkingen;Totaal alle schenkingen;Totaal alle schenkers;Geslacht: vrouwen;2016;25.3;2141.8;84.6;40.0;154.9;6.1;2.0;1986.9;78.5;36.2
42;Alle schenkingen;Totaal alle schenkingen;Totaal alle schenkers;Geslacht: vrouwen;2017;33.9;2661.5;78.6;50.0;176.8;5.2;1.0;2484.6;73.4;46.8
43;Alle schenkingen;Totaal alle schenkingen;Totaal alle schenkers;Geslacht: vrouwen;2018;31.3;2763.6;88.2;50.0;176.7;5.6;2.0;2586.9;82.5;45.5
44;Alle schenkingen;Totaal alle schenkingen;Totaal alle schenkers;Geslacht: vrouwen;2019;33.3;3102.3;93.1;50.0;197.0;5.9;2.0;2905.3;87.2;50.0
45;Alle schenkingen;Totaal alle schenkingen;Totaal alle schenkers;Geslacht: vrouwen;2020;38.9;3931.3;101.1;50.0;272.7;7.0;2.0;3658.6;94.1;50.0
46;Alle schenkingen;Totaal alle schenkingen;Totaal alle schenkers;Geslacht: vrouwen;2021;45.8;4977.5;108.7;58.2;313.3;6.8;1.8;4664.2;101.9;54.0
47;Alle schenkingen;Totaal alle schenkingen;Totaal alle schenkers;Geslacht: vrouwen;2022;55.0;4250.0;77.3;50.0;263.9;4.8;0.0;3986.1;72.5;50.0
48;Alle schenkingen;Totaal alle schenkingen;Totaal alle schenkers;Geslacht: onbekend;2007;10.1;448.0;44.5;26.1;43.6;4.3;1.1;404.4;40.1;25.0
49;Alle schenkingen;Totaal alle schenkingen;Totaal alle schenkers;Geslacht: onbekend;2008;8.9;584.6;65.7;26.4;34.7;3.9;1.1;550.0;61.8;25.0
50;Alle schenkingen;Totaal alle schenkingen;Totaal alle schenkers;Geslacht: onbekend;2009;9.4;433.8;46.4;27.3;43.9;4.7;1.2;389.9;41.7;26.2
51;Alle schenkingen;Totaal alle schenkingen;Totaal alle schenkers;Geslacht: onbekend;2010;4.3;277.5;64.1;30.0;32.4;7.5;2.3;245.1;56.6;26.7
52;Alle schenkingen;Totaal alle schenkingen;Totaal alle schenkers;Geslacht: onbekend;2011 ;2.8;187.8;67.6;32.4;18.1;6.5;2.7;169.6;61.1;29.3
53;Alle schenkingen;Totaal alle schenkingen;Totaal alle schenkers;Geslacht: onbekend;2012;2.7;250.2;91.3;36.1;24.1;8.8;3.0;226.0;82.5;32.0
54;Alle schenkingen;Totaal alle schenkingen;Totaal alle schenkers;Geslacht: onbekend;2013;4.1;290.8;71.0;49.4;23.3;5.7;1.5;267.5;65.3;45.0
55;Alle schenkingen;Totaal alle schenkingen;Totaal alle schenkers;Geslacht: onbekend;2014;6.0;418.2;69.7;50.0;21.3;3.6;0.0;396.9;66.1;50.0
56;Alle schenkingen;Totaal alle schenkingen;Totaal alle schenkers;Geslacht: onbekend;2015;2.6;218.1;83.0;50.0;23.0;8.8;4.5;195.0;74.2;45.5
57;Alle schenkingen;Totaal alle schenkingen;Totaal alle schenkers;Geslacht: onbekend;2016;2.8;220.1;80.0;50.0;24.5;8.9;4.2;195.6;71.0;45.5
58;Alle schenkingen;Totaal alle schenkingen;Totaal alle schenkers;Geslacht: onbekend;2017;3.1;363.8;115.8;50.0;37.1;11.8;2.7;326.7;104.0;50.0
59;Alle schenkingen;Totaal alle schenkingen;Totaal alle schenkers;Geslacht: onbekend;2018;2.8;234.2;83.3;55.0;22.3;7.9;4.3;212.0;75.4;50.0
60;Alle schenkingen;Totaal alle schenkingen;Totaal alle schenkers;Geslacht: onbekend;2019;3.0;287.2;97.0;57.7;24.4;8.2;4.5;262.7;88.8;50.5
61;Alle schenkingen;Totaal alle schenkingen;Totaal alle schenkers;Geslacht: onbekend;2020;3.1;368.1;119.0;60.0;31.6;10.2;4.9;336.5;108.8;54.1
62;Alle schenkingen;Totaal alle schenkingen;Totaal alle schenkers;Geslacht: onbekend;2021;3.4;497.8;145.5;71.5;39.2;11.5;5.6;458.6;134.0;63.7
63;Alle schenkingen;Totaal alle schenkingen;Totaal alle schenkers;Geslacht: onbekend;2022;3.4;301.8;88.3;60.0;29.6;8.7;4.4;272.3;79.7;51.0
64;Alle schenkingen;Totaal alle schenkingen;Totaal alle schenkers;Leeftijd: 0 tot 25 jaar;2007;7.4;215.3;29.3;22.0;16.3;2.2;0.7;199.0;27.1;22.0
65;Alle schenkingen;Totaal alle schenkingen;Totaal alle schenkers;Leeftijd: 0 tot 25 jaar;2008;7.1;220.3;30.8;22.4;17.6;2.5;0.7;202.7;28.4;22.4
66;Alle schenkingen;Totaal alle schenkingen;Totaal alle schenkers;Leeftijd: 0 tot 25 jaar;2009;8.7;330.7;38.0;24.8;33.6;3.9;1.1;297.1;34.2;22.8
67;Alle schenkingen;Totaal alle schenkingen;Totaal alle schenkers;Leeftijd: 0 tot 25 jaar;2010;4.8;215.6;44.8;24.0;18.7;3.9;0.1;196.9;40.9;24.0
