ID;Vakantiekenmerken;Perioden;TotaalMeestBezochteVakantielanden_1;Belgie_2;Frankrijk_3;Duitsland_4;OverigeLanden_5
0;Totaal;2002;3585.0;1209.0;674.0;983.0;720.0
1;Totaal;2003;3456.0;1239.0;564.0;931.0;722.0
2;Totaal;2004;3563.0;1185.0;605.0;1029.0;744.0
3;Totaal;2005;3291.0;1057.0;590.0;990.0;653.0
4;Totaal;2006;3229.0;1031.0;532.0;937.0;730.0
5;Totaal;2007;3662.0;1172.0;551.0;1213.0;726.0
6;Totaal;2008;3363.0;1002.0;532.0;1118.0;711.0
7;Totaal;2009;3816.0;1101.0;534.0;1456.0;724.0
8;Totaal;2010;3624.0;1166.0;535.0;1132.0;791.0
9;Totaal;2011;3701.0;1108.0;499.0;1251.0;843.0
10;Totaal;2012;3785.0;1036.0;532.0;1318.0;899.0
11;Totaal;2013;3646.0;979.0;437.0;1280.0;950.0
12;Totaal;2014;3511.0;779.0;502.0;1271.0;959.0
13;Totaal;2015;3677.0;847.0;428.0;1411.0;991.0
14;Totaal;2016;3603.0;729.0;396.0;1444.0;1035.0
15;Totaal seizoenrecreatieve logiesvormen;2002;194.0;159.0;1.0;31.0;3.0
16;Totaal seizoenrecreatieve logiesvormen;2003;230.0;184.0;2.0;34.0;10.0
17;Totaal seizoenrecreatieve logiesvormen;2004;223.0;125.0;27.0;61.0;11.0
18;Totaal seizoenrecreatieve logiesvormen;2005;161.0;70.0;18.0;59.0;14.0
19;Totaal seizoenrecreatieve logiesvormen;2006;173.0;89.0;6.0;55.0;23.0
20;Totaal seizoenrecreatieve logiesvormen;2007;240.0;95.0;11.0;133.0;0.0
21;Totaal seizoenrecreatieve logiesvormen;2008;248.0;53.0;7.0;183.0;5.0
22;Totaal seizoenrecreatieve logiesvormen;2009;282.0;52.0;18.0;206.0;7.0
23;Totaal seizoenrecreatieve logiesvormen;2010;247.0;85.0;30.0;130.0;2.0
24;Totaal seizoenrecreatieve logiesvormen;2011;279.0;95.0;24.0;147.0;13.0
25;Totaal seizoenrecreatieve logiesvormen;2012;151.0;;;;
26;Totaal seizoenrecreatieve logiesvormen;2013;;;;;
27;Totaal seizoenrecreatieve logiesvormen;2014;;;;;
28;Totaal seizoenrecreatieve logiesvormen;2015;;;;;
29;Totaal seizoenrecreatieve logiesvormen;2016;;;;;
30;SL: zomerhuisje, bungalow, tweede woning;2002;60.0;54.0;0.0;6.0;0.0
31;SL: zomerhuisje, bungalow, tweede woning;2003;67.0;60.0;2.0;2.0;3.0
32;SL: zomerhuisje, bungalow, tweede woning;2004;82.0;50.0;24.0;5.0;3.0
33;SL: zomerhuisje, bungalow, tweede woning;2005;40.0;16.0;18.0;0.0;6.0
34;SL: zomerhuisje, bungalow, tweede woning;2006;87.0;56.0;6.0;7.0;18.0
35;SL: zomerhuisje, bungalow, tweede woning;2007;156.0;69.0;9.0;78.0;0.0
36;SL: zomerhuisje, bungalow, tweede woning;2008;160.0;39.0;7.0;111.0;4.0
37;SL: zomerhuisje, bungalow, tweede woning;2009;203.0;35.0;14.0;148.0;6.0
38;SL: zomerhuisje, bungalow, tweede woning;2010;127.0;37.0;7.0;82.0;0.0
39;SL: zomerhuisje, bungalow, tweede woning;2011;190.0;45.0;24.0;113.0;8.0
40;SL: zomerhuisje, bungalow, tweede woning;2012;104.0;;;;
41;SL: zomerhuisje, bungalow, tweede woning;2013;;;;;
42;SL: zomerhuisje, bungalow, tweede woning;2014;;;;;
43;SL: zomerhuisje, bungalow, tweede woning;2015;;;;;
44;SL: zomerhuisje, bungalow, tweede woning;2016;;;;;
45;SL: caravan, vouwwagen;2002;123.0;104.0;1.0;14.0;3.0
46;SL: caravan, vouwwagen;2003;161.0;122.0;0.0;32.0;7.0
47;SL: caravan, vouwwagen;2004;141.0;75.0;3.0;56.0;7.0
48;SL: caravan, vouwwagen;2005;118.0;54.0;0.0;56.0;8.0
49;SL: caravan, vouwwagen;2006;86.0;33.0;0.0;48.0;5.0
50;SL: caravan, vouwwagen;2007;81.0;24.0;2.0;55.0;0.0
51;SL: caravan, vouwwagen;2008;85.0;14.0;0.0;69.0;1.0
52;SL: caravan, vouwwagen;2009;75.0;17.0;0.0;58.0;1.0
53;SL: caravan, vouwwagen;2010;113.0;45.0;20.0;48.0;0.0
54;SL: caravan, vouwwagen;2011;81.0;42.0;0.0;34.0;5.0
55;SL: caravan, vouwwagen;2012;47.0;;;;
56;SL: caravan, vouwwagen;2013;;;;;
