ID;BedrijfstakkenBranchesSBI2008;TotaalArbeidskosten_1;ArbeidskostenPerVoltijdeenheid_2;ArbeidskostenPerGewerktUur_3;ArbeidskostenPerBetaaldUur_4;GewerkteUrenPerVoltijdeenheid_5;TotaalOpbouwArbeidskosten_6;Lonen_7;WettelijkeSocialePremies_8;ContractueleSocialePremies_9;ToegerekendeSocialePremies_10;OverigeKosten_11
0;A-U Alle economische activiteiten;305.4;50.8;30.08;25.45;1689;100;76.8;8.5;7.5;4.1;3.1
1;A Landbouw, bosbouw en visserij;2.6;35.2;20.14;17.17;1748;100;79.8;10.4;6.8;2.3;0.7
2;01 Landbouw;2.4;34.6;19.82;16.9;1747;100;79.7;10.5;6.8;2.2;0.7
3;02 Bosbouw;0.1;47.5;28.69;24.17;1657;100;79.2;9.8;6.8;2.8;1.3
4;03 Visserij;0.1;60.7;32.4;27.69;1872;100;83.6;7.6;5.9;2.4;0.5
5;B Delfstoffenwinning;0.7;101.3;56.06;48.35;1808;100;79.3;6.0;9.2;2.2;3.2
6;06 Winning van aardolie en aardgas;0.4;124.8;70.88;59.73;1761;100;79.1;5.2;9.6;2.2;3.8
7;08 Delfstoffenwinning (geen olie en gas);0.1;64.8;34.83;30.94;1859;100;79.5;7.6;8.9;2.5;1.5
8;09 Dienstverlening delfstoffenwinning;0.2;101.4;55.51;48.11;1827;100;79.5;6.5;8.7;2.2;3.1
9;C Industrie;38.7;52.3;30.01;25.59;1744;100;77.0;9.2;8.6;3.3;1.8
10;10 Voedingsmiddelenindustrie;4.9;51.9;29.72;25.45;1745;100;76.5;9.3;8.6;3.4;2.1
11;11 Drankenindustrie;0.5;69.9;39.95;34.23;1751;100;74.8;8.0;11.3;3.5;2.3
12;12 Tabaksindustrie;0.3;73.2;44.39;36.88;1649;100;75.6;7.6;10.8;3.4;2.5
13;13 Textielindustrie;0.5;46.6;27.68;23.32;1685;100;77.3;9.6;7.6;3.6;1.9
14;14 Kledingindustrie;0.1;43.6;26.45;22.06;1647;100;78.6;8.9;7.6;3.2;1.8
15;15 Leer- en schoenenindustrie;0.1;43.3;24.62;20.78;1757;100;79.5;9.5;6.0;3.5;1.5
16;16 Houtindustrie;0.7;43.8;24.77;21.19;1768;100;78.2;9.9;6.5;3.4;2.0
17;17 Papierindustrie;1.0;55.4;32.02;27.64;1731;100;76.4;9.9;8.3;3.2;2.2
18;18 Grafische industrie;1.5;48.5;28.86;24.76;1682;100;79.2;9.2;6.6;3.0;2.0
19;19 Aardolie-industrie;0.6;94.5;55.33;46.27;1709;100;78.2;6.8;9.0;3.2;2.8
20;20 Chemische industrie;3.4;76.7;43.29;36.77;1771;100;75.4;7.7;12.1;3.0;1.8
21;21 Farmaceutische industrie;1.1;72.7;41.3;35.07;1761;100;76.3;8.2;10.4;3.2;1.9
22;22 Rubber- en kunststofproductindustrie;1.5;50.0;27.98;23.98;1787;100;77.7;10.0;7.4;3.1;1.8
