ID;Marges;EigenaarOfHuurder;KenmerkenWoningen;RegioS;Perioden;TotaalWoonlasten_1;NettoWoonuitgaven_2;BijkomendeWoonlasten_3;Woonquote_4;GeenScheefhuur_5;GoedkopeScheefhuur_6;DureScheefhuur_7
0;Waarde;Totaal;Totaal;Nederland;2009;773.4;554.6;218.8;31.8;85.4;11.3;3.3
1;Waarde;Totaal;Totaal;Nederland;2012;822.9;601.1;221.8;33.5;85.1;9.7;5.3
2;Waarde;Totaal;Totaal;Nederland;2015;798.8;599.0;199.8;32.5;85.5;7.2;7.3
3;Waarde;Totaal;Totaal;Noord-Nederland (LD);2009;754.5;524.2;230.3;33.4;90.6;7.4;2.0
4;Waarde;Totaal;Totaal;Noord-Nederland (LD);2012;795.3;562.6;232.7;34.3;90.5;5.8;3.7
5;Waarde;Totaal;Totaal;Noord-Nederland (LD);2015;747.3;541.2;206.2;32.5;88.8;5.4;5.8
6;Waarde;Totaal;Totaal;Oost-Nederland (LD);2009;785.9;559.9;225.9;31.8;87.2;9.8;3.0
7;Waarde;Totaal;Totaal;Oost-Nederland (LD);2012;824.3;599.2;225.1;33.0;86.5;8.9;4.5
8;Waarde;Totaal;Totaal;Oost-Nederland (LD);2015;792.3;593.7;198.6;31.8;87.3;6.0;6.7
9;Waarde;Totaal;Totaal;West-Nederland (LD);2009;769.1;559.9;209.2;31.6;82.8;13.3;3.9
10;Waarde;Totaal;Totaal;West-Nederland (LD);2012;827.9;613.0;214.8;33.5;82.7;11.3;6.0
11;Waarde;Totaal;Totaal;West-Nederland (LD);2015;817.5;620.6;196.9;32.9;83.5;8.5;7.9
12;Waarde;Totaal;Totaal;Zuid-Nederland (LD);2009;780.3;552.1;228.2;31.4;87.1;9.9;3.0
13;Waarde;Totaal;Totaal;Zuid-Nederland (LD);2012;823.4;594.5;228.9;33.3;86.4;8.5;5.1
14;Waarde;Totaal;Totaal;Zuid-Nederland (LD);2015;787.2;582.4;204.7;32.2;86.6;6.2;7.2
15;Waarde;Totaal;Totaal;Groningen (PV);2009;731.3;506.2;225.1;33.6;89.6;7.8;2.6
16;Waarde;Totaal;Totaal;Groningen (PV);2012;774.2;545.7;228.5;35.0;89.6;6.1;4.3
17;Waarde;Totaal;Totaal;Groningen (PV);2015;734.4;531.3;203.1;33.8;87.6;5.4;7.1
18;Waarde;Totaal;Totaal;Friesland (PV);2009;752.4;528.1;224.3;32.7;90.5;7.9;1.6
19;Waarde;Totaal;Totaal;Friesland (PV);2012;786.7;557.1;229.5;33.8;90.2;6.9;2.9
20;Waarde;Totaal;Totaal;Friesland (PV);2015;739.9;537.6;202.2;31.9;89.1;5.6;5.4
21;Waarde;Totaal;Totaal;Drenthe (PV);2009;783.7;539.8;243.9;34.0;91.9;6.3;1.9
22;Waarde;Totaal;Totaal;Drenthe (PV);2012;832.3;590.3;242.0;34.1;92.0;3.8;4.2
23;Waarde;Totaal;Totaal;Drenthe (PV);2015;773.6;558.3;215.4;31.4;90.1;5.1;4.8
24;Waarde;Totaal;Totaal;Overijssel (PV);2009;775.4;545.8;229.6;32.7;88.1;8.7;3.2
25;Waarde;Totaal;Totaal;Overijssel (PV);2012;805.2;573.3;231.9;33.4;87.6;7.6;4.8
26;Waarde;Totaal;Totaal;Overijssel (PV);2015;770.2;571.2;199.0;31.7;88.5;5.7;5.8
27;Waarde;Totaal;Totaal;Flevoland (PV);2009;795.6;571.3;224.3;31.1;89.7;6.5;3.8
28;Waarde;Totaal;Totaal;Flevoland (PV);2012;818.9;599.4;219.5;32.4;85.0;8.5;6.5
29;Waarde;Totaal;Totaal;Flevoland (PV);2015;822.7;624.9;197.8;32.5;86.7;4.0;9.3
30;Waarde;Totaal;Totaal;Gelderland (PV);2009;790.0;565.8;224.1;31.4;86.3;10.9;2.7
31;Waarde;Totaal;Totaal;Gelderland (PV);2012;836.2;613.8;222.3;32.9;86.2;9.8;4.0
32;Waarde;Totaal;Totaal;Gelderland (PV);2015;798.8;600.3;198.4;31.7;86.8;6.5;6.7
33;Waarde;Totaal;Totaal;Utrecht (PV);2009;811.2;593.6;217.6;29.7;84.6;12.8;2.6
34;Waarde;Totaal;Totaal;Utrecht (PV);2012;861.8;647.7;214.2;31.9;85.6;9.4;5.0
35;Waarde;Totaal;Totaal;Utrecht (PV);2015;859.4;664.3;195.2;31.2;86.0;7.8;6.2
36;Waarde;Totaal;Totaal;Noord-Holland (PV);2009;758.7;552.8;205.9;32.3;81.5;14.5;4.0
37;Waarde;Totaal;Totaal;Noord-Holland (PV);2012;829.4;616.5;212.9;34.1;82.0;12.1;5.9
38;Waarde;Totaal;Totaal;Noord-Holland (PV);2015;829.4;632.9;196.4;33.6;82.5;9.3;8.2
39;Waarde;Totaal;Totaal;Zuid-Holland (PV);2009;767.5;560.0;207.5;31.7;82.6;13.0;4.4
40;Waarde;Totaal;Totaal;Zuid-Holland (PV);2012;819.9;604.4;215.6;33.9;81.6;11.6;6.7
41;Waarde;Totaal;Totaal;Zuid-Holland (PV);2015;801.7;605.2;196.5;33.1;82.9;8.5;8.6
42;Waarde;Totaal;Totaal;Zeeland (PV);2009;735.9;511.9;224.0;31.4;89.4;8.7;1.9
43;Waarde;Totaal;Totaal;Zeeland (PV);2012;787.4;563.4;224.0;32.0;88.6;8.2;3.3
44;Waarde;Totaal;Totaal;Zeeland (PV);2015;747.3;537.7;209.5;31.5;89.6;5.4;5.0
45;Waarde;Totaal;Totaal;Noord-Brabant (PV);2009;790.4;564.0;226.5;31.0;86.9;10.5;2.6
46;Waarde;Totaal;Totaal;Noord-Brabant (PV);2012;838.0;610.7;227.3;33.0;86.2;9.0;4.8
47;Waarde;Totaal;Totaal;Noord-Brabant (PV);2015;807.8;603.7;204.1;32.0;86.0;6.6;7.4
48;Waarde;Totaal;Totaal;Limburg (PV);2009;759.5;527.6;231.9;32.4;87.7;8.7;3.6
49;Waarde;Totaal;Totaal;Limburg (PV);2012;792.9;560.5;232.4;33.9;86.8;7.5;5.7
50;Waarde;Totaal;Totaal;Limburg (PV);2015;743.1;537.0;206.1;32.5;87.8;5.2;6.9
51;Waarde;Totaal;Totaal;Oost-Groningen (CR);2009;716.9;479.0;237.9;32.1;89.5;8.4;2.1
52;Waarde;Totaal;Totaal;Oost-Groningen (CR);2012;768.4;518.6;249.8;34.7;90.6;5.5;3.9
53;Waarde;Totaal;Totaal;Oost-Groningen (CR);2015;711.5;487.2;224.3;33.2;91.6;3.3;5.0
54;Waarde;Totaal;Totaal;Delfzijl en omgeving (CR);2009;790.7;538.5;252.2;33.1;92.1;6.5;1.4
55;Waarde;Totaal;Totaal;Delfzijl en omgeving (CR);2012;818.9;584.0;235.0;37.3;86.5;6.8;6.7
56;Waarde;Totaal;Totaal;Delfzijl en omgeving (CR);2015;719.5;499.0;220.4;31.7;89.4;6.4;4.2
57;Waarde;Totaal;Totaal;Overig Groningen (CR);2009;729.4;513.2;216.2;34.3;89.2;7.7;3.0
58;Waarde;Totaal;Totaal;Overig Groningen (CR);2012;770.6;551.5;219.1;34.8;89.5;6.3;4.1
59;Waarde;Totaal;Totaal;Overig Groningen (CR);2015;744.6;551.4;193.2;34.4;85.8;6.0;8.2
60;Waarde;Totaal;Totaal;Noord-Friesland (CR);2009;739.2;519.0;220.2;33.6;90.6;7.7;1.7
61;Waarde;Totaal;Totaal;Noord-Friesland (CR);2012;768.1;543.6;224.5;33.5;89.0;8.1;2.8
62;Waarde;Totaal;Totaal;Noord-Friesland (CR);2015;717.6;519.1;198.6;31.6;90.7;4.8;4.4
63;Waarde;Totaal;Totaal;Zuidwest-Friesland (CR);2009;745.0;524.7;220.3;31.4;92.0;8.0;0.0
64;Waarde;Totaal;Totaal;Zuidwest-Friesland (CR);2012;788.6;558.4;230.2;33.4;89.9;5.8;4.3
65;Waarde;Totaal;Totaal;Zuidwest-Friesland (CR);2015;773.7;569.7;204.0;33.1;87.3;3.3;9.4
66;Waarde;Totaal;Totaal;Zuidoost-Friesland (CR);2009;778.6;545.4;233.3;32.0;89.5;8.2;2.3
67;Waarde;Totaal;Totaal;Zuidoost-Friesland (CR);2012;815.8;578.5;237.3;34.4;92.2;5.6;2.2
68;Waarde;Totaal;Totaal;Zuidoost-Friesland (CR);2015;754.0;546.7;207.3;31.6;87.4;8.5;4.1
69;Waarde;Totaal;Totaal;Noord-Drenthe (CR);2009;809.2;563.1;246.2;33.6;93.5;5.1;1.4
70;Waarde;Totaal;Totaal;Noord-Drenthe (CR);2012;842.6;598.6;244.0;33.5;94.5;2.6;2.9
71;Waarde;Totaal;Totaal;Noord-Drenthe (CR);2015;795.1;576.6;218.5;29.7;91.0;5.1;3.9
72;Waarde;Totaal;Totaal;Zuidoost-Drenthe (CR);2009;788.2;538.8;249.4;34.5;89.3;7.3;3.4
73;Waarde;Totaal;Totaal;Zuidoost-Drenthe (CR);2012;841.1;597.1;244.0;34.4;90.2;5.0;4.8
74;Waarde;Totaal;Totaal;Zuidoost-Drenthe (CR);2015;773.6;560.2;213.4;33.9;90.4;4.5;5.0
75;Waarde;Totaal;Totaal;Zuidwest-Drenthe (CR);2009;742.4;508.2;234.2;33.8;92.6;6.7;0.7
76;Waarde;Totaal;Totaal;Zuidwest-Drenthe (CR);2012;804.6;568.4;236.2;34.4;90.6;3.9;5.5
77;Waarde;Totaal;Totaal;Zuidwest-Drenthe (CR);2015;742.8;529.4;213.4;30.7;88.3;5.8;5.9
78;Waarde;Totaal;Totaal;Noord-Overijssel (CR);2009;780.1;551.1;229.0;31.3;88.8;8.4;2.9
79;Waarde;Totaal;Totaal;Noord-Overijssel (CR);2012;806.6;578.9;227.7;32.8;86.4;9.0;4.6
80;Waarde;Totaal;Totaal;Noord-Overijssel (CR);2015;783.8;581.5;202.3;31.6;89.2;5.4;5.4
81;Waarde;Totaal;Totaal;Zuidwest-Overijssel (CR);2009;824.4;601.5;222.9;33.4;88.0;9.9;2.2
82;Waarde;Totaal;Totaal;Zuidwest-Overijssel (CR);2012;818.3;588.5;229.7;32.6;84.7;10.2;5.1
83;Waarde;Totaal;Totaal;Zuidwest-Overijssel (CR);2015;843.2;637.0;206.1;32.4;83.6;7.5;8.9
84;Waarde;Totaal;Totaal;Twente (CR);2009;760.9;529.4;231.5;33.3;87.8;8.7;3.6
85;Waarde;Totaal;Totaal;Twente (CR);2012;801.2;566.5;234.8;34.0;89.0;6.2;4.9
86;Waarde;Totaal;Totaal;Twente (CR);2015;745.3;549.7;195.5;31.5;89.3;5.5;5.2
87;Waarde;Totaal;Totaal;Veluwe (CR);2009;821.0;595.2;225.8;31.2;86.6;11.4;2.0
88;Waarde;Totaal;Totaal;Veluwe (CR);2012;863.7;637.3;226.3;32.4;86.1;9.9;4.1
89;Waarde;Totaal;Totaal;Veluwe (CR);2015;794.6;596.0;198.6;30.3;88.2;6.2;5.6
90;Waarde;Totaal;Totaal;Achterhoek (CR);2009;796.1;557.2;238.8;32.0;91.5;6.4;2.2
91;Waarde;Totaal;Totaal;Achterhoek (CR);2012;828.2;598.9;229.4;33.7;88.7;7.6;3.7
