ID;Mineralen;Perioden;TotaalAanvoer_1;Veevoeders_2;Levensmiddelen_3;AnOrganischeVerbindingen_4;GrensoverschrijdendeRivieren_5;AanvoerViaLucht_6;Luchtstikstofbinding_7;TotaalAfvoer_8;MengvoedersEnMest_9;LevensmiddelenInclReststoffen_10;AnOrganischeVerbindingen_11;AfvoerRivierwaterEnLozingenNaarZee_12;AfvoerViaLucht_13;TotaalAccumulatie_14;LandbouwgrondEnGrondwater_15;OverigeGrondenEnGrondwater_16;ZoetOppervlaktewaterEnWaterbodem_17;GeredeProducten_18;TotaalAanvoer_19;TotaalLandbouwgronden_20;DierlijkeMest_21;Kunstmest_22;AndereOrganischeMeststoffen_23;DepositieNeerslag_24;OverigeAanvoer_25;TotaalOverigeGronden_26;Zuiveringsslib_27;Baggerspecie_28;OverigAfval_29;DepositieNeerslag_30;OverigeDiffuseAanvoer_31;TotaalAfvoer_32;TotaalLandbouwgronden_33;AfvoerMetGewassen_34;EmissieNaarWater_35;UitEnAfspoeling_36;OverigeGrondenUitEnAfspoeling_37;TotaalAccumulatie_38;Landbouwgronden_39;OverigeGronden_40;TotaalAanvoer_41;GrensoverschrijdendeRivieren_42;Industrie_43;Huishoudens_44;Landbouw_45;Landbouwgronden_46;OverigeGronden_47;DepositieNeerslag_48;TotaalAfvoer_49;NaarZee_50;Baggerspecie_51;Accumulatie_52
0;Stikstof (N);1986;4328.0;454.0;250.0;381.0;541.0;74.0;2628.0;3523.0;25.0;319.0;2272.0;557.0;350.0;805.0;535.0;85.0;132.0;53.0;1184;1090;479;492;9;84;26;94;5;7;9;56;17;564;555;489;8;58;9;620;535;85;689.0;540.0;23.0;36.0;8.0;58.0;9.0;15.0;557.0;550.0;7.0;132.0
1;Stikstof (N);1990;4673.0;424.0;331.0;242.0;362.0;52.0;3262.0;3813.0;25.0;402.0;2556.0;350.0;480.0;860.0;342.0;91.0;152.0;275.0;1020;924;406;400;9;82;29;96;7;6;11;57;15;587;582;520;8;54;5;433;342;91;501.0;362.0;18.0;36.0;8.0;54.0;5.0;18.0;349.0;343.0;6.0;152.0
2;Stikstof (N);1995;4432.0;473.0;448.0;300.0;425.0;50.0;2736.0;3616.0;73.0;527.0;2127.0;557.0;332.0;816.0;449.0;98.0;13.0;256.0;1112;1002;494;395;10;76;27;110;8;3;18;64;17;565;553;472;6;75;12;547;449;98;567.0;425.0;7.0;30.0;6.0;75.0;12.0;12.0;554.0;551.0;3.0;13.0
3;Stikstof (N);1997;;;;;;;;;;;;;;;;;;;1102;993;480;390;11;83;29;109;7;3;19;65;15;605;593;512;6;75;12;497;400;97;412.0;273.0;7.0;27.0;6.0;75.0;12.0;12.0;274.0;271.0;3.0;138.0
4;Stikstof (N);1998;;;;;;;;;;;;;;;;;;;1048;943;434;392;10;78;29;105;5;3;20;59;18;524;512;431;6;75;12;524;431;93;516.0;376.0;7.0;28.0;6.0;75.0;12.0;12.0;361.0;358.0;3.0;155.0
5;Stikstof (N);1999;;;;;;;;;;;;;;;;;;;1035;928;442;372;10;76;28;107;5;3;21;58;20;532;520;439;6;75;12;503;408;95;484.0;349.0;7.0;24.0;6.0;75.0;12.0;11.0;333.0;330.0;3.0;151.0
6;Stikstof (N);2000;4079.0;408.0;466.0;312.0;312.0;43.0;2538.0;3407.0;83.0;513.0;2167.0;345.0;299.0;672.0;327.0;88.0;106.0;151.0;940;842;407;329;11;67;28;98;3;3;22;50;20;525;515;429;4;82;10;415;327;88;448.0;312.0;6.0;23.0;4.0;82.0;10.0;11.0;342.0;339.0;3.0;106.0
7;Stikstof (N);2001;;;;;;;;;;;;;;;;;;;891;791;401;289;12;63;26;100;3;3;22;49;23;513;503;417;4;82;10;378;288;90;490.0;354.0;6.0;23.0;4.0;82.0;10.0;11.0;363.0;360.0;3.0;127.0
8;Stikstof (N);2002;;;;;;;;;;;;;;;;;;;844;747;368;281;11;59;28;97;2;3;22;45;25;508;498;434;4;60;10;336;249;87;484.0;372.0;6.0;21.0;4.0;60.0;10.0;11.0;411.0;408.0;3.0;73.0
9;Stikstof (N);2003;;;;;;;;;;;;;;;;;;;825;733;358;279;12;57;27;92;1;3;21;45;22;392;387;353;4;30;5;433;346;87;316.0;242.0;6.0;19.0;4.0;30.0;5.0;10.0;205.0;202.0;3.0;111.0
