ID;TypeGefailleerde;Perioden;UitgesprokenFaillissementen_1
0;Totaal rechtsvormen Nederland/buitenland;1981 januari;509
1;Totaal rechtsvormen Nederland/buitenland;1981 februari;588
2;Totaal rechtsvormen Nederland/buitenland;1981 maart;567
3;Totaal rechtsvormen Nederland/buitenland;1981 1e kwartaal;1664
4;Totaal rechtsvormen Nederland/buitenland;1981 april;607
5;Totaal rechtsvormen Nederland/buitenland;1981 mei;530
6;Totaal rechtsvormen Nederland/buitenland;1981 juni;557
7;Totaal rechtsvormen Nederland/buitenland;1981 2e kwartaal;1694
8;Totaal rechtsvormen Nederland/buitenland;1981 juli;667
9;Totaal rechtsvormen Nederland/buitenland;1981 augustus;496
10;Totaal rechtsvormen Nederland/buitenland;1981 september;725
11;Totaal rechtsvormen Nederland/buitenland;1981 3e kwartaal;1888
12;Totaal rechtsvormen Nederland/buitenland;1981 oktober;702
13;Totaal rechtsvormen Nederland/buitenland;1981 november;648
14;Totaal rechtsvormen Nederland/buitenland;1981 december;692
15;Totaal rechtsvormen Nederland/buitenland;1981 4e kwartaal;2042
16;Totaal rechtsvormen Nederland/buitenland;1981;7288
17;Totaal rechtsvormen Nederland/buitenland;1982 januari;674
18;Totaal rechtsvormen Nederland/buitenland;1982 februari;722
19;Totaal rechtsvormen Nederland/buitenland;1982 maart;870
20;Totaal rechtsvormen Nederland/buitenland;1982 1e kwartaal;2266
21;Totaal rechtsvormen Nederland/buitenland;1982 april;695
22;Totaal rechtsvormen Nederland/buitenland;1982 mei;555
23;Totaal rechtsvormen Nederland/buitenland;1982 juni;748
24;Totaal rechtsvormen Nederland/buitenland;1982 2e kwartaal;1998
25;Totaal rechtsvormen Nederland/buitenland;1982 juli;690
26;Totaal rechtsvormen Nederland/buitenland;1982 augustus;613
27;Totaal rechtsvormen Nederland/buitenland;1982 september;797
28;Totaal rechtsvormen Nederland/buitenland;1982 3e kwartaal;2100
29;Totaal rechtsvormen Nederland/buitenland;1982 oktober;736
30;Totaal rechtsvormen Nederland/buitenland;1982 november;789
31;Totaal rechtsvormen Nederland/buitenland;1982 december;755
32;Totaal rechtsvormen Nederland/buitenland;1982 4e kwartaal;2280
33;Totaal rechtsvormen Nederland/buitenland;1982;8644
34;Totaal rechtsvormen Nederland/buitenland;1983 januari;726
35;Totaal rechtsvormen Nederland/buitenland;1983 februari;674
36;Totaal rechtsvormen Nederland/buitenland;1983 maart;884
37;Totaal rechtsvormen Nederland/buitenland;1983 1e kwartaal;2284
38;Totaal rechtsvormen Nederland/buitenland;1983 april;629
39;Totaal rechtsvormen Nederland/buitenland;1983 mei;637
40;Totaal rechtsvormen Nederland/buitenland;1983 juni;720
41;Totaal rechtsvormen Nederland/buitenland;1983 2e kwartaal;1986
42;Totaal rechtsvormen Nederland/buitenland;1983 juli;521
43;Totaal rechtsvormen Nederland/buitenland;1983 augustus;635
44;Totaal rechtsvormen Nederland/buitenland;1983 september;648
45;Totaal rechtsvormen Nederland/buitenland;1983 3e kwartaal;1804
46;Totaal rechtsvormen Nederland/buitenland;1983 oktober;540
47;Totaal rechtsvormen Nederland/buitenland;1983 november;602
48;Totaal rechtsvormen Nederland/buitenland;1983 december;475
49;Totaal rechtsvormen Nederland/buitenland;1983 4e kwartaal;1617
50;Totaal rechtsvormen Nederland/buitenland;1983;7691
51;Totaal rechtsvormen Nederland/buitenland;1984 januari;571
52;Totaal rechtsvormen Nederland/buitenland;1984 februari;659
53;Totaal rechtsvormen Nederland/buitenland;1984 maart;623
54;Totaal rechtsvormen Nederland/buitenland;1984 1e kwartaal;1853
55;Totaal rechtsvormen Nederland/buitenland;1984 april;453
56;Totaal rechtsvormen Nederland/buitenland;1984 mei;560
57;Totaal rechtsvormen Nederland/buitenland;1984 juni;491
58;Totaal rechtsvormen Nederland/buitenland;1984 2e kwartaal;1504
59;Totaal rechtsvormen Nederland/buitenland;1984 juli;423
60;Totaal rechtsvormen Nederland/buitenland;1984 augustus;563
61;Totaal rechtsvormen Nederland/buitenland;1984 september;481
62;Totaal rechtsvormen Nederland/buitenland;1984 3e kwartaal;1467
63;Totaal rechtsvormen Nederland/buitenland;1984 oktober;567
64;Totaal rechtsvormen Nederland/buitenland;1984 november;473
65;Totaal rechtsvormen Nederland/buitenland;1984 december;360
66;Totaal rechtsvormen Nederland/buitenland;1984 4e kwartaal;1400
67;Totaal rechtsvormen Nederland/buitenland;1984;6224
68;Totaal rechtsvormen Nederland/buitenland;1985 januari;560
69;Totaal rechtsvormen Nederland/buitenland;1985 februari;458
70;Totaal rechtsvormen Nederland/buitenland;1985 maart;542
71;Totaal rechtsvormen Nederland/buitenland;1985 1e kwartaal;1560
72;Totaal rechtsvormen Nederland/buitenland;1985 april;446
73;Totaal rechtsvormen Nederland/buitenland;1985 mei;494
74;Totaal rechtsvormen Nederland/buitenland;1985 juni;424
75;Totaal rechtsvormen Nederland/buitenland;1985 2e kwartaal;1364
76;Totaal rechtsvormen Nederland/buitenland;1985 juli;439
77;Totaal rechtsvormen Nederland/buitenland;1985 augustus;385
78;Totaal rechtsvormen Nederland/buitenland;1985 september;398
79;Totaal rechtsvormen Nederland/buitenland;1985 3e kwartaal;1222
80;Totaal rechtsvormen Nederland/buitenland;1985 oktober;493
81;Totaal rechtsvormen Nederland/buitenland;1985 november;418
82;Totaal rechtsvormen Nederland/buitenland;1985 december;321
83;Totaal rechtsvormen Nederland/buitenland;1985 4e kwartaal;1232
84;Totaal rechtsvormen Nederland/buitenland;1985;5378
85;Totaal rechtsvormen Nederland/buitenland;1986 januari;370
86;Totaal rechtsvormen Nederland/buitenland;1986 februari;319
87;Totaal rechtsvormen Nederland/buitenland;1986 maart;397
88;Totaal rechtsvormen Nederland/buitenland;1986 1e kwartaal;1086
89;Totaal rechtsvormen Nederland/buitenland;1986 april;399
90;Totaal rechtsvormen Nederland/buitenland;1986 mei;362
91;Totaal rechtsvormen Nederland/buitenland;1986 juni;395
92;Totaal rechtsvormen Nederland/buitenland;1986 2e kwartaal;1156
93;Totaal rechtsvormen Nederland/buitenland;1986 juli;364
94;Totaal rechtsvormen Nederland/buitenland;1986 augustus;351
95;Totaal rechtsvormen Nederland/buitenland;1986 september;396
96;Totaal rechtsvormen Nederland/buitenland;1986 3e kwartaal;1111
97;Totaal rechtsvormen Nederland/buitenland;1986 oktober;378
98;Totaal rechtsvormen Nederland/buitenland;1986 november;395
99;Totaal rechtsvormen Nederland/buitenland;1986 december;322
100;Totaal rechtsvormen Nederland/buitenland;1986 4e kwartaal;1095
101;Totaal rechtsvormen Nederland/buitenland;1986;4448
102;Totaal rechtsvormen Nederland/buitenland;1987 januari;330
103;Totaal rechtsvormen Nederland/buitenland;1987 februari;341
104;Totaal rechtsvormen Nederland/buitenland;1987 maart;345
105;Totaal rechtsvormen Nederland/buitenland;1987 1e kwartaal;1016
106;Totaal rechtsvormen Nederland/buitenland;1987 april;338
107;Totaal rechtsvormen Nederland/buitenland;1987 mei;280
108;Totaal rechtsvormen Nederland/buitenland;1987 juni;273
109;Totaal rechtsvormen Nederland/buitenland;1987 2e kwartaal;891
110;Totaal rechtsvormen Nederland/buitenland;1987 juli;354
111;Totaal rechtsvormen Nederland/buitenland;1987 augustus;259
112;Totaal rechtsvormen Nederland/buitenland;1987 september;358
113;Totaal rechtsvormen Nederland/buitenland;1987 3e kwartaal;971
114;Totaal rechtsvormen Nederland/buitenland;1987 oktober;314
115;Totaal rechtsvormen Nederland/buitenland;1987 november;283
116;Totaal rechtsvormen Nederland/buitenland;1987 december;311
117;Totaal rechtsvormen Nederland/buitenland;1987 4e kwartaal;908
118;Totaal rechtsvormen Nederland/buitenland;1987;3786
119;Totaal rechtsvormen Nederland/buitenland;1988 januari;287
120;Totaal rechtsvormen Nederland/buitenland;1988 februari;347
121;Totaal rechtsvormen Nederland/buitenland;1988 maart;368
122;Totaal rechtsvormen Nederland/buitenland;1988 1e kwartaal;1002
123;Totaal rechtsvormen Nederland/buitenland;1988 april;288
124;Totaal rechtsvormen Nederland/buitenland;1988 mei;330
125;Totaal rechtsvormen Nederland/buitenland;1988 juni;367
126;Totaal rechtsvormen Nederland/buitenland;1988 2e kwartaal;985
127;Totaal rechtsvormen Nederland/buitenland;1988 juli;288
128;Totaal rechtsvormen Nederland/buitenland;1988 augustus;305
129;Totaal rechtsvormen Nederland/buitenland;1988 september;302
130;Totaal rechtsvormen Nederland/buitenland;1988 3e kwartaal;895
131;Totaal rechtsvormen Nederland/buitenland;1988 oktober;333
132;Totaal rechtsvormen Nederland/buitenland;1988 november;372
133;Totaal rechtsvormen Nederland/buitenland;1988 december;262
134;Totaal rechtsvormen Nederland/buitenland;1988 4e kwartaal;967
135;Totaal rechtsvormen Nederland/buitenland;1988;3849
136;Totaal rechtsvormen Nederland/buitenland;1989 januari;332
137;Totaal rechtsvormen Nederland/buitenland;1989 februari;303
138;Totaal rechtsvormen Nederland/buitenland;1989 maart;360
139;Totaal rechtsvormen Nederland/buitenland;1989 1e kwartaal;995
