ID;InstitutionalSectors;Periods;Total_1;Dwellings_2;BuildingsOtherThanDwellings_3;OtherStructures_4;CostsOfOwnershipTransferOfLand_5;Total_6;PassengerCars_7;OtherRoadTransportEquipment_8;TrainsAndTrams_9;Ships_10;Aircraft_11;Computers_12;TelecommunicationEquipment_13;MachineryAndInstallations_14;OtherTangibleFixedAssets_15;CultivatedBiologicalResources_16;ResearchAndDevelopment_17;ComputerSoftwareAndDatabases_18;OtherIntellectualPropertyProducts_19;Total_20;ExportsOfUsedFixedAssets_21;DomesticSalesUsedFixedAssets_22;GrossFixedCapitalFormation_23;Total_24;Dwellings_25;BuildingsOtherThanDwellings_26;OtherStructures_27;CostsOfOwnershipTransferOfLand_28;Total_29;PassengerCars_30;OtherRoadTransportEquipment_31;TrainsAndTrams_32;Ships_33;Aircraft_34;Computers_35;TelecommunicationEquipment_36;MachineryAndInstallations_37;OtherTangibleFixedAssets_38;CultivatedBiologicalResources_39;ResearchAndDevelopment_40;ComputerSoftwareAndDatabases_41;OtherIntellectualPropertyProducts_42;Total_43;ExportsOfUsedFixedAssets_44;DomesticSalesUsedFixedAssets_45;GrossFixedCapitalFormation_46;Total_47;Dwellings_48;BuildingsOtherThanDwellings_49;OtherStructures_50;CostsOfOwnershipTransferOfLand_51;Total_52;PassengerCars_53;OtherRoadTransportEquipment_54;TrainsAndTrams_55;Ships_56;Aircraft_57;Computers_58;TelecommunicationEquipment_59;MachineryAndInstallations_60;OtherTangibleFixedAssets_61;CultivatedBiologicalResources_62;ResearchAndDevelopment_63;ComputerSoftwareAndDatabases_64;OtherIntellectualPropertyProducts_65;Total_66;ExportsOfUsedFixedAssets_67;DomesticSalesUsedFixedAssets_68;GrossFixedCapitalFormation_69;Total_70;Dwellings_71;BuildingsOtherThanDwellings_72;OtherStructures_73;CostsOfOwnershipTransferOfLand_74;Total_75;PassengerCars_76;OtherRoadTransportEquipment_77;TrainsAndTrams_78;Ships_79;Aircraft_80;Computers_81;TelecommunicationEquipment_82;MachineryAndInstallations_83;OtherTangibleFixedAssets_84;CultivatedBiologicalResources_85;ResearchAndDevelopment_86;ComputerSoftwareAndDatabases_87;OtherIntellectualPropertyProducts_88;Total_89;ExportsOfUsedFixedAssets_90;DomesticSalesUsedFixedAssets_91;GrossFixedCapitalFormation_92
0;All sectors;1969;14705;3417;2808;2358;169;903;354;270;20;117;142;131;85;2656;584;288;1183;37;86;85;;;14620;61000;24002;18614;13232;631;2941;1159;934;82.0;406;409;0;109;9986;3966;567.0;6058;34;339.0;283;;;60810;;;;;;;;;;;;;;;;;;;;;;;;24.1;14.2;15.1;17.8;26.8;30.7;30.5;28.9;24.5;28.8;34.7;37978.1;78.3;26.6;14.7;50.8;19.5;109.8;25.4;30.0;;;24.0
1;All sectors;1970;17596;3916;3600;2714;173;1192;466;372;27;166;161;165;101;3328;734;244;1288;53;88;143;;;17453;67119;25140;21696;13877;616;3651;1428;1204;102.0;551;441;0;124;11412;4469;475.0;6279;47;311.0;453;;;66733;10.0;4.7;16.6;4.9;-2.4;24.1;23.2;28.9;25.0;35.9;7.7;38.2;14.1;14.3;12.7;-16.3;3.6;40.5;-8.1;60.0;;;9.7;26.2;15.6;16.6;19.6;28.1;32.6;32.6;30.9;26.4;30.1;36.5;34620.9;81.5;29.2;16.4;51.4;20.5;111.9;28.3;31.6;;;26.2
2;All sectors;1971;20087;4662;3753;3295;208;1569;484;381;45;248;411;187;113;3623;771;232;1509;64;101;140;;;19947;68855;26443;19991;15160;712;4429;1372;1123;159.0;760;1041;1;132;11281;4109;325.0;6625;56;339.0;409;;;68526;2.6;5.2;-7.9;9.2;15.6;21.3;-3.9;-6.7;55.6;38.0;136.0;49.1;6.9;-1.1;-8.0;-31.6;5.5;18.9;9.1;-9.8;;;2.7;29.2;17.6;18.8;21.7;29.2;35.4;35.3;33.9;28.3;32.6;39.5;26317.5;85.3;32.1;18.8;71.4;22.8;113.7;29.8;34.2;;;29.1
3;All sectors;1972;20959;5678;3552;3318;274;1380;520;412;42;165;241;228;111;3510;779;275;1656;88;110;134;;;20825;66016;28961;16992;13881;901;3757;1426;1164;141.0;491;590;1;130;10444;3811;370.0;6331;77;346.0;377;;;65720;-4.1;9.5;-15.0;-8.4;26.4;-15.2;3.9;3.7;-11.1;-35.5;-43.3;47.1;-1.8;-7.4;-7.3;13.8;-4.4;37.5;2.0;-7.9;;;-4.1;31.7;19.6;20.9;23.9;30.4;36.7;36.5;35.4;29.8;33.6;40.8;21819.6;85.3;33.6;20.4;74.4;26.2;113.7;31.8;35.6;;;31.7
4;All sectors;1973;22879;6397;4008;3340;276;1482;580;477;46;250;129;269;115;3555;923;411;1843;150;110;184;;;22695;66564;29405;17236;12756;884;3959;1561;1317;151.0;731;313;1;135;10253;4207;547.0;6239;130;330.0;509;;;66120;0.8;1.5;1.4;-8.1;-1.8;5.4;9.4;13.1;7.1;49.1;-46.9;22.8;3.6;-1.8;10.4;48.0;-1.4;68.2;-4.5;35.1;;;0.6;34.4;21.8;23.3;26.2;31.2;37.4;37.2;36.2;30.4;34.2;41.2;20962.4;85.3;34.7;21.9;75.1;29.5;115.2;33.3;36.2;;;34.3
5;All sectors;1974;24153;6344;4356;3590;257;1416;586;505;45;221;59;297;133;3907;1094;325;2122;199;113;179;;;23974;63015;26003;16672;12217;766;3430;1440;1248;135.0;591;131;2;151;10020;4267;427.0;6371;174;309.0;448;;;62630;-5.3;-11.6;-3.3;-4.2;-13.4;-13.4;-7.8;-5.2;-10.9;-19.2;-58.1;32.7;12.2;-2.3;1.4;-21.9;2.1;34.0;-6.4;-12.0;;;-5.3;38.3;24.4;26.1;29.4;33.6;41.3;40.7;40.5;33.4;37.4;45.0;17439.3;87.9;39.0;25.6;76.1;33.3;114.1;36.5;40.0;;;38.3
6;All sectors;1975;26279;6526;4808;3959;310;1724;644;483;46;326;225;329;151;4255;1188;241;2377;268;143;161;;;26118;61786;24163;16607;12200;888;3732;1427;1048;123.0;781;451;2;171;9622;4033;289.0;6377;233;353.0;360;;;61491;-2.0;-7.1;-0.4;-0.1;16.0;8.8;-0.9;-16.0;-8.9;32.1;244.1;17.5;12.8;-4.0;-5.5;-32.3;0.1;33.7;14.2;-19.6;;;-1.8;42.5;27.0;29.0;32.5;34.9;46.2;45.1;46.1;37.5;41.8;49.8;16439.9;88.5;44.2;29.5;83.3;37.3;114.9;40.5;44.7;;;42.5
7;All sectors;1976;28922;7170;5598;4214;376;1733;750;598;33;242;110;381;166;4553;1217;237;2757;345;175;114;;;28808;62214;24011;17447;11858;1046;3414;1518;1174;80.0;529;201;3;178;9500;3720;280.0;6667;303;400.0;235;;;62051;0.7;-0.6;5.1;-2.8;17.7;-8.5;6.4;12.0;-34.8;-32.2;-55.6;37.4;4.6;-1.3;-7.7;-3.3;4.5;29.9;13.3;-34.8;;;0.9;46.5;29.9;32.1;35.5;36.0;50.8;49.4;50.9;41.2;45.7;54.8;13857.6;93.0;47.9;32.7;84.7;41.4;113.9;43.7;48.5;;;46.4
8;All sectors;1977;32706;9206;5688;3977;386;2240;898;711;83;444;104;460;191;5273;1380;353;2940;406;206;122;;;32584;66082;28378;16343;10395;1009;4208;1737;1323;192.0;930;182;4;205;10681;3983;380.0;6652;358;439.0;241;;;65918;6.2;18.2;-6.3;-12.3;-3.5;23.3;14.4;12.7;139.4;75.6;-9.1;37.3;15.1;12.4;7.1;35.9;-0.2;18.3;9.7;2.6;;;6.2;49.5;32.4;34.8;38.3;38.2;53.2;51.7;53.7;43.3;47.8;57.0;12188.3;93.0;49.4;34.6;92.9;44.2;113.4;46.9;50.6;;;49.4
9;All sectors;1978;35535;10160;6289;4248;424;2576;995;700;44;528;309;527;207;5442;1458;402;3114;466;222;108;;;35427;67534;28908;16648;10275;1059;4695;1870;1258;102.0;1074;524;6;216;10270;3946;417.0;6663;415;443.0;206;;;67409;2.2;1.9;1.9;-1.2;4.9;11.6;7.7;-4.9;-47.0;15.5;187.5;67.2;5.2;-3.8;-0.9;9.6;0.2;16.0;1.0;-14.8;;;2.3;52.6;35.1;37.8;41.3;40.0;54.9;53.2;55.7;43.3;49.2;58.9;8352.7;95.8;53.0;37.0;96.5;46.7;112.2;50.1;52.5;;;52.6
10;All sectors;1979;37051;10417;6335;4291;463;3071;1143;836;70;647;375;551;208;5733;1522;427;3304;517;212;164;;;36887;66158;27227;15393;9571;1102;5413;2083;1446;157.0;1273;616;8;209;10300;3854;435.0;6807;465;391.0;303;;;65934;-2.0;-5.8;-7.5;-6.9;4.0;15.3;11.4;15.0;54.5;18.6;17.5;24.9;-3.4;0.3;-2.3;4.5;2.2;12.0;-11.7;47.2;;;-2.2;56.0;38.3;41.2;44.8;42.0;56.7;54.9;57.8;44.6;50.8;60.9;6994.4;99.6;55.7;39.5;98.1;48.5;111.1;54.2;54.2;;;55.9
11;All sectors;1980;40648;11683;7342;4680;547;2805;999;730;107;553;416;667;236;6276;1643;326;3513;635;295;169;;;40479;67723;27930;16314;9589;1268;4625;1702;1183;227.0;1018;637;12;227;10589;3816;323.0;6899;587;500.0;292;;;67511;2.4;2.6;6.0;0.2;15.1;-14.6;-18.3;-18.2;44.3;-20.1;3.5;55.2;8.7;2.8;-1.0;-25.8;1.4;26.1;27.8;-3.7;;;2.4;60.0;41.8;45.0;48.8;43.1;60.7;58.7;61.7;47.2;54.3;65.3;5456.5;104.0;59.3;43.1;100.9;50.9;108.2;59.0;57.9;;;60.0
12;All sectors;1981;39537;11171;6447;4835;510;2665;1011;660;163;533;298;795;227;6071;1659;396;3697;726;338;176;;;39361;61843;24992;13377;9298;1152;4124;1615;1000;324.0;924;431;16;207;9341;3400;343.0;7061;684;536.0;285;;;61632;-8.7;-10.5;-18.0;-3.0;-9.1;-10.8;-5.1;-15.5;43.0;-9.2;-32.5;34.5;-8.9;-11.8;-10.9;6.1;2.3;16.5;7.1;-2.4;;;-8.7;63.9;44.7;48.2;52.0;44.3;64.6;62.6;66.0;50.3;57.7;69.2;4836.0;109.8;65.0;48.8;115.5;52.4;106.1;63.1;61.8;;;63.9
13;All sectors;1982;40029;10922;6173;4572;556;3252;1128;716;209;874;325;929;225;6220;1687;383;3825;886;399;220;;;39809;60554;23938;12505;8577;1243;4739;1698;1017;396.0;1428;442;21;198;9025;3164;290.0;6961;844;607.0;335;;;60293;-2.1;-4.2;-6.5;-7.8;7.8;14.9;5.1;1.7;22.1;54.6;2.7;29.2;-4.4;-3.4;-6.9;-15.4;-1.4;23.4;13.3;17.6;;;-2.2;66.1;45.6;49.4;53.3;44.7;68.6;66.4;70.4;52.8;61.2;73.5;4374.5;113.9;68.9;53.3;132.0;54.9;105.0;65.7;65.7;;;66.0
14;All sectors;1983;41493;10727;5951;4339;513;4212;1287;769;166;1080;910;1025;238;6883;1715;385;4014;1088;403;202;;;41291;62112;23572;12015;8110;1129;5910;1862;1050;305.0;1699;1194;28;206;9548;3050;295.0;7138;1063;607.0;297;;;61891;2.6;-1.5;-3.9;-5.4;-9.2;24.7;9.7;3.2;-23.0;19.0;170.2;31.6;4.0;5.8;-3.6;1.8;2.5;26.0;0.0;-11.4;;;2.7;66.8;45.5;49.5;53.5;45.5;71.3;69.1;73.3;54.5;63.6;76.2;3666.3;115.8;72.1;56.2;130.3;56.2;102.3;66.4;68.0;;;66.7
15;All sectors;1984;44772;11265;6278;4699;508;4218;1453;914;140;717;994;1268;309;8138;2024;254;4076;1351;384;392;;;44380;66418;24334;12463;8657;1109;5727;2029;1207;252.0;1095;1264;42;265;10996;3450;226.0;7276;1381;567.0;557;;;65936;6.9;3.2;3.7;6.8;-1.8;-3.1;8.9;15.0;-17.5;-35.6;5.8;51.7;29.0;15.2;13.1;-23.6;1.9;29.9;-6.7;87.6;;;6.5;67.4;46.3;50.4;54.3;45.8;73.6;71.6;75.8;55.7;65.5;78.6;2989.6;116.6;74.0;58.7;112.6;56.0;97.8;67.8;70.4;;;67.3
16;All sectors;1985;47774;11079;6438;4723;500;4505;1759;1075;118;836;717;1488;344;9606;2349;181;4456;1648;457;518;;;47256;70920;24129;12799;8681;1102;5943;2387;1373;208.0;1240;889;59;292;12800;3905;156.0;7874;1744;661.0;715;;;70281;6.8;-0.8;2.7;0.3;-0.6;3.8;17.7;13.8;-17.1;13.2;-29.7;38.1;10.0;16.4;13.2;-30.7;8.2;26.3;16.7;28.3;;;6.6;67.4;45.9;50.3;54.4;45.4;75.8;73.7;78.3;56.6;67.4;80.7;2540.6;117.9;75.0;60.2;115.8;56.6;94.5;69.1;72.5;;;67.2
