ID;EigenaarBewoner;KenmerkenVanHuishoudens;Perioden;ParticuliereHuishoudens_1;GemiddeldeHypotheekschuldEigenWoning_2;GemiddeldeWaardeEigenWoning_3;GemiddeldBrutoInkomen_4;GemiddeldBesteedbaarInkomen_5;HypotheekschuldWoningwaarde_6;HypotheekschuldBrutoInkomen_7;HypotheekschuldBesteedbaarInkomen_8;GeenSchuld_9;k_0Tot07_10;k_07Tot08_11;k_08Tot09_12;k_09Tot10_13;k_1OfHoger_14;GeenSchuld_15;k_0Tot2_16;k_2Tot4_17;k_4OfHoger_18;GeenSchuld_19;k_0Tot35_20;k_35Tot7_21;k_7OfHoger_22
0;Totaal;Particuliere huishoudens;2006;3764.0;128.0;274.1;;;0.45;;;529.3;2019.8;222.5;219.5;246.5;526.3;;;;;;;;
1;Totaal;Particuliere huishoudens;2007;3841.5;136.4;291.5;;;0.46;;;533.2;2041.0;239.8;256.1;293.0;478.5;;;;;;;;
2;Totaal;Particuliere huishoudens;2008;3932.9;144.5;303.8;;;0.48;;;546.5;2044.3;256.4;279.5;319.9;486.3;;;;;;;;
3;Totaal;Particuliere huishoudens;2009;4084.4;147.6;301.5;;;0.49;;;665.9;1943.1;256.3;272.1;306.1;640.8;;;;;;;;
4;Totaal;Particuliere huishoudens;2010;4134.1;151.0;282.3;;;0.55;;;678.7;1781.4;246.0;251.4;271.3;905.2;;;;;;;;
5;Totaal;Particuliere huishoudens;2011;4160.8;154.4;283.8;79.6;47.0;0.56;1.86;3.11;656.4;1791.6;255.5;264.8;285.6;906.9;656.4;1560.8;1438.3;505.4;656.4;1633.8;1446.2;424.4
6;Totaal;Particuliere huishoudens;2012;4195.2;158.5;270.7;80.7;47.3;0.61;1.9;3.22;629.8;1685.0;250.2;256.1;275.0;1099.2;629.8;1567.9;1478.8;518.8;629.8;1620.1;1506.9;438.5
7;Totaal;Particuliere huishoudens;2013;4226.7;159.0;243.3;81.7;47.7;0.69;1.9;3.23;628.7;1499.5;229.8;231.2;240.8;1396.6;628.7;1586.9;1501.3;509.7;628.7;1642.0;1540.1;415.8
8;Totaal;Particuliere huishoudens;2014;4254.4;156.5;242.2;85.4;50.6;0.69;1.84;3.09;667.5;1480.1;233.2;236.9;251.0;1385.8;667.5;1634.0;1491.8;461.2;667.5;1711.8;1523.2;351.9
9;Totaal;Particuliere huishoudens;2015;4287.0;153.5;247.8;83.2;49.8;0.66;1.82;3.0;724.9;1505.2;244.5;253.8;275.3;1283.3;724.9;1617.6;1497.7;446.8;724.9;1735.8;1499.4;326.8
10;Totaal;Particuliere huishoudens;2016;4327.4;153.8;257.5;85.8;52.0;0.64;1.78;2.91;719.5;1587.3;265.4;284.5;338.7;1132.0;719.5;1697.5;1499.9;410.5;719.5;1854.6;1469.0;284.4
11;Totaal;Particuliere huishoudens;2017;4369.3;154.5;274.9;90.1;54.0;0.61;1.73;2.85;731.3;1707.8;305.5;345.1;428.3;851.3;731.3;1779.5;1489.2;369.3;731.3;1927.6;1453.6;256.8
12;Totaal;Particuliere huishoudens;2018;4415.7;156.4;297.3;92.0;55.2;0.57;1.7;2.8;746.7;1876.3;366.7;430.3;410.5;585.3;746.7;1845.4;1474.5;349.2;746.7;1994.7;1431.7;242.7
13;Totaal;Particuliere huishoudens;2019;4456.2;158.8;323.6;98.5;59.8;0.53;1.64;2.69;751.2;2124.0;440.1;440.5;322.6;377.8;751.2;1964.2;1416.2;324.7;751.2;2129.5;1354.1;221.4
14;Totaal;Particuliere huishoudens;2020;4487.2;159.3;345.7;99.2;60.3;0.49;1.59;2.59;773.4;2339.4;457.1;390.8;256.4;270.0;773.4;2026.3;1369.7;317.8;773.4;2222.6;1278.8;212.4
15;Totaal;Particuliere huishoudens;2021;4514.5;162.2;380.8;102.7;63.0;0.45;1.56;2.51;783.9;2653.2;427.5;306.7;168.1;175.0;783.9;2066.5;1355.6;308.6;783.9;2296.1;1232.5;202.1
16;Totaal;Particuliere huishoudens;2022;4566.1;165.7;461.4;109.3;66.3;0.37;1.49;2.41;803.2;3191.7;279.0;137.9;57.6;96.6;803.2;2201.1;1279.5;282.3;803.2;2403.5;1172.9;186.5
17;Totaal;Particuliere huishoudens;2023;4583.6;170.6;467.2;117.8;71.4;0.37;1.42;2.29;798.1;3172.0;266.0;145.2;79.3;123.0;798.1;2328.4;1191.8;265.4;798.1;2539.5;1065.6;180.4
18;Totaal;Type: Eenpersoonshuishouden;2006;724.4;91.1;232.3;;;0.37;;;179.8;313.5;36.8;39.9;49.1;105.4;;;;;;;;
19;Totaal;Type: Eenpersoonshuishouden;2007;754.7;97.3;247.6;;;0.39;;;181.3;326.1;41.1;49.3;61.4;95.7;;;;;;;;
20;Totaal;Type: Eenpersoonshuishouden;2008;788.8;103.2;256.8;;;0.41;;;186.4;335.0;45.1;54.8;68.5;99.1;;;;;;;;
21;Totaal;Type: Eenpersoonshuishouden;2009;846.9;103.1;254.0;;;0.4;;;226.6;326.5;44.6;52.2;63.8;133.2;;;;;;;;
22;Totaal;Type: Eenpersoonshuishouden;2010;863.5;103.6;239.0;;;0.43;;;232.9;307.8;41.2;45.3;52.4;184.0;;;;;;;;
23;Totaal;Type: Eenpersoonshuishouden;2011;877.3;105.9;242.0;47.8;29.2;0.44;2.05;3.36;224.3;327.5;43.7;48.5;55.1;178.3;224.3;207.0;287.4;158.7;224.3;224.7;281.7;146.6
24;Totaal;Type: Eenpersoonshuishouden;2012;895.6;108.8;231.1;48.7;29.6;0.49;2.11;3.51;218.4;320.1;43.4;47.4;52.9;213.5;218.4;212.6;302.7;162.0;218.4;228.4;299.1;149.7
25;Totaal;Type: Eenpersoonshuishouden;2013;911.0;108.7;208.0;49.2;30.0;0.55;2.1;3.49;219.8;296.2;40.8;41.7;45.3;267.1;219.8;218.7;312.8;159.6;219.8;236.3;316.6;138.3
26;Totaal;Type: Eenpersoonshuishouden;2014;925.8;106.1;207.6;51.0;31.5;0.54;2.01;3.3;231.3;300.7;42.8;43.9;47.9;259.2;231.3;229.5;316.7;148.4;231.3;249.8;325.0;119.7
27;Totaal;Type: Eenpersoonshuishouden;2015;942.5;102.6;212.3;50.1;31.3;0.5;1.95;3.13;253.1;308.0;46.2;48.4;53.1;233.7;253.1;226.4;318.8;144.2;253.1;253.1;327.3;109.1
28;Totaal;Type: Eenpersoonshuishouden;2016;961.9;102.8;221.1;51.2;32.2;0.49;1.92;3.07;252.5;333.6;51.6;55.3;66.6;202.2;252.5;243.0;328.9;137.5;252.5;273.6;337.7;98.1
29;Totaal;Type: Eenpersoonshuishouden;2017;979.4;102.4;236.3;53.2;33.1;0.46;1.87;3.01;257.2;367.2;60.1;66.8;83.9;144.2;257.2;258.5;335.5;128.2;257.2;288.7;343.5;90.0
30;Totaal;Type: Eenpersoonshuishouden;2018;996.1;102.5;255.8;53.9;33.7;0.43;1.83;2.94;262.9;411.2;71.0;81.7;75.4;93.9;262.9;271.8;340.0;121.5;262.9;303.6;346.4;83.3
31;Totaal;Type: Eenpersoonshuishouden;2019;1013.7;103.4;279.2;56.9;35.9;0.39;1.77;2.81;267.3;473.0;83.4;78.7;54.7;56.6;267.3;295.2;335.7;115.4;267.3;331.3;338.6;76.5
32;Totaal;Type: Eenpersoonshuishouden;2020;1025.5;103.5;299.4;57.3;36.3;0.36;1.71;2.69;274.3;524.2;81.7;64.9;41.7;38.8;274.3;310.0;327.5;113.7;274.3;352.3;325.7;73.2
33;Totaal;Type: Eenpersoonshuishouden;2021;1037.1;104.7;329.2;59.2;38.0;0.32;1.66;2.59;278.7;588.0;70.4;48.7;27.0;24.2;278.7;322.3;325.2;110.9;278.7;373.9;315.5;68.9
34;Totaal;Type: Eenpersoonshuishouden;2022;1063.8;107.1;397.7;62.4;39.8;0.26;1.58;2.47;286.5;688.2;43.8;22.5;9.4;13.4;286.5;355.4;317.0;104.9;286.5;407.0;305.1;65.1
35;Totaal;Type: Eenpersoonshuishouden;2023;1075.5;110.0;398.2;67.0;42.5;0.26;1.5;2.35;287.2;690.0;42.1;23.8;13.5;18.9;287.2;382.3;304.9;101.1;287.2;438.7;284.8;64.8
36;Totaal;Type: Meerpersoonshuishouden;2006;3039.5;136.8;284.1;;;0.46;;;349.5;1706.2;185.8;179.6;197.5;420.9;;;;;;;;
37;Totaal;Type: Meerpersoonshuishouden;2007;3086.8;145.9;302.2;;;0.47;;;351.9;1714.9;198.7;206.8;231.6;382.9;;;;;;;;
38;Totaal;Type: Meerpersoonshuishouden;2008;3144.1;154.8;315.6;;;0.49;;;360.1;1709.3;211.4;224.7;251.4;387.2;;;;;;;;
39;Totaal;Type: Meerpersoonshuishouden;2009;3237.4;159.3;314.0;;;0.51;;;439.3;1616.6;211.6;219.9;242.3;507.6;;;;;;;;
40;Totaal;Type: Meerpersoonshuishouden;2010;3270.6;163.5;293.8;;;0.57;;;445.9;1473.7;204.8;206.1;218.9;721.2;;;;;;;;
41;Totaal;Type: Meerpersoonshuishouden;2011;3283.6;167.4;295.0;88.1;51.7;0.58;1.82;3.07;432.2;1464.1;211.9;216.3;230.6;728.6;432.2;1353.8;1150.9;346.7;432.2;1409.1;1164.5;277.7
42;Totaal;Type: Meerpersoonshuishouden;2012;3299.7;172.0;281.5;89.4;52.1;0.64;1.86;3.18;411.4;1364.9;206.8;208.7;222.1;885.7;411.4;1355.3;1176.1;356.8;411.4;1391.7;1207.7;288.8
43;Totaal;Type: Meerpersoonshuishouden;2013;3315.7;172.8;253.0;90.6;52.5;0.72;1.86;3.18;408.9;1203.3;188.9;189.6;195.4;1129.5;408.9;1368.2;1188.5;350.1;408.9;1405.7;1223.5;277.5
44;Totaal;Type: Meerpersoonshuishouden;2014;3328.6;170.6;251.8;95.0;56.0;0.73;1.8;3.05;436.2;1179.4;190.4;193.0;203.1;1126.6;436.2;1404.5;1175.1;312.9;436.2;1462.0;1198.2;232.3
45;Totaal;Type: Meerpersoonshuishouden;2015;3344.4;167.8;257.7;92.6;55.0;0.7;1.79;2.98;471.8;1197.2;198.3;205.4;222.3;1049.6;471.8;1391.1;1178.9;302.6;471.8;1482.8;1172.1;217.7
46;Totaal;Type: Meerpersoonshuishouden;2016;3365.4;168.4;267.9;95.7;57.6;0.68;1.75;2.88;467.0;1253.7;213.7;229.2;272.1;929.7;467.0;1454.5;1171.0;273.0;467.0;1581.0;1131.2;186.3
47;Totaal;Type: Meerpersoonshuishouden;2017;3389.9;169.6;286.0;100.7;60.0;0.65;1.71;2.83;474.2;1340.6;245.4;278.4;344.4;707.1;474.2;1521.0;1153.6;241.1;474.2;1638.9;1110.0;166.8
48;Totaal;Type: Meerpersoonshuishouden;2018;3419.6;172.1;309.4;103.1;61.5;0.61;1.68;2.78;483.8;1465.1;295.6;348.6;335.2;491.4;483.8;1573.6;1134.5;227.7;483.8;1691.1;1085.4;159.3
49;Totaal;Type: Meerpersoonshuishouden;2019;3442.6;175.1;336.6;110.8;66.8;0.57;1.61;2.66;483.9;1651.0;356.7;361.8;267.9;321.2;483.9;1668.9;1080.5;209.3;483.9;1798.2;1015.5;144.9
50;Totaal;Type: Meerpersoonshuishouden;2020;3461.7;175.9;359.4;111.6;67.4;0.53;1.57;2.57;499.2;1815.2;375.4;325.9;214.8;231.2;499.2;1716.3;1042.2;204.1;499.2;1870.2;953.2;139.2
51;Totaal;Type: Meerpersoonshuishouden;2021;3477.4;179.3;396.2;115.7;70.4;0.48;1.54;2.5;505.2;2065.1;357.1;258.0;141.1;150.8;505.2;1744.2;1030.4;197.7;505.2;1922.1;917.0;133.1
52;Totaal;Type: Meerpersoonshuishouden;2022;3502.3;183.5;480.8;123.6;74.4;0.4;1.47;2.4;516.7;2503.5;235.3;115.5;48.2;83.2;516.7;1845.8;962.5;177.3;516.7;1996.4;867.8;121.4
53;Totaal;Type: Meerpersoonshuishouden;2023;3508.1;189.1;488.3;133.4;80.3;0.4;1.4;2.28;510.8;2482.0;223.9;121.4;65.8;104.1;510.8;1946.1;886.9;164.3;510.8;2100.8;780.8;115.7
54;Totaal;Type: Eenoudergezin;2006;133.8;113.6;264.8;;;0.44;;;21.9;73.1;8.8;7.7;7.4;14.9;;;;;;;;
55;Totaal;Type: Eenoudergezin;2007;140.4;123.1;281.4;;;0.47;;;20.9;77.3;10.1;9.4;9.1;13.7;;;;;;;;
56;Totaal;Type: Eenoudergezin;2008;148.4;132.7;292.3;;;0.5;;;21.1;80.2;11.5;10.6;10.4;14.5;;;;;;;;
57;Totaal;Type: Eenoudergezin;2009;159.8;135.4;289.8;;;0.52;;;26.7;78.4;12.4;11.4;11.2;19.7;;;;;;;;
58;Totaal;Type: Eenoudergezin;2010;172.6;140.8;272.2;;;0.57;;;29.0;75.0;13.6;12.4;11.8;30.7;;;;;;;;
59;Totaal;Type: Eenoudergezin;2011;171.3;145.9;268.3;62.4;38.6;0.59;2.31;3.69;26.4;74.9;14.0;13.2;12.2;30.6;26.4;48.9;58.3;37.7;26.4;55.3;61.6;28.0
60;Totaal;Type: Eenoudergezin;2012;179.8;152.8;256.8;63.7;38.9;0.65;2.4;3.9;25.2;71.7;14.6;14.0;13.4;40.8;25.2;50.2;63.7;40.7;25.2;55.6;67.3;31.7
61;Totaal;Type: Eenoudergezin;2013;187.0;156.1;231.1;64.2;39.0;0.74;2.42;3.92;24.1;63.6;13.8;13.8;13.5;58.2;24.1;52.5;68.3;42.1;24.1;58.6;71.8;32.5
62;Totaal;Type: Eenoudergezin;2014;194.0;154.5;229.9;66.7;40.9;0.74;2.35;3.79;26.0;64.8;14.3;14.5;14.3;60.2;26.0;55.9;71.8;40.3;26.0;62.9;74.6;30.5
63;Totaal;Type: Eenoudergezin;2015;196.5;150.8;234.4;67.1;41.2;0.71;2.23;3.59;28.7;68.3;14.8;14.8;14.8;55.1;28.7;58.5;74.1;35.2;28.7;66.7;74.7;26.3
64;Totaal;Type: Eenoudergezin;2016;203.1;152.2;243.7;69.5;43.1;0.69;2.18;3.46;27.9;75.0;16.0;16.2;17.2;50.9;27.9;64.2;76.7;34.3;27.9;74.9;76.1;24.2
65;Totaal;Type: Eenoudergezin;2017;204.7;151.7;258.5;73.1;44.9;0.66;2.09;3.35;28.2;81.7;17.5;18.3;20.5;38.5;28.2;69.2;77.3;30.1;28.2;79.5;75.8;21.2
66;Totaal;Type: Eenoudergezin;2018;210.1;154.2;279.1;75.6;46.4;0.62;2.04;3.28;28.6;92.3;20.3;22.0;19.6;27.4;28.6;74.1;79.1;28.4;28.6;84.9;77.0;19.7
67;Totaal;Type: Eenoudergezin;2019;216.3;156.5;303.9;80.8;49.9;0.57;1.96;3.14;28.6;108.5;23.8;22.1;15.2;18.0;28.6;82.2;79.0;26.5;28.6;94.1;75.3;18.3
68;Totaal;Type: Eenoudergezin;2020;220.3;157.7;324.9;82.8;51.2;0.54;1.9;3.04;29.4;122.0;24.6;19.4;11.8;13.0;29.4;87.3;77.6;25.9;29.4;100.2;73.1;17.5
69;Totaal;Type: Eenoudergezin;2021;221.9;161.4;356.6;86.3;53.8;0.49;1.86;2.95;29.0;139.8;22.5;14.5;7.3;8.8;29.0;90.8;77.4;24.7;29.0;105.6;70.8;16.5
