ID;OutputPrices;SIC2008;Periods;PriceIndexNumbersExcludingExcise_1;MonthOnMonthDevelopment_2;YearOnYearDevelopment_3;WeightFactor_4
0;Total sales;B Mining and quarrying;2012 January;121.2;;;16741
1;Total sales;B Mining and quarrying;2012 February;121.7;0.4;;16741
2;Total sales;B Mining and quarrying;2012 March;122.5;0.6;;16741
3;Total sales;B Mining and quarrying;2012 April;125.4;2.4;;16741
4;Total sales;B Mining and quarrying;2012 May;126.8;1.1;;16741
5;Total sales;B Mining and quarrying;2012 June;123.5;-2.6;;16741
6;Total sales;B Mining and quarrying;2012 July;123.2;-0.2;;16741
7;Total sales;B Mining and quarrying;2012 August;125.4;1.8;;16741
8;Total sales;B Mining and quarrying;2012 September;124.8;-0.5;;16741
9;Total sales;B Mining and quarrying;2012 October;127.0;1.7;;16741
10;Total sales;B Mining and quarrying;2012 November;130.7;3.0;;16741
11;Total sales;B Mining and quarrying;2012 December;126.4;-3.3;;16741
12;Total sales;B Mining and quarrying;2012;124.9;;;16741
13;Total sales;B Mining and quarrying;2013 January;124.9;-1.2;3.1;16741
14;Total sales;B Mining and quarrying;2013 February;123.2;-1.4;1.2;16741
15;Total sales;B Mining and quarrying;2013 March;122.9;-0.2;0.4;16741
16;Total sales;B Mining and quarrying;2013 April;122.4;-0.5;-2.4;16741
17;Total sales;B Mining and quarrying;2013 May;121.6;-0.6;-4.1;16741
18;Total sales;B Mining and quarrying;2013 June;121.2;-0.3;-1.8;16741
19;Total sales;B Mining and quarrying;2013 July;121.5;0.2;-1.4;16741
20;Total sales;B Mining and quarrying;2013 August;121.1;-0.3;-3.4;16741
21;Total sales;B Mining and quarrying;2013 September;120.1;-0.9;-3.8;16741
22;Total sales;B Mining and quarrying;2013 October;121.2;0.9;-4.6;16741
23;Total sales;B Mining and quarrying;2013 November;122.4;1.0;-6.4;16741
24;Total sales;B Mining and quarrying;2013 December;122.9;0.4;-2.7;16741
25;Total sales;B Mining and quarrying;2013;122.1;;-2.2;16741
26;Total sales;B Mining and quarrying;2014 January;122.7;-0.2;-1.8;16741
27;Total sales;B Mining and quarrying;2014 February;119.7;-2.5;-2.8;16741
28;Total sales;B Mining and quarrying;2014 March;115.7;-3.3;-5.9;16741
29;Total sales;B Mining and quarrying;2014 April;111.0;-4.1;-9.3;16741
30;Total sales;B Mining and quarrying;2014 May;107.0;-3.6;-12.0;16741
31;Total sales;B Mining and quarrying;2014 June;105.8;-1.2;-12.8;16741
32;Total sales;B Mining and quarrying;2014 July;101.9;-3.7;-16.1;16741
33;Total sales;B Mining and quarrying;2014 August;101.8;-0.1;-16.0;16741
34;Total sales;B Mining and quarrying;2014 September;104.8;3.0;-12.7;16741
35;Total sales;B Mining and quarrying;2014 October;109.7;4.7;-9.4;16741
36;Total sales;B Mining and quarrying;2014 November;110.8;1.0;-9.4;16741
37;Total sales;B Mining and quarrying;2014 December;110.4;-0.4;-10.1;16741
38;Total sales;B Mining and quarrying;2014;110.1;;-9.8;16741
39;Total sales;B Mining and quarrying;2015 January;104.8;-5.1;-14.6;16741
40;Total sales;B Mining and quarrying;2015 February;102.4;-2.3;-14.5;16741
41;Total sales;B Mining and quarrying;2015 March;106.1;3.7;-8.3;16741
42;Total sales;B Mining and quarrying;2015 April;104.4;-1.6;-6.0;16741
43;Total sales;B Mining and quarrying;2015 May;102.4;-1.9;-4.3;16741
44;Total sales;B Mining and quarrying;2015 June;101.0;-1.5;-4.5;16741
45;Total sales;B Mining and quarrying;2015 July;100.5;-0.5;-1.4;16741
46;Total sales;B Mining and quarrying;2015 August;99.8;-0.7;-2.0;16741
47;Total sales;B Mining and quarrying;2015 September;100.1;0.3;-4.5;16741
48;Total sales;B Mining and quarrying;2015 October;95.2;-4.9;-13.2;16741
49;Total sales;B Mining and quarrying;2015 November;92.7;-2.6;-16.4;16741
50;Total sales;B Mining and quarrying;2015 December;90.6;-2.3;-18.0;16741
51;Total sales;B Mining and quarrying;2015;100.0;;-9.2;16741
52;Total sales;B Mining and quarrying;2016 January;86.4;-4.6;-17.5;16741
53;Total sales;B Mining and quarrying;2016 February;82.2;-4.8;-19.7;16741
54;Total sales;B Mining and quarrying;2016 March;80.5;-2.1;-24.1;16741
55;Total sales;B Mining and quarrying;2016 April;74.3;-7.7;-28.8;16741
56;Total sales;B Mining and quarrying;2016 May;77.4;4.1;-24.5;16741
57;Total sales;B Mining and quarrying;2016 June;81.7;5.6;-19.1;16741
58;Total sales;B Mining and quarrying;2016 July;84.6;3.6;-15.8;16741
59;Total sales;B Mining and quarrying;2016 August;84.1;-0.7;-15.8;16741
60;Total sales;B Mining and quarrying;2016 September;79.4;-5.6;-20.7;16741
61;Total sales;B Mining and quarrying;2016 October;78.1;-1.6;-17.9;16741
62;Total sales;B Mining and quarrying;2016 November;85.1;8.9;-8.2;16741
63;Total sales;B Mining and quarrying;2016 December;89.0;4.6;-1.8;16741
64;Total sales;B Mining and quarrying;2016;81.9;;-18.1;16741
65;Total sales;B Mining and quarrying;2017 January;87.9;-1.2;1.7;16741
66;Total sales;B Mining and quarrying;2017 February;92.3;5.1;12.3;16741
67;Total sales;B Mining and quarrying;2017 March;96.6;4.6;20.0;16741
68;Total sales;B Mining and quarrying;2017 April;85.0;-12.0;14.4;16741
69;Total sales;B Mining and quarrying;2017 May;85.0;0.0;9.9;16741
70;Total sales;B Mining and quarrying;2017 June;86.4;1.6;5.8;16741
71;Total sales;B Mining and quarrying;2017 July;84.7;-2.0;0.1;16741
72;Total sales;B Mining and quarrying;2017 August;82.1;-3.1;-2.4;16741
73;Total sales;B Mining and quarrying;2017 September;84.8;3.3;6.8;16741
74;Total sales;B Mining and quarrying;2017 October;88.3;4.2;13.0;16741
75;Total sales;B Mining and quarrying;2017 November;89.7;1.6;5.5;16741
76;Total sales;B Mining and quarrying;2017 December;92.9;3.6;4.4;16741
77;Total sales;B Mining and quarrying;2017;88.0;;7.4;16741
78;Total sales;B Mining and quarrying;2018 January;96.4;3.7;9.7;16741
79;Total sales;B Mining and quarrying;2018 February;92.7;-3.9;0.4;16741
80;Total sales;B Mining and quarrying;2018 March;93.8;1.2;-2.9;16741
81;Total sales;B Mining and quarrying;2018 April;92.7;-1.1;9.1;16741
82;Total sales;B Mining and quarrying;2018 May;96.4;4.0;13.4;16741
83;Total sales;B Mining and quarrying;2018 June;101.6;5.4;17.6;16741
84;Total sales;B Mining and quarrying;2018 July;103.5;1.8;22.2;16741
85;Total sales;B Mining and quarrying;2018 August;104.3;0.8;27.1;16741
86;Total sales;B Mining and quarrying;2018 September;109.5;4.9;29.1;16741
87;Total sales;B Mining and quarrying;2018 October;116.9;6.8;32.3;16741
88;Total sales;B Mining and quarrying;2018 November;110.4;-5.6;23.0;16741
89;Total sales;B Mining and quarrying;2018 December;107.2;-2.8;15.4;16741
90;Total sales;B Mining and quarrying;2018;102.1;;16.1;16741
91;Total sales;B Mining and quarrying;2019 January;105.6;-1.5;9.5;16741
92;Total sales;B Mining and quarrying;2019 February;105.6;0.0;14.0;16741
93;Total sales;B Mining and quarrying;2019 March;93.6;-11.3;-0.2;16741
94;Total sales;B Mining and quarrying;2019 April;88.4;-5.6;-4.7;16741
95;Total sales;B Mining and quarrying;2019 May;87.7;-0.8;-9.0;16741
96;Total sales;B Mining and quarrying;2019 June;81.5;-7.1;-19.8;16741
97;Total sales;B Mining and quarrying;2019 July;77.4;-5.0;-25.2;16741
98;Total sales;B Mining and quarrying;2019 August;76.5;-1.2;-26.7;16741
99;Total sales;B Mining and quarrying;2019 September;77.2;1.0;-29.4;16741
100;Total sales;B Mining and quarrying;2019 October;85.4;10.6;-26.9;16741
101;Total sales;B Mining and quarrying;2019 November;86.9;1.8;-21.2;16741
102;Total sales;B Mining and quarrying;2019 December;89.5;2.9;-16.5;16741
103;Total sales;B Mining and quarrying;2019;87.5;;-14.3;16741
104;Total sales;B Mining and quarrying;2020 January;88.4;-1.2;-16.3;16741
105;Total sales;B Mining and quarrying;2020 February;81.7;-7.6;-22.6;16741
106;Total sales;B Mining and quarrying;2020 March;72.0;-11.9;-23.1;16741
107;Total sales;B Mining and quarrying;2020 April;68.3;-5.2;-22.8;16741
108;Total sales;B Mining and quarrying;2020 May;62.5;-8.4;-28.8;16741
109;Total sales;B Mining and quarrying;2020 June;59.8;-4.4;-26.7;16741
110;Total sales;B Mining and quarrying;2020 July;58.8;-1.7;-24.1;16741
111;Total sales;B Mining and quarrying;2020 August;60.1;2.3;-21.4;16741
112;Total sales;B Mining and quarrying;2020 September;68.8;14.5;-10.8;16741
113;Total sales;B Mining and quarrying;2020 October;72.1;4.7;-15.6;16741
114;Total sales;B Mining and quarrying;2020 November;77.3;7.3;-11.1;16741
115;Total sales;B Mining and quarrying;2020 December;77.7;0.6;-13.1;16741
116;Total sales;B Mining and quarrying;2020;70.6;;-19.7;16741
117;Total sales;B Mining and quarrying;2021 January;82.5;6.1;-6.7;16741
118;Total sales;B Mining and quarrying;2021 February;90.2;9.3;10.3;16741
119;Total sales;B Mining and quarrying;2021 March;86.2;-4.4;19.7;16741
120;Total sales;B Mining and quarrying;2021 April;87.1;1.1;27.6;16741
121;Total sales;B Mining and quarrying;2021 May;96.1;10.3;53.7;16741
122;Total sales;B Mining and quarrying;2021 June;106.2;10.6;77.7;16741
123;Total sales;B Mining and quarrying;2021 July;121.0;13.9;105.8;16741
124;Total sales;B Mining and quarrying;2021 August;136.5;12.8;126.9;16741
125;Total sales;B Mining and quarrying;2021 September;149.4;9.5;117.0;16741
126;Total sales;B Mining and quarrying;2021 October;176.9;18.4;145.5;16741
127;Total sales;B Mining and quarrying;2021 November;199.2;12.6;157.6;16741
128;Total sales;B Mining and quarrying;2021 December;197.8;-0.7;154.5;16741
129;Total sales;B Mining and quarrying;2021;127.4;;80.4;16741
130;Total sales;B Mining and quarrying;2022 January;226.1;14.3;174.1;16741
131;Total sales;B Mining and quarrying;2022 February;207.6;-8.2;130.3;16741
132;Total sales;B Mining and quarrying;2022 March;217.9;4.9;152.8;16741
133;Total sales;B Mining and quarrying;2022 April;276.5;26.9;217.3;16741
134;Total sales;B Mining and quarrying;2022 May;242.1;-12.4;152.0;16741
135;Total sales;B Mining and quarrying;2022 June;247.1;2.1;132.6;16741
136;Total sales;B Mining and quarrying;2022 July;283.4;14.7;134.3;16741
137;Total sales;B Mining and quarrying;2022 August;384.1;35.5;181.4;16741
138;Total sales;B Mining and quarrying;2022 September;463.2;20.6;210.0;16741
139;Total sales;B Mining and quarrying;2022 October;444.3;-4.1;151.2;16741
140;Total sales;B Mining and quarrying;2022 November;412.4;-7.2;107.1;16741
141;Total sales;B Mining and quarrying;2022 December;359.4;-12.9;81.6;16741
142;Total sales;B Mining and quarrying;2022;313.7;;146.2;16741
143;Total sales;B Mining and quarrying;2023 January;343.9;-4.3;52.1;16741
144;Total sales;B Mining and quarrying;2023 February;344.3;0.1;65.8;16741
145;Total sales;B Mining and quarrying;2023 March;303.1;-11.9;39.1;16741
146;Total sales;B Mining and quarrying;2023 April;242.7;-19.9;-12.2;16741
147;Total sales;B Mining and quarrying;2023 May;217.6;-10.3;-10.1;16741
148;Total sales;B Mining and quarrying;2023 June;216.6;-0.4;-12.3;16741
149;Total sales;B Mining and quarrying;2023 July;208.8;-3.6;-26.3;16741
150;Total sales;B Mining and quarrying;2023 August;204.7;-2.0;-46.7;16741
151;Total sales;B Mining and quarrying;2023 September;221.8;8.3;-52.1;16741
152;Total sales;B Mining and quarrying;2023 October;213.1;-3.9;-52.0;16741
153;Total sales;B Mining and quarrying;2023 November;235.3;10.4;-42.9;16741
154;Total sales;B Mining and quarrying;2023 December;242.5;3.0;-32.5;16741
155;Total sales;B Mining and quarrying;2023;249.5;;-20.4;16741
156;Total sales;06 Extraction of crude petroleum and gas;2012 January;;;;11985
157;Total sales;06 Extraction of crude petroleum and gas;2012 February;;;;11985
158;Total sales;06 Extraction of crude petroleum and gas;2012 March;;;;11985
159;Total sales;06 Extraction of crude petroleum and gas;2012 April;;;;11985
160;Total sales;06 Extraction of crude petroleum and gas;2012 May;;;;11985
161;Total sales;06 Extraction of crude petroleum and gas;2012 June;;;;11985
162;Total sales;06 Extraction of crude petroleum and gas;2012 July;;;;11985
163;Total sales;06 Extraction of crude petroleum and gas;2012 August;;;;11985
164;Total sales;06 Extraction of crude petroleum and gas;2012 September;;;;11985
165;Total sales;06 Extraction of crude petroleum and gas;2012 October;;;;11985
166;Total sales;06 Extraction of crude petroleum and gas;2012 November;;;;11985
167;Total sales;06 Extraction of crude petroleum and gas;2012 December;;;;11985
168;Total sales;06 Extraction of crude petroleum and gas;2012;134.1;;;11985
169;Total sales;06 Extraction of crude petroleum and gas;2013 January;;;;11985
170;Total sales;06 Extraction of crude petroleum and gas;2013 February;;;;11985
171;Total sales;06 Extraction of crude petroleum and gas;2013 March;;;;11985
172;Total sales;06 Extraction of crude petroleum and gas;2013 April;;;;11985
