ID;BestemmingVoorInvoer;Perioden;InvoerVanGoederenEnDiensten_1;InvoerVanGoederen_2;InvoerVanDiensten_3;InvoerVanGoederenEnDiensten_4;InvoerVanGoederen_5;InvoerVanDiensten_6;InvoerVanGoederenEnDiensten_7;InvoerVanGoederen_8;InvoerVanDiensten_9;InvoerVanGoederenEnDiensten_10;InvoerVanGoederen_11;InvoerVanDiensten_12
0;A-U Alle economische activiteiten;2015;233084;134076;99008;233084.0;134076.0;99008.0;;;;100.0;100.0;100.0
1;A-U Alle economische activiteiten;2016;230135;130452;99683;239041.0;138963.0;100078.0;2.6;3.6;1.1;96.3;93.9;99.6
2;A-U Alle economische activiteiten;2017;253370;144201;109169;253433.0;144109.0;109139.0;6.0;3.7;9.1;100.0;100.1;100.0
3;A-U Alle economische activiteiten;2018;278394;156271;122123;269841.0;149796.0;119850.0;6.5;3.9;9.8;103.2;104.3;101.9
4;A-U Alle economische activiteiten;2019;275620;154672;120948;267304.0;151044.0;116003.0;-0.9;0.8;-3.2;103.1;102.4;104.3
5;A-U Alle economische activiteiten;2020;255680;137339;118341;257679.0;145607.0;111824.0;-3.6;-3.6;-3.6;99.2;94.3;105.8
6;A-U Alle economische activiteiten;2021;289274;169365;119909;258904.0;148740.0;110180.0;0.5;2.2;-1.5;111.7;113.9;108.8
7;A-U Alle economische activiteiten;2022;363894;229770;134124;267079.0;149085.0;118211.0;3.2;0.2;7.3;136.2;154.1;113.5
8;A Landbouw, bosbouw en visserij;2015;2487;2053;434;2487.0;2053.0;434.0;;;;100.0;100.0;100.0
9;A Landbouw, bosbouw en visserij;2016;2517;2060;457;2728.0;2275.0;453.0;9.7;10.8;4.4;92.3;90.5;100.9
10;A Landbouw, bosbouw en visserij;2017;2662;2160;502;2803.0;2310.0;490.0;2.7;1.6;8.1;95.0;93.5;102.5
11;A Landbouw, bosbouw en visserij;2018;2829;2303;526;2851.0;2350.0;498.0;1.7;1.7;1.8;99.2;98.0;105.5
12;A Landbouw, bosbouw en visserij;2019;2894;2365;529;2914.0;2424.0;488.0;2.2;3.2;-2.1;99.3;97.5;108.4
13;A Landbouw, bosbouw en visserij;2020;2762;2196;566;2861.0;2355.0;503.0;-1.8;-2.9;3.0;96.5;93.3;112.6
14;A Landbouw, bosbouw en visserij;2021;3239;2628;611;2939.0;2402.0;530.0;2.7;2.0;5.5;110.2;109.4;115.2
15;A Landbouw, bosbouw en visserij;2022;4676;4016;660;2878.0;2335.0;536.0;-2.1;-2.8;1.0;162.5;172.0;123.2
16;01 Landbouw;2015;2382;1980;402;2382.0;1980.0;402.0;;;;100.0;100.0;100.0
17;01 Landbouw;2016;2400;1977;423;2613.0;2193.0;420.0;9.7;10.8;4.5;91.8;90.2;100.7
18;01 Landbouw;2017;2544;2075;469;2694.0;2232.0;459.0;3.1;1.8;9.2;94.4;93.0;102.2
19;01 Landbouw;2018;2693;2206;487;2729.0;2263.0;463.0;1.3;1.4;0.9;98.7;97.5;105.3
