ID;Overheidssectoren;Perioden;Vacatures_1;OntstaneVacatures_2;VervuldeVacatures_3;Vacatures_4;OntstaneVacatures_5;VervuldeVacatures_6
0;Totaal sectoren;1992 4e kwartaal;;;;;;
1;Totaal sectoren;1993 1e kwartaal;;;;;;
2;Totaal sectoren;1993 2e kwartaal;;;;;;
3;Totaal sectoren;1993 3e kwartaal;;;;;;
4;Totaal sectoren;1993 4e kwartaal;;;;;;
5;Totaal sectoren;1993 jaarcijfer;;;;;;
6;Totaal sectoren;1994 1e kwartaal;;;;;;
7;Totaal sectoren;1994 2e kwartaal;;;;;;
8;Totaal sectoren;1994 3e kwartaal;;;;;;
9;Totaal sectoren;1994 4e kwartaal;;;;;;
10;Totaal sectoren;1994 jaarcijfer;;;;;;
11;Totaal sectoren;1995 1e kwartaal;;;;;;
12;Totaal sectoren;1995 2e kwartaal;;;;;;
13;Totaal sectoren;1995 3e kwartaal;;;;;;
14;Totaal sectoren;1995 4e kwartaal;;;;;;
15;Totaal sectoren;1995 jaarcijfer;;;;;;
16;Totaal sectoren;1996 1e kwartaal;;;;;;
17;Totaal sectoren;1996 2e kwartaal;;;;;;
18;Totaal sectoren;1996 3e kwartaal;;;;;;
19;Totaal sectoren;1996 4e kwartaal;;;;8.2;;
20;Totaal sectoren;1996 jaarcijfer;;;;;;
21;Totaal sectoren;1997 1e kwartaal;;;;8.8;;
22;Totaal sectoren;1997 2e kwartaal;;;;10.5;;
23;Totaal sectoren;1997 3e kwartaal;;;;9.4;;
24;Totaal sectoren;1997 4e kwartaal;;;;9.8;;
25;Totaal sectoren;1997 jaarcijfer;;;;9.5;;
26;Totaal sectoren;1998 1e kwartaal;;;;10.7;15.2;14.3
27;Totaal sectoren;1998 2e kwartaal;;;;12.9;15.4;13.3
28;Totaal sectoren;1998 3e kwartaal;;;;11.3;19.6;21.3
29;Totaal sectoren;1998 4e kwartaal;;;;12.2;14.0;13.1
30;Totaal sectoren;1998 jaarcijfer;;;;11.5;64.2;61.7
31;Totaal sectoren;1999 1e kwartaal;;;;12.4;16.6;16.4
32;Totaal sectoren;1999 2e kwartaal;;;;15.2;18.0;15.2
