ID;Opleidingsniveau;DienstverbandWekelijkseArbeidsduur;Perioden;TotaalAantalBanen_1;Voltijdbanen_2;BrutoUurloonAlleBanen_3;BrutoMaandloonAlleBanen_4;BrutoJaarloonAlleBanen_5;BrutoJaarloonVoltijdbanen_6
0;Totaal opleidingsniveau;Totaal dienstverband;2002;6996.3;3887.2;17.24;1958;26.2;35.5
1;Totaal opleidingsniveau;Voltijdwerknemers;2002;3887.2;3887.2;18.28;2621;35.5;35.5
2;Totaal opleidingsniveau;Deeltijdwerknemers;2002;2500.7;;15.58;1237;16.8;
3;Totaal opleidingsniveau;Flexibelwerknemers;2002;608.5;;10.85;683;5.1;
4;Totaal opleidingsniveau;Totaal wekelijkse abeidsduur;2002;6996.3;3887.2;17.24;1958;26.2;35.5
5;Totaal opleidingsniveau;< 12 uur per week;2002;796.5;;12.64;322;4.4;
6;Totaal opleidingsniveau;12-<20 uur per week;2002;678.7;;14.18;855;11.2;
7;Totaal opleidingsniveau;20-<25 uur per week;2002;614.8;;15.12;1273;16.7;
8;Totaal opleidingsniveau;25-<30 uur per week;2002;234.5;;16.33;1712;22.2;
9;Totaal opleidingsniveau;30-<35 uur per week;2002;601.5;33.9;16.1;1948;25.6;37.0
10;Totaal opleidingsniveau;>= 35 uur  per week;2002;4070.5;3853.3;17.99;2581;34.7;35.5
11;Basisonderwijs;Totaal dienstverband;2002;659.7;317.1;12.66;1292;17.1;27.6
12;Basisonderwijs;Voltijdwerknemers;2002;317.1;317.1;14.04;2005;27.6;27.6
13;Basisonderwijs;Deeltijdwerknemers;2002;209.0;;10.88;755;10.0;
14;Basisonderwijs;Flexibelwerknemers;2002;133.6;;7.8;440;3.4;
15;Basisonderwijs;Totaal wekelijkse abeidsduur;2002;659.7;317.1;12.66;1292;17.1;27.6
16;Basisonderwijs;< 12 uur per week;2002;148.9;;7.95;206;2.5;
17;Basisonderwijs;12-<20 uur per week;2002;62.2;;10.15;611;7.7;
18;Basisonderwijs;20-<25 uur per week;2002;51.5;;12.16;1031;12.9;
19;Basisonderwijs;25-<30 uur per week;2002;12.2;;10.55;1113;14.0;
20;Basisonderwijs;30-<35 uur per week;2002;49.1;5.2;10.49;1267;15.3;30.8
