ID;Energiedragers;Sectoren;Perioden;TotaalAanbod_1;Winning_2;EnergieAanvoer_3;EnergieAflevering_4;Voorraadmutatie_5;StatistischeVerschillen_6;TotaalVerbruik_7;SaldoInzetProductieEnergie_8;SaldoElektriciteitWKKOmzetting_9;SaldoAndereOmzetting_10;TotaalInzetEnergieVoorOmzetting_11;InzetElektriciteitWKKOmzetting_12;InzetAndereOmzetting_13;TotaalProductieEnergieUitOmzetting_14;ProductieElektriciteitWKKOmzetting_15;ProductieAndereOmzetting_16;EigenVerbruik_17;VerliezenBijDistributie_18;FinaalEnergieverbruik_19;NietEnergetischGebruik_20
0;Totaal energiedragers;Totaal energiesector en eindgebruikers;1990;2829.0;2542.1;12240.4;11925.7;10.1;-38.0;2867.0;439.1;346.5;92.6;3315.5;746.9;2568.6;2876.4;400.4;2476.0;199.0;14.8;1799.0;415.2
1;Totaal energiedragers;Totaal energiesector en eindgebruikers;1991;2938.3;2831.7;12062.0;11911.7;-8.3;-35.5;2973.9;433.8;350.4;83.4;3469.6;770.0;2699.6;3035.8;419.6;2616.2;211.0;16.7;1902.5;409.9
2;Totaal energiedragers;Totaal energiesector en eindgebruikers;1992;2915.9;2838.9;11747.0;11594.3;-35.7;-40.0;2955.9;452.5;365.2;87.4;3547.1;803.0;2744.1;3094.6;437.8;2656.8;204.2;17.1;1871.4;410.7
3;Totaal energiedragers;Totaal energiesector en eindgebruikers;1993;2976.6;2892.0;13030.6;12912.2;8.2;-42.1;3018.7;465.3;370.3;95.0;3581.9;806.4;2775.4;3116.6;436.1;2680.5;211.7;18.1;1928.7;395.0
4;Totaal energiedragers;Totaal energiesector en eindgebruikers;1994;2991.1;2802.5;12530.2;12266.2;-39.5;-35.9;3027.0;474.7;371.5;103.2;3655.5;830.3;2825.2;3180.7;458.8;2722.0;211.7;19.0;1892.3;429.3
5;Totaal energiedragers;Totaal energiesector en eindgebruikers;1995;3084.6;2814.8;12732.6;12516.9;76.6;-22.5;3107.1;467.5;370.0;97.5;3866.4;842.9;3023.5;3398.9;472.8;2926.1;210.1;19.6;1963.4;446.5
6;Totaal energiedragers;Totaal energiesector en eindgebruikers;1996;3254.5;3146.2;13713.9;13568.1;-4.8;-32.7;3287.2;479.2;375.4;103.8;3994.9;880.7;3114.1;3515.7;505.3;3010.3;213.8;21.0;2128.1;445.0
7;Totaal energiedragers;Totaal energiesector en eindgebruikers;1997;3148.3;2799.6;13882.1;13480.8;-27.6;-24.9;3173.2;480.1;365.2;114.9;3963.7;871.5;3092.2;3483.6;506.4;2977.3;204.4;20.3;2001.9;466.6
8;Totaal energiedragers;Totaal energiesector en eindgebruikers;1998;3167.0;2688.5;14159.6;13622.2;-43.7;-15.2;3182.2;501.3;377.8;123.5;4079.1;910.1;3169.0;3577.8;532.3;3045.5;204.9;21.6;1999.4;455.1
9;Totaal energiedragers;Totaal energiesector en eindgebruikers;1999;3107.7;2515.4;13814.0;13324.1;130.9;-28.5;3136.2;472.1;354.9;117.2;3887.5;870.4;3017.1;3415.4;515.5;2899.9;189.7;21.5;1995.2;457.7
10;Totaal energiedragers;Totaal energiesector en eindgebruikers;2000;3146.5;2456.7;14910.1;14101.6;-107.0;-11.6;3158.1;488.5;367.4;121.1;3928.9;893.3;3035.7;3440.4;525.9;2914.5;187.5;22.2;1989.4;470.5
11;Totaal energiedragers;Totaal energiesector en eindgebruikers;2001;3231.2;2573.8;15187.5;14543.0;14.3;-1.3;3232.6;531.4;400.6;130.8;3976.1;939.2;3036.9;3444.7;538.6;2906.1;189.2;22.9;2022.7;466.4
12;Totaal energiedragers;Totaal energiesector en eindgebruikers;2002;3264.5;2574.8;15538.3;14902.7;38.7;15.4;3249.1;527.1;407.1;119.9;3874.8;953.6;2921.3;3347.8;546.4;2801.4;185.3;23.3;2019.9;493.5
13;Totaal energiedragers;Totaal energiesector en eindgebruikers;2003;3374.4;2477.4;15766.0;14908.3;32.2;7.1;3367.3;544.8;410.5;134.3;4000.3;959.2;3041.1;3455.5;548.7;2906.8;187.4;23.7;2051.2;560.1
14;Totaal energiedragers;Totaal energiesector en eindgebruikers;2004;3410.7;2863.2;16458.6;15870.3;-45.6;4.8;3406.0;554.7;418.9;135.8;4188.4;991.5;3196.8;3633.7;572.7;3061.0;195.2;24.6;2072.9;558.6
15;Totaal energiedragers;Totaal energiesector en eindgebruikers;2005;3363.8;2622.0;16425.5;15619.1;-50.1;-14.5;3378.3;538.6;406.5;132.1;4249.8;971.9;3277.8;3711.2;565.4;3145.7;201.1;24.5;2048.7;565.4
16;Totaal energiedragers;Totaal energiesector en eindgebruikers;2006;3323.7;2583.6;17064.3;16284.2;-43.1;3.1;3320.6;509.7;386.2;123.5;4158.7;949.9;3208.8;3649.0;563.6;3085.3;190.6;24.7;2037.1;558.4
17;Totaal energiedragers;Totaal energiesector en eindgebruikers;2007;3316.2;2532.0;16635.6;15901.6;52.5;-2.2;3318.4;533.1;400.9;132.3;4157.0;994.5;3162.5;3623.9;593.6;3030.2;204.7;23.6;1998.1;558.8
18;Totaal energiedragers;Totaal energiesector en eindgebruikers;2008;3283.7;2845.5;16885.0;16346.9;-96.0;-4.0;3287.6;520.6;410.6;110.0;4135.5;1025.4;3110.1;3614.9;614.8;3000.1;196.6;23.4;2035.2;511.8
19;Totaal energiedragers;Totaal energiesector en eindgebruikers;2009;3241.5;2646.1;16480.7;15877.4;4.1;-12.1;3253.6;531.8;418.9;112.9;4126.0;1043.9;3082.1;3594.2;625.1;2969.2;191.3;22.8;1969.4;538.3
20;Totaal energiedragers;Totaal energiesector en eindgebruikers;2010;3472.9;2990.2;17682.9;17200.2;12.5;-12.4;3485.3;542.1;427.9;114.2;4404.5;1092.2;3312.2;3862.4;664.3;3198.1;197.5;24.4;2118.4;602.9
21;Totaal energiedragers;Totaal energiesector en eindgebruikers;2011;3237.5;2794.1;17153.0;16795.7;99.2;-13.1;3250.6;509.5;391.7;117.8;4240.3;1029.0;3211.3;3730.8;637.3;3093.5;209.8;22.6;1953.5;555.2
22;Totaal energiedragers;Totaal energiesector en eindgebruikers;2012;3251.5;2787.4;17540.2;16974.7;-92.8;-8.6;3260.1;500.8;372.8;128.0;4306.6;969.6;3337.0;3805.7;596.8;3208.9;201.3;21.7;1963.9;572.3
23;Totaal energiedragers;Totaal energiesector en eindgebruikers;2013;3166.0;2942.2;17026.4;16797.8;14.6;-19.5;3185.5;481.6;362.5;119.1;4241.2;949.7;3291.5;3759.6;587.2;3172.3;201.7;22.6;1957.2;522.4
24;Totaal energiedragers;Totaal energiesector en eindgebruikers;2014;3010.5;2553.7;17028.4;16465.7;-86.3;-19.7;3030.1;521.8;384.2;137.6;4380.7;955.1;3425.7;3858.9;570.9;3288.0;198.2;21.8;1764.6;523.6
25;Totaal energiedragers;Totaal energiesector en eindgebruikers;2015;3070.1;2035.2;19821.8;18630.1;-137.8;-18.9;3089.0;542.1;413.1;128.9;4651.0;997.1;3653.9;4108.9;584.0;3525.0;210.3;27.2;1800.7;508.8
26;Totaal energiedragers;Totaal energiesector en eindgebruikers;2016;3125.2;1958.5;20169.7;19118.8;124.9;-9.0;3134.2;523.8;407.2;116.7;4824.3;1000.6;3823.7;4300.4;593.4;3707.0;205.4;28.3;1843.6;533.0
27;Totaal energiedragers;Totaal energiesector en eindgebruikers;2017;3148.5;1755.4;20326.4;19006.7;76.2;-2.8;3151.3;504.9;388.6;116.2;4860.2;991.4;3868.8;4355.4;602.8;3752.6;198.0;28.0;1850.3;570.1
28;Totaal energiedragers;Totaal energiesector en eindgebruikers;2018;3096.6;1563.2;19959.4;18366.3;-63.9;4.2;3092.4;467.1;359.4;107.8;5130.5;942.0;4188.5;4663.3;582.6;4080.7;203.7;27.4;1862.6;531.6
29;Totaal energiedragers;Totaal energiesector en eindgebruikers;2019;3043.0;1409.2;19988.1;18273.5;-85.0;4.2;3038.9;470.3;355.3;115.1;5444.8;967.2;4477.6;4974.5;611.9;4362.6;215.4;26.6;1829.7;496.9
30;Totaal energiedragers;Totaal energiesector en eindgebruikers;2020;2947.7;1173.1;18473.0;16666.5;-52.0;20.0;2927.7;437.5;331.5;106.0;4749.4;946.8;3802.5;4311.9;615.4;3696.5;193.4;25.6;1734.1;537.1
31;Totaal energiedragers;Totaal energiesector en eindgebruikers;2021;3032.3;1128.6;18946.5;17517.8;464.7;10.2;3022.1;459.9;330.6;129.3;5064.4;943.9;4120.5;4604.5;613.3;3991.2;208.0;25.9;1792.6;535.6
32;Totaal energiedragers;Totaal energiesector en eindgebruikers;2022;2703.1;1035.4;19052.4;17005.9;-362.2;-16.7;2719.8;440.0;310.2;129.9;5079.1;902.8;4176.3;4639.1;592.6;4046.4;191.0;25.5;1632.2;431.1
33;Totaal energiedragers;Totaal energiesector en eindgebruikers;2023;2612.4;883.1;18661.4;16989.3;60.3;-3.1;2615.5;375.2;264.5;110.7;4922.7;845.3;4077.5;4547.5;580.8;3966.7;182.4;25.8;1584.0;448.2
34;Totaal energiedragers;Totaal energiesector;1990;592.0;2492.3;6650.7;8549.1;-1.9;;592.0;379.9;300.9;79.0;2862.8;563.4;2299.4;2482.9;262.5;2220.4;197.4;14.8;;
35;Totaal energiedragers;Totaal energiesector;1991;610.1;2777.6;5976.1;8160.4;16.7;;610.1;384.0;309.0;75.0;3054.2;588.1;2466.1;2670.3;279.1;2391.2;209.4;16.7;;
36;Totaal energiedragers;Totaal energiesector;1992;621.6;2779.5;5943.5;8063.5;-37.8;;621.6;402.1;321.5;80.7;3151.5;604.9;2546.6;2749.4;283.4;2466.0;202.4;17.1;;
37;Totaal energiedragers;Totaal energiesector;1993;643.0;2827.7;6813.2;8999.3;1.3;;643.0;415.5;322.9;92.6;3210.3;624.4;2585.9;2794.8;301.5;2493.4;209.4;18.1;;
38;Totaal energiedragers;Totaal energiesector;1994;653.4;2737.0;6023.4;8107.2;0.3;;653.4;424.8;325.1;99.7;3234.6;652.3;2582.3;2809.7;327.1;2482.6;209.6;19.0;;
39;Totaal energiedragers;Totaal energiesector;1995;645.4;2746.1;6355.6;8471.3;15.0;;645.4;417.7;323.8;93.9;3463.4;679.6;2783.8;3045.7;355.8;2689.9;208.1;19.6;;
40;Totaal energiedragers;Totaal energiesector;1996;653.7;3070.1;6864.6;9286.4;5.4;;653.7;421.3;319.9;101.4;3557.0;703.6;2853.4;3135.7;383.7;2752.0;211.4;21.0;;
41;Totaal energiedragers;Totaal energiesector;1997;642.0;2713.7;6980.0;9041.0;-10.7;;642.0;420.0;308.4;111.6;3528.0;693.1;2834.9;3108.0;384.7;2723.3;201.7;20.3;;
42;Totaal energiedragers;Totaal energiesector;1998;661.2;2599.3;7095.9;9066.6;32.6;;661.2;437.5;316.6;120.9;3637.2;731.8;2905.4;3199.7;415.2;2784.6;202.1;21.6;;
43;Totaal energiedragers;Totaal energiesector;1999;615.5;2422.8;6938.1;8765.0;19.6;;615.5;407.1;292.8;114.2;3431.2;694.1;2737.1;3024.1;401.2;2622.9;186.9;21.5;;
44;Totaal energiedragers;Totaal energiesector;2000;630.3;2362.1;7586.1;9247.5;-70.4;;630.3;423.3;302.3;121.0;3471.2;710.4;2760.8;3047.9;408.1;2639.8;184.8;22.2;;
45;Totaal energiedragers;Totaal energiesector;2001;675.5;2480.0;7737.6;9553.7;11.6;;675.5;466.1;335.1;131.0;3511.2;759.1;2752.2;3045.1;423.9;2621.2;186.5;22.9;;
46;Totaal energiedragers;Totaal energiesector;2002;668.3;2473.5;7655.2;9469.3;9.0;;668.3;462.5;343.6;118.9;3322.3;775.8;2546.5;2859.8;432.1;2427.7;182.5;23.3;;
47;Totaal energiedragers;Totaal energiesector;2003;686.9;2371.1;7855.7;9566.9;27.1;;686.9;478.5;346.5;132.0;3456.3;780.3;2676.0;2977.8;433.8;2544.0;184.7;23.7;;
48;Totaal energiedragers;Totaal energiesector;2004;701.8;2753.6;7982.1;10026.8;-7.1;;701.8;484.8;355.0;129.8;3577.3;813.4;2763.9;3092.6;458.4;2634.1;192.5;24.6;;
49;Totaal energiedragers;Totaal energiesector;2005;688.5;2506.6;8166.6;9949.8;-35.0;;688.5;465.8;342.2;123.6;3568.2;784.1;2784.1;3102.4;441.9;2660.5;198.1;24.5;;
50;Totaal energiedragers;Totaal energiesector;2006;651.6;2464.2;8071.7;9880.0;-4.3;;651.6;439.4;322.9;116.5;3440.1;751.6;2688.5;3000.6;428.6;2572.0;187.4;24.7;;
51;Totaal energiedragers;Totaal energiesector;2007;684.5;2400.1;7940.7;9700.5;44.2;;684.5;459.4;331.7;127.8;3435.6;777.5;2658.1;2976.2;445.8;2530.4;201.5;23.6;;
52;Totaal energiedragers;Totaal energiesector;2008;652.5;2705.4;7935.4;9953.5;-34.8;;652.5;436.3;332.9;103.4;3427.2;772.8;2654.4;2990.9;439.9;2551.0;192.8;23.4;;
53;Totaal energiedragers;Totaal energiesector;2009;660.1;2496.1;7737.8;9565.3;-8.6;;660.1;449.9;344.5;105.4;3381.0;797.4;2583.6;2931.1;452.9;2478.2;187.4;22.8;;
54;Totaal energiedragers;Totaal energiesector;2010;673.6;2832.8;7977.5;10119.4;-17.4;;673.6;455.7;348.3;107.5;3531.5;819.3;2712.2;3075.8;471.1;2604.8;193.4;24.4;;
55;Totaal energiedragers;Totaal energiesector;2011;650.7;2630.8;7683.5;9701.8;38.2;;650.7;422.6;310.4;112.1;3425.3;752.0;2673.2;3002.7;441.6;2561.1;205.6;22.6;;
56;Totaal energiedragers;Totaal energiesector;2012;634.4;2592.2;7671.4;9596.2;-33.0;;634.4;416.0;296.7;119.4;3352.4;688.0;2664.3;2936.3;391.4;2545.0;196.7;21.7;;
57;Totaal energiedragers;Totaal energiesector;2013;609.5;2726.8;7448.6;9581.7;15.8;;609.5;389.6;282.3;107.3;3265.5;666.8;2598.7;2875.9;384.5;2491.4;197.3;22.6;;
58;Totaal energiedragers;Totaal energiesector;2014;647.8;2325.0;7609.4;9231.8;-54.8;;647.8;432.1;309.1;123.1;3372.7;704.3;2668.4;2940.6;395.3;2545.3;193.9;21.8;;
59;Totaal energiedragers;Totaal energiesector;2015;680.4;1815.0;9516.7;10625.6;-25.7;;680.4;446.8;338.0;108.8;3513.0;744.8;2768.2;3066.1;406.8;2659.4;206.4;27.2;;
60;Totaal energiedragers;Totaal energiesector;2016;664.2;1742.5;9425.6;10611.4;107.4;;664.2;434.6;333.6;100.9;3541.9;751.0;2790.8;3107.3;417.4;2689.9;201.3;28.3;;
61;Totaal energiedragers;Totaal energiesector;2017;637.9;1514.5;9453.7;10338.0;7.8;;637.9;416.1;314.9;101.2;3499.4;723.9;2775.4;3083.2;409.0;2674.2;193.8;28.0;;
62;Totaal energiedragers;Totaal energiesector;2018;596.4;1310.4;9155.8;9804.0;-65.8;;596.4;370.0;283.6;86.3;3490.0;673.0;2817.0;3120.0;389.4;2730.7;199.0;27.4;;
63;Totaal energiedragers;Totaal energiesector;2019;608.6;1142.3;8838.2;9353.5;-18.4;;608.6;371.3;282.4;88.9;3549.1;686.0;2863.1;3177.7;403.6;2774.2;210.7;26.6;;
64;Totaal energiedragers;Totaal energiesector;2020;549.1;881.4;8149.3;8500.2;18.6;;549.1;334.9;249.4;85.5;3199.4;627.3;2572.1;2864.5;377.9;2486.6;188.6;25.6;;
65;Totaal energiedragers;Totaal energiesector;2021;575.2;823.9;8238.1;8761.9;275.1;;575.2;346.4;244.4;102.0;3356.5;606.8;2749.7;3010.2;362.5;2647.7;202.9;25.9;;
66;Totaal energiedragers;Totaal energiesector;2022;538.4;703.7;8287.8;8185.9;-267.3;;538.4;327.1;229.1;98.0;3304.4;586.5;2717.9;2977.4;357.4;2619.9;185.9;25.5;;
67;Totaal energiedragers;Totaal energiesector;2023;481.4;562.9;7748.0;7850.3;20.9;;481.4;277.9;187.8;90.1;3343.5;528.0;2815.5;3065.6;340.2;2725.4;177.8;25.8;;
68;Totaal energiedragers;Winning van olie en gas;1990;24.5;2453.3;2.8;2431.7;0.1;;24.5;0.1;0.1;;1.0;1.0;;0.9;0.9;;24.4;;;
69;Totaal energiedragers;Winning van olie en gas;1991;27.6;2740.6;3.4;2716.9;0.6;;27.6;0.1;0.1;;1.0;1.0;;0.9;0.9;;27.5;;;
70;Totaal energiedragers;Winning van olie en gas;1992;30.7;2734.7;3.6;2710.6;3.0;;30.7;0.3;0.2;0.1;4.5;1.2;3.4;4.2;1.0;3.3;30.4;;;
71;Totaal energiedragers;Winning van olie en gas;1993;28.0;2783.4;8.5;2763.1;-0.8;;28.0;0.2;0.2;0.0;1.3;1.2;0.1;1.1;1.1;0.1;27.8;;;
72;Totaal energiedragers;Winning van olie en gas;1994;25.2;2692.3;9.4;2672.0;-4.6;;25.2;0.2;0.2;0.0;2.7;1.4;1.3;2.6;1.2;1.4;25.0;;;
73;Totaal energiedragers;Winning van olie en gas;1995;24.4;2699.7;5.0;2685.0;4.7;;24.4;-0.3;0.2;-0.5;17.4;1.3;16.1;17.6;1.0;16.6;24.7;;;
74;Totaal energiedragers;Winning van olie en gas;1996;29.7;3021.3;6.0;2999.9;2.2;;29.7;-0.3;0.2;-0.5;16.8;1.2;15.6;17.1;1.0;16.1;29.9;;;
75;Totaal energiedragers;Winning van olie en gas;1997;31.3;2684.3;5.7;2655.0;-3.7;;31.3;0.1;0.1;-0.1;3.6;0.9;2.7;3.5;0.7;2.8;31.2;;;
