ID;Perioden;TotaalAanbod_1;TotaalProductie_2;Centraal_3;Decentraal_4;Invoer_5;Uitvoer_6;TotaalVerbruik_7;ViaHetOpenbareNet_8;ViaBedrijfsnetten_9;TotaalBijDeProductie_10;Centraal_11;Decentraal_12;VerliezenBijDistributie_13
0;1919;;;355.0;;;;;;;;;;
1;1920;;;452.0;;;;;;;;;;
2;1921;;;493.0;;;;;;;;;;
3;1922;;;577.0;;;;;;;;;;
4;1923;;;;;;;;;;;;;
5;1924;;;748.0;;;;;;;;;;
6;1925;;;838.0;;;;;;;;;;
7;1926;;;932.0;;;;;;;;;;
8;1927;;;1094.0;;;;;;;;;;
9;1928;;;1233.0;;;;;;;;;;
10;1929;;;1427.0;;22.0;0.0;;;;;;;
11;1930;;;1608.0;;23.0;0.0;;;;;;;
12;1931;;;1735.0;;20.0;0.0;;;;;;;
13;1932;;;1795.0;;18.0;0.0;;;;;;;
14;1933;;;1833.0;;21.0;0.0;;;;;;;
15;1934;;;1907.0;;23.0;0.0;;;;;;;
16;1935;;;1948.0;;20.0;0.0;;;;;;;
17;1936;3144.0;3122.0;2033.0;1089.0;22.0;0.0;;;;;;;
18;1937;3510.0;3485.0;2243.0;1242.0;25.0;0.0;;;;;;;
19;1938;3706.0;3688.0;2421.0;1267.0;18.0;0.0;;;;;;;
20;1939;4064.0;4064.0;2687.0;1377.0;0.0;0.0;;;;;;;
21;1940;3777.0;3777.0;2534.0;1243.0;0.0;0.0;;;;;;;
22;1941;3652.0;3652.0;2515.0;1137.0;0.0;0.0;;;;;;;
23;1942;3606.0;3606.0;2570.0;1036.0;0.0;0.0;;;;;;;
24;1943;3565.0;3565.0;2528.0;1037.0;0.0;0.0;;;;;;;
25;1944;2967.0;2969.0;2141.0;828.0;4.0;6.0;;;;;;;
26;1945;1843.0;1831.0;1059.0;772.0;34.0;22.0;;;;;;;
27;1946;3740.0;3698.0;2522.0;1176.0;42.0;0.0;;;;;;;
28;1947;4608.0;4635.0;3319.0;1316.0;13.0;40.0;;;;;;;
29;1948;5543.0;5577.0;4068.0;1509.0;1.0;35.0;;;;;;;
30;1949;6303.0;6337.0;4615.0;1722.0;2.0;36.0;;;;;;;
31;1950;7441.0;7417.0;5439.0;1978.0;51.0;27.0;;;;;;;
32;1951;8214.0;7911.0;5756.0;2155.0;307.0;4.0;;;;;;;
33;1952;8788.0;8599.0;6300.0;2299.0;208.0;19.0;;;;;;;
34;1953;9591.0;9603.0;7107.0;2496.0;65.0;77.0;;;;;;;
35;1954;10538.0;10588.0;8094.0;2494.0;36.0;86.0;;;;;;;
36;1955;11385.0;11188.0;8611.0;2577.0;240.0;43.0;;;;;;;
37;1956;12420.0;12448.0;9743.0;2705.0;176.0;204.0;;;;;;;
38;1957;13286.0;13367.0;10498.0;2869.0;128.0;209.0;;;;;;;
39;1958;14045.0;13854.0;10737.0;3117.0;224.0;33.0;;;;;;;
40;1959;15046.0;14971.0;11505.0;3466.0;140.0;65.0;;;;;;;
41;1960;16634.0;16516.0;12756.0;3760.0;156.0;38.0;;;;;;;
42;1961;17667.0;17624.0;13716.0;3908.0;110.0;67.0;;;;;;;
43;1962;19235.0;19255.0;15206.0;4049.0;88.0;108.0;;;;;;;
44;1963;21031.0;20984.0;16818.0;4166.0;141.0;94.0;;;;;;;
45;1964;22993.0;22975.0;18405.0;4570.0;50.0;32.0;;;;;;;
46;1965;25044.0;25010.0;20198.0;4812.0;103.0;69.0;;;;;;;
47;1966;27562.0;27869.0;22544.0;5325.0;72.0;379.0;;;;;;;
48;1967;29725.0;30056.0;24484.0;5572.0;69.0;400.0;;;;;;;
49;1968;33345.0;33619.0;27910.0;5709.0;29.0;303.0;;;;;;;
50;1969;36786.0;37144.0;31267.0;5877.0;27.0;385.0;;;;;;;
51;1970;40518.0;40859.0;34585.0;6273.0;27.0;368.0;;;;;;;
52;1971;43822.0;44904.0;38452.0;6453.0;1.0;1083.0;;;;;;;
53;1972;48091.0;49551.0;42984.0;6567.0;5.0;1465.0;;;;;;;
54;1973;51284.0;52628.0;45638.0;6989.0;7.0;1351.0;;;;;;;
55;1974;53871.0;55350.0;48585.0;6765.0;10.0;1489.0;;;;;;;
56;1975;54029.0;54287.0;48419.0;5868.0;54.0;312.0;;;;;;;
57;1976 januari;5086.0;5093.0;4563.0;530.0;16.0;23.0;5086.0;4435.0;438.0;213.0;182.0;31.0;217.0
58;1976 februari;4799.0;4819.0;4332.0;487.0;0.0;20.0;4799.0;4191.0;404.0;204.0;175.0;29.0;206.0
59;1976 maart;5015.0;5035.0;4546.0;489.0;0.0;20.0;5015.0;4406.0;403.0;206.0;178.0;28.0;216.0
60;1976 1e kwartaal;14901.0;14947.0;13441.0;1506.0;16.0;62.0;14901.0;13032.0;1246.0;623.0;535.0;88.0;639.0
61;1976 april;4550.0;4570.0;4097.0;473.0;0.0;20.0;4550.0;3973.0;389.0;188.0;160.0;28.0;195.0
62;1976 mei;4537.0;4560.0;4097.0;463.0;1.0;24.0;4537.0;3968.0;380.0;189.0;162.0;27.0;195.0
63;1976 juni;4401.0;4451.0;4017.0;434.0;1.0;51.0;4401.0;3857.0;356.0;188.0;162.0;26.0;191.0
64;1976 2e kwartaal;13489.0;13581.0;12211.0;1370.0;2.0;94.0;13489.0;11798.0;1126.0;565.0;484.0;81.0;581.0
65;1976 juli;4282.0;4322.0;3867.0;455.0;0.0;40.0;4282.0;3719.0;373.0;190.0;163.0;27.0;184.0
66;1976 augustus;4615.0;4636.0;4177.0;459.0;0.0;21.0;4615.0;4034.0;379.0;202.0;174.0;28.0;198.0
67;1976 september;4748.0;4763.0;4263.0;500.0;1.0;16.0;4748.0;4124.0;420.0;204.0;176.0;28.0;203.0
68;1976 3e kwartaal;13645.0;13721.0;12307.0;1414.0;1.0;77.0;13645.0;11877.0;1172.0;596.0;513.0;83.0;585.0
69;1976 oktober;5108.0;5127.0;4582.0;545.0;2.0;21.0;5108.0;4433.0;456.0;219.0;186.0;33.0;218.0
70;1976 november;5233.0;5272.0;4727.0;545.0;1.0;40.0;5233.0;4549.0;464.0;220.0;187.0;33.0;225.0
71;1976 december;5463.0;5490.0;4960.0;530.0;0.0;27.0;5463.0;4788.0;446.0;229.0;198.0;31.0;236.0
72;1976 4e kwartaal;15805.0;15889.0;14269.0;1620.0;3.0;87.0;15805.0;13770.0;1367.0;668.0;571.0;97.0;679.0
73;1976;57844.0;58166.0;52228.0;5938.0;24.0;347.0;57844.0;50477.0;4911.0;2456.0;2103.0;353.0;2484.0
74;1977 januari;5358.0;5379.0;4905.0;474.0;0.0;21.0;5358.0;4749.0;388.0;221.0;194.0;27.0;233.0
75;1977 februari;4777.0;4797.0;4322.0;475.0;0.0;20.0;4777.0;4187.0;394.0;196.0;168.0;28.0;205.0
76;1977 maart;5177.0;5184.0;4692.0;492.0;10.0;17.0;5177.0;4553.0;405.0;219.0;188.0;31.0;223.0
77;1977 1e kwartaal;15313.0;15361.0;13919.0;1442.0;10.0;58.0;15313.0;13489.0;1187.0;637.0;550.0;87.0;661.0
78;1977 april;4777.0;4746.0;4275.0;471.0;38.0;7.0;4777.0;4169.0;398.0;210.0;180.0;30.0;203.0
79;1977 mei;4679.0;4615.0;4146.0;469.0;65.0;1.0;4679.0;4064.0;406.0;209.0;181.0;28.0;197.0
80;1977 juni;4502.0;4455.0;3977.0;478.0;65.0;18.0;4502.0;3903.0;398.0;201.0;171.0;30.0;189.0
81;1977 2e kwartaal;13957.0;13816.0;12398.0;1418.0;168.0;27.0;13957.0;12136.0;1201.0;620.0;532.0;88.0;589.0
82;1977 juli;4196.0;4030.0;3531.0;499.0;186.0;20.0;4196.0;3598.0;417.0;181.0;151.0;30.0;168.0
83;1977 augustus;4721.0;4455.0;3949.0;506.0;285.0;19.0;4721.0;4098.0;425.0;198.0;167.0;31.0;188.0
84;1977 septermber;4768.0;4585.0;4101.0;484.0;203.0;20.0;4768.0;4162.0;403.0;203.0;175.0;28.0;195.0
85;1977 3e kwartaal;13685.0;13070.0;11581.0;1489.0;674.0;59.0;13685.0;11858.0;1245.0;582.0;493.0;89.0;551.0
86;1977 oktober;5155.0;5136.0;4596.0;540.0;41.0;22.0;5155.0;4479.0;451.0;225.0;193.0;32.0;218.0
87;1977 november;5401.0;5405.0;4869.0;536.0;16.0;20.0;5401.0;4718.0;449.0;234.0;202.0;32.0;231.0
88;1977 december;5554.0;5497.0;4950.0;547.0;78.0;21.0;5554.0;4862.0;458.0;234.0;201.0;33.0;235.0
89;1977 4e kwartaal;16110.0;16038.0;14415.0;1623.0;135.0;63.0;16110.0;14059.0;1358.0;693.0;596.0;97.0;684.0
90;1977;59063.0;58313.0;52313.0;6000.0;1000.0;250.0;59063.0;51542.0;4991.0;2530.0;2171.0;359.0;2485.0
91;1978 januari;5544.0;5539.0;5012.0;527.0;25.0;20.0;5544.0;4882.0;437.0;225.0;195.0;30.0;238.0
92;1978 februari;5082.0;5051.0;4552.0;499.0;49.0;18.0;5082.0;4452.0;414.0;216.0;180.0;36.0;216.0
