ID;Partij;GeldigeStemmen_1;InVanTotaalGeldigeStemmen_2;Totaal_3;Mannen_4;Vrouwen_5
0;Totaal;5335745;100.0;100;92;8
1;1;603329;11.3;12;12;0
2;2;476195;8.9;9;8;1
3;3;328621;6.2;6;5;1
4;4;35497;0.7;0;0;0
5;5;9959;0.2;0;0;0
6;6;144520;2.7;2;2;0
7;7;1529508;28.7;30;28;2
8;8;25128;0.5;0;0;0
9;Partij voor Recht, Vrijheid en Welvaart;18990;0.4;0;0;0
10;9;1545867;29.0;30;27;3
11;SGP;129081;2.4;2;2;0
12;Socialistische Unie;18010;0.3;0;0;0
13;VVD;471040;8.8;9;8;1
