ID;BronTechniek;Energietoepassing;Perioden;EindverbruikInTerajoule_1;InTotaalEindverbruikEnergie_2;VermedenPrimaireEnergieInTerajoule_3;InTotaalBinnenlandsEnergieverbruik_4;VermedenEmissieCO2InKton_5;InVanTotaleCO2Emissie_6
0;Totaal energiebronnen;Totaal energietoepassingen;1990;20887.0;1.15;15861.0;0.59;998.0;0.63
1;Totaal energiebronnen;Totaal energietoepassingen;1991;21845.0;1.12;17493.0;0.62;1092.0;0.66
2;Totaal energiebronnen;Totaal energietoepassingen;1992;22592.0;1.18;18389.0;0.66;1137.0;0.7
3;Totaal energiebronnen;Totaal energietoepassingen;1993;22534.0;1.13;19122.0;0.67;1188.0;0.71
4;Totaal energiebronnen;Totaal energietoepassingen;1994;22933.0;1.17;19977.0;0.7;1262.0;0.76
5;Totaal energiebronnen;Totaal energietoepassingen;1995;24065.0;1.18;21639.0;0.73;1387.0;0.81
6;Totaal energiebronnen;Totaal energietoepassingen;1996;24280.0;1.1;24502.0;0.79;1588.0;0.89
7;Totaal energiebronnen;Totaal energietoepassingen;1997;27028.0;1.28;27540.0;0.92;1799.0;1.05
8;Totaal energiebronnen;Totaal energietoepassingen;1998;28043.0;1.32;29653.0;0.99;1940.0;1.12
9;Totaal energiebronnen;Totaal energietoepassingen;1999;27951.0;1.34;31653.0;1.06;2067.0;1.23
10;Totaal energiebronnen;Totaal energietoepassingen;2000;29376.0;1.37;35030.0;1.15;2343.0;1.38
11;Totaal energiebronnen;Totaal energietoepassingen;2001;31062.0;1.43;39640.0;1.26;2747.0;1.57
12;Totaal energiebronnen;Totaal energietoepassingen;2002;34871.0;1.61;47102.0;1.5;3336.0;1.9
13;Totaal energiebronnen;Totaal energietoepassingen;2003;35423.0;1.61;48027.0;1.49;;
14;Totaal energiebronnen;Totaal energietoepassingen;2004;42021.0;1.86;59769.0;1.81;;
15;Totaal energiebronnen;Totaal energietoepassingen;2005;51604.0;2.31;80097.0;2.43;;
16;Totaal energiebronnen;Totaal energietoepassingen;2006;57261.0;2.65;87265.0;2.71;;
17;Totaal energiebronnen;Totaal energietoepassingen;2007;68499.0;3.08;92762.0;2.78;;
18;Totaal energiebronnen;Totaal energietoepassingen;2008;76387.0;3.35;109227.0;3.29;;
19;Totaal energiebronnen;Totaal energietoepassingen;2009;88066.0;4.1;126053.0;3.89;;
20;Totaal energiebronnen;Totaal energietoepassingen;2010;86399.0;3.75;127265.0;3.66;;
21;Totaal energiebronnen;Totaal energietoepassingen;2011;93350.0;4.33;134607.0;4.16;;
22;Totaal energiebronnen;Totaal energietoepassingen;2012;97800.0;4.48;143622.0;4.41;;
23;Totaal energiebronnen;Totaal energietoepassingen;2013;98792.0;4.52;140549.0;4.33;;
24;Totaal energiebronnen;Elektriciteit;1990;2920.0;0.16;6646.0;0.25;474.0;0.3
25;Totaal energiebronnen;Elektriciteit;1991;3360.0;0.17;7747.0;0.27;538.0;0.33
26;Totaal energiebronnen;Elektriciteit;1992;3570.0;0.19;8192.0;0.29;557.0;0.34
27;Totaal energiebronnen;Elektriciteit;1993;4095.0;0.21;9106.0;0.32;619.0;0.37
28;Totaal energiebronnen;Elektriciteit;1994;4537.0;0.23;10072.0;0.35;701.0;0.42
29;Totaal energiebronnen;Elektriciteit;1995;5150.0;0.25;11375.0;0.39;807.0;0.47
30;Totaal energiebronnen;Elektriciteit;1996;6655.0;0.3;14416.0;0.47;1017.0;0.57
31;Totaal energiebronnen;Elektriciteit;1997;7377.0;0.35;15050.0;0.5;1092.0;0.64
32;Totaal energiebronnen;Elektriciteit;1998;8149.0;0.38;16684.0;0.56;1204.0;0.7
33;Totaal energiebronnen;Elektriciteit;1999;9124.0;0.44;18939.0;0.64;1347.0;0.8
34;Totaal energiebronnen;Elektriciteit;2000;10344.0;0.48;22004.0;0.72;1607.0;0.95
35;Totaal energiebronnen;Elektriciteit;2001;11919.0;0.55;26515.0;0.84;2003.0;1.14
36;Totaal energiebronnen;Elektriciteit;2002;14629.0;0.68;32629.0;1.04;2510.0;1.43
37;Totaal energiebronnen;Elektriciteit;2003;14594.0;0.66;32858.0;1.02;2482.0;1.38
