ID;InEnUitvoer;Landgroepen;Perioden;TotaalRegistratieEnBijschatting_1;Registratiewaarde_2;RegistratieAandeel_3;BijschattingWaarde_4;BijschattingAandeel_5
0;Invoer;Alle landen;1996 januari;11.5;10.3;90.0;1.2;10.0
1;Invoer;Alle landen;1996 februari;11.1;10.0;90.0;1.1;10.0
2;Invoer;Alle landen;1996 maart;12.2;10.9;90.0;1.2;10.0
3;Invoer;Alle landen;1996 april;11.2;10.0;90.0;1.2;10.0
4;Invoer;Alle landen;1996 mei;11.6;10.4;90.0;1.2;10.0
5;Invoer;Alle landen;1996 juni;11.3;10.0;88.0;1.3;12.0
6;Invoer;Alle landen;1996 juli;11.2;10.0;89.0;1.2;11.0
7;Invoer;Alle landen;1996 augustus;10.4;9.1;88.0;1.2;12.0
8;Invoer;Alle landen;1996 september;11.8;10.5;89.0;1.3;11.0
9;Invoer;Alle landen;1996 oktober;13.1;11.7;89.0;1.4;11.0
10;Invoer;Alle landen;1996 november;12.4;10.9;88.0;1.4;12.0
11;Invoer;Alle landen;1996 december;12.1;10.4;85.0;1.8;15.0
12;Invoer;Alle landen;1996;139.9;124.3;89.0;15.6;11.0
13;Invoer;Alle landen;1997 januari;12.5;11.2;90.0;1.2;10.0
14;Invoer;Alle landen;1997 februari;12.4;11.1;90.0;1.3;10.0
15;Invoer;Alle landen;1997 maart;13.0;11.8;90.0;1.3;10.0
16;Invoer;Alle landen;1997 april;13.2;11.9;90.0;1.4;10.0
17;Invoer;Alle landen;1997 mei;12.6;11.4;90.0;1.3;10.0
18;Invoer;Alle landen;1997 juni;13.3;11.7;88.0;1.5;12.0
19;Invoer;Alle landen;1997 juli;13.0;11.5;89.0;1.5;11.0
20;Invoer;Alle landen;1997 augustus;11.7;10.4;89.0;1.3;11.0
21;Invoer;Alle landen;1997 september;14.1;12.7;90.0;1.4;10.0
22;Invoer;Alle landen;1997 oktober;14.6;13.1;90.0;1.5;10.0
23;Invoer;Alle landen;1997 november;13.6;12.0;88.0;1.6;12.0
24;Invoer;Alle landen;1997 december;13.5;11.2;83.0;2.2;17.0
25;Invoer;Alle landen;1997;157.4;140.0;89.0;17.4;11.0
26;Invoer;Alle landen;1998 januari;13.6;12.4;91.0;1.2;9.0
27;Invoer;Alle landen;1998 februari;13.7;12.3;90.0;1.4;10.0
28;Invoer;Alle landen;1998 maart;15.3;13.6;89.0;1.7;11.0
29;Invoer;Alle landen;1998 april;14.0;12.6;90.0;1.4;10.0
30;Invoer;Alle landen;1998 mei;13.5;12.1;90.0;1.4;10.0
31;Invoer;Alle landen;1998 juni;14.7;13.3;90.0;1.4;10.0
32;Invoer;Alle landen;1998 juli;13.7;12.3;89.0;1.4;11.0
33;Invoer;Alle landen;1998 augustus;12.2;10.9;89.0;1.3;11.0
34;Invoer;Alle landen;1998 september;14.6;13.2;90.0;1.4;10.0
35;Invoer;Alle landen;1998 oktober;14.6;13.2;91.0;1.4;9.0
36;Invoer;Alle landen;1998 november;14.4;13.0;90.0;1.5;10.0
37;Invoer;Alle landen;1998 december;14.1;12.3;88.0;1.7;12.0
38;Invoer;Alle landen;1998;168.4;151.2;90.0;17.2;10.0
39;Invoer;Alle landen;1999 januari;13.2;12.0;91.0;1.2;9.0
40;Invoer;Alle landen;1999 februari;13.3;12.1;91.0;1.3;9.0
41;Invoer;Alle landen;1999 maart;15.9;14.4;90.0;1.5;10.0
42;Invoer;Alle landen;1999 april;14.2;12.7;89.0;1.5;11.0
43;Invoer;Alle landen;1999 mei;14.0;12.5;89.0;1.5;11.0
44;Invoer;Alle landen;1999 juni;15.2;13.5;89.0;1.7;11.0
45;Invoer;Alle landen;1999 juli;14.4;12.9;89.0;1.6;11.0
46;Invoer;Alle landen;1999 augustus;13.5;12.0;89.0;1.4;11.0
47;Invoer;Alle landen;1999 september;16.0;14.3;89.0;1.7;11.0
48;Invoer;Alle landen;1999 oktober;15.6;13.7;87.0;2.0;13.0
49;Invoer;Alle landen;1999 november;16.6;14.5;87.0;2.1;13.0
50;Invoer;Alle landen;1999 december;16.7;14.3;86.0;2.4;14.0
51;Invoer;Alle landen;1999;178.7;158.7;89.0;20.0;11.0
52;Invoer;Alle landen;2000 januari;15.5;13.9;90.0;1.5;10.0
53;Invoer;Alle landen;2000 februari;16.8;15.2;90.0;1.7;10.0
54;Invoer;Alle landen;2000 maart;18.7;16.7;90.0;2.0;10.0
55;Invoer;Alle landen;2000 april;16.5;14.6;88.0;1.9;12.0
56;Invoer;Alle landen;2000 mei;18.4;16.4;89.0;2.0;11.0
57;Invoer;Alle landen;2000 juni;17.9;15.7;88.0;2.2;12.0
58;Invoer;Alle landen;2000 juli;16.7;14.9;89.0;1.9;11.0
59;Invoer;Alle landen;2000 augustus;16.8;14.7;88.0;2.0;12.0
60;Invoer;Alle landen;2000 september;18.9;16.6;88.0;2.3;12.0
61;Invoer;Alle landen;2000 oktober;20.0;17.6;88.0;2.4;12.0
62;Invoer;Alle landen;2000 november;20.8;18.3;88.0;2.6;12.0
63;Invoer;Alle landen;2000 december;19.1;16.5;86.0;2.6;14.0
64;Invoer;Alle landen;2000;216.1;191.1;88.0;25.0;12.0
65;Invoer;Alle landen;2001 januari;19.3;17.3;90.0;2.0;10.0
66;Invoer;Alle landen;2001 februari;18.0;15.8;88.0;2.2;12.0
67;Invoer;Alle landen;2001 maart;20.2;18.1;89.0;2.1;11.0
68;Invoer;Alle landen;2001 april;17.7;15.9;89.0;1.9;11.0
69;Invoer;Alle landen;2001 mei;19.1;17.0;89.0;2.1;11.0
70;Invoer;Alle landen;2001 juni;18.9;16.6;88.0;2.3;12.0
71;Invoer;Alle landen;2001 juli;17.8;15.7;88.0;2.1;12.0
72;Invoer;Alle landen;2001 augustus;17.0;14.4;84.0;2.6;16.0
73;Invoer;Alle landen;2001 september;17.4;15.1;87.0;2.3;13.0
74;Invoer;Alle landen;2001 oktober;18.4;16.1;87.0;2.4;13.0
75;Invoer;Alle landen;2001 november;18.1;15.9;87.0;2.3;13.0
76;Invoer;Alle landen;2001 december;16.4;13.8;84.0;2.6;16.0
77;Invoer;Alle landen;2001;218.3;191.6;88.0;26.8;12.0
78;Invoer;Alle landen;2002 januari;16.6;14.7;88.0;2.0;12.0
79;Invoer;Alle landen;2002 februari;16.2;14.3;88.0;1.9;12.0
80;Invoer;Alle landen;2002 maart;18.2;16.2;89.0;2.0;11.0
81;Invoer;Alle landen;2002 april;17.7;15.6;89.0;2.0;11.0
82;Invoer;Alle landen;2002 mei;17.1;15.2;89.0;1.9;11.0
83;Invoer;Alle landen;2002 juni;17.1;15.2;89.0;1.9;11.0
84;Invoer;Alle landen;2002 juli;16.5;14.5;88.0;2.1;12.0
85;Invoer;Alle landen;2002 augustus;15.8;13.9;88.0;1.9;12.0
86;Invoer;Alle landen;2002 september;17.5;15.4;88.0;2.2;12.0
87;Invoer;Alle landen;2002 oktober;18.7;16.6;89.0;2.1;11.0
88;Invoer;Alle landen;2002 november;17.5;15.5;88.0;2.1;12.0
89;Invoer;Alle landen;2002 december;16.7;14.4;86.0;2.3;14.0
90;Invoer;Alle landen;2002;205.6;181.5;88.0;24.1;12.0
91;Invoer;Alle landen;2003 januari;17.5;15.9;91.0;1.6;9.0
92;Invoer;Alle landen;2003 februari;17.1;15.3;89.0;1.8;11.0
93;Invoer;Alle landen;2003 maart;18.5;16.6;90.0;1.9;10.0
