ID;Vervoerstromen;SoortLading;Perioden;VervoerdLadinggewicht_1;Vervoersprestatie_2;VervoerdeContainereenheden_3
0;Totaal;Totaal;2010 januari;26702;3660;341.0
1;Totaal;Totaal;2010 februari;27063;3608;334.0
2;Totaal;Totaal;2010 maart;31433;4174;374.0
3;Totaal;Totaal;2010 1e kwartaal;85198;11442;1049.0
4;Totaal;Totaal;2010 april;28978;3827;369.0
5;Totaal;Totaal;2010 mei;29314;3868;374.0
6;Totaal;Totaal;2010 juni;29186;3854;352.0
7;Totaal;Totaal;2010 2e kwartaal;87478;11549;1095.0
8;Totaal;Totaal;2010 juli;29695;4032;400.0
9;Totaal;Totaal;2010 augustus;28334;3845;374.0
10;Totaal;Totaal;2010 september;30155;4046;328.0
11;Totaal;Totaal;2010 3e kwartaal;88184;11923;1102.0
12;Totaal;Totaal;2010 oktober;31128;4147;381.0
13;Totaal;Totaal;2010 november;28327;3860;343.0
14;Totaal;Totaal;2010 december;26584;3669;355.0
15;Totaal;Totaal;2010 4e kwartaal;86039;11676;1079.0
16;Totaal;Totaal;2010;346901;46592;4321.0
17;Totaal;Totaal;2011 januari;26385;3603;329.0
18;Totaal;Totaal;2011 februari;28805;3908;359.0
19;Totaal;Totaal;2011 maart;31837;4312;410.0
20;Totaal;Totaal;2011 1e kwartaal;87027;11823;1098.0
21;Totaal;Totaal;2011 april;29101;3932;374.0
22;Totaal;Totaal;2011 mei;30067;3959;390.0
23;Totaal;Totaal;2011 juni;30702;4007;357.0
24;Totaal;Totaal;2011 2e kwartaal;89870;11898;1121.0
25;Totaal;Totaal;2011 juli;30012;4054;399.0
26;Totaal;Totaal;2011 augustus;27969;3814;399.0
27;Totaal;Totaal;2011 september;30671;4106;390.0
28;Totaal;Totaal;2011 3e kwartaal;88652;11974;1188.0
29;Totaal;Totaal;2011 oktober;30445;4083;395.0
30;Totaal;Totaal;2011 november;27248;3631;362.0
31;Totaal;Totaal;2011 december;28543;3894;361.0
32;Totaal;Totaal;2011 4e kwartaal;86236;11608;1118.0
33;Totaal;Totaal;2011;351783;47303;4527.0
34;Totaal;Totaal;2012 januari;27583;3731;393.0
35;Totaal;Totaal;2012 februari;25611;3473;396.0
36;Totaal;Totaal;2012 maart;31587;4235;414.0
37;Totaal;Totaal;2012 1e kwartaal;84781;11439;1203.0
38;Totaal;Totaal;2012 april;28621;3875;382.0
39;Totaal;Totaal;2012 mei;29370;3965;401.0
40;Totaal;Totaal;2012 juni;30611;4152;414.0
41;Totaal;Totaal;2012 2e kwartaal;88602;11992;1197.0
42;Totaal;Totaal;2012 juli;28895;3964;420.0
43;Totaal;Totaal;2012 augustus;28043;3816;417.0
44;Totaal;Totaal;2012 september;29934;4054;389.0
45;Totaal;Totaal;2012 3e kwartaal;86872;11834;1226.0
46;Totaal;Totaal;2012 oktober;31400;4246;382.0
47;Totaal;Totaal;2012 november;30643;4207;383.0
48;Totaal;Totaal;2012 december;27772;3803;354.0
49;Totaal;Totaal;2012 4e kwartaal;89815;12256;1119.0
50;Totaal;Totaal;2012;350069;47520;4745.0
51;Totaal;Totaal;2013 januari;27250;3761;383.0
52;Totaal;Totaal;2013 februari;27837;3799;393.0
53;Totaal;Totaal;2013 maart;31141;4256;423.0
54;Totaal;Totaal;2013 1e kwartaal;86228;11816;1199.0
55;Totaal;Totaal;2013 april;29954;4073;408.0
56;Totaal;Totaal;2013 mei;31270;4229;418.0
57;Totaal;Totaal;2013 juni;31015;4214;407.0
58;Totaal;Totaal;2013 2e kwartaal;92239;12516;1233.0
59;Totaal;Totaal;2013 juli;29948;4096;425.0
60;Totaal;Totaal;2013 augustus;27909;3840;424.0
61;Totaal;Totaal;2013 september;29853;4060;414.0
62;Totaal;Totaal;2013 3e kwartaal;87710;11996;1263.0
63;Totaal;Totaal;2013 oktober;30775;4215;407.0
64;Totaal;Totaal;2013 november;30704;4209;421.0
65;Totaal;Totaal;2013 december;28408;3847;390.0
66;Totaal;Totaal;2013 4e kwartaal;89887;12271;1218.0
67;Totaal;Totaal;2013;356062;48600;4914.0
68;Totaal;Totaal;2014 januari;31582;4282;446.0
69;Totaal;Totaal;2014 februari;29330;3960;413.0
70;Totaal;Totaal;2014 maart;31431;4254;470.0
71;Totaal;Totaal;2014 1e kwartaal;92343;12495;1329.0
72;Totaal;Totaal;2014 april;30382;4088;434.0
73;Totaal;Totaal;2014 mei;32011;4323;457.0
74;Totaal;Totaal;2014 juni;29477;3909;438.0
75;Totaal;Totaal;2014 2e kwartaal;91870;12320;1329.0
76;Totaal;Totaal;2014 juli;31328;4199;451.0
77;Totaal;Totaal;2014 augustus;28626;3911;442.0
78;Totaal;Totaal;2014 september;31039;4150;443.0
79;Totaal;Totaal;2014 3e kwartaal;90993;12260;1336.0
80;Totaal;Totaal;2014 oktober;32756;4437;452.0
81;Totaal;Totaal;2014 november;30762;4164;438.0
82;Totaal;Totaal;2014 december;27903;3748;410.0
83;Totaal;Totaal;2014 4e kwartaal;91421;12350;1300.0
84;Totaal;Totaal;2014;366627;49425;5295.0
85;Totaal;Totaal;2015 januari;31077;4265;446.0
86;Totaal;Totaal;2015 februari;29254;3988;445.0
87;Totaal;Totaal;2015 maart;33145;4470;495.0
88;Totaal;Totaal;2015 1e kwartaal;93476;12722;1386.0
89;Totaal;Totaal;2015 april;30811;4159;441.0
90;Totaal;Totaal;2015 mei;30040;4065;447.0
91;Totaal;Totaal;2015 juni;31359;4219;458.0
92;Totaal;Totaal;2015 2e kwartaal;92210;12444;1346.0
93;Totaal;Totaal;2015 juli;30138;4070;455.0
94;Totaal;Totaal;2015 augustus;27498;3719;432.0
95;Totaal;Totaal;2015 september;29564;3921;419.0
96;Totaal;Totaal;2015 3e kwartaal;87200;11710;1306.0
97;Totaal;Totaal;2015 oktober;29909;4016;426.0
98;Totaal;Totaal;2015 november;29162;3878;389.0
99;Totaal;Totaal;2015 december;27941;3766;407.0
100;Totaal;Totaal;2015 4e kwartaal;87012;11660;1222.0
101;Totaal;Totaal;2015;359897;48535;5260.0
102;Totaal;Totaal;2016 januari;29646;4044;429.0
103;Totaal;Totaal;2016 februari;29676;4003;423.0
104;Totaal;Totaal;2016 maart;31633;4282;467.0
105;Totaal;Totaal;2016 1e kwartaal;90955;12330;1318.0
106;Totaal;Totaal;2016 april;31266;4233;444.0
107;Totaal;Totaal;2016 mei;31557;4249;444.0
108;Totaal;Totaal;2016 juni;31025;4176;445.0
109;Totaal;Totaal;2016 2e kwartaal;93848;12658;1333.0
110;Totaal;Totaal;2016 juli;31143;4202;453.0
111;Totaal;Totaal;2016 augustus;28118;3857;439.0
112;Totaal;Totaal;2016 september;29892;3992;435.0
113;Totaal;Totaal;2016 3e kwartaal;89153;12051;1327.0
114;Totaal;Totaal;2016 oktober;29628;3983;439.0
115;Totaal;Totaal;2016 november;31220;4221;436.0
116;Totaal;Totaal;2016 december;26561;3556;413.0
117;Totaal;Totaal;2016 4e kwartaal;87409;11761;1288.0
118;Totaal;Totaal;2016;361365;48799;5267.0
119;Totaal;Totaal;2017 januari;26863;3601;420.0
