ID;Kenmerken;Marges;Perioden;ScoreGeluk_1;Ongelukkig_2;NietGelukkigNietOngelukkig_3;Gelukkig_4;ScoreTevredenheidMetHetLeven_5;Ontevreden_6;NietTevredenNietOntevreden_7;Tevreden_8;ScoreTevredenheidMetSociaalLeven_9;Ontevreden_10;NietTevredenNietOntevreden_11;Tevreden_12;ScoreTevredenhHoeveelheidVrijeTijd_13;Ontevreden_14;NietTevredenNietOntevreden_15;Tevreden_16;AandeelMetVertrouwen_17
0;Totaal personen;Waarde;2013;7.7;2.5;10.0;87.5;7.5;3.4;13.0;83.6;7.7;3.8;12.7;83.5;7.4;7.3;17.0;75.7;58.1
1;Totaal personen;Waarde;2014;7.7;2.4;9.7;87.9;7.6;3.3;12.1;84.6;7.6;4.2;12.3;83.5;7.4;7.5;17.2;75.3;57.7
2;Totaal personen;Waarde;2015;7.7;2.8;9.8;87.4;7.5;3.9;12.2;83.9;7.6;4.3;12.5;83.2;7.3;7.7;17.9;74.4;59.5
3;Totaal personen;Waarde;2016;7.7;2.6;9.1;88.3;7.6;3.0;11.8;85.2;7.6;4.0;13.0;82.9;7.3;7.6;18.3;74.1;59.8
4;Totaal personen;Waarde;2017;7.7;2.8;9.8;87.5;7.6;3.5;11.1;85.4;7.6;4.4;12.6;83.1;7.3;8.3;17.7;74.0;62.2
5;Totaal personen;Waarde;2018;7.7;2.8;9.4;87.7;7.6;2.4;11.8;85.7;7.6;4.7;13.7;81.6;7.3;8.4;17.7;73.9;61.7
6;Totaal personen;Waarde;2019;7.7;2.6;8.5;88.9;7.7;2.4;10.3;87.3;7.6;3.9;13.2;82.9;7.3;7.5;18.3;74.2;62.2
7;Totaal personen;Waarde;2020;7.7;2.7;10.5;86.8;7.6;2.7;12.4;84.8;7.5;5.6;14.3;80.1;7.4;6.9;16.7;76.4;63.1
8;Totaal personen;Waarde;2021;7.6;3.3;10.3;86.4;7.5;3.3;13.0;83.6;7.3;7.4;16.7;75.9;7.4;7.3;16.6;76.1;66.4
9;Totaal personen;Waarde;2022;7.6;2.8;11.1;86.1;7.5;3.1;13.5;83.4;7.4;5.1;16.5;78.4;7.3;7.1;18.6;74.3;66.4
10;Totaal personen;Waarde;2023;7.6;2.3;11.1;86.6;7.5;2.9;12.9;84.2;7.5;4.9;15.2;80.0;7.3;7.2;19.1;73.7;66.9
11;Totaal personen;Ondergrens 95%-interval;2013;7.7;2.1;9.2;86.6;7.5;3.0;12.1;82.6;7.6;3.3;11.9;82.5;7.4;6.7;16.0;74.6;56.9
12;Totaal personen;Ondergrens 95%-interval;2014;7.7;2.0;9.0;87.1;7.5;2.9;11.3;83.7;7.6;3.7;11.5;82.5;7.3;6.8;16.3;74.3;56.5
13;Totaal personen;Ondergrens 95%-interval;2015;7.7;2.4;9.1;86.6;7.5;3.4;11.4;83.0;7.6;3.8;11.7;82.3;7.3;7.0;17.0;73.4;58.4
14;Totaal personen;Ondergrens 95%-interval;2016;7.7;2.2;8.4;87.5;7.6;2.6;11.0;84.3;7.6;3.6;12.2;82.0;7.3;6.9;17.4;73.1;58.6
15;Totaal personen;Ondergrens 95%-interval;2017;7.7;2.4;9.0;86.6;7.6;3.1;10.3;84.5;7.6;3.9;11.8;82.1;7.3;7.6;16.8;72.9;61.0
16;Totaal personen;Ondergrens 95%-interval;2018;7.6;2.4;8.7;86.9;7.6;2.1;11.0;84.8;7.5;4.2;12.9;80.6;7.2;7.7;16.8;72.8;60.5
17;Totaal personen;Ondergrens 95%-interval;2019;7.7;2.2;7.8;88.1;7.6;2.0;9.6;86.4;7.6;3.4;12.4;81.9;7.3;6.9;17.4;73.1;61.0
18;Totaal personen;Ondergrens 95%-interval;2020;7.6;2.3;9.7;85.9;7.6;2.4;11.6;83.9;7.5;5.0;13.5;79.1;7.4;6.3;15.8;75.3;61.9
19;Totaal personen;Ondergrens 95%-interval;2021;7.6;2.8;9.5;85.4;7.5;2.8;12.2;82.6;7.3;6.7;15.8;74.7;7.4;6.6;15.6;75.0;65.1
20;Totaal personen;Ondergrens 95%-interval;2022;7.6;2.5;10.4;85.2;7.5;2.7;12.7;82.4;7.4;4.6;15.6;77.4;7.3;6.5;17.7;73.2;65.3
21;Totaal personen;Ondergrens 95%-interval;2023;7.6;1.9;10.4;85.7;7.5;2.5;12.1;83.2;7.4;4.4;14.3;79.0;7.3;6.5;18.2;72.6;65.8
22;Totaal personen;Bovengrens 95%-interval;2013;7.7;2.9;10.8;88.4;7.6;4.0;13.9;84.5;7.7;4.3;13.6;84.4;7.5;8.0;17.9;76.8;59.3
23;Totaal personen;Bovengrens 95%-interval;2014;7.7;2.8;10.5;88.7;7.6;3.8;12.9;85.5;7.7;4.8;13.1;84.4;7.4;8.1;18.2;76.4;58.9
24;Totaal personen;Bovengrens 95%-interval;2015;7.7;3.2;10.6;88.2;7.6;4.4;13.0;84.8;7.7;4.8;13.3;84.1;7.4;8.3;18.8;75.5;60.7
25;Totaal personen;Bovengrens 95%-interval;2016;7.8;3.1;9.8;89.1;7.6;3.5;12.6;86.0;7.7;4.6;13.9;83.9;7.4;8.3;19.2;75.2;61.1
26;Totaal personen;Bovengrens 95%-interval;2017;7.7;3.2;10.5;88.3;7.6;4.0;11.9;86.3;7.7;4.9;13.4;84.0;7.3;9.0;18.7;75.1;63.4
27;Totaal personen;Bovengrens 95%-interval;2018;7.7;3.3;10.2;88.5;7.6;2.9;12.7;86.6;7.6;5.3;14.5;82.6;7.3;9.1;18.7;75.0;62.9
28;Totaal personen;Bovengrens 95%-interval;2019;7.7;3.1;9.2;89.7;7.7;2.8;11.1;88.2;7.7;4.4;14.1;83.8;7.4;8.2;19.3;75.3;63.4
29;Totaal personen;Bovengrens 95%-interval;2020;7.7;3.2;11.3;87.6;7.6;3.2;13.3;85.7;7.6;6.2;15.2;81.1;7.5;7.6;17.7;77.4;64.3
30;Totaal personen;Bovengrens 95%-interval;2021;7.6;3.8;11.2;87.3;7.6;3.9;14.0;84.6;7.4;8.1;17.7;77.0;7.5;8.1;17.6;77.2;67.7
31;Totaal personen;Bovengrens 95%-interval;2022;7.6;3.3;11.9;86.9;7.5;3.6;14.4;84.2;7.5;5.6;17.4;79.4;7.4;7.7;19.6;75.3;67.5
32;Totaal personen;Bovengrens 95%-interval;2023;7.7;2.7;11.9;87.4;7.6;3.4;13.8;85.0;7.5;5.4;16.0;80.9;7.4;7.8;20.1;74.8;68.0
33;Contact familie: dagelijks;Waarde;2013;7.8;2.0;9.0;89.0;7.6;3.2;11.9;84.9;7.9;2.8;10.9;86.4;7.4;8.1;17.5;74.4;54.9
34;Contact familie: dagelijks;Waarde;2014;7.8;1.8;8.9;89.3;7.6;2.9;11.1;86.0;7.8;3.3;10.7;85.9;7.4;7.2;17.4;75.4;52.4
35;Contact familie: dagelijks;Waarde;2015;7.8;2.1;9.6;88.3;7.6;3.7;11.7;84.6;7.8;3.6;10.2;86.1;7.4;7.5;16.3;76.2;54.0
36;Contact familie: dagelijks;Waarde;2016;7.8;2.6;7.8;89.6;7.7;2.8;10.6;86.7;7.8;2.7;10.9;86.4;7.4;7.2;17.9;74.8;55.5
37;Contact familie: dagelijks;Waarde;2017;7.8;2.1;9.8;88.2;7.7;2.8;11.1;86.0;7.8;3.5;10.8;85.7;7.3;8.8;17.7;73.5;58.0
38;Contact familie: dagelijks;Waarde;2018;7.8;2.5;7.5;90.0;7.7;2.0;9.9;88.1;7.8;3.5;10.4;86.1;7.3;8.2;17.0;74.8;60.5
39;Contact familie: dagelijks;Waarde;2019;7.8;2.3;6.9;90.8;7.8;1.5;9.0;89.5;7.9;2.8;10.5;86.8;7.4;7.3;16.8;75.8;58.6
40;Contact familie: dagelijks;Waarde;2020;7.8;2.2;9.0;88.8;7.7;2.1;10.5;87.4;7.7;3.9;12.4;83.7;7.5;6.8;15.4;77.8;60.4
41;Contact familie: dagelijks;Waarde;2021;7.7;3.5;8.6;87.9;7.7;3.6;10.8;85.7;7.6;6.4;14.5;79.1;7.5;7.0;17.1;75.9;64.9
42;Contact familie: dagelijks;Waarde;2022;7.8;2.2;9.3;88.5;7.7;2.7;10.9;86.4;7.7;3.9;13.7;82.4;7.4;6.3;17.7;76.1;64.6
43;Contact familie: dagelijks;Waarde;2023;7.7;2.0;9.8;88.1;7.6;2.9;11.2;85.9;7.7;4.2;11.8;83.9;7.3;6.9;18.9;74.2;64.4
44;Contact familie: dagelijks;Ondergrens 95%-interval;2013;7.7;1.4;7.6;87.3;7.6;2.4;10.4;83.0;7.8;2.0;9.5;84.6;7.3;6.8;15.8;72.2;52.6
