ID;Geslacht;LeeftijdOp31December;Marges;Perioden;LevensverwachtingLV_1;LVInAlsGoedErvarenGezondheid_2;LVZonderMatigeEnErnstigeBeperking_3;LVZonderErnstigeBeperkingen_4;LVZonderLichteMatigeErnstigeBep_5;LVZonderChronischeZiektes_6;LVZonderChrZiekExclHogeBloeddruk_7;LVZonderPsychischeKlachtenMHI5_8;LVZonderGALIBeperkingen_9;LVZonderErnstigeGALIBeperkingen_10
0;Totaal mannen en vrouwen;0 jaar;Waarde;1981;;;;;;;;;;
1;Totaal mannen en vrouwen;0 jaar;Waarde;1982;;;;;;;;;;
2;Totaal mannen en vrouwen;0 jaar;Waarde;1983;;;;;;;;;;
3;Totaal mannen en vrouwen;0 jaar;Waarde;1984;;;;;;;;;;
4;Totaal mannen en vrouwen;0 jaar;Waarde;1985;;;;;;;;;;
5;Totaal mannen en vrouwen;0 jaar;Waarde;1986;;;;;;;;;;
6;Totaal mannen en vrouwen;0 jaar;Waarde;1987;;;;;;;;;;
7;Totaal mannen en vrouwen;0 jaar;Waarde;1988;;;;;;;;;;
8;Totaal mannen en vrouwen;0 jaar;Waarde;1989;;;;;;;;;;
9;Totaal mannen en vrouwen;0 jaar;Waarde;1990;;;;;;;;;;
10;Totaal mannen en vrouwen;0 jaar;Waarde;1991;;;;;;;;;;
11;Totaal mannen en vrouwen;0 jaar;Waarde;1992;;;;;;;;;;
12;Totaal mannen en vrouwen;0 jaar;Waarde;1993;;;;;;;;;;
13;Totaal mannen en vrouwen;0 jaar;Waarde;1994;;;;;;;;;;
14;Totaal mannen en vrouwen;0 jaar;Waarde;1995;;;;;;;;;;
15;Totaal mannen en vrouwen;0 jaar;Waarde;1996;;;;;;;;;;
16;Totaal mannen en vrouwen;0 jaar;Waarde;1997;;;;;;;;;;
17;Totaal mannen en vrouwen;0 jaar;Waarde;1998;;;;;;;;;;
18;Totaal mannen en vrouwen;0 jaar;Waarde;1999;;;;;;;;;;
19;Totaal mannen en vrouwen;0 jaar;Waarde;2000;;;;;;;;;;
20;Totaal mannen en vrouwen;0 jaar;Waarde;2001;;;;;;;;;;
21;Totaal mannen en vrouwen;0 jaar;Waarde;2002;;;;;;;;;;
22;Totaal mannen en vrouwen;0 jaar;Waarde;2003;;;;;;;;;;
23;Totaal mannen en vrouwen;0 jaar;Waarde;2004;;;;;;;;;;
24;Totaal mannen en vrouwen;0 jaar;Waarde;2005;;;;;;;;;;
25;Totaal mannen en vrouwen;0 jaar;Waarde;2006;;;;;;;;;;
26;Totaal mannen en vrouwen;0 jaar;Waarde;2007;;;;;;;;;;
27;Totaal mannen en vrouwen;0 jaar;Waarde;2008;;;;;;;;;;
28;Totaal mannen en vrouwen;0 jaar;Waarde;2009;;;;;;;;;;
29;Totaal mannen en vrouwen;0 jaar;Waarde;2010;;;;;;;;;;
30;Totaal mannen en vrouwen;0 jaar;Waarde;2011;;;;;;;;;;
31;Totaal mannen en vrouwen;0 jaar;Waarde;2012;;;;;;;;;;
32;Totaal mannen en vrouwen;0 jaar;Waarde;2013;;;;;;;;;;
33;Totaal mannen en vrouwen;0 jaar;Waarde;2014;;;;;;;;;;
34;Totaal mannen en vrouwen;0 jaar;Waarde;2015;;;;;;;;;;
35;Totaal mannen en vrouwen;0 jaar;Waarde;2016;;;;;;;;;;
36;Totaal mannen en vrouwen;0 jaar;Waarde;2017;;;;;;;;;;
37;Totaal mannen en vrouwen;0 jaar;Waarde;2018;81.78;63.5;71.9;75.6;56.3;43.8;46.9;72.9;58.0;76.8
38;Totaal mannen en vrouwen;0 jaar;Waarde;2019;82.05;64.0;72.1;75.8;56.2;43.8;46.7;73.4;58.2;77.4
39;Totaal mannen en vrouwen;0 jaar;Waarde;2020;81.38;66.2;72.3;75.7;55.4;43.6;46.5;72.4;58.7;77.5
40;Totaal mannen en vrouwen;0 jaar;Waarde;2021;81.35;65.2;72.9;76.1;54.3;43.9;46.7;70.1;58.7;77.8
41;Totaal mannen en vrouwen;0 jaar;Waarde;2022;81.61;62.8;71.5;75.3;54.0;43.8;46.6;71.3;57.8;76.8
42;Totaal mannen en vrouwen;0 jaar;Waarde;2023;81.84;63.3;71.6;75.4;53.7;43.2;46.0;71.6;57.4;77.1
43;Totaal mannen en vrouwen;0 jaar;Standaardfout;1981;;;;;;;;;;
44;Totaal mannen en vrouwen;0 jaar;Standaardfout;1982;;;;;;;;;;
45;Totaal mannen en vrouwen;0 jaar;Standaardfout;1983;;;;;;;;;;
46;Totaal mannen en vrouwen;0 jaar;Standaardfout;1984;;;;;;;;;;
47;Totaal mannen en vrouwen;0 jaar;Standaardfout;1985;;;;;;;;;;
48;Totaal mannen en vrouwen;0 jaar;Standaardfout;1986;;;;;;;;;;
49;Totaal mannen en vrouwen;0 jaar;Standaardfout;1987;;;;;;;;;;
50;Totaal mannen en vrouwen;0 jaar;Standaardfout;1988;;;;;;;;;;
51;Totaal mannen en vrouwen;0 jaar;Standaardfout;1989;;;;;;;;;;
52;Totaal mannen en vrouwen;0 jaar;Standaardfout;1990;;;;;;;;;;
53;Totaal mannen en vrouwen;0 jaar;Standaardfout;1991;;;;;;;;;;
54;Totaal mannen en vrouwen;0 jaar;Standaardfout;1992;;;;;;;;;;
55;Totaal mannen en vrouwen;0 jaar;Standaardfout;1993;;;;;;;;;;
56;Totaal mannen en vrouwen;0 jaar;Standaardfout;1994;;;;;;;;;;
57;Totaal mannen en vrouwen;0 jaar;Standaardfout;1995;;;;;;;;;;
58;Totaal mannen en vrouwen;0 jaar;Standaardfout;1996;;;;;;;;;;
59;Totaal mannen en vrouwen;0 jaar;Standaardfout;1997;;;;;;;;;;
60;Totaal mannen en vrouwen;0 jaar;Standaardfout;1998;;;;;;;;;;
61;Totaal mannen en vrouwen;0 jaar;Standaardfout;1999;;;;;;;;;;
62;Totaal mannen en vrouwen;0 jaar;Standaardfout;2000;;;;;;;;;;
63;Totaal mannen en vrouwen;0 jaar;Standaardfout;2001;;;;;;;;;;
64;Totaal mannen en vrouwen;0 jaar;Standaardfout;2002;;;;;;;;;;
65;Totaal mannen en vrouwen;0 jaar;Standaardfout;2003;;;;;;;;;;
66;Totaal mannen en vrouwen;0 jaar;Standaardfout;2004;;;;;;;;;;
67;Totaal mannen en vrouwen;0 jaar;Standaardfout;2005;;;;;;;;;;
68;Totaal mannen en vrouwen;0 jaar;Standaardfout;2006;;;;;;;;;;
69;Totaal mannen en vrouwen;0 jaar;Standaardfout;2007;;;;;;;;;;
70;Totaal mannen en vrouwen;0 jaar;Standaardfout;2008;;;;;;;;;;
71;Totaal mannen en vrouwen;0 jaar;Standaardfout;2009;;;;;;;;;;
72;Totaal mannen en vrouwen;0 jaar;Standaardfout;2010;;;;;;;;;;
73;Totaal mannen en vrouwen;0 jaar;Standaardfout;2011;;;;;;;;;;
74;Totaal mannen en vrouwen;0 jaar;Standaardfout;2012;;;;;;;;;;
75;Totaal mannen en vrouwen;0 jaar;Standaardfout;2013;;;;;;;;;;
76;Totaal mannen en vrouwen;0 jaar;Standaardfout;2014;;;;;;;;;;
77;Totaal mannen en vrouwen;0 jaar;Standaardfout;2015;;;;;;;;;;
78;Totaal mannen en vrouwen;0 jaar;Standaardfout;2016;;;;;;;;;;
79;Totaal mannen en vrouwen;0 jaar;Standaardfout;2017;;;;;;;;;;
80;Totaal mannen en vrouwen;0 jaar;Standaardfout;2018;;0.3;;;;0.4;0.4;0.3;;
81;Totaal mannen en vrouwen;0 jaar;Standaardfout;2019;;0.3;;;;0.4;0.4;0.3;;
82;Totaal mannen en vrouwen;0 jaar;Standaardfout;2020;;0.3;;;;0.4;0.4;0.3;;
83;Totaal mannen en vrouwen;0 jaar;Standaardfout;2021;;0.3;;;;0.4;0.4;0.3;;
84;Totaal mannen en vrouwen;0 jaar;Standaardfout;2022;;0.3;;;;0.4;0.4;0.3;;
85;Totaal mannen en vrouwen;0 jaar;Standaardfout;2023;;0.3;;;;0.4;0.4;0.3;;
86;Totaal mannen en vrouwen;1 jaar;Waarde;1981;;;;;;;;;;
87;Totaal mannen en vrouwen;1 jaar;Waarde;1982;;;;;;;;;;
88;Totaal mannen en vrouwen;1 jaar;Waarde;1983;;;;;;;;;;
89;Totaal mannen en vrouwen;1 jaar;Waarde;1984;;;;;;;;;;
90;Totaal mannen en vrouwen;1 jaar;Waarde;1985;;;;;;;;;;
91;Totaal mannen en vrouwen;1 jaar;Waarde;1986;;;;;;;;;;
92;Totaal mannen en vrouwen;1 jaar;Waarde;1987;;;;;;;;;;
93;Totaal mannen en vrouwen;1 jaar;Waarde;1988;;;;;;;;;;
94;Totaal mannen en vrouwen;1 jaar;Waarde;1989;;;;;;;;;;
95;Totaal mannen en vrouwen;1 jaar;Waarde;1990;;;;;;;;;;
96;Totaal mannen en vrouwen;1 jaar;Waarde;1991;;;;;;;;;;
97;Totaal mannen en vrouwen;1 jaar;Waarde;1992;;;;;;;;;;
98;Totaal mannen en vrouwen;1 jaar;Waarde;1993;;;;;;;;;;
99;Totaal mannen en vrouwen;1 jaar;Waarde;1994;;;;;;;;;;
100;Totaal mannen en vrouwen;1 jaar;Waarde;1995;;;;;;;;;;
101;Totaal mannen en vrouwen;1 jaar;Waarde;1996;;;;;;;;;;
102;Totaal mannen en vrouwen;1 jaar;Waarde;1997;;;;;;;;;;
103;Totaal mannen en vrouwen;1 jaar;Waarde;1998;;;;;;;;;;
104;Totaal mannen en vrouwen;1 jaar;Waarde;1999;;;;;;;;;;
105;Totaal mannen en vrouwen;1 jaar;Waarde;2000;;;;;;;;;;
106;Totaal mannen en vrouwen;1 jaar;Waarde;2001;;;;;;;;;;
107;Totaal mannen en vrouwen;1 jaar;Waarde;2002;;;;;;;;;;
108;Totaal mannen en vrouwen;1 jaar;Waarde;2003;;;;;;;;;;
109;Totaal mannen en vrouwen;1 jaar;Waarde;2004;;;;;;;;;;
110;Totaal mannen en vrouwen;1 jaar;Waarde;2005;;;;;;;;;;
111;Totaal mannen en vrouwen;1 jaar;Waarde;2006;;;;;;;;;;
112;Totaal mannen en vrouwen;1 jaar;Waarde;2007;;;;;;;;;;
113;Totaal mannen en vrouwen;1 jaar;Waarde;2008;;;;;;;;;;
114;Totaal mannen en vrouwen;1 jaar;Waarde;2009;;;;;;;;;;
115;Totaal mannen en vrouwen;1 jaar;Waarde;2010;;;;;;;;;;
116;Totaal mannen en vrouwen;1 jaar;Waarde;2011;;;;;;;;;;
117;Totaal mannen en vrouwen;1 jaar;Waarde;2012;;;;;;;;;;
118;Totaal mannen en vrouwen;1 jaar;Waarde;2013;;;;;;;;;;
119;Totaal mannen en vrouwen;1 jaar;Waarde;2014;;;;;;;;;;
120;Totaal mannen en vrouwen;1 jaar;Waarde;2015;;;;;;;;;;
121;Totaal mannen en vrouwen;1 jaar;Waarde;2016;;;;;;;;;;
122;Totaal mannen en vrouwen;1 jaar;Waarde;2017;;;;;;;;;;
123;Totaal mannen en vrouwen;1 jaar;Waarde;2018;81.53;63.2;71.7;75.3;56.0;43.4;46.6;72.6;57.7;76.5
124;Totaal mannen en vrouwen;1 jaar;Waarde;2019;81.81;63.7;71.9;75.5;55.8;43.4;46.3;73.1;57.9;77.2
125;Totaal mannen en vrouwen;1 jaar;Waarde;2020;81.17;65.9;72.1;75.5;55.1;43.3;46.2;72.2;58.4;77.2
126;Totaal mannen en vrouwen;1 jaar;Waarde;2021;81.1;64.9;72.6;75.9;53.9;43.6;46.4;69.9;58.4;77.6
127;Totaal mannen en vrouwen;1 jaar;Waarde;2022;81.35;62.5;71.2;75.0;53.6;43.4;46.3;71.1;57.4;76.5
128;Totaal mannen en vrouwen;1 jaar;Waarde;2023;81.6;63.0;71.3;75.2;53.4;42.8;45.6;71.4;57.1;76.9
129;Totaal mannen en vrouwen;1 jaar;Standaardfout;1981;;;;;;;;;;
130;Totaal mannen en vrouwen;1 jaar;Standaardfout;1982;;;;;;;;;;
131;Totaal mannen en vrouwen;1 jaar;Standaardfout;1983;;;;;;;;;;
132;Totaal mannen en vrouwen;1 jaar;Standaardfout;1984;;;;;;;;;;
133;Totaal mannen en vrouwen;1 jaar;Standaardfout;1985;;;;;;;;;;
134;Totaal mannen en vrouwen;1 jaar;Standaardfout;1986;;;;;;;;;;
135;Totaal mannen en vrouwen;1 jaar;Standaardfout;1987;;;;;;;;;;
136;Totaal mannen en vrouwen;1 jaar;Standaardfout;1988;;;;;;;;;;
137;Totaal mannen en vrouwen;1 jaar;Standaardfout;1989;;;;;;;;;;
138;Totaal mannen en vrouwen;1 jaar;Standaardfout;1990;;;;;;;;;;
139;Totaal mannen en vrouwen;1 jaar;Standaardfout;1991;;;;;;;;;;
140;Totaal mannen en vrouwen;1 jaar;Standaardfout;1992;;;;;;;;;;
141;Totaal mannen en vrouwen;1 jaar;Standaardfout;1993;;;;;;;;;;
