ID;Region;Periods;AllCountries_1;Netherlands_2;TotalForeignCountries_3;EuropeExcludingTheNetherlands_4;Germany_5;Belgium_6;UnitedKingdom_7;France_8;Switzerland_9;Italy_10;Spain_11;Denmark_12;Sweden_13;OtherCountriesEuroZone_14;OtherEuropeanCountries_15;America_16;Asia_17;AustraliaAndOceania_18;Africa_19;AllCountries_20;Netherlands_21;TotalForeignCountries_22;EuropeExcludingTheNetherlands_23;Germany_24;Belgium_25;UnitedKingdom_26;France_27;Switzerland_28;Italy_29;Spain_30;Denmark_31;Sweden_32;OtherCountriesEuroZone_33;OtherEuropeanCountries_34;America_35;Asia_36;AustraliaAndOceania_37;Africa_38
0;The Netherlands;1998 January;292.8;244.3;48.6;48.3;37.0;9.2;;;;;;;;;;;;;;1155.9;941.3;214.6;211.5;165.2;34.4;;;;;;;;;;;;;
1;The Netherlands;1998 February;349.7;299.5;50.2;50.1;36.8;10.1;1.9;;;;;;;;;;;;;1377.0;1183.3;193.7;191.6;138.0;38.1;9.3;;;;;;;;;;;;
2;The Netherlands;1998 March;366.4;309.7;56.7;56.5;44.6;8.6;1.6;;;;;;;;;;;;;1401.6;1146.5;255.1;253.1;203.9;35.2;6.4;;;;;;;;;;;;
3;The Netherlands;1998 1st Quarter;1008.9;853.5;155.4;154.9;118.4;27.9;4.3;1.2;;;;1.1;;;1.4;;;;;3934.5;3271.1;663.4;656.2;507.2;107.7;19.6;6.0;;;;4.4;;;8.1;;;;
4;The Netherlands;1998 April;739.7;504.5;235.2;233.4;182.5;28.9;10.0;4.8;;;;1.3;;;4.3;1.1;;;;3123.7;1978.7;1145.1;1135.8;928.1;119.9;45.3;16.9;;;;4.2;;;15.7;7.0;;;
5;The Netherlands;1998 May;1207.0;1014.2;192.8;190.6;152.0;17.5;8.6;4.3;;;;;;;5.3;;;1.0;;4726.3;3936.3;790.0;782.3;646.7;62.7;36.0;10.3;;;;;;;18.1;;;2.8;
6;The Netherlands;1998 June;1085.6;876.1;209.5;206.2;175.3;11.5;6.6;2.4;;1.3;;2.0;;;5.9;1.1;;1.5;;5379.1;4173.7;1205.4;1191.8;1050.6;64.6;30.1;6.7;;2.6;;7.2;;;25.8;5.3;;5.7;
7;The Netherlands;1998 2nd Quarter;3032.3;2394.8;637.5;630.2;509.9;57.9;25.2;11.6;2.2;2.8;1.1;4.0;;;15.5;3.2;;2.9;;13229.2;10088.7;3140.4;3109.8;2625.3;247.3;111.5;33.8;9.5;6.0;3.4;13.4;;;59.5;16.5;;9.6;
8;The Netherlands;1998 July;1257.6;955.5;302.1;297.6;210.7;30.9;12.2;11.1;3.7;5.9;2.8;7.8;;;12.4;1.2;;1.6;;8956.6;6898.6;2058.0;2041.8;1672.7;165.5;55.4;33.2;16.6;13.0;7.8;26.5;;;51.1;4.5;;4.2;
9;The Netherlands;1998 August;1641.3;1289.3;351.9;347.7;224.9;33.3;22.9;16.0;2.6;26.3;6.8;1.9;;;12.9;1.3;1.2;1.3;;12502.2;10373.1;2129.2;2112.1;1599.2;183.5;130.2;44.4;12.6;63.4;19.3;6.4;;;53.2;5.0;7.0;3.3;
