ID;Sectoren;Perioden;TotaalOverheidssaldo_1;Inkomsten_2;Uitgaven_3;RentevoordeelNadeelUitSwapcontracten_4;OverheidsschuldEMU_5;TotaalMutatieOverheidsschuld_6;OverheidstekortEMU_7;TransactiesInFinancieleActiva_8;TransactiesInTransitorischeSchulden_9;Waarderingsverschillen_10;AandeelOverheidsschuld_11;OverheidssaldoEMUInBbp_12;OverheidsschuldEMUInBbp_13;AandeelOverheidsschuldInBbp_14
0;Overheid;1990;-12962.0;120833.0;-133795.0;0.0;187345.0;;12962.0;963.0;-4282.0;;187345.0;-5.3;76.9;76.9
1;Overheid;1991;-6874.0;134528.0;-141402.0;0.0;197306.0;9961.0;6874.0;4588.0;-1642.0;141.0;197306.0;-2.7;76.7;76.7
2;Overheid;1992;-11149.0;138241.0;-149390.0;0.0;207659.0;10353.0;11149.0;331.0;-1160.0;33.0;207659.0;-4.2;77.4;77.4
3;Overheid;1993;-7713.0;146071.0;-153784.0;0.0;216607.0;8948.0;7713.0;-211.0;1920.0;-474.0;216607.0;-2.8;78.5;78.5
4;Overheid;1994;-10218.0;145032.0;-155250.0;0.0;218266.0;1659.0;10218.0;-6715.0;-718.0;-1126.0;218266.0;-3.5;75.3;75.3
5;Overheid;1995;-28137.0;144168.0;-172305.0;0.0;232232.0;13966.0;28137.0;-13382.0;-1063.0;274.0;232232.0;-9.2;76.1;76.1
6;Overheid;1996;-6044.0;152020.0;-158064.0;0.0;236952.0;4720.0;6044.0;-1142.0;-565.0;383.0;236952.0;-1.9;74.1;74.1
7;Overheid;1997;-4272.0;158443.0;-162715.0;0.0;233326.0;-3626.0;4272.0;-4591.0;-2853.0;-454.0;233326.0;-1.2;68.2;68.2
8;Overheid;1998;-3164.0;166012.0;-169176.0;0.0;238183.0;4857.0;3164.0;4157.0;-3923.0;1459.0;238183.0;-0.9;65.7;65.7
9;Overheid;1999;1600.0;179333.0;-177733.0;0.0;236085.0;-2098.0;-1600.0;-1378.0;-1407.0;2287.0;236085.0;0.4;61.1;61.1
10;Overheid;2000;8244.0;192856.0;-184612.0;0.0;224765.0;-11320.0;-8244.0;-2721.0;-1496.0;1141.0;224765.0;2.0;53.8;53.8
11;Overheid;2001;-1079.0;201922.0;-203063.0;62.0;227096.0;2331.0;1079.0;-1202.0;1764.0;690.0;227096.0;-0.2;50.7;50.7
12;Overheid;2002;-9710.0;205155.0;-214960.0;95.0;235090.0;7994.0;9710.0;-58.0;-1487.0;-171.0;235090.0;-2.1;50.5;50.5
13;Overheid;2003;-14898.0;209580.0;-224621.0;143.0;248009.0;12919.0;14898.0;-988.0;-989.0;-2.0;248009.0;-3.1;52.0;52.0
14;Overheid;2004;-8584.0;217724.0;-226403.0;95.0;257604.0;9595.0;8584.0;-806.0;1868.0;-51.0;257604.0;-1.7;52.4;52.4
