ID;Perioden;TotaalVakanties_1;VakantiesInNederland_2;VakantiesInHetBuitenland_3;TotaalEuropa_4;Winterperiode_5;Zomerperiode_6;TotaalBelgieLuxemburg_7;Winterperiode_8;Zomerperiode_9;TotaalFrankrijk_10;Winterperiode_11;Zomerperiode_12;TotaalSpanje_13;Winterperiode_14;Zomerperiode_15;TotaalPortugal_16;Winterperiode_17;Zomerperiode_18;TotaalOostenrijk_19;Winterperiode_20;Zomerperiode_21;TotaalZwitserland_22;Winterperiode_23;Zomerperiode_24;TotaalGrootBrittannie_25;Winterperiode_26;Zomerperiode_27;TotaalNoorwegenZwedenFinland_28;Winterperiode_29;Zomerperiode_30;TotaalDenemarken_31;Winterperiode_32;Zomerperiode_33;TotaalBondsrepubliekDuitsland_34;Winterperiode_35;Zomerperiode_36;TotaalItalie_37;Winterperiode_38;Zomerperiode_39;TotaalGriekenland_40;Winterperiode_41;Zomerperiode_42;TotaalVoormaligJoegoslavie_43;Winterperiode_44;Zomerperiode_45;TotaalHongarije_46;Winterperiode_47;Zomerperiode_48;TotaalTsjechieSlowakije_49;Winterperiode_50;Zomerperiode_51;TotaalTurkijeInclAziatischDeel_52;Winterperiode_53;Zomerperiode_54;TotaalOverigeLandenInEuropa_55;Winterperiode_56;Zomerperiode_57;TotaalBuitenEuropa_58;Winterperiode_59;Zomerperiode_60;TotaalVerenigdeStatenVanAmerika_61;Winterperiode_62;Zomerperiode_63;TotaalOverigeLandenBuitenEuropa_64;Winterperiode_65;Zomerperiode_66;TotaalUitgavenAanVakanties_67;UitgavenAanBinnenlandseVakanties_68;UitgavenAanBuitenlandseVakanties_69
0;1969;7.1;4.1;3.0;;;;291;12;279;255;48;207;558;75;483;9.0;3.0;6.0;387;51;336;222;27;195;87;12;75;51;0;51;36;3;33;591;36;555;381;21;360;12;3;9;78;0;78;;;;;;;;;;;;;;;;;;;;;;1.0;0.3;0.7
1;1970;8.1;4.8;3.3;;;;346;24;322;326;44;282;478;66;412;16.0;4.0;12.0;436;92;344;290;60;230;124;34;90;70;2;68;42;0;42;652;54;598;392;18;374;10;4;6;90;2;88;;;;;;;;;;;;;;;;;;;;;;1.2;0.4;0.8
2;1971;9.1;5.5;3.6;;;;297;15;282;333;33;300;594;78;516;12.0;3.0;9.0;489;78;411;279;30;249;117;30;87;75;3;72;39;0;39;666;66;600;402;18;384;12;3;9;153;9;144;;;;;;;;;;;;;;;;;;;;;;;;
3;1972;9.1;5.3;3.8;;;;471;36;435;495;54;441;537;87;450;12.0;3.0;9.0;537;117;420;291;54;237;111;27;84;84;9;75;66;3;63;561;42;519;330;18;312;27;12;15;117;0;117;;;;;;;;;;;;;;;;;;;;;;;;
4;1973;9.1;5.0;4.1;;;;378;39;339;567;102;465;720;111;609;21.0;6.0;15.0;519;111;408;234;51;183;153;39;114;57;3;54;51;3;48;618;63;555;372;24;348;60;9;51;174;6;168;;;;;;;;;;;;;;;;;;;;;;1.8;0.5;1.3
5;1974;9.8;5.7;4.2;;;;327;27;300;627;54;573;693;138;555;12.0;6.0;6.0;441;117;324;291;111;180;157;24;135;90;3;87;63;3;60;789;90;699;384;24;360;45;12;33;105;9;96;;;;;;;;;;;;;;;;;;;;;;;;
6;1975;10.7;6.0;4.7;;;;366;40;326;792;70;722;802;180;622;18.0;0.0;18.0;545;158;387;259;64;195;207;49;158;100;6;94;49;6;43;790;107;683;457;27;430;24;3;21;192;6;186;;;;;;;;;;;;;;;;;;;;;;;;
7;1976;11.2;6.2;5.0;;;;462;75;387;881;126;755;551;112;439;;;;714;215;499;264;89;175;345;75;270;78;6;72;72;3;69;835;106;729;427;57;370;81;29;52;89;6;83;;;;;;;;;;;;;;;;;;;;;;;;
8;1977;12.0;6.4;5.5;;;;439;60;379;878;141;737;689;194;495;;;;787;257;530;314;69;245;430;107;323;72;6;66;66;0;66;1003;169;834;430;38;392;60;19;41;106;6;100;;;;;;;;;;;;;;;;;;;;;;2.8;0.8;2.0
9;1978;12.5;6.3;6.2;;;;437;66;371;988;112;876;909;187;722;;;;873;305;568;341;128;213;394;72;322;112;17;95;69;5;64;1024;167;857;483;56;427;88;20;68;120;13;107;;;;;;;;;;;;;;;;;;;;;;;;
10;1979;13.2;6.6;6.6;;;;507;62;445;1284;169;1115;946;169;777;64.0;7.0;57.0;1001;404;597;310;93;217;345;62;283;89;21;68;73;6;67;867;152;715;553;52;501;128;18;110;141;0;141;;;;;;;;;;;;;;;;70.0;10.0;60.0;;;;;;
11;1980;13.6;6.8;6.8;;;;411;70;341;1446;219;1227;786;176;610;80.0;24.0;56.0;998;368;630;425;143;282;299;70;229;160;17;143;53;0;53;1041;196;845;477;53;424;123;27;96;106;7;99;;;;;;;;;;;;;;;;54.0;24.0;30.0;;;;3.9;1.0;2.9
12;1981;13.8;7.0;6.8;;;;501;129;372;1250;193;1057;872;199;673;97.0;28.0;69.0;1157;425;732;390;111;279;205;53;152;133;6;127;65;0;65;1061;202;859;452;52;400;159;19;140;183;12;171;;;;;;;;;;;;;;;;52.0;18.0;34.0;;;;4.1;1.1;3.1
13;1982;13.8;7.3;6.5;;;;635;136;499;1197;150;1047;854;177;677;72.0;20.0;52.0;972;382;590;443;169;274;208;52;156;104;13;91;72;3;69;995;270;725;414;34;380;118;21;97;133;0;133;;;;;;;;;;;;;;;;40.0;20.0;20.0;;;;4.0;1.0;2.9
14;1983;13.4;7.3;6.1;5906.0;1470.0;4436.0;625;141;484;1049;158;891;847;197;650;60.0;10.0;50.0;911;504;407;381;116;265;213;45;168;73;3;70;77;3;74;932;200;732;413;45;368;125;19;106;103;10;93;36.0;0.0;36.0;17.0;9.0;8.0;3.0;3.0;0.0;41.0;7.0;34.0;172.0;62.0;110.0;40.0;0.0;40.0;132.0;62.0;70.0;3.7;1.0;2.7
15;1984;13.9;7.2;6.7;6565.0;1742.0;4823.0;745;209;536;1152;195;957;870;212;658;104.0;7.0;97.0;1027;533;494;348;153;195;203;62;141;121;18;103;105;5;100;1058;237;821;351;38;313;179;50;129;192;0;192;36.0;3.0;33.0;0.0;0.0;0.0;13.0;0.0;13.0;61.0;20.0;41.0;125.0;72.0;53.0;19.0;7.0;12.0;106.0;65.0;41.0;4.1;1.1;3.0
