ID;ConsumptionByHouseholds;Periods;Indices_1;VolumeChanges_2;VolumeChangesShoppingdayAdjusted_3;Indices_4;ValueChanges_5;PriceChanges_6
0;Domestic consumption by households;2000;86.7;3.7;3.5;58.1;6.6;2.8
1;Domestic consumption by households;2001;88.4;2.0;2.2;61.3;5.5;3.4
2;Domestic consumption by households;2002;89.5;1.1;1.1;64.2;4.8;3.6
3;Domestic consumption by households;2003;89.4;-0.1;-0.1;65.8;2.4;2.5
4;Domestic consumption by households;2004;90.3;1.0;0.8;67.3;2.3;1.3
5;Domestic consumption by households;2005;91.2;0.9;1.1;69.1;2.7;1.8
6;Domestic consumption by households;2006;91.1;-0.1;0.0;71.0;2.6;2.7
7;Domestic consumption by households;2007;92.8;1.9;1.9;73.9;4.1;2.2
8;Domestic consumption by households;2008;93.3;0.5;0.3;76.1;3.0;2.4
9;Domestic consumption by households;2009;91.2;-2.2;-2.1;73.6;-3.2;-1.0
10;Domestic consumption by households;2010;91.6;0.4;0.4;75.1;2.0;1.5
11;Domestic consumption by households;2011;92.2;0.7;0.6;77.6;3.3;2.6
12;Domestic consumption by households;2012;91.6;-0.7;-0.8;77.7;0.1;0.9
13;Domestic consumption by households;2013;91.2;-0.4;-0.3;78.9;1.6;2.0
14;Domestic consumption by households;2014;91.9;0.8;0.8;80.3;1.8;0.9
15;Domestic consumption by households;2015;94.1;2.4;2.4;82.4;2.6;0.1
16;Domestic consumption by households;2016;95.7;1.7;1.5;84.4;2.4;0.8
17;Domestic consumption by households;2017;98.0;2.4;2.7;88.2;4.5;2.0
18;Domestic consumption by households;2018;100.7;2.7;2.7;92.4;4.8;2.0
19;Domestic consumption by households;2019;102.1;1.4;1.4;96.0;3.8;2.4
20;Domestic consumption by households;2020;96.4;-5.6;-5.7;92.4;-3.7;2.0
21;Domestic consumption by households;2000 January;88.5;3.5;4.0;57.5;6.1;2.6
22;Domestic consumption by households;2000 February;85.4;5.8;3.9;55.7;8.7;2.6
23;Domestic consumption by households;2000 March;90.7;5.7;4.7;59.5;8.6;2.8
24;Domestic consumption by households;2000 1st quarter;88.2;5.0;4.2;57.5;7.8;2.7
25;Domestic consumption by households;2000 April;87.9;3.5;4.2;57.7;6.2;2.6
26;Domestic consumption by households;2000 May;88.0;4.5;3.6;59.2;7.7;3.0
27;Domestic consumption by households;2000 June;86.8;2.8;2.7;58.0;6.2;3.3
28;Domestic consumption by households;2000 2nd quarter;87.6;3.6;3.5;58.3;6.7;3.0
29;Domestic consumption by households;2000 July;86.2;0.0;1.7;57.4;2.5;2.6
30;Domestic consumption by households;2000 August;83.5;5.4;3.9;57.0;7.9;2.4
31;Domestic consumption by households;2000 September;86.2;4.2;3.6;58.1;7.2;2.9
32;Domestic consumption by households;2000 3rd quarter;85.3;3.1;3.0;57.5;5.8;2.7
33;Domestic consumption by households;2000 October;82.6;0.8;2.2;57.8;3.8;3.0
34;Domestic consumption by households;2000 November;84.9;4.1;3.3;58.2;7.3;3.1
35;Domestic consumption by households;2000 December;89.5;3.7;4.9;61.1;6.8;2.9
36;Domestic consumption by households;2000 4th quarter;85.7;2.9;3.5;59.1;6.0;3.0
37;Domestic consumption by households;2001 January;90.2;1.9;1.9;60.4;5.1;3.1
38;Domestic consumption by households;2001 February;85.8;0.5;2.4;57.7;3.6;3.1
39;Domestic consumption by households;2001 March;92.9;2.4;2.0;62.9;5.8;3.3
40;Domestic consumption by households;2001 1st quarter;89.6;1.6;2.1;60.3;4.9;3.2
41;Domestic consumption by households;2001 April;88.4;0.5;1.3;60.2;4.2;3.7
42;Domestic consumption by households;2001 May;90.3;2.6;2.4;63.0;6.3;3.6
43;Domestic consumption by households;2001 June;89.5;3.1;2.7;61.7;6.3;3.1
44;Domestic consumption by households;2001 2nd quarter;89.4;2.1;2.1;61.6;5.6;3.5
45;Domestic consumption by households;2001 July;87.7;1.8;2.4;60.4;5.3;3.4
46;Domestic consumption by households;2001 August;85.9;2.8;2.4;60.6;6.2;3.3
47;Domestic consumption by households;2001 September;87.4;1.3;2.5;60.9;4.7;3.3
48;Domestic consumption by households;2001 3rd quarter;87.0;2.0;2.4;60.6;5.4;3.3
49;Domestic consumption by households;2001 October;85.4;3.4;2.5;61.7;6.8;3.3
50;Domestic consumption by households;2001 November;87.9;3.5;3.0;62.2;6.9;3.2
51;Domestic consumption by households;2001 December;90.0;0.6;1.5;63.9;4.5;4.0
52;Domestic consumption by households;2001 4th quarter;87.8;2.4;2.3;62.6;6.0;3.5
53;Domestic consumption by households;2002 January;92.3;2.3;1.7;64.3;6.3;4.0
54;Domestic consumption by households;2002 February;86.9;1.4;1.4;60.6;5.2;3.7
55;Domestic consumption by households;2002 March;93.6;0.7;1.4;65.7;4.4;3.7
56;Domestic consumption by households;2002 1st quarter;90.9;1.4;1.5;63.5;5.3;3.8
57;Domestic consumption by households;2002 April;90.1;1.9;1.6;63.5;5.6;3.6
58;Domestic consumption by households;2002 May;91.7;1.5;1.2;66.0;4.9;3.3
59;Domestic consumption by households;2002 June;89.9;0.4;1.5;64.1;4.0;3.5
60;Domestic consumption by households;2002 2nd quarter;90.5;1.3;1.4;64.6;4.8;3.5
61;Domestic consumption by households;2002 July;89.2;1.6;0.9;63.7;5.5;3.8
62;Domestic consumption by households;2002 August;86.9;1.2;0.8;63.7;5.2;3.9
63;Domestic consumption by households;2002 September;87.5;0.1;0.9;63.3;3.9;3.8
64;Domestic consumption by households;2002 3rd quarter;87.9;1.0;0.8;63.6;4.9;3.8
65;Domestic consumption by households;2002 October;87.0;1.9;1.4;65.1;5.5;3.6
66;Domestic consumption by households;2002 November;87.9;-0.1;-0.2;64.2;3.2;3.3
67;Domestic consumption by households;2002 December;90.7;0.7;1.1;66.3;3.7;3.0
68;Domestic consumption by households;2002 4th quarter;88.5;0.8;0.8;65.2;4.2;3.3
69;Domestic consumption by households;2003 January;93.7;1.5;1.1;67.0;4.3;2.7
70;Domestic consumption by households;2003 February;88.3;1.5;1.5;63.3;4.4;2.9
71;Domestic consumption by households;2003 March;92.5;-1.2;-0.2;66.8;1.8;3.0
72;Domestic consumption by households;2003 1st quarter;91.5;0.6;0.8;65.7;3.5;2.9
73;Domestic consumption by households;2003 April;90.6;0.6;-0.1;65.4;3.0;2.4
74;Domestic consumption by households;2003 May;92.3;0.7;0.1;68.0;3.0;2.3
75;Domestic consumption by households;2003 June;88.9;-1.1;-0.1;64.8;1.1;2.1
76;Domestic consumption by households;2003 2nd quarter;90.6;0.1;-0.1;66.1;2.3;2.3
77;Domestic consumption by households;2003 July;89.1;-0.1;-0.5;65.1;2.3;2.4
78;Domestic consumption by households;2003 August;85.9;-1.2;-0.3;64.5;1.3;2.5
79;Domestic consumption by households;2003 September;87.8;0.3;-0.3;64.9;2.5;2.2
80;Domestic consumption by households;2003 3rd quarter;87.6;-0.3;-0.4;64.8;2.0;2.4
81;Domestic consumption by households;2003 October;87.7;0.9;0.0;67.3;3.4;2.5
82;Domestic consumption by households;2003 November;86.2;-1.8;-0.6;64.8;0.8;2.7
83;Domestic consumption by households;2003 December;89.7;-1.1;-1.7;67.1;1.3;2.4
84;Domestic consumption by households;2003 4th quarter;87.9;-0.7;-0.8;66.4;1.8;2.5
85;Domestic consumption by households;2004 January;94.7;1.1;0.8;68.5;2.2;1.1
86;Domestic consumption by households;2004 February;88.5;0.2;-1.2;64.2;1.4;1.2
87;Domestic consumption by households;2004 March;93.4;1.0;0.6;68.1;1.9;0.9
88;Domestic consumption by households;2004 1st quarter;92.2;0.8;0.1;66.9;1.8;1.1
89;Domestic consumption by households;2004 April;92.2;1.8;1.1;67.7;3.4;1.6
90;Domestic consumption by households;2004 May;90.9;-1.4;0.5;68.3;0.4;1.8
91;Domestic consumption by households;2004 June;91.3;2.7;1.4;67.6;4.4;1.7
92;Domestic consumption by households;2004 2nd quarter;91.5;1.0;1.0;67.8;2.7;1.7
93;Domestic consumption by households;2004 July;91.7;2.9;2.1;67.9;4.2;1.3
94;Domestic consumption by households;2004 August;85.7;-0.2;1.0;65.2;1.0;1.3
95;Domestic consumption by households;2004 September;89.3;1.8;1.0;66.9;3.1;1.3
96;Domestic consumption by households;2004 3rd quarter;88.9;1.5;1.4;66.7;2.8;1.3
97;Domestic consumption by households;2004 October;87.3;-0.5;0.2;67.8;0.7;1.2
98;Domestic consumption by households;2004 November;86.7;0.5;0.6;65.9;1.7;1.2
99;Domestic consumption by households;2004 December;92.3;2.9;1.4;69.5;3.6;0.7
100;Domestic consumption by households;2004 4th quarter;88.8;1.0;0.7;67.7;2.0;1.0
101;Domestic consumption by households;2005 January;93.1;-1.7;-0.4;68.5;0.0;1.7
102;Domestic consumption by households;2005 February;87.9;-0.7;0.8;65.0;1.3;2.0
103;Domestic consumption by households;2005 March;94.7;1.4;0.9;70.2;3.2;1.7
104;Domestic consumption by households;2005 1st quarter;91.9;-0.3;0.4;67.9;1.5;1.8
105;Domestic consumption by households;2005 April;92.4;0.3;0.0;68.9;1.8;1.5
106;Domestic consumption by households;2005 May;90.9;-0.1;0.3;69.0;1.1;1.2
107;Domestic consumption by households;2005 June;92.9;1.8;1.6;69.8;3.3;1.5
108;Domestic consumption by households;2005 2nd quarter;92.1;0.7;0.6;69.2;2.1;1.4
109;Domestic consumption by households;2005 July;92.1;0.4;1.3;69.2;1.9;1.5
110;Domestic consumption by households;2005 August;88.0;2.7;1.8;68.0;4.3;1.6
111;Domestic consumption by households;2005 September;91.4;2.3;2.0;69.6;4.1;1.8
112;Domestic consumption by households;2005 3rd quarter;90.5;1.8;1.7;68.9;3.4;1.6
113;Domestic consumption by households;2005 October;88.0;0.9;1.5;69.8;2.9;2.0
114;Domestic consumption by households;2005 November;88.9;2.5;2.1;69.1;4.9;2.3
115;Domestic consumption by households;2005 December;93.7;1.5;1.2;72.5;4.3;2.8
116;Domestic consumption by households;2005 4th quarter;90.2;1.6;1.6;70.5;4.0;2.4
117;Domestic consumption by households;2006 January;92.9;-0.2;0.2;70.5;3.0;3.2
118;Domestic consumption by households;2006 February;87.7;-0.2;-0.2;66.9;2.8;3.1
119;Domestic consumption by households;2006 March;95.1;0.4;-0.1;72.6;3.4;2.9
120;Domestic consumption by households;2006 1st quarter;91.9;0.0;0.0;70.0;3.1;3.1
121;Domestic consumption by households;2006 April;92.0;-0.5;0.6;70.6;2.6;3.1
122;Domestic consumption by households;2006 May;92.6;1.9;0.9;72.4;4.9;2.9
123;Domestic consumption by households;2006 June;93.2;0.3;0.1;72.0;3.1;2.8
124;Domestic consumption by households;2006 2nd quarter;92.6;0.6;0.5;71.7;3.5;2.9
125;Domestic consumption by households;2006 July;90.6;-1.6;-0.8;70.0;1.2;2.8
126;Domestic consumption by households;2006 August;89.1;1.3;0.8;70.8;4.1;2.8
127;Domestic consumption by households;2006 September;91.5;0.2;-0.1;71.3;2.5;2.3
128;Domestic consumption by households;2006 3rd quarter;90.4;-0.1;-0.1;70.7;2.6;2.6
129;Domestic consumption by households;2006 October;87.2;-1.0;-0.5;70.6;1.1;2.1
130;Domestic consumption by households;2006 November;88.6;-0.3;-0.5;70.6;2.1;2.4
131;Domestic consumption by households;2006 December;92.4;-1.4;-0.2;73.3;1.1;2.5
132;Domestic consumption by households;2006 4th quarter;89.4;-0.9;-0.4;71.5;1.4;2.3
133;Domestic consumption by households;2007 January;93.9;1.1;0.5;72.7;3.1;1.9
134;Domestic consumption by households;2007 February;89.3;1.8;1.8;69.6;4.0;2.2
135;Domestic consumption by households;2007 March;97.1;2.1;1.7;75.9;4.5;2.4
136;Domestic consumption by households;2007 1st quarter;93.4;1.7;1.3;72.7;3.9;2.2
137;Domestic consumption by households;2007 April;92.2;0.3;1.2;72.4;2.5;2.2
138;Domestic consumption by households;2007 May;93.5;1.0;0.7;74.6;3.1;2.1
139;Domestic consumption by households;2007 June;95.4;2.3;1.8;75.2;4.4;2.1
140;Domestic consumption by households;2007 2nd quarter;93.7;1.2;1.2;74.1;3.3;2.1
141;Domestic consumption by households;2007 July;92.8;2.4;2.8;73.0;4.2;1.8
142;Domestic consumption by households;2007 August;90.8;1.9;1.5;73.4;3.6;1.7
143;Domestic consumption by households;2007 September;92.7;1.3;2.4;73.7;3.4;2.0
144;Domestic consumption by households;2007 3rd quarter;92.1;1.8;2.2;73.4;3.7;1.9
145;Domestic consumption by households;2007 October;90.8;4.1;3.2;75.1;6.4;2.2
146;Domestic consumption by households;2007 November;91.0;2.7;2.3;74.4;5.4;2.6
147;Domestic consumption by households;2007 December;94.6;2.4;3.2;76.9;5.0;2.5
148;Domestic consumption by households;2007 4th quarter;92.1;3.0;2.9;75.5;5.6;2.5
149;Domestic consumption by households;2008 January;95.3;1.5;1.0;75.7;4.2;2.7
150;Domestic consumption by households;2008 February;93.2;4.4;1.8;74.7;7.4;2.9
151;Domestic consumption by households;2008 March;95.8;-1.3;0.2;76.9;1.4;2.8
152;Domestic consumption by households;2008 1st quarter;94.7;1.4;1.0;75.8;4.2;2.8
153;Domestic consumption by households;2008 April;94.5;2.5;1.5;76.5;5.6;3.1
154;Domestic consumption by households;2008 May;96.3;3.0;2.0;79.1;6.0;2.9
155;Domestic consumption by households;2008 June;93.7;-1.7;0.1;76.1;1.3;3.1
156;Domestic consumption by households;2008 2nd quarter;94.8;1.2;1.2;77.2;4.3;3.0
157;Domestic consumption by households;2008 July;93.8;1.1;-0.2;76.0;4.1;3.0
158;Domestic consumption by households;2008 August;90.6;-0.2;0.3;75.4;2.7;2.9
159;Domestic consumption by households;2008 September;92.3;-0.4;-0.2;75.6;2.5;2.9
160;Domestic consumption by households;2008 3rd quarter;92.2;0.2;0.0;75.6;3.1;2.9
161;Domestic consumption by households;2008 October;91.4;0.6;-0.4;76.5;1.9;1.3
