ID;Funds;Periods;ShareIndex_1;TotalReturnIndex_2
0;1;1993 December;100.0;100.0
1;1;1994 January;102.8;102.8
2;1;1994 February;100.0;100.0
3;1;1994 March;96.7;96.9
4;1;1994 April;96.4;97.3
5;1;1994 May;95.7;96.6
6;1;1994 June;93.3;94.2
7;1;1994 July;94.2;95.2
8;1;1994 August;94.7;95.9
9;1;1994 September;92.4;93.5
10;1;1994 October;92.2;93.4
11;1;1994 November;91.9;93.4
12;1;1994 December;91.7;93.2
13;1;1995 January;89.7;91.2
14;1;1995 February;89.4;90.9
15;1;1995 March;89.3;90.9
16;1;1995 April;89.9;92.1
17;1;1995 May;91.7;94.0
18;1;1995 June;91.3;93.7
19;1;1995 July;93.2;95.8
20;1;1995 August;95.3;98.0
21;1;1995 September;94.9;97.6
22;1;1995 October;94.5;97.2
23;1;1995 November;96.6;99.7
24;1;1995 December;97.9;101.1
25;1;1996 January;100.6;103.9
26;1;1996 February;99.9;103.2
27;1;1996 March;101.2;104.7
28;1;1996 April;103.8;108.0
29;1;1996 May;104.6;108.8
30;1;1996 June;104.5;108.8
31;1;1996 July;101.2;105.5
32;1;1996 August;102.9;107.4
33;1;1996 September;106.1;110.7
34;1;1996 October;106.4;111.0
35;1;1996 November;109.7;114.8
36;1;1996 December;111.1;116.3
37;1;1997 January;114.5;119.9
38;1;1997 February;118.3;123.9
39;1;1997 March;117.2;122.8
40;1;1997 April;117.8;124.1
41;1;1997 May;122.2;128.8
42;1;1997 June;127.6;134.5
43;1;1997 July;135.7;143.2
44;1;1997 August;128.0;135.2
45;1;1997 September;130.8;138.2
46;1;1997 October;124.8;131.9
47;1;1997 November;125.6;133.0
48;1;1997 December;127.2;134.8
49;1;1998 January;130.9;138.6
50;1;1998 February;136.2;144.3
51;1;1998 March;141.2;149.8
52;1;1998 April;138.2;147.2
53;1;1998 May;139.6;148.9
54;1;1998 June;142.5;151.9
55;1;1998 July;143.0;152.7
56;1;1998 August;133.2;142.3
