ID;Activiteiten;SoortUitgaven;Perioden;TotaalAanbiedersVeiligheidszorg_1;DienstJustitieleInrichtingen_2;Politie_3;OpenbaarMinisterieEnRechtspraak_4;OverigeAanbiedersMinisterieVJ_5;BijzondereOpsporingsdiensten_6;Douane_7;OverigeAanbiedersOverigeMinisteries_8;Jeugdzorg_9;ProvinciesEnGemeenten_10;Verzekeraars_11;RechtskundigeDienstverleners_12;BeveiligingsEnOpsporingsbedrijven_13;VerkoopBeveiligingsmaterialen_14;TotaalAanbiedersVeiligheidszorg_15;DienstJustitieleInrichtingen_16;Politie_17;OpenbaarMinisterieEnRechtspraak_18;OverigeAanbiedersMinisterieVJ_19;BijzondereOpsporingsdiensten_20;Douane_21;OverigeAanbiedersOverigeMinisteries_22;Jeugdzorg_23;ProvinciesEnGemeenten_24;Verzekeraars_25;RechtskundigeDienstverleners_26;BeveiligingsEnOpsporingsbedrijven_27;VerkoopBeveiligingsmaterialen_28;TotaalAanbiedersVeiligheidszorg_29;DienstJustitieleInrichtingen_30;Politie_31;OpenbaarMinisterieEnRechtspraak_32;OverigeAanbiedersMinisterieVJ_33;BijzondereOpsporingsdiensten_34;Douane_35;OverigeAanbiedersOverigeMinisteries_36;Jeugdzorg_37;ProvinciesEnGemeenten_38;Verzekeraars_39;RechtskundigeDienstverleners_40;BeveiligingsEnOpsporingsbedrijven_41;VerkoopBeveiligingsmaterialen_42;TotaalAanbiedersVeiligheidszorg_43;DienstJustitieleInrichtingen_44;Politie_45;OpenbaarMinisterieEnRechtspraak_46;OverigeAanbiedersMinisterieVJ_47;BijzondereOpsporingsdiensten_48;Douane_49;OverigeAanbiedersOverigeMinisteries_50;Jeugdzorg_51;ProvinciesEnGemeenten_52;Verzekeraars_53;RechtskundigeDienstverleners_54;BeveiligingsEnOpsporingsbedrijven_55;VerkoopBeveiligingsmaterialen_56
0;Totaal activiteiten;Totaal uitgaven;2002;8526.2;1184.3;3207.7;609.5;495.3;147.3;228.5;141.2;25.8;183.5;;236.5;1247.0;819.6;9155.5;1264.3;3441.6;649.8;528.8;158.3;247.2;149.9;27.9;194.8;;248.6;1380.1;864.3;93.3;86.8;98.1;85.6;97.0;109.0;83.1;102.1;74.1;54.8;;88.8;96.8;100.5;;;;;;;;;;;;;;
1;Totaal activiteiten;Totaal uitgaven;2003;9109.5;1289.8;3386.4;657.9;512.4;147.4;269.6;147.5;28.8;205.4;;257.8;1404.0;802.5;9438.5;1328.3;3491.1;676.0;528.0;152.8;280.8;150.9;29.7;210.4;;265.3;1498.4;826.5;96.1;91.2;99.5;89.0;96.9;105.2;94.4;102.7;79.0;59.2;;94.8;105.1;96.2;3.1;5.1;1.4;4.0;-0.1;-3.4;13.6;0.6;6.6;8.1;;6.7;8.6;-4.4
2;Totaal activiteiten;Totaal uitgaven;2004;9487.7;1452.9;3489.0;731.0;494.8;144.8;276.4;147.8;34.8;267.0;;260.4;1343.0;845.8;9670.3;1478.5;3554.6;742.5;503.6;147.4;281.4;150.0;35.5;271.1;;264.7;1383.2;857.9;98.5;101.5;101.3;97.8;92.4;101.5;94.6;102.1;94.2;76.2;;94.5;97.1;99.8;2.5;11.3;1.8;9.8;-4.6;-3.5;0.2;-0.6;19.3;28.8;;-0.2;-7.7;3.8
3;Totaal activiteiten;Totaal uitgaven;2005;9818.2;1457.0;3509.3;759.4;544.9;145.2;297.5;146.9;37.7;355.7;;280.0;1425.0;859.6;9818.2;1457.0;3509.3;759.4;544.9;145.2;297.5;146.9;37.7;355.7;;280.0;1425.0;859.6;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;;100.0;100.0;100.0;1.5;-1.5;-1.3;2.3;8.2;-1.5;5.7;-2.1;6.1;31.2;;5.8;3.0;0.2
4;Totaal activiteiten;Totaal uitgaven;2006;10450.8;1555.4;3722.3;779.2;611.2;147.1;306.5;165.6;49.7;388.4;;350.6;1521.0;853.7;10384.4;1539.9;3698.2;769.6;605.1;145.6;303.4;164.0;48.9;384.6;;346.6;1533.1;845.4;105.8;105.7;105.4;101.3;111.1;100.2;102.0;111.7;129.8;108.1;;123.8;107.6;98.3;5.8;5.7;5.4;1.3;11.1;0.2;2.0;11.7;29.8;8.1;;23.8;7.6;-1.7
5;Totaal activiteiten;Totaal uitgaven;2007;11119.7;1694.5;3863.2;820.9;694.7;147.5;298.2;195.8;47.6;412.7;;369.7;1657.0;918.0;10847.4;1634.0;3785.8;792.5;668.5;141.1;284.6;189.2;45.4;400.2;;359.7;1651.5;894.9;110.5;112.1;107.9;104.4;122.7;97.2;95.7;128.8;120.5;112.5;;128.4;115.9;104.1;4.5;6.1;2.4;3.0;10.5;-3.0;-6.2;15.3;-7.2;4.0;;3.8;7.7;5.9
6;Totaal activiteiten;Totaal uitgaven;2008;12031.3;1862.2;4194.7;861.6;807.7;145.6;301.7;186.0;53.4;483.1;;386.0;1788.0;961.4;11196.7;1735.2;3835.4;800.9;750.3;134.7;278.4;173.5;48.9;451.6;;366.4;1711.0;910.5;114.0;119.1;109.3;105.5;137.7;92.8;93.6;118.1;129.7;127.0;;130.8;120.1;105.9;3.2;6.2;1.3;1.1;12.2;-4.6;-2.2;-8.3;7.6;12.9;;1.9;3.6;1.7
7;Totaal activiteiten;Totaal uitgaven;2009;12827.7;1994.9;4504.0;918.9;884.7;146.4;304.2;206.3;57.9;561.2;;441.3;1888.0;919.9;11727.9;1830.7;4056.5;834.5;805.5;131.7;272.3;188.8;50.6;521.7;;414.0;1763.7;857.8;119.5;125.6;115.6;109.9;147.8;90.7;91.5;128.6;134.4;146.7;;147.8;123.8;99.8;4.7;5.5;5.8;4.2;7.4;-2.2;-2.2;8.8;3.7;15.5;;13.0;3.1;-5.8
8;Totaal activiteiten;Totaal uitgaven;2010;12880.5;2046.2;4489.8;931.8;899.5;158.2;328.2;216.1;60.2;607.6;;443.5;1852.1;847.1;11487.2;1821.8;3948.4;822.2;794.0;138.2;285.6;194.6;50.8;551.2;;410.8;1689.3;780.2;117.0;125.0;112.5;108.3;145.7;95.2;96.0;132.5;134.9;155.0;;146.7;118.6;90.8;-2.1;-0.5;-2.7;-1.5;-1.4;4.9;4.9;3.1;0.3;5.7;;-0.8;-4.2;-9.0
9;Totaal activiteiten;Totaal uitgaven;2011;12954.9;2107.5;4432.7;962.8;901.0;148.2;315.9;205.2;62.9;595.0;;453.7;1898.4;871.4;11491.7;1865.0;3916.6;844.6;790.3;128.7;273.3;183.7;52.2;535.4;;410.7;1705.5;785.8;117.0;128.0;111.6;111.2;145.0;88.6;91.8;125.1;138.6;150.5;;146.7;119.7;91.4;0.0;2.4;-0.8;2.7;-0.5;-6.9;-4.3;-5.6;2.7;-2.9;;0.0;1.0;0.7
