ID;SBI93;Perioden;Omzet_1;VoortschrijdendeOmzet_2;Omzet_3;CumulatieveOmzet_4
0;7200a Computerservice en speur- en ..;2003 1e kwartaal;;;;
1;7200a Computerservice en speur- en ..;2003 2e kwartaal;;;;
2;7200a Computerservice en speur- en ..;2003 3e kwartaal;97.0;;;
3;7200a Computerservice en speur- en ..;2003 4e kwartaal;110.0;;;
4;7200a Computerservice en speur- en ..;2003;;;;
5;7200a Computerservice en speur- en ..;2004 1e kwartaal;99.0;;;
6;7200a Computerservice en speur- en ..;2004 2e kwartaal;104.0;103.0;;
7;7200a Computerservice en speur- en ..;2004 3e kwartaal;99.0;103.0;2.6;
8;7200a Computerservice en speur- en ..;2004 4e kwartaal;115.0;104.0;4.6;
9;7200a Computerservice en speur- en ..;2004;104.0;104.0;;
10;7200a Computerservice en speur- en ..;2005 1e kwartaal;103.0;105.0;3.3;3.3
11;7200a Computerservice en speur- en ..;2005 2e kwartaal;110.0;107.0;6.2;4.8
12;7200a Computerservice en speur- en ..;2005 3e kwartaal;107.0;109.0;7.3;5.6
13;7200a Computerservice en speur- en ..;2005 4e kwartaal;123.0;111.0;6.9;6.0
14;7200a Computerservice en speur- en ..;2005;111.0;111.0;6.0;6.0
15;7200a Computerservice en speur- en ..;2006 1e kwartaal;114.0;113.0;11.1;11.1
16;7200a Computerservice en speur- en ..;2006 2e kwartaal;121.0;116.0;9.9;10.5
17;7200a Computerservice en speur- en ..;2006 3e kwartaal;117.0;119.0;9.8;10.3
18;7200a Computerservice en speur- en ..;2006 4e kwartaal;137.0;122.0;11.3;10.5
19;7200a Computerservice en speur- en ..;2006;122.0;122.0;10.5;10.5
20;7200a Computerservice en speur- en ..;2007 1e kwartaal;127.0;126.0;11.5;11.5
21;7200a Computerservice en speur- en ..;2007 2e kwartaal;134.0;129.0;10.6;11.0
22;7200a Computerservice en speur- en ..;2007 3e kwartaal;128.0;132.0;9.8;10.6
23;7200a Computerservice en speur- en ..;2007 4e kwartaal;148.0;134.0;8.0;9.9
24;7200a Computerservice en speur- en ..;2007;134.0;134.0;9.9;9.9
25;7200a Computerservice en speur- en ..;2008 1e kwartaal;137.0;137.0;7.7;7.7
26;7200a Computerservice en speur- en ..;2008 2e kwartaal;145.0;140.0;8.3;8.0
27;7200a Computerservice en speur- en ..;2008 3e kwartaal;138.0;142.0;7.4;7.8
28;7200a Computerservice en speur- en ..;2008 4e kwartaal;155.0;144.0;4.8;7.0
29;7200a Computerservice en speur- en ..;2008;144.0;144.0;7.0;7.0
30;7411b Juridische en administratieve ..;2003 1e kwartaal;;;;
31;7411b Juridische en administratieve ..;2003 2e kwartaal;;;;
32;7411b Juridische en administratieve ..;2003 3e kwartaal;91.0;;;
33;7411b Juridische en administratieve ..;2003 4e kwartaal;111.0;;;
34;7411b Juridische en administratieve ..;2003;;;;
35;7411b Juridische en administratieve ..;2004 1e kwartaal;104.0;;;
36;7411b Juridische en administratieve ..;2004 2e kwartaal;103.0;102.0;;
37;7411b Juridische en administratieve ..;2004 3e kwartaal;95.0;103.0;3.8;
38;7411b Juridische en administratieve ..;2004 4e kwartaal;111.0;103.0;-0.3;
39;7411b Juridische en administratieve ..;2004;103.0;103.0;;
40;7411b Juridische en administratieve ..;2005 1e kwartaal;103.0;103.0;-0.4;-0.4
