ID;Destination;Periods;ValueAtCurrentPrices_1;ValueAtPricesOf2021_2;VolumeChangesOnPreviousYear_3;PriceIndices_4
0;A-U All economic activities;1995;69729.0;105173.0;;66.3
1;A-U All economic activities;1996;75053.0;112121.0;6.6;66.9
2;A-U All economic activities;1997;80945.0;119124.0;6.2;68.0
3;A-U All economic activities;1998;87288.0;127412.0;7.0;68.5
4;A-U All economic activities;1999;97195.0;139812.0;9.7;69.5
5;A-U All economic activities;2000;102967.0;143091.0;2.3;72.0
6;A-U All economic activities;2001;108404.0;145677.0;1.8;74.4
7;A-U All economic activities;2002;107484.0;140001.0;-3.9;76.8
8;A-U All economic activities;2003;107773.0;138005.0;-1.4;78.1
9;A-U All economic activities;2004;109457.0;138143.0;0.1;79.2
10;A-U All economic activities;2005;115566.0;143815.0;4.1;80.4
11;A-U All economic activities;2006;125946.0;153293.0;6.6;82.2
12;A-U All economic activities;2007;146944.0;175099.0;14.2;83.9
13;A-U All economic activities;2008;145875.0;170049.0;-2.9;85.8
14;A-U All economic activities;2009;136293.0;156365.0;-8.0;87.2
15;A-U All economic activities;2010;128218.0;144946.0;-7.3;88.5
16;A-U All economic activities;2011;134029.0;152740.0;5.4;87.7
17;A-U All economic activities;2012;125250.0;142949.0;-6.4;87.6
18;A-U All economic activities;2013;126095.0;143094.0;0.1;88.1
19;A-U All economic activities;2014;123432.0;140208.0;-2.0;88.0
20;A-U All economic activities;2015;163953.0;185868.0;32.6;88.2
21;A-U All economic activities;2016;141854.0;160412.0;-13.7;88.4
22;A-U All economic activities;2017;151124.0;169707.0;5.8;89.0
23;A-U All economic activities;2018;161602.0;176848.0;4.2;91.4
24;A-U All economic activities;2019;177365.0;188752.0;6.7;94.0
25;A-U All economic activities;2020;177592.0;184032.0;-2.5;96.5
26;A-U All economic activities;2021;189188.0;189188.0;2.8;100.0
27;A-U All economic activities;2022;208818.0;195803.0;3.5;106.6
28;A-U All economic activities;2023;220480.0;198484.0;1.4;111.1
29;A Agriculture, forestry and fishing;1995;2203.0;3533.0;;62.3
30;A Agriculture, forestry and fishing;1996;2253.0;3713.0;5.1;60.7
31;A Agriculture, forestry and fishing;1997;2900.0;4642.0;25.0;62.5
32;A Agriculture, forestry and fishing;1998;2484.0;3890.0;-16.2;63.9
33;A Agriculture, forestry and fishing;1999;3118.0;4825.0;24.0;64.6
34;A Agriculture, forestry and fishing;2000;3065.0;4559.0;-5.5;67.2
35;A Agriculture, forestry and fishing;2001;3277.0;4694.0;3.0;69.8
36;A Agriculture, forestry and fishing;2002;3398.0;4647.0;-1.0;73.1
37;A Agriculture, forestry and fishing;2003;3439.0;4633.0;-0.3;74.2
38;A Agriculture, forestry and fishing;2004;3107.0;4123.0;-11.0;75.4
39;A Agriculture, forestry and fishing;2005;3245.0;4237.0;2.8;76.6
40;A Agriculture, forestry and fishing;2006;3421.0;4365.0;3.0;78.4
41;A Agriculture, forestry and fishing;2007;4141.0;5151.0;18.0;80.4
42;A Agriculture, forestry and fishing;2008;4471.0;5423.0;5.3;82.4
43;A Agriculture, forestry and fishing;2009;4205.0;4945.0;-8.8;85.0
44;A Agriculture, forestry and fishing;2010;4404.0;5036.0;1.8;87.5
45;A Agriculture, forestry and fishing;2011;5723.0;6532.0;29.7;87.6
46;A Agriculture, forestry and fishing;2012;5323.0;6055.0;-7.3;87.9
47;A Agriculture, forestry and fishing;2013;4884.0;5489.0;-9.4;89.0
48;A Agriculture, forestry and fishing;2014;5220.0;5787.0;5.4;90.2
49;A Agriculture, forestry and fishing;2015;4914.0;5345.0;-7.6;91.9
50;A Agriculture, forestry and fishing;2016;4523.0;4908.0;-8.2;92.2
51;A Agriculture, forestry and fishing;2017;4666.0;5086.0;3.6;91.7
52;A Agriculture, forestry and fishing;2018;5022.0;5372.0;5.6;93.5
53;A Agriculture, forestry and fishing;2019;5270.0;5490.0;2.2;96.0
54;A Agriculture, forestry and fishing;2020;5322.0;5457.0;-0.6;97.5
55;A Agriculture, forestry and fishing;2021;4771.0;4771.0;-12.6;100.0
56;A Agriculture, forestry and fishing;2022;5496.0;5089.0;6.7;108.0
57;A Agriculture, forestry and fishing;2023;5969.0;5307.0;4.3;112.5
58;01 Agriculture;1995;2158.0;3469.0;;62.2
59;01 Agriculture;1996;2208.0;3651.0;5.2;60.5
60;01 Agriculture;1997;2863.0;4596.0;25.9;62.3
61;01 Agriculture;1998;2418.0;3800.0;-17.3;63.6
62;01 Agriculture;1999;3040.0;4724.0;24.3;64.3
63;01 Agriculture;2000;2950.0;4403.0;-6.8;67.0
64;01 Agriculture;2001;3202.0;4600.0;4.5;69.6
65;01 Agriculture;2002;3303.0;4529.0;-1.5;72.9
66;01 Agriculture;2003;3378.0;4559.0;0.7;74.1
67;01 Agriculture;2004;3062.0;4068.0;-10.8;75.3
68;01 Agriculture;2005;3209.0;4196.0;3.1;76.5
69;01 Agriculture;2006;3368.0;4301.0;2.5;78.3
70;01 Agriculture;2007;4085.0;5087.0;18.3;80.3
71;01 Agriculture;2008;4422.0;5368.0;5.5;82.4
72;01 Agriculture;2009;4117.0;4848.0;-9.7;84.9
73;01 Agriculture;2010;4364.0;4996.0;3.1;87.4
74;01 Agriculture;2011;5682.0;6494.0;30.0;87.5
75;01 Agriculture;2012;5232.0;5962.0;-8.2;87.8
76;01 Agriculture;2013;4802.0;5403.0;-9.4;88.9
77;01 Agriculture;2014;5146.0;5712.0;5.7;90.1
78;01 Agriculture;2015;4839.0;5269.0;-7.8;91.8
79;01 Agriculture;2016;4449.0;4831.0;-8.3;92.1
80;01 Agriculture;2017;4589.0;5005.0;3.6;91.7
81;01 Agriculture;2018;4945.0;5290.0;5.7;93.5
82;01 Agriculture;2019;5212.0;5431.0;2.7;96.0
83;01 Agriculture;2020;5260.0;5393.0;-0.7;97.5
84;01 Agriculture;2021;4695.0;4695.0;-12.9;100.0
85;01 Agriculture;2022;5379.0;4976.0;6.0;108.1
86;01 Agriculture;2023;;;;
