ID;SoortVerhuur;Perioden;Huurverlaging_1;HuurGelijkGebleven_2;Huurverhoging_3
0;Totaal;2015;2.8;6.8;90.4
1;Totaal;2016;3.9;11.1;85.0
2;Totaal;2017;4.9;17.8;77.3
3;Totaal;2018;4.2;13.1;82.7
4;Totaal;2019;3.3;10.0;86.7
5;Totaal;2020;2.5;15.4;82.1
6;Totaal;2021;7.3;71.0;21.7
7;Totaal;2022;1.7;7.7;90.6
8;Totaal;2023;15.5;6.2;78.3
9;Totaal;2024;1.5;4.2;94.3
10;Sociale verhuurders;2015;2.8;6.1;91.1
11;Sociale verhuurders;2016;4.4;12.2;83.4
12;Sociale verhuurders;2017;5.5;21.7;72.8
13;Sociale verhuurders;2018;4.8;13.8;81.4
14;Sociale verhuurders;2019;3.4;10.9;85.7
15;Sociale verhuurders;2020;2.5;14.4;83.1
16;Sociale verhuurders;2021;9.2;75.0;15.8
17;Sociale verhuurders;2022;1.9;8.2;89.9
18;Sociale verhuurders;2023;22.2;6.2;71.6
19;Sociale verhuurders;2024;1.8;4.0;94.2
20;Overige verhuurders;2015;2.9;8.3;88.8
21;Overige verhuurders;2016;3.1;8.9;88.0
22;Overige verhuurders;2017;3.4;8.9;87.7
23;Overige verhuurders;2018;2.9;11.6;85.5
24;Overige verhuurders;2019;3.0;7.9;89.1
25;Overige verhuurders;2020;2.4;17.8;79.8
26;Overige verhuurders;2021;3.1;62.3;34.5
27;Overige verhuurders;2022;1.4;6.6;92.0
28;Overige verhuurders;2023;1.7;6.2;92.1
29;Overige verhuurders;2024;0.9;4.7;94.3
