ID;Emissiebronnen;EmissiesNaarLucht;Perioden;EmissiesNaarLucht_1
0;Totaal Stationaire en mobiele bronnen;Kooldioxide (CO2);1990;171200.0
1;Totaal Stationaire en mobiele bronnen;Kooldioxide (CO2);1995;181100.0
2;Totaal Stationaire en mobiele bronnen;Kooldioxide (CO2);2000;182700.0
3;Totaal Stationaire en mobiele bronnen;Kooldioxide (CO2);2001;188300.0
4;Totaal Stationaire en mobiele bronnen;Kooldioxide (CO2);2002;188000.0
5;Totaal Stationaire en mobiele bronnen;Kooldioxide (CO2);2003;191100.0
6;Totaal Stationaire en mobiele bronnen;Kooldioxide (CO2);2004;194200.0
7;Totaal Stationaire en mobiele bronnen;Kooldioxide (CO2);2005;190700.0
8;Totaal Stationaire en mobiele bronnen;Kooldioxide (CO2);2006;185100.0
9;Totaal Stationaire en mobiele bronnen;Kooldioxide (CO2);2007;185100.0
10;Totaal Stationaire en mobiele bronnen;Kooldioxide (CO2);2008;188900.0
11;Totaal Stationaire en mobiele bronnen;Kooldioxide (CO2);2009;185300.0
12;Totaal Stationaire en mobiele bronnen;Kooldioxide (CO2);2010;197500.0
13;Totaal Stationaire en mobiele bronnen;Kooldioxide (CO2);2011;184200.0
14;Totaal Stationaire en mobiele bronnen;Kooldioxide (CO2);2012;182000.0
15;Totaal Stationaire en mobiele bronnen;Kooldioxide (CO2);2013;180800.0
16;Totaal Stationaire en mobiele bronnen;Kooldioxide (CO2);2014;175100.0
17;Totaal Stationaire en mobiele bronnen;Kooldioxide (CO2);2015;182700.0
18;Totaal Stationaire en mobiele bronnen;Kooldioxide (CO2);2016;184300.0
19;Totaal Stationaire en mobiele bronnen;Kooldioxide (CO2);2017;181400.0
20;Totaal Stationaire en mobiele bronnen;Kooldioxide (CO2);2018;178100.0
21;Totaal Stationaire en mobiele bronnen;Kooldioxide (CO2);2019;174800.0
22;Totaal Stationaire en mobiele bronnen;Kooldioxide (CO2);2020;162900.0
