ID;Perioden;TotaalBegonnenZaken_1;TotaalBeeindigdeZaken_2;TotaalBegonnenZaken_3;TotaalBeeindigdeZaken_4;TotaalMetVonnis_5;VonnisBijVerstek_6;VonnisOpTegenspraak_7;OverigeAfdoeningen_8;TotaalBegonnenZaken_9;TotaalBeeindigdeZaken_10;TotaalMetVonnis_11;VonnisBijVerstek_12;VonnisOpTegenspraak_13;OverigeAfdoeningen_14;TotaalBegonnenZaken_15;TotaalBeeindigdeZaken_16;TotaalMetVonnis_17;VonnisBijVerstek_18;VonnisOpTegenspraak_19;OverigeAfdoeningen_20;TotaalBegonnenZaken_21;TotaalBeeindigdeZaken_22;MetBeschikking_23;OverigeAfdoeningen_24;TotaalBegonnenZaken_25;TotaalBeeindigdeZaken_26;TotaalBegonnenZaken_27;TotaalBeeindigdeZaken_28;TotaalMetVonnis_29;VonnisBijVerstek_30;VonnisOpTegenspraak_31;OverigeAfdoeningen_32;TotaalBegonnenZaken_33;TotaalBeeindigdeZaken_34;TotaalMetVonnis_35;VonnisBijVerstek_36;VonnisOpTegenspraak_37;OverigeAfdoeningen_38;TotaalBegonnenZaken_39;TotaalBeeindigdeZaken_40;TotaalMetVonnis_41;VonnisBijVerstek_42;VonnisOpTegenspraak_43;OverigeAfdoeningen_44;TotaalBegonnenZaken_45;TotaalBeeindigdeZaken_46;MetBeschikking_47;OverigeAfdoeningen_48;TotaalBegonnenZaken_49;TotaalBeeindigdeZaken_50;TotaalBegonnenZaken_51;TotaalBeeindigdeZaken_52;MetArrest_53;OverigeAfdoeningen_54;TotaalBegonnenZaken_55;TotaalBeeindigdeZaken_56;MetBeschikking_57;OverigeAfdoeningen_58;TotaalBegonnenZaken_59;TotaalBeeindigdeZaken_60;TotaalBegonnenZaken_61;TotaalBeeindigdeZaken_62;MetArrest_63;OverigeAfdoeningen_64;TotaalBegonnenZaken_65;TotaalBeeindigdeZaken_66;MetBeschikking_67;OverigeAfdoeningen_68
0;2010;926700;927900;632400;631700;550300;466500;83800;81400;622900;622200;545100;465100;80000;77100;9400;9500;5300;1400;3800;4300;294300;296100;278400;17800;231500;232600;52600;54000;36700;18500;18200;17300;38400;39800;28200;16800;11300;11700;14100;14100;8500;1700;6800;5600;179000;178600;164900;13800;15150;16286;7518;8241;4827;3414;7632;8045;7218;827;653;627;373;394;362;32;280;233;220;13
1;2011;861400;851600;584000;586100;509500;426900;82700;76500;575300;577300;504600;425500;79100;72800;8700;8700;5000;1400;3600;3800;277400;265600;246700;18900;262700;269300;37300;43800;28300;10700;17600;15500;24500;30900;20500;9500;11000;10500;12800;12900;7800;1200;6600;5100;225400;225400;166900;58500;15642;16962;7319;8142;4890;3252;8323;8820;8029;791;557;652;354;378;350;28;203;274;260;14
2;2012;833300;821200;523600;520700;447900;371500;76400;72800;514900;512100;443100;370200;72900;69000;8700;8600;4800;1300;3600;3800;309800;300500;281300;19200;250300;250900;25700;28800;17600;3400;14200;11200;13400;16700;10200;2500;7700;6500;12200;12100;7400;1000;6400;4700;224600;222200;162900;59200;15250;15942;6870;7583;4233;3350;8380;8359;7696;663;562;648;306;410;347;63;257;238;229;9
3;2013;816600;797900;484400;488900;418900;349700;69200;69900;475200;479800;413800;348300;65500;66000;9200;9000;5100;1300;3700;3900;332300;309200;287200;22000;250600;251100;25300;27100;15900;3000;12900;11200;13100;15000;8400;2000;6400;6500;12200;12100;7500;1000;6500;4600;225400;224000;161200;62800;15148;15721;6739;7401;4344;3057;8409;8320;7574;746;483;646;277;392;357;35;206;254;250;4
4;2014;855300;841600;470400;474300;402300;337600;64700;72000;461700;465600;397200;336300;60900;68300;8700;8700;5000;1300;3800;3700;384900;367400;334900;32500;239600;242800;23700;24900;15100;2900;12100;9800;11900;13100;7900;2000;5900;5200;11800;11800;7200;1000;6200;4600;215900;218000;156300;61700;13486;14883;6172;6978;4483;2495;7314;7905;7160;745;491;430;336;231;221;10;155;199;184;15
5;2015;867700;870200;450600;453000;379200;320700;58400;73800;442900;445200;374700;319700;55000;70500;7700;7800;4500;1100;3400;3400;417100;417200;377300;39900;236200;237500;23600;24300;14500;2700;11800;9800;11400;12400;7400;1800;5600;5000;12100;11900;7100;900;6200;4900;212700;213200;151800;61400;13379;13030;6085;6155;3884;2271;7294;6875;6039;836;503;471;324;306;281;25;179;165;152;13
